HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3SBEHTYCWN4AS5FE6AY8L7ZOF94YI8,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:00:27 PDT 2016","Wed Apr 27 02:02:35 PDT 2016",3[notredame/mpd01605_2536747839.jpg],4[notredame/claytron_160813326.jpg],4[notredame/mpd01605_2536748017.jpg],4[notredame/mpd01605_2536748929.jpg],4[notredame/kreative_191793002.jpg],4[notredame/mpd01605_2536748281.jpg],4[notredame/sergemelki_2322056221.jpg],4[notredame/pandemia_333737504.jpg],4[notredame/fotos_dos_ornelas_400068285.jpg],4[notredame/dave_minogue_88652995.jpg],4[notredame/davebowman_407836128.jpg],4[notredame/jfuentejr_225878825.jpg],4[notredame/pederoj_446333137.jpg],5[notredame/ikan66_425039935.jpg],5[notredame/bdesham_1123347137.jpg],5[notredame/jfuentejr_225878925.jpg],4[notredame/8250661@N08_513996970.jpg],4[notredame/jfuentejr_225878656.jpg],5[notredame/tomarthur_2542662439.jpg],4[notredame/mpd01605_2237732800.jpg],4[notredame/thehawk1_273899615.jpg],5[notredame/joeshlabotnik_1428751382.jpg],5[notredame/ktylerconk_873091202.jpg],4[notredame/maza34_2365977385.jpg],3[notredame/damienroue_2495955838.jpg],4[notredame/tomarthur_2543487632.jpg],4[notredame/psd_284050984.jpg],4[notredame/manza_582001945.jpg],4[notredame/wordridden_499703300.jpg],4[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",31IBVUNM9S09EKIJ0R53BBI2H0GFVV,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:06:58 PDT 2016","Wed Apr 27 04:08:54 PDT 2016",3[notredame/mpd01605_2536747839.jpg],3[notredame/claytron_160813326.jpg],3[notredame/mpd01605_2536748017.jpg],3[notredame/mpd01605_2536748929.jpg],3[notredame/kreative_191793002.jpg],3[notredame/mpd01605_2536748281.jpg],4[notredame/sergemelki_2322056221.jpg],3[notredame/pandemia_333737504.jpg],2[notredame/fotos_dos_ornelas_400068285.jpg],3[notredame/dave_minogue_88652995.jpg],2[notredame/davebowman_407836128.jpg],3[notredame/jfuentejr_225878825.jpg],3[notredame/pederoj_446333137.jpg],3[notredame/ikan66_425039935.jpg],4[notredame/bdesham_1123347137.jpg],4[notredame/jfuentejr_225878925.jpg],2[notredame/8250661@N08_513996970.jpg],3[notredame/jfuentejr_225878656.jpg],3[notredame/tomarthur_2542662439.jpg],3[notredame/mpd01605_2237732800.jpg],4[notredame/thehawk1_273899615.jpg],2[notredame/joeshlabotnik_1428751382.jpg],3[notredame/ktylerconk_873091202.jpg],4[notredame/maza34_2365977385.jpg],2[notredame/damienroue_2495955838.jpg],3[notredame/tomarthur_2543487632.jpg],2[notredame/psd_284050984.jpg],2[notredame/manza_582001945.jpg],4[notredame/wordridden_499703300.jpg],4[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3A1COHJ8NJWVH4DCNOITMIA7MH98HY,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:23 PDT 2016","Wed Apr 27 08:23:54 PDT 2016",3[notredame/mpd01605_2536747839.jpg],4[notredame/claytron_160813326.jpg],4[notredame/mpd01605_2536748017.jpg],4[notredame/mpd01605_2536748929.jpg],4[notredame/kreative_191793002.jpg],4[notredame/mpd01605_2536748281.jpg],4[notredame/sergemelki_2322056221.jpg],4[notredame/pandemia_333737504.jpg],3[notredame/fotos_dos_ornelas_400068285.jpg],4[notredame/dave_minogue_88652995.jpg],4[notredame/davebowman_407836128.jpg],3[notredame/jfuentejr_225878825.jpg],4[notredame/pederoj_446333137.jpg],4[notredame/ikan66_425039935.jpg],4[notredame/bdesham_1123347137.jpg],4[notredame/jfuentejr_225878925.jpg],4[notredame/8250661@N08_513996970.jpg],3[notredame/jfuentejr_225878656.jpg],4[notredame/tomarthur_2542662439.jpg],4[notredame/mpd01605_2237732800.jpg],4[notredame/thehawk1_273899615.jpg],4[notredame/joeshlabotnik_1428751382.jpg],4[notredame/ktylerconk_873091202.jpg],3[notredame/maza34_2365977385.jpg],4[notredame/damienroue_2495955838.jpg],4[notredame/tomarthur_2543487632.jpg],3[notredame/psd_284050984.jpg],3[notredame/manza_582001945.jpg],4[notredame/wordridden_499703300.jpg],3[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3AAPLD8UCCIEFO50QMTODE6U0UZTHD,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:30:26 PDT 2016","Wed Apr 27 09:32:26 PDT 2016",4[notredame/mpd01605_2536747839.jpg],4[notredame/claytron_160813326.jpg],4[notredame/mpd01605_2536748017.jpg],4[notredame/mpd01605_2536748929.jpg],4[notredame/kreative_191793002.jpg],4[notredame/mpd01605_2536748281.jpg],5[notredame/sergemelki_2322056221.jpg],4[notredame/pandemia_333737504.jpg],5[notredame/fotos_dos_ornelas_400068285.jpg],4[notredame/dave_minogue_88652995.jpg],5[notredame/davebowman_407836128.jpg],4[notredame/jfuentejr_225878825.jpg],5[notredame/pederoj_446333137.jpg],4[notredame/ikan66_425039935.jpg],4[notredame/bdesham_1123347137.jpg],4[notredame/jfuentejr_225878925.jpg],4[notredame/8250661@N08_513996970.jpg],4[notredame/jfuentejr_225878656.jpg],4[notredame/tomarthur_2542662439.jpg],5[notredame/mpd01605_2237732800.jpg],5[notredame/thehawk1_273899615.jpg],4[notredame/joeshlabotnik_1428751382.jpg],4[notredame/ktylerconk_873091202.jpg],4[notredame/maza34_2365977385.jpg],4[notredame/damienroue_2495955838.jpg],5[notredame/tomarthur_2543487632.jpg],5[notredame/psd_284050984.jpg],4[notredame/manza_582001945.jpg],4[notredame/wordridden_499703300.jpg],5[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",37U1UTWH9VN86YRFJTUN0MCD9S88R0,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:13:52 PDT 2016","Wed Apr 27 23:15:12 PDT 2016",4[notredame/mpd01605_2536747839.jpg],4[notredame/claytron_160813326.jpg],4[notredame/mpd01605_2536748017.jpg],4[notredame/mpd01605_2536748929.jpg],2[notredame/kreative_191793002.jpg],4[notredame/mpd01605_2536748281.jpg],4[notredame/sergemelki_2322056221.jpg],3[notredame/pandemia_333737504.jpg],3[notredame/fotos_dos_ornelas_400068285.jpg],2[notredame/dave_minogue_88652995.jpg],1[notredame/davebowman_407836128.jpg],1[notredame/jfuentejr_225878825.jpg],1[notredame/pederoj_446333137.jpg],3[notredame/ikan66_425039935.jpg],2[notredame/bdesham_1123347137.jpg],2[notredame/jfuentejr_225878925.jpg],3[notredame/8250661@N08_513996970.jpg],2[notredame/jfuentejr_225878656.jpg],2[notredame/tomarthur_2542662439.jpg],3[notredame/mpd01605_2237732800.jpg],2[notredame/thehawk1_273899615.jpg],2[notredame/joeshlabotnik_1428751382.jpg],3[notredame/ktylerconk_873091202.jpg],2[notredame/maza34_2365977385.jpg],2[notredame/damienroue_2495955838.jpg],3[notredame/tomarthur_2543487632.jpg],2[notredame/psd_284050984.jpg],2[notredame/manza_582001945.jpg],3[notredame/wordridden_499703300.jpg],2[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3TY7ZAOG5FL4159HY58B6VKHV25K0Z,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:04:08 PDT 2016","Thu Apr 28 01:04:54 PDT 2016",5[notredame/mpd01605_2536747839.jpg],5[notredame/claytron_160813326.jpg],5[notredame/mpd01605_2536748017.jpg],4[notredame/mpd01605_2536748929.jpg],5[notredame/kreative_191793002.jpg],5[notredame/mpd01605_2536748281.jpg],5[notredame/sergemelki_2322056221.jpg],5[notredame/pandemia_333737504.jpg],5[notredame/fotos_dos_ornelas_400068285.jpg],5[notredame/dave_minogue_88652995.jpg],5[notredame/davebowman_407836128.jpg],5[notredame/jfuentejr_225878825.jpg],5[notredame/pederoj_446333137.jpg],5[notredame/ikan66_425039935.jpg],5[notredame/bdesham_1123347137.jpg],5[notredame/jfuentejr_225878925.jpg],5[notredame/8250661@N08_513996970.jpg],5[notredame/jfuentejr_225878656.jpg],5[notredame/tomarthur_2542662439.jpg],5[notredame/mpd01605_2237732800.jpg],5[notredame/thehawk1_273899615.jpg],5[notredame/joeshlabotnik_1428751382.jpg],5[notredame/ktylerconk_873091202.jpg],5[notredame/maza34_2365977385.jpg],5[notredame/damienroue_2495955838.jpg],5[notredame/tomarthur_2543487632.jpg],5[notredame/psd_284050984.jpg],5[notredame/manza_582001945.jpg],5[notredame/wordridden_499703300.jpg],5[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3Z7ISHFUH0WH8PD6TAO0MPECI9VZ8O,AE366CJX2U73M,Approved,"Thu Apr 28 02:11:08 PDT 2016","Thu Apr 28 02:12:30 PDT 2016",3[notredame/mpd01605_2536747839.jpg],5[notredame/claytron_160813326.jpg],3[notredame/mpd01605_2536748017.jpg],4[notredame/mpd01605_2536748929.jpg],4[notredame/kreative_191793002.jpg],3[notredame/mpd01605_2536748281.jpg],4[notredame/sergemelki_2322056221.jpg],4[notredame/pandemia_333737504.jpg],1[notredame/fotos_dos_ornelas_400068285.jpg],3[notredame/dave_minogue_88652995.jpg],4[notredame/davebowman_407836128.jpg],2[notredame/jfuentejr_225878825.jpg],3[notredame/pederoj_446333137.jpg],3[notredame/ikan66_425039935.jpg],4[notredame/bdesham_1123347137.jpg],3[notredame/jfuentejr_225878925.jpg],4[notredame/8250661@N08_513996970.jpg],4[notredame/jfuentejr_225878656.jpg],5[notredame/tomarthur_2542662439.jpg],2[notredame/mpd01605_2237732800.jpg],4[notredame/thehawk1_273899615.jpg],3[notredame/joeshlabotnik_1428751382.jpg],4[notredame/ktylerconk_873091202.jpg],3[notredame/maza34_2365977385.jpg],3[notredame/damienroue_2495955838.jpg],3[notredame/tomarthur_2543487632.jpg],2[notredame/psd_284050984.jpg],2[notredame/manza_582001945.jpg],3[notredame/wordridden_499703300.jpg],3[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3MHW492WW0EFKUA0ME9G612BE4BVM7,AWQDOOSNH42QM,Approved,"Thu Apr 28 07:35:53 PDT 2016","Thu Apr 28 07:36:44 PDT 2016",5[notredame/mpd01605_2536747839.jpg],5[notredame/claytron_160813326.jpg],5[notredame/mpd01605_2536748017.jpg],5[notredame/mpd01605_2536748929.jpg],5[notredame/kreative_191793002.jpg],5[notredame/mpd01605_2536748281.jpg],5[notredame/sergemelki_2322056221.jpg],5[notredame/pandemia_333737504.jpg],5[notredame/fotos_dos_ornelas_400068285.jpg],5[notredame/dave_minogue_88652995.jpg],2[notredame/davebowman_407836128.jpg],5[notredame/jfuentejr_225878825.jpg],4[notredame/pederoj_446333137.jpg],4[notredame/ikan66_425039935.jpg],5[notredame/bdesham_1123347137.jpg],5[notredame/jfuentejr_225878925.jpg],5[notredame/8250661@N08_513996970.jpg],5[notredame/jfuentejr_225878656.jpg],5[notredame/tomarthur_2542662439.jpg],5[notredame/mpd01605_2237732800.jpg],5[notredame/thehawk1_273899615.jpg],5[notredame/joeshlabotnik_1428751382.jpg],5[notredame/ktylerconk_873091202.jpg],5[notredame/maza34_2365977385.jpg],2[notredame/damienroue_2495955838.jpg],5[notredame/tomarthur_2543487632.jpg],5[notredame/psd_284050984.jpg],5[notredame/manza_582001945.jpg],5[notredame/wordridden_499703300.jpg],5[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3ITXP059PWK9RUNBPMRJFMQNB8XJS1,A3A455FPMMTIRZ,Approved,"Thu Apr 28 14:16:10 PDT 2016","Thu Apr 28 14:18:40 PDT 2016",4[notredame/mpd01605_2536747839.jpg],4[notredame/claytron_160813326.jpg],2[notredame/mpd01605_2536748017.jpg],2[notredame/mpd01605_2536748929.jpg],4[notredame/kreative_191793002.jpg],5[notredame/mpd01605_2536748281.jpg],4[notredame/sergemelki_2322056221.jpg],3[notredame/pandemia_333737504.jpg],2[notredame/fotos_dos_ornelas_400068285.jpg],5[notredame/dave_minogue_88652995.jpg],1[notredame/davebowman_407836128.jpg],5[notredame/jfuentejr_225878825.jpg],5[notredame/pederoj_446333137.jpg],5[notredame/ikan66_425039935.jpg],5[notredame/bdesham_1123347137.jpg],5[notredame/jfuentejr_225878925.jpg],4[notredame/8250661@N08_513996970.jpg],5[notredame/jfuentejr_225878656.jpg],5[notredame/tomarthur_2542662439.jpg],5[notredame/mpd01605_2237732800.jpg],3[notredame/thehawk1_273899615.jpg],4[notredame/joeshlabotnik_1428751382.jpg],5[notredame/ktylerconk_873091202.jpg],2[notredame/maza34_2365977385.jpg],1[notredame/damienroue_2495955838.jpg],5[notredame/tomarthur_2543487632.jpg],5[notredame/psd_284050984.jpg],4[notredame/manza_582001945.jpg],4[notredame/wordridden_499703300.jpg],5[notredame/absolutwade_191888007.jpg],
3UQVX1UPFSI6X57XJXX6IF253AG20T,"notredame_90-119","sample#command",3K9FOBBF2HKI67J6KBMAW7T9SZILNJ,A3APVUKRMTZ3CV,Approved,"Thu Apr 28 22:58:05 PDT 2016","Thu Apr 28 22:59:25 PDT 2016",2[notredame/mpd01605_2536747839.jpg],2[notredame/claytron_160813326.jpg],2[notredame/mpd01605_2536748017.jpg],2[notredame/mpd01605_2536748929.jpg],2[notredame/kreative_191793002.jpg],2[notredame/mpd01605_2536748281.jpg],2[notredame/sergemelki_2322056221.jpg],2[notredame/pandemia_333737504.jpg],2[notredame/fotos_dos_ornelas_400068285.jpg],2[notredame/dave_minogue_88652995.jpg],2[notredame/davebowman_407836128.jpg],2[notredame/jfuentejr_225878825.jpg],2[notredame/pederoj_446333137.jpg],2[notredame/ikan66_425039935.jpg],2[notredame/bdesham_1123347137.jpg],2[notredame/jfuentejr_225878925.jpg],2[notredame/8250661@N08_513996970.jpg],2[notredame/jfuentejr_225878656.jpg],2[notredame/tomarthur_2542662439.jpg],2[notredame/mpd01605_2237732800.jpg],2[notredame/thehawk1_273899615.jpg],2[notredame/joeshlabotnik_1428751382.jpg],2[notredame/ktylerconk_873091202.jpg],2[notredame/maza34_2365977385.jpg],1[notredame/damienroue_2495955838.jpg],2[notredame/tomarthur_2543487632.jpg],2[notredame/psd_284050984.jpg],2[notredame/manza_582001945.jpg],2[notredame/wordridden_499703300.jpg],2[notredame/absolutwade_191888007.jpg],
