HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",33JKGHPFYCV2CP1RKNNPWK8YSYLMNN,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:11:44 PDT 2016","Wed Apr 27 02:14:05 PDT 2016",4[notredame/haydn_173471085.jpg],4[notredame/fcrippa_925498447.jpg],4[notredame/yisris_267944204.jpg],4[notredame/dewet_509547208.jpg],3[notredame/omaromar_11727423.jpg],4[notredame/daquellamanera_193909774.jpg],4[notredame/helder_2194564831.jpg],4[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],4[notredame/traviscrawford_194751102.jpg],4[notredame/alexindigo_380946248.jpg],4[notredame/picturesbypolo_2456777288.jpg],4[notredame/wscottheath_512796821.jpg],4[notredame/balachandar_2401794800.jpg],5[notredame/jensview_249436467.jpg],2[notredame/thierryleclercq_2282723904.jpg],2[notredame/joeshlabotnik_2103447222.jpg],4[notredame/acme_11938410.jpg],4[notredame/joey-o_158505145.jpg],5[notredame/chrispearson72_463215317.jpg],5[notredame/fhsu_34786695.jpg],5[notredame/firepile_143644606.jpg],5[notredame/ashley_r_2406415723.jpg],5[notredame/volantwish_2190914686.jpg],3[notredame/moxieg_2168855669.jpg],4[notredame/dankamminga_5084254.jpg],3[notredame/alex1961_2471598779.jpg],4[notredame/mpd01605_2236983507.jpg],4[notredame/paultraf_2521371251.jpg],4[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3OUYGIZWR7Z5CW6XBXDJ2C6GPAM0PN,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 02:21:30 PDT 2016","Wed Apr 27 02:22:46 PDT 2016",3[notredame/haydn_173471085.jpg],4[notredame/fcrippa_925498447.jpg],4[notredame/yisris_267944204.jpg],4[notredame/dewet_509547208.jpg],1[notredame/omaromar_11727423.jpg],3[notredame/daquellamanera_193909774.jpg],3[notredame/helder_2194564831.jpg],4[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],4[notredame/traviscrawford_194751102.jpg],3[notredame/alexindigo_380946248.jpg],3[notredame/picturesbypolo_2456777288.jpg],4[notredame/wscottheath_512796821.jpg],4[notredame/balachandar_2401794800.jpg],3[notredame/jensview_249436467.jpg],4[notredame/thierryleclercq_2282723904.jpg],3[notredame/joeshlabotnik_2103447222.jpg],3[notredame/acme_11938410.jpg],4[notredame/joey-o_158505145.jpg],2[notredame/chrispearson72_463215317.jpg],3[notredame/fhsu_34786695.jpg],3[notredame/firepile_143644606.jpg],2[notredame/ashley_r_2406415723.jpg],4[notredame/volantwish_2190914686.jpg],1[notredame/moxieg_2168855669.jpg],3[notredame/dankamminga_5084254.jpg],2[notredame/alex1961_2471598779.jpg],3[notredame/mpd01605_2236983507.jpg],3[notredame/paultraf_2521371251.jpg],3[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3VNL7UK1XFKU1SEUVW5OATUHKFYFTD,A36H3PO6JZD414,Approved,"Wed Apr 27 03:55:15 PDT 2016","Wed Apr 27 03:56:51 PDT 2016",3[notredame/haydn_173471085.jpg],4[notredame/fcrippa_925498447.jpg],5[notredame/yisris_267944204.jpg],3[notredame/dewet_509547208.jpg],1[notredame/omaromar_11727423.jpg],2[notredame/daquellamanera_193909774.jpg],5[notredame/helder_2194564831.jpg],3[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],4[notredame/traviscrawford_194751102.jpg],5[notredame/alexindigo_380946248.jpg],3[notredame/picturesbypolo_2456777288.jpg],4[notredame/wscottheath_512796821.jpg],3[notredame/balachandar_2401794800.jpg],2[notredame/jensview_249436467.jpg],5[notredame/thierryleclercq_2282723904.jpg],3[notredame/joeshlabotnik_2103447222.jpg],2[notredame/acme_11938410.jpg],4[notredame/joey-o_158505145.jpg],1[notredame/chrispearson72_463215317.jpg],1[notredame/fhsu_34786695.jpg],5[notredame/firepile_143644606.jpg],3[notredame/ashley_r_2406415723.jpg],4[notredame/volantwish_2190914686.jpg],2[notredame/moxieg_2168855669.jpg],5[notredame/dankamminga_5084254.jpg],5[notredame/alex1961_2471598779.jpg],4[notredame/mpd01605_2236983507.jpg],4[notredame/paultraf_2521371251.jpg],3[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3AZHRG4CU4LY571ADZGCP93FKEF30Z,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:01:08 PDT 2016","Wed Apr 27 08:27:25 PDT 2016",4[notredame/haydn_173471085.jpg],3[notredame/fcrippa_925498447.jpg],4[notredame/yisris_267944204.jpg],4[notredame/dewet_509547208.jpg],4[notredame/omaromar_11727423.jpg],4[notredame/daquellamanera_193909774.jpg],4[notredame/helder_2194564831.jpg],3[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],4[notredame/traviscrawford_194751102.jpg],4[notredame/alexindigo_380946248.jpg],3[notredame/picturesbypolo_2456777288.jpg],3[notredame/wscottheath_512796821.jpg],4[notredame/balachandar_2401794800.jpg],3[notredame/jensview_249436467.jpg],4[notredame/thierryleclercq_2282723904.jpg],4[notredame/joeshlabotnik_2103447222.jpg],2[notredame/acme_11938410.jpg],3[notredame/joey-o_158505145.jpg],4[notredame/chrispearson72_463215317.jpg],4[notredame/fhsu_34786695.jpg],4[notredame/firepile_143644606.jpg],4[notredame/ashley_r_2406415723.jpg],4[notredame/volantwish_2190914686.jpg],4[notredame/moxieg_2168855669.jpg],4[notredame/dankamminga_5084254.jpg],4[notredame/alex1961_2471598779.jpg],4[notredame/mpd01605_2236983507.jpg],5[notredame/paultraf_2521371251.jpg],3[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",32AT8R96GLAI5AY51LVXMOZYSJRUSU,A39BR7NYRDWC01,Approved,"Wed Apr 27 10:05:00 PDT 2016","Wed Apr 27 10:06:20 PDT 2016",4[notredame/haydn_173471085.jpg],5[notredame/fcrippa_925498447.jpg],5[notredame/yisris_267944204.jpg],3[notredame/dewet_509547208.jpg],3[notredame/omaromar_11727423.jpg],4[notredame/daquellamanera_193909774.jpg],5[notredame/helder_2194564831.jpg],3[notredame/kdga_43341150.jpg],5[notredame/mpd01605_2534481553.jpg],5[notredame/traviscrawford_194751102.jpg],5[notredame/alexindigo_380946248.jpg],5[notredame/picturesbypolo_2456777288.jpg],5[notredame/wscottheath_512796821.jpg],5[notredame/balachandar_2401794800.jpg],4[notredame/jensview_249436467.jpg],5[notredame/thierryleclercq_2282723904.jpg],5[notredame/joeshlabotnik_2103447222.jpg],5[notredame/acme_11938410.jpg],5[notredame/joey-o_158505145.jpg],5[notredame/chrispearson72_463215317.jpg],5[notredame/fhsu_34786695.jpg],5[notredame/firepile_143644606.jpg],5[notredame/ashley_r_2406415723.jpg],5[notredame/volantwish_2190914686.jpg],5[notredame/moxieg_2168855669.jpg],4[notredame/dankamminga_5084254.jpg],4[notredame/alex1961_2471598779.jpg],5[notredame/mpd01605_2236983507.jpg],4[notredame/paultraf_2521371251.jpg],5[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3SKEMFQBZ36MJUEKT9LQZAQZE0DK8I,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 23:07:43 PDT 2016","Wed Apr 27 23:08:58 PDT 2016",3[notredame/haydn_173471085.jpg],2[notredame/fcrippa_925498447.jpg],3[notredame/yisris_267944204.jpg],3[notredame/dewet_509547208.jpg],1[notredame/omaromar_11727423.jpg],2[notredame/daquellamanera_193909774.jpg],3[notredame/helder_2194564831.jpg],4[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],4[notredame/traviscrawford_194751102.jpg],3[notredame/alexindigo_380946248.jpg],1[notredame/picturesbypolo_2456777288.jpg],4[notredame/wscottheath_512796821.jpg],4[notredame/balachandar_2401794800.jpg],2[notredame/jensview_249436467.jpg],2[notredame/thierryleclercq_2282723904.jpg],2[notredame/joeshlabotnik_2103447222.jpg],2[notredame/acme_11938410.jpg],3[notredame/joey-o_158505145.jpg],2[notredame/chrispearson72_463215317.jpg],2[notredame/fhsu_34786695.jpg],3[notredame/firepile_143644606.jpg],1[notredame/ashley_r_2406415723.jpg],3[notredame/volantwish_2190914686.jpg],1[notredame/moxieg_2168855669.jpg],4[notredame/dankamminga_5084254.jpg],3[notredame/alex1961_2471598779.jpg],2[notredame/mpd01605_2236983507.jpg],3[notredame/paultraf_2521371251.jpg],1[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",308Q0PEVB8EVR476YY6SMQ6X6299IO,AGPGH9GLV1UAW,Approved,"Thu Apr 28 00:24:47 PDT 2016","Thu Apr 28 00:26:35 PDT 2016",3[notredame/haydn_173471085.jpg],5[notredame/fcrippa_925498447.jpg],3[notredame/yisris_267944204.jpg],5[notredame/dewet_509547208.jpg],1[notredame/omaromar_11727423.jpg],2[notredame/daquellamanera_193909774.jpg],3[notredame/helder_2194564831.jpg],4[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],5[notredame/traviscrawford_194751102.jpg],4[notredame/alexindigo_380946248.jpg],3[notredame/picturesbypolo_2456777288.jpg],5[notredame/wscottheath_512796821.jpg],5[notredame/balachandar_2401794800.jpg],2[notredame/jensview_249436467.jpg],2[notredame/thierryleclercq_2282723904.jpg],2[notredame/joeshlabotnik_2103447222.jpg],3[notredame/acme_11938410.jpg],2[notredame/joey-o_158505145.jpg],1[notredame/chrispearson72_463215317.jpg],4[notredame/fhsu_34786695.jpg],5[notredame/firepile_143644606.jpg],3[notredame/ashley_r_2406415723.jpg],5[notredame/volantwish_2190914686.jpg],1[notredame/moxieg_2168855669.jpg],2[notredame/dankamminga_5084254.jpg],5[notredame/alex1961_2471598779.jpg],5[notredame/mpd01605_2236983507.jpg],5[notredame/paultraf_2521371251.jpg],3[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3M81GAB8A0KRWVAM9QPXMYS9LCVBQ5,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:08:01 PDT 2016","Thu Apr 28 01:09:42 PDT 2016",5[notredame/haydn_173471085.jpg],5[notredame/fcrippa_925498447.jpg],5[notredame/yisris_267944204.jpg],5[notredame/dewet_509547208.jpg],5[notredame/omaromar_11727423.jpg],5[notredame/daquellamanera_193909774.jpg],5[notredame/helder_2194564831.jpg],5[notredame/kdga_43341150.jpg],5[notredame/mpd01605_2534481553.jpg],5[notredame/traviscrawford_194751102.jpg],5[notredame/alexindigo_380946248.jpg],5[notredame/picturesbypolo_2456777288.jpg],5[notredame/wscottheath_512796821.jpg],5[notredame/balachandar_2401794800.jpg],5[notredame/jensview_249436467.jpg],5[notredame/thierryleclercq_2282723904.jpg],5[notredame/joeshlabotnik_2103447222.jpg],5[notredame/acme_11938410.jpg],5[notredame/joey-o_158505145.jpg],5[notredame/chrispearson72_463215317.jpg],5[notredame/fhsu_34786695.jpg],5[notredame/firepile_143644606.jpg],5[notredame/ashley_r_2406415723.jpg],5[notredame/volantwish_2190914686.jpg],5[notredame/moxieg_2168855669.jpg],5[notredame/dankamminga_5084254.jpg],5[notredame/alex1961_2471598779.jpg],5[notredame/mpd01605_2236983507.jpg],5[notredame/paultraf_2521371251.jpg],5[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3LS2AMNW5FRBFPZVDVUJSIS8SBEQOO,AE366CJX2U73M,Approved,"Thu Apr 28 01:56:20 PDT 2016","Thu Apr 28 01:57:58 PDT 2016",4[notredame/haydn_173471085.jpg],4[notredame/fcrippa_925498447.jpg],3[notredame/yisris_267944204.jpg],2[notredame/dewet_509547208.jpg],1[notredame/omaromar_11727423.jpg],2[notredame/daquellamanera_193909774.jpg],3[notredame/helder_2194564831.jpg],4[notredame/kdga_43341150.jpg],5[notredame/mpd01605_2534481553.jpg],2[notredame/traviscrawford_194751102.jpg],3[notredame/alexindigo_380946248.jpg],3[notredame/picturesbypolo_2456777288.jpg],4[notredame/wscottheath_512796821.jpg],4[notredame/balachandar_2401794800.jpg],3[notredame/jensview_249436467.jpg],2[notredame/thierryleclercq_2282723904.jpg],4[notredame/joeshlabotnik_2103447222.jpg],3[notredame/acme_11938410.jpg],3[notredame/joey-o_158505145.jpg],2[notredame/chrispearson72_463215317.jpg],3[notredame/fhsu_34786695.jpg],2[notredame/firepile_143644606.jpg],2[notredame/ashley_r_2406415723.jpg],2[notredame/volantwish_2190914686.jpg],1[notredame/moxieg_2168855669.jpg],3[notredame/dankamminga_5084254.jpg],4[notredame/alex1961_2471598779.jpg],5[notredame/mpd01605_2236983507.jpg],3[notredame/paultraf_2521371251.jpg],3[notredame/pheede_161152465.jpg],
3W5PY7V3UP830W1QYQE79OI6HYGJYX,"notredame_300-329","sample#command",3DZQRBDBSLGY6GLMM1ZWZF9YF9I3SC,A1NLCS8PSD5SWE,Approved,"Thu Apr 28 05:29:22 PDT 2016","Thu Apr 28 05:31:30 PDT 2016",4[notredame/haydn_173471085.jpg],3[notredame/fcrippa_925498447.jpg],3[notredame/yisris_267944204.jpg],3[notredame/dewet_509547208.jpg],1[notredame/omaromar_11727423.jpg],3[notredame/daquellamanera_193909774.jpg],4[notredame/helder_2194564831.jpg],4[notredame/kdga_43341150.jpg],4[notredame/mpd01605_2534481553.jpg],4[notredame/traviscrawford_194751102.jpg],3[notredame/alexindigo_380946248.jpg],3[notredame/picturesbypolo_2456777288.jpg],4[notredame/wscottheath_512796821.jpg],2[notredame/balachandar_2401794800.jpg],2[notredame/jensview_249436467.jpg],5[notredame/thierryleclercq_2282723904.jpg],4[notredame/joeshlabotnik_2103447222.jpg],4[notredame/acme_11938410.jpg],5[notredame/joey-o_158505145.jpg],2[notredame/chrispearson72_463215317.jpg],2[notredame/fhsu_34786695.jpg],2[notredame/firepile_143644606.jpg],2[notredame/ashley_r_2406415723.jpg],2[notredame/volantwish_2190914686.jpg],1[notredame/moxieg_2168855669.jpg],3[notredame/dankamminga_5084254.jpg],3[notredame/alex1961_2471598779.jpg],1[notredame/mpd01605_2236983507.jpg],1[notredame/paultraf_2521371251.jpg],1[notredame/pheede_161152465.jpg],
