HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3MTMREQS4VJRXI1GFLO7JCQPRTZWA3,A1XC5OV00MECKQ,Approved,"Wed Apr 27 02:05:13 PDT 2016","Wed Apr 27 02:07:08 PDT 2016",4[notredame/thraxil_169768208.jpg],3[notredame/mc_sensei_1372190729.jpg],4[notredame/jjvaca_2421680678.jpg],4[notredame/haydn_173470731.jpg],4[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],4[notredame/mikefitzsimon_1897388113.jpg],4[notredame/matthewblank_307219168.jpg],4[notredame/cfuga_1435610228.jpg],4[notredame/shadowgate_240369654.jpg],4[notredame/aprillynn77_2186028637.jpg],4[notredame/poeloq_986704862.jpg],4[notredame/skuds_2493453898.jpg],4[notredame/aoifecahill_379218930.jpg],3[notredame/cfuga_1435597650.jpg],4[notredame/8250661@N08_514024275.jpg],3[notredame/kafeole_421357234.jpg],4[notredame/luxtonnerre_2216740946.jpg],2[notredame/unorthodoxy_2308962348.jpg],3[notredame/wseltzer_2603738285.jpg],2[notredame/omaromar_11726909.jpg],2[notredame/pftqg_566078930.jpg],3[notredame/mpd01605_2537567160.jpg],4[notredame/81596301@N00_248197965.jpg],5[notredame/mpd01605_2534315485.jpg],2[notredame/lamoney_403875127.jpg],3[notredame/gcourbis_404775158.jpg],4[notredame/jfuentejr_225878157.jpg],3[notredame/gcourbis_406364537.jpg],5[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3KJYX6QCM9CPJM4FJHWOQ9AUA7YJV3,A12PPDBCH2MF2Y,Approved,"Wed Apr 27 04:11:20 PDT 2016","Wed Apr 27 04:12:27 PDT 2016",2[notredame/thraxil_169768208.jpg],1[notredame/mc_sensei_1372190729.jpg],1[notredame/jjvaca_2421680678.jpg],2[notredame/haydn_173470731.jpg],1[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],3[notredame/mikefitzsimon_1897388113.jpg],2[notredame/matthewblank_307219168.jpg],2[notredame/cfuga_1435610228.jpg],4[notredame/shadowgate_240369654.jpg],4[notredame/aprillynn77_2186028637.jpg],2[notredame/poeloq_986704862.jpg],2[notredame/skuds_2493453898.jpg],1[notredame/aoifecahill_379218930.jpg],2[notredame/cfuga_1435597650.jpg],2[notredame/8250661@N08_514024275.jpg],1[notredame/kafeole_421357234.jpg],3[notredame/luxtonnerre_2216740946.jpg],1[notredame/unorthodoxy_2308962348.jpg],2[notredame/wseltzer_2603738285.jpg],1[notredame/omaromar_11726909.jpg],2[notredame/pftqg_566078930.jpg],2[notredame/mpd01605_2537567160.jpg],4[notredame/81596301@N00_248197965.jpg],4[notredame/mpd01605_2534315485.jpg],3[notredame/lamoney_403875127.jpg],4[notredame/gcourbis_404775158.jpg],2[notredame/jfuentejr_225878157.jpg],4[notredame/gcourbis_406364537.jpg],4[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",37Z929RLG9935XJG1G5NHSDW95ASTR,AFG3FXABPGSZS,Approved,"Wed Apr 27 08:00:39 PDT 2016","Wed Apr 27 08:25:13 PDT 2016",3[notredame/thraxil_169768208.jpg],4[notredame/mc_sensei_1372190729.jpg],4[notredame/jjvaca_2421680678.jpg],5[notredame/haydn_173470731.jpg],3[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],4[notredame/mikefitzsimon_1897388113.jpg],4[notredame/matthewblank_307219168.jpg],4[notredame/cfuga_1435610228.jpg],3[notredame/shadowgate_240369654.jpg],3[notredame/aprillynn77_2186028637.jpg],3[notredame/poeloq_986704862.jpg],3[notredame/skuds_2493453898.jpg],3[notredame/aoifecahill_379218930.jpg],3[notredame/cfuga_1435597650.jpg],3[notredame/8250661@N08_514024275.jpg],3[notredame/kafeole_421357234.jpg],3[notredame/luxtonnerre_2216740946.jpg],3[notredame/unorthodoxy_2308962348.jpg],4[notredame/wseltzer_2603738285.jpg],3[notredame/omaromar_11726909.jpg],2[notredame/pftqg_566078930.jpg],3[notredame/mpd01605_2537567160.jpg],3[notredame/81596301@N00_248197965.jpg],3[notredame/mpd01605_2534315485.jpg],3[notredame/lamoney_403875127.jpg],3[notredame/gcourbis_404775158.jpg],3[notredame/jfuentejr_225878157.jpg],4[notredame/gcourbis_406364537.jpg],3[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",34YB12FSQYPW2XK5XJAU60Z1RMSMG8,A39BR7NYRDWC01,Approved,"Wed Apr 27 09:43:30 PDT 2016","Wed Apr 27 09:44:48 PDT 2016",5[notredame/thraxil_169768208.jpg],4[notredame/mc_sensei_1372190729.jpg],5[notredame/jjvaca_2421680678.jpg],4[notredame/haydn_173470731.jpg],4[notredame/hdaniel_229264675.jpg],5[notredame/borkurdotnet_2285670951.jpg],5[notredame/mikefitzsimon_1897388113.jpg],5[notredame/matthewblank_307219168.jpg],4[notredame/cfuga_1435610228.jpg],5[notredame/shadowgate_240369654.jpg],5[notredame/aprillynn77_2186028637.jpg],5[notredame/poeloq_986704862.jpg],5[notredame/skuds_2493453898.jpg],4[notredame/aoifecahill_379218930.jpg],4[notredame/cfuga_1435597650.jpg],4[notredame/8250661@N08_514024275.jpg],5[notredame/kafeole_421357234.jpg],5[notredame/luxtonnerre_2216740946.jpg],4[notredame/unorthodoxy_2308962348.jpg],5[notredame/wseltzer_2603738285.jpg],5[notredame/omaromar_11726909.jpg],5[notredame/pftqg_566078930.jpg],4[notredame/mpd01605_2537567160.jpg],5[notredame/81596301@N00_248197965.jpg],5[notredame/mpd01605_2534315485.jpg],4[notredame/lamoney_403875127.jpg],4[notredame/gcourbis_404775158.jpg],3[notredame/jfuentejr_225878157.jpg],4[notredame/gcourbis_406364537.jpg],5[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3Y4W8Q93LZLCG04N9LADNBFH5P3DVP,AEMAUIVLD8GLY,Approved,"Wed Apr 27 18:30:11 PDT 2016","Wed Apr 27 18:34:21 PDT 2016",2[notredame/thraxil_169768208.jpg],1[notredame/mc_sensei_1372190729.jpg],1[notredame/jjvaca_2421680678.jpg],3[notredame/haydn_173470731.jpg],1[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],2[notredame/mikefitzsimon_1897388113.jpg],2[notredame/matthewblank_307219168.jpg],4[notredame/cfuga_1435610228.jpg],4[notredame/shadowgate_240369654.jpg],4[notredame/aprillynn77_2186028637.jpg],2[notredame/poeloq_986704862.jpg],3[notredame/skuds_2493453898.jpg],1[notredame/aoifecahill_379218930.jpg],3[notredame/cfuga_1435597650.jpg],3[notredame/8250661@N08_514024275.jpg],2[notredame/kafeole_421357234.jpg],3[notredame/luxtonnerre_2216740946.jpg],2[notredame/unorthodoxy_2308962348.jpg],3[notredame/wseltzer_2603738285.jpg],3[notredame/omaromar_11726909.jpg],2[notredame/pftqg_566078930.jpg],2[notredame/mpd01605_2537567160.jpg],3[notredame/81596301@N00_248197965.jpg],3[notredame/mpd01605_2534315485.jpg],1[notredame/lamoney_403875127.jpg],4[notredame/gcourbis_404775158.jpg],1[notredame/jfuentejr_225878157.jpg],4[notredame/gcourbis_406364537.jpg],3[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3BGYGHDBBXLGGZ85OM6LPNR2B0022C,A2B0QV4J4UQFI2,Approved,"Wed Apr 27 22:54:54 PDT 2016","Wed Apr 27 22:56:39 PDT 2016",3[notredame/thraxil_169768208.jpg],2[notredame/mc_sensei_1372190729.jpg],4[notredame/jjvaca_2421680678.jpg],4[notredame/haydn_173470731.jpg],2[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],4[notredame/mikefitzsimon_1897388113.jpg],3[notredame/matthewblank_307219168.jpg],4[notredame/cfuga_1435610228.jpg],4[notredame/shadowgate_240369654.jpg],4[notredame/aprillynn77_2186028637.jpg],4[notredame/poeloq_986704862.jpg],2[notredame/skuds_2493453898.jpg],3[notredame/aoifecahill_379218930.jpg],2[notredame/cfuga_1435597650.jpg],3[notredame/8250661@N08_514024275.jpg],2[notredame/kafeole_421357234.jpg],3[notredame/luxtonnerre_2216740946.jpg],1[notredame/unorthodoxy_2308962348.jpg],1[notredame/wseltzer_2603738285.jpg],3[notredame/omaromar_11726909.jpg],3[notredame/pftqg_566078930.jpg],4[notredame/mpd01605_2537567160.jpg],4[notredame/81596301@N00_248197965.jpg],3[notredame/mpd01605_2534315485.jpg],2[notredame/lamoney_403875127.jpg],4[notredame/gcourbis_404775158.jpg],2[notredame/jfuentejr_225878157.jpg],4[notredame/gcourbis_406364537.jpg],3[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3BV8HQ2ZZW2T33MAO3B3LIRC3TY6A8,ASY5AZCZEM04L,Approved,"Thu Apr 28 01:05:40 PDT 2016","Thu Apr 28 01:06:06 PDT 2016",5[notredame/thraxil_169768208.jpg],5[notredame/mc_sensei_1372190729.jpg],5[notredame/jjvaca_2421680678.jpg],5[notredame/haydn_173470731.jpg],5[notredame/hdaniel_229264675.jpg],5[notredame/borkurdotnet_2285670951.jpg],5[notredame/mikefitzsimon_1897388113.jpg],5[notredame/matthewblank_307219168.jpg],5[notredame/cfuga_1435610228.jpg],5[notredame/shadowgate_240369654.jpg],5[notredame/aprillynn77_2186028637.jpg],5[notredame/poeloq_986704862.jpg],5[notredame/skuds_2493453898.jpg],5[notredame/aoifecahill_379218930.jpg],5[notredame/cfuga_1435597650.jpg],5[notredame/8250661@N08_514024275.jpg],5[notredame/kafeole_421357234.jpg],5[notredame/luxtonnerre_2216740946.jpg],5[notredame/unorthodoxy_2308962348.jpg],5[notredame/wseltzer_2603738285.jpg],5[notredame/omaromar_11726909.jpg],5[notredame/pftqg_566078930.jpg],5[notredame/mpd01605_2537567160.jpg],5[notredame/81596301@N00_248197965.jpg],5[notredame/mpd01605_2534315485.jpg],5[notredame/lamoney_403875127.jpg],5[notredame/gcourbis_404775158.jpg],5[notredame/jfuentejr_225878157.jpg],5[notredame/gcourbis_406364537.jpg],5[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3YOH7BII098KU6AX12W0ROA7PYKKVT,AE366CJX2U73M,Approved,"Thu Apr 28 02:14:17 PDT 2016","Thu Apr 28 02:15:31 PDT 2016",3[notredame/thraxil_169768208.jpg],1[notredame/mc_sensei_1372190729.jpg],1[notredame/jjvaca_2421680678.jpg],2[notredame/haydn_173470731.jpg],2[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],3[notredame/mikefitzsimon_1897388113.jpg],3[notredame/matthewblank_307219168.jpg],4[notredame/cfuga_1435610228.jpg],3[notredame/shadowgate_240369654.jpg],5[notredame/aprillynn77_2186028637.jpg],5[notredame/poeloq_986704862.jpg],5[notredame/skuds_2493453898.jpg],3[notredame/aoifecahill_379218930.jpg],1[notredame/cfuga_1435597650.jpg],3[notredame/8250661@N08_514024275.jpg],1[notredame/kafeole_421357234.jpg],1[notredame/luxtonnerre_2216740946.jpg],1[notredame/unorthodoxy_2308962348.jpg],1[notredame/wseltzer_2603738285.jpg],1[notredame/omaromar_11726909.jpg],1[notredame/pftqg_566078930.jpg],2[notredame/mpd01605_2537567160.jpg],3[notredame/81596301@N00_248197965.jpg],4[notredame/mpd01605_2534315485.jpg],1[notredame/lamoney_403875127.jpg],2[notredame/gcourbis_404775158.jpg],3[notredame/jfuentejr_225878157.jpg],2[notredame/gcourbis_406364537.jpg],3[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3KIBXJ1WD5VP4M100QAMWWGZT5NKOR,A1NT7JR0M2L0OU,Approved,"Thu Apr 28 02:08:54 PDT 2016","Thu Apr 28 02:19:43 PDT 2016",3[notredame/thraxil_169768208.jpg],2[notredame/mc_sensei_1372190729.jpg],1[notredame/jjvaca_2421680678.jpg],3[notredame/haydn_173470731.jpg],1[notredame/hdaniel_229264675.jpg],3[notredame/borkurdotnet_2285670951.jpg],3[notredame/mikefitzsimon_1897388113.jpg],2[notredame/matthewblank_307219168.jpg],3[notredame/cfuga_1435610228.jpg],3[notredame/shadowgate_240369654.jpg],4[notredame/aprillynn77_2186028637.jpg],4[notredame/poeloq_986704862.jpg],4[notredame/skuds_2493453898.jpg],4[notredame/aoifecahill_379218930.jpg],4[notredame/cfuga_1435597650.jpg],4[notredame/8250661@N08_514024275.jpg],2[notredame/kafeole_421357234.jpg],4[notredame/luxtonnerre_2216740946.jpg],2[notredame/unorthodoxy_2308962348.jpg],2[notredame/wseltzer_2603738285.jpg],1[notredame/omaromar_11726909.jpg],4[notredame/pftqg_566078930.jpg],3[notredame/mpd01605_2537567160.jpg],5[notredame/81596301@N00_248197965.jpg],5[notredame/mpd01605_2534315485.jpg],1[notredame/lamoney_403875127.jpg],3[notredame/gcourbis_404775158.jpg],1[notredame/jfuentejr_225878157.jpg],4[notredame/gcourbis_406364537.jpg],5[notredame/hotels-paris-rive-gauche_272242133.jpg],
3XDSWAMB22T7JG4YXOGR9Y29S5RCQA,"notredame_60-89","sample#command",3CTOC39K37RN8W3J1JT8KVURORE7JQ,A2FA4YYFWJMRV4,Approved,"Thu Apr 28 02:54:05 PDT 2016","Thu Apr 28 03:07:54 PDT 2016",4[notredame/thraxil_169768208.jpg],5[notredame/mc_sensei_1372190729.jpg],4[notredame/jjvaca_2421680678.jpg],5[notredame/haydn_173470731.jpg],4[notredame/hdaniel_229264675.jpg],4[notredame/borkurdotnet_2285670951.jpg],4[notredame/mikefitzsimon_1897388113.jpg],4[notredame/matthewblank_307219168.jpg],5[notredame/cfuga_1435610228.jpg],4[notredame/shadowgate_240369654.jpg],5[notredame/aprillynn77_2186028637.jpg],5[notredame/poeloq_986704862.jpg],4[notredame/skuds_2493453898.jpg],4[notredame/aoifecahill_379218930.jpg],4[notredame/cfuga_1435597650.jpg],4[notredame/8250661@N08_514024275.jpg],4[notredame/kafeole_421357234.jpg],5[notredame/luxtonnerre_2216740946.jpg],3[notredame/unorthodoxy_2308962348.jpg],4[notredame/wseltzer_2603738285.jpg],5[notredame/omaromar_11726909.jpg],4[notredame/pftqg_566078930.jpg],5[notredame/mpd01605_2537567160.jpg],4[notredame/81596301@N00_248197965.jpg],4[notredame/mpd01605_2534315485.jpg],4[notredame/lamoney_403875127.jpg],4[notredame/gcourbis_404775158.jpg],4[notredame/jfuentejr_225878157.jpg],5[notredame/gcourbis_406364537.jpg],5[notredame/hotels-paris-rive-gauche_272242133.jpg],
