HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",374TNBHA8CLKVP5D48LIQQPS00AYQJ,A17LIM50IMQN7Y,Approved,"Mon Sep 12 07:07:45 PDT 2016","Mon Sep 12 07:10:26 PDT 2016",2[potalaPalace_00000144.jpg],2[potalaPalace_00000610.jpg],3[potalaPalace_00000064.jpg],3[potalaPalace_00000060.jpg],5[potalaPalace_00000549.jpg],4[potalaPalace_00000611.jpg],5[potalaPalace_00000079.jpg],4[potalaPalace_00000554.jpg],5[potalaPalace_00000009.jpg],3[potalaPalace_00000081.jpg],4[potalaPalace_00000073.jpg],5[potalaPalace_00000008.jpg],1[potalaPalace_00000010.jpg],2[potalaPalace_00000024.jpg],1[potalaPalace_00000128.jpg],4[potalaPalace_00000262.jpg],4[potalaPalace_00000102.jpg],3[potalaPalace_00000068.jpg],3[potalaPalace_00000090.jpg],3[potalaPalace_00000007.jpg],2[potalaPalace_00000023.jpg],1[potalaPalace_00000137.jpg],1[potalaPalace_00000066.jpg],4[potalaPalace_00000026.jpg],1[potalaPalace_00000037.jpg],3[potalaPalace_00000076.jpg],1[potalaPalace_00000027.jpg],2[potalaPalace_00000187.jpg],2[potalaPalace_00000531.jpg],3[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",3VAR3R6G1QR2V71FCRVK286QSKQ8O8,A5TRMHQFUSHQ6,Approved,"Mon Sep 12 07:13:03 PDT 2016","Mon Sep 12 07:14:47 PDT 2016",3[potalaPalace_00000144.jpg],4[potalaPalace_00000610.jpg],5[potalaPalace_00000064.jpg],5[potalaPalace_00000060.jpg],4[potalaPalace_00000549.jpg],3[potalaPalace_00000611.jpg],4[potalaPalace_00000079.jpg],3[potalaPalace_00000554.jpg],5[potalaPalace_00000009.jpg],5[potalaPalace_00000081.jpg],4[potalaPalace_00000073.jpg],5[potalaPalace_00000008.jpg],5[potalaPalace_00000010.jpg],4[potalaPalace_00000024.jpg],2[potalaPalace_00000128.jpg],5[potalaPalace_00000262.jpg],5[potalaPalace_00000102.jpg],5[potalaPalace_00000068.jpg],5[potalaPalace_00000090.jpg],4[potalaPalace_00000007.jpg],4[potalaPalace_00000023.jpg],4[potalaPalace_00000137.jpg],4[potalaPalace_00000066.jpg],4[potalaPalace_00000026.jpg],5[potalaPalace_00000037.jpg],5[potalaPalace_00000076.jpg],2[potalaPalace_00000027.jpg],3[potalaPalace_00000187.jpg],2[potalaPalace_00000531.jpg],5[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",3CP1TO84PUR51IT8RVQKJBTWPPT52X,A3UJ4FON8G2EPK,Approved,"Mon Sep 12 07:10:54 PDT 2016","Mon Sep 12 07:14:55 PDT 2016",1[potalaPalace_00000144.jpg],1[potalaPalace_00000610.jpg],5[potalaPalace_00000064.jpg],2[potalaPalace_00000060.jpg],3[potalaPalace_00000549.jpg],1[potalaPalace_00000611.jpg],4[potalaPalace_00000079.jpg],1[potalaPalace_00000554.jpg],2[potalaPalace_00000009.jpg],4[potalaPalace_00000081.jpg],5[potalaPalace_00000073.jpg],2[potalaPalace_00000008.jpg],2[potalaPalace_00000010.jpg],4[potalaPalace_00000024.jpg],1[potalaPalace_00000128.jpg],4[potalaPalace_00000262.jpg],2[potalaPalace_00000102.jpg],2[potalaPalace_00000068.jpg],3[potalaPalace_00000090.jpg],2[potalaPalace_00000007.jpg],3[potalaPalace_00000023.jpg],2[potalaPalace_00000137.jpg],1[potalaPalace_00000066.jpg],4[potalaPalace_00000026.jpg],4[potalaPalace_00000037.jpg],2[potalaPalace_00000076.jpg],4[potalaPalace_00000027.jpg],3[potalaPalace_00000187.jpg],1[potalaPalace_00000531.jpg],1[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",3VHP9MDGROAA1XEZU0SZH0TVQALFC0,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 07:31:54 PDT 2016","Mon Sep 12 07:33:56 PDT 2016",3[potalaPalace_00000144.jpg],4[potalaPalace_00000610.jpg],3[potalaPalace_00000064.jpg],4[potalaPalace_00000060.jpg],5[potalaPalace_00000549.jpg],2[potalaPalace_00000611.jpg],3[potalaPalace_00000079.jpg],2[potalaPalace_00000554.jpg],2[potalaPalace_00000009.jpg],3[potalaPalace_00000081.jpg],3[potalaPalace_00000073.jpg],3[potalaPalace_00000008.jpg],2[potalaPalace_00000010.jpg],2[potalaPalace_00000024.jpg],5[potalaPalace_00000128.jpg],4[potalaPalace_00000262.jpg],5[potalaPalace_00000102.jpg],4[potalaPalace_00000068.jpg],5[potalaPalace_00000090.jpg],3[potalaPalace_00000007.jpg],3[potalaPalace_00000023.jpg],3[potalaPalace_00000137.jpg],3[potalaPalace_00000066.jpg],5[potalaPalace_00000026.jpg],1[potalaPalace_00000037.jpg],2[potalaPalace_00000076.jpg],1[potalaPalace_00000027.jpg],3[potalaPalace_00000187.jpg],1[potalaPalace_00000531.jpg],4[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",3570Y55XZQ9TI0BZ1CG6WCLQUD4GY9,A21QO39XLG47J6,Approved,"Mon Sep 12 07:41:57 PDT 2016","Mon Sep 12 07:44:09 PDT 2016",2[potalaPalace_00000144.jpg],2[potalaPalace_00000610.jpg],3[potalaPalace_00000064.jpg],4[potalaPalace_00000060.jpg],3[potalaPalace_00000549.jpg],4[potalaPalace_00000611.jpg],3[potalaPalace_00000079.jpg],3[potalaPalace_00000554.jpg],3[potalaPalace_00000009.jpg],3[potalaPalace_00000081.jpg],3[potalaPalace_00000073.jpg],3[potalaPalace_00000008.jpg],3[potalaPalace_00000010.jpg],3[potalaPalace_00000024.jpg],2[potalaPalace_00000128.jpg],3[potalaPalace_00000262.jpg],2[potalaPalace_00000102.jpg],3[potalaPalace_00000068.jpg],3[potalaPalace_00000090.jpg],3[potalaPalace_00000007.jpg],3[potalaPalace_00000023.jpg],3[potalaPalace_00000137.jpg],3[potalaPalace_00000066.jpg],3[potalaPalace_00000026.jpg],3[potalaPalace_00000037.jpg],3[potalaPalace_00000076.jpg],3[potalaPalace_00000027.jpg],3[potalaPalace_00000187.jpg],3[potalaPalace_00000531.jpg],3[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",39DD6S19JQ1V3CPDR3S1AG9GNRTEZH,A29TKU1YFQ9GV9,Approved,"Mon Sep 12 07:42:53 PDT 2016","Mon Sep 12 07:45:28 PDT 2016",4[potalaPalace_00000144.jpg],3[potalaPalace_00000610.jpg],4[potalaPalace_00000064.jpg],2[potalaPalace_00000060.jpg],1[potalaPalace_00000549.jpg],1[potalaPalace_00000611.jpg],4[potalaPalace_00000079.jpg],3[potalaPalace_00000554.jpg],3[potalaPalace_00000009.jpg],4[potalaPalace_00000081.jpg],4[potalaPalace_00000073.jpg],4[potalaPalace_00000008.jpg],3[potalaPalace_00000010.jpg],4[potalaPalace_00000024.jpg],4[potalaPalace_00000128.jpg],4[potalaPalace_00000262.jpg],5[potalaPalace_00000102.jpg],4[potalaPalace_00000068.jpg],5[potalaPalace_00000090.jpg],4[potalaPalace_00000007.jpg],4[potalaPalace_00000023.jpg],3[potalaPalace_00000137.jpg],3[potalaPalace_00000066.jpg],5[potalaPalace_00000026.jpg],1[potalaPalace_00000037.jpg],3[potalaPalace_00000076.jpg],1[potalaPalace_00000027.jpg],3[potalaPalace_00000187.jpg],1[potalaPalace_00000531.jpg],4[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",32SCWG5HIIUXCTUSYCB17UFPWUYP6M,A39BR7NYRDWC01,Approved,"Mon Sep 12 07:44:14 PDT 2016","Mon Sep 12 07:47:44 PDT 2016",4[potalaPalace_00000144.jpg],5[potalaPalace_00000610.jpg],5[potalaPalace_00000064.jpg],5[potalaPalace_00000060.jpg],5[potalaPalace_00000549.jpg],4[potalaPalace_00000611.jpg],5[potalaPalace_00000079.jpg],5[potalaPalace_00000554.jpg],5[potalaPalace_00000009.jpg],5[potalaPalace_00000081.jpg],5[potalaPalace_00000073.jpg],5[potalaPalace_00000008.jpg],5[potalaPalace_00000010.jpg],5[potalaPalace_00000024.jpg],5[potalaPalace_00000128.jpg],5[potalaPalace_00000262.jpg],4[potalaPalace_00000102.jpg],5[potalaPalace_00000068.jpg],4[potalaPalace_00000090.jpg],5[potalaPalace_00000007.jpg],4[potalaPalace_00000023.jpg],5[potalaPalace_00000137.jpg],4[potalaPalace_00000066.jpg],5[potalaPalace_00000026.jpg],4[potalaPalace_00000037.jpg],5[potalaPalace_00000076.jpg],3[potalaPalace_00000027.jpg],5[potalaPalace_00000187.jpg],3[potalaPalace_00000531.jpg],5[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",3TK8OJTYM2BIRJ9TZKJ9JMVODNPPVD,A1C36IQ6BS0WCH,Approved,"Mon Sep 12 07:46:09 PDT 2016","Mon Sep 12 07:49:25 PDT 2016",4[potalaPalace_00000144.jpg],5[potalaPalace_00000610.jpg],4[potalaPalace_00000064.jpg],5[potalaPalace_00000060.jpg],4[potalaPalace_00000549.jpg],3[potalaPalace_00000611.jpg],3[potalaPalace_00000079.jpg],4[potalaPalace_00000554.jpg],4[potalaPalace_00000009.jpg],4[potalaPalace_00000081.jpg],3[potalaPalace_00000073.jpg],3[potalaPalace_00000008.jpg],3[potalaPalace_00000010.jpg],3[potalaPalace_00000024.jpg],4[potalaPalace_00000128.jpg],3[potalaPalace_00000262.jpg],5[potalaPalace_00000102.jpg],4[potalaPalace_00000068.jpg],2[potalaPalace_00000090.jpg],3[potalaPalace_00000007.jpg],3[potalaPalace_00000023.jpg],3[potalaPalace_00000137.jpg],4[potalaPalace_00000066.jpg],3[potalaPalace_00000026.jpg],1[potalaPalace_00000037.jpg],4[potalaPalace_00000076.jpg],2[potalaPalace_00000027.jpg],3[potalaPalace_00000187.jpg],5[potalaPalace_00000531.jpg],5[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",3U0SRXB7CEVQVRGZAL17E01QS2CRNR,ACN8N7V5QNSSS,Approved,"Mon Sep 12 07:55:52 PDT 2016","Mon Sep 12 07:57:48 PDT 2016",4[potalaPalace_00000144.jpg],4[potalaPalace_00000610.jpg],4[potalaPalace_00000064.jpg],4[potalaPalace_00000060.jpg],5[potalaPalace_00000549.jpg],5[potalaPalace_00000611.jpg],4[potalaPalace_00000079.jpg],4[potalaPalace_00000554.jpg],5[potalaPalace_00000009.jpg],5[potalaPalace_00000081.jpg],5[potalaPalace_00000073.jpg],5[potalaPalace_00000008.jpg],5[potalaPalace_00000010.jpg],4[potalaPalace_00000024.jpg],4[potalaPalace_00000128.jpg],4[potalaPalace_00000262.jpg],5[potalaPalace_00000102.jpg],5[potalaPalace_00000068.jpg],5[potalaPalace_00000090.jpg],5[potalaPalace_00000007.jpg],4[potalaPalace_00000023.jpg],4[potalaPalace_00000137.jpg],5[potalaPalace_00000066.jpg],5[potalaPalace_00000026.jpg],4[potalaPalace_00000037.jpg],5[potalaPalace_00000076.jpg],5[potalaPalace_00000027.jpg],5[potalaPalace_00000187.jpg],4[potalaPalace_00000531.jpg],4[potalaPalace_00000623.jpg],
31J7RYECZLGAS2G4AB1C6XK4ISE1LT,"potalaPalace_0-29","sample#command",33JKGHPFYDKZYB375D5QS17GMFEMNZ,A1CO7S8BZUQROB,Approved,"Mon Sep 12 08:05:08 PDT 2016","Mon Sep 12 08:07:30 PDT 2016",2[potalaPalace_00000144.jpg],3[potalaPalace_00000610.jpg],1[potalaPalace_00000064.jpg],3[potalaPalace_00000060.jpg],2[potalaPalace_00000549.jpg],1[potalaPalace_00000611.jpg],3[potalaPalace_00000079.jpg],1[potalaPalace_00000554.jpg],2[potalaPalace_00000009.jpg],2[potalaPalace_00000081.jpg],1[potalaPalace_00000073.jpg],1[potalaPalace_00000008.jpg],1[potalaPalace_00000010.jpg],1[potalaPalace_00000024.jpg],2[potalaPalace_00000128.jpg],1[potalaPalace_00000262.jpg],1[potalaPalace_00000102.jpg],2[potalaPalace_00000068.jpg],2[potalaPalace_00000090.jpg],1[potalaPalace_00000007.jpg],2[potalaPalace_00000023.jpg],1[potalaPalace_00000137.jpg],1[potalaPalace_00000066.jpg],3[potalaPalace_00000026.jpg],1[potalaPalace_00000037.jpg],1[potalaPalace_00000076.jpg],1[potalaPalace_00000027.jpg],1[potalaPalace_00000187.jpg],1[potalaPalace_00000531.jpg],2[potalaPalace_00000623.jpg],
