HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",32M8BPYGAUC7S0WUXUU3AOR24VCGIB,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:41:00 PDT 2016","Mon Sep 12 08:49:46 PDT 2016",2[potalaPalace_00000458.jpg],2[potalaPalace_00000361.jpg],1[potalaPalace_00000580.jpg],1[potalaPalace_00000357.jpg],1[potalaPalace_00000454.jpg],2[potalaPalace_00000362.jpg],1[potalaPalace_00000459.jpg],3[potalaPalace_00000537.jpg],4[potalaPalace_00000203.jpg],3[potalaPalace_00000599.jpg],2[potalaPalace_00000504.jpg],2[potalaPalace_00000489.jpg],2[potalaPalace_00000480.jpg],3[potalaPalace_00000139.jpg],2[potalaPalace_00000539.jpg],1[potalaPalace_00000479.jpg],1[potalaPalace_00000618.jpg],3[potalaPalace_00000360.jpg],2[potalaPalace_00000314.jpg],2[potalaPalace_00000490.jpg],3[potalaPalace_00000643.jpg],2[potalaPalace_00000324.jpg],3[potalaPalace_00000364.jpg],3[potalaPalace_00000369.jpg],2[potalaPalace_00000356.jpg],2[potalaPalace_00000186.jpg],1[potalaPalace_00000250.jpg],2[potalaPalace_00000626.jpg],1[potalaPalace_00000251.jpg],2[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3Z7ISHFUH1LEUBFME061I6DUCP28ZL,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:51:33 PDT 2016","Mon Sep 12 08:53:49 PDT 2016",4[potalaPalace_00000458.jpg],3[potalaPalace_00000361.jpg],3[potalaPalace_00000580.jpg],3[potalaPalace_00000357.jpg],3[potalaPalace_00000454.jpg],3[potalaPalace_00000362.jpg],3[potalaPalace_00000459.jpg],3[potalaPalace_00000537.jpg],3[potalaPalace_00000203.jpg],3[potalaPalace_00000599.jpg],2[potalaPalace_00000504.jpg],4[potalaPalace_00000489.jpg],3[potalaPalace_00000480.jpg],4[potalaPalace_00000139.jpg],2[potalaPalace_00000539.jpg],1[potalaPalace_00000479.jpg],2[potalaPalace_00000618.jpg],3[potalaPalace_00000360.jpg],3[potalaPalace_00000314.jpg],4[potalaPalace_00000490.jpg],3[potalaPalace_00000643.jpg],3[potalaPalace_00000324.jpg],3[potalaPalace_00000364.jpg],3[potalaPalace_00000369.jpg],3[potalaPalace_00000356.jpg],2[potalaPalace_00000186.jpg],3[potalaPalace_00000250.jpg],3[potalaPalace_00000626.jpg],2[potalaPalace_00000251.jpg],4[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3Y9N9SS8LZ1PQD4KA1M80XMG8L1D30,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:57:48 PDT 2016","Mon Sep 12 08:59:22 PDT 2016",4[potalaPalace_00000458.jpg],2[potalaPalace_00000361.jpg],3[potalaPalace_00000580.jpg],4[potalaPalace_00000357.jpg],3[potalaPalace_00000454.jpg],3[potalaPalace_00000362.jpg],3[potalaPalace_00000459.jpg],3[potalaPalace_00000537.jpg],4[potalaPalace_00000203.jpg],4[potalaPalace_00000599.jpg],3[potalaPalace_00000504.jpg],4[potalaPalace_00000489.jpg],3[potalaPalace_00000480.jpg],4[potalaPalace_00000139.jpg],3[potalaPalace_00000539.jpg],1[potalaPalace_00000479.jpg],2[potalaPalace_00000618.jpg],2[potalaPalace_00000360.jpg],2[potalaPalace_00000314.jpg],3[potalaPalace_00000490.jpg],2[potalaPalace_00000643.jpg],2[potalaPalace_00000324.jpg],4[potalaPalace_00000364.jpg],2[potalaPalace_00000369.jpg],2[potalaPalace_00000356.jpg],4[potalaPalace_00000186.jpg],4[potalaPalace_00000250.jpg],3[potalaPalace_00000626.jpg],3[potalaPalace_00000251.jpg],3[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",36NEMU28XG3PL5CLXEWDOKK7FSTMW3,A2WLTDIILI4K16,Approved,"Mon Sep 12 09:29:06 PDT 2016","Mon Sep 12 09:34:11 PDT 2016",4[potalaPalace_00000458.jpg],4[potalaPalace_00000361.jpg],4[potalaPalace_00000580.jpg],5[potalaPalace_00000357.jpg],4[potalaPalace_00000454.jpg],4[potalaPalace_00000362.jpg],5[potalaPalace_00000459.jpg],5[potalaPalace_00000537.jpg],5[potalaPalace_00000203.jpg],5[potalaPalace_00000599.jpg],3[potalaPalace_00000504.jpg],2[potalaPalace_00000489.jpg],3[potalaPalace_00000480.jpg],5[potalaPalace_00000139.jpg],2[potalaPalace_00000539.jpg],4[potalaPalace_00000479.jpg],4[potalaPalace_00000618.jpg],4[potalaPalace_00000360.jpg],3[potalaPalace_00000314.jpg],3[potalaPalace_00000490.jpg],4[potalaPalace_00000643.jpg],4[potalaPalace_00000324.jpg],4[potalaPalace_00000364.jpg],4[potalaPalace_00000369.jpg],4[potalaPalace_00000356.jpg],4[potalaPalace_00000186.jpg],4[potalaPalace_00000250.jpg],4[potalaPalace_00000626.jpg],3[potalaPalace_00000251.jpg],5[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3KKG4CDWKJOY5JA7YZMPO6VWV0R949,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:40:22 PDT 2016","Mon Sep 12 09:41:34 PDT 2016",5[potalaPalace_00000458.jpg],5[potalaPalace_00000361.jpg],5[potalaPalace_00000580.jpg],5[potalaPalace_00000357.jpg],5[potalaPalace_00000454.jpg],5[potalaPalace_00000362.jpg],5[potalaPalace_00000459.jpg],5[potalaPalace_00000537.jpg],5[potalaPalace_00000203.jpg],5[potalaPalace_00000599.jpg],5[potalaPalace_00000504.jpg],5[potalaPalace_00000489.jpg],5[potalaPalace_00000480.jpg],5[potalaPalace_00000139.jpg],5[potalaPalace_00000539.jpg],5[potalaPalace_00000479.jpg],5[potalaPalace_00000618.jpg],5[potalaPalace_00000360.jpg],5[potalaPalace_00000314.jpg],5[potalaPalace_00000490.jpg],5[potalaPalace_00000643.jpg],5[potalaPalace_00000324.jpg],5[potalaPalace_00000364.jpg],5[potalaPalace_00000369.jpg],5[potalaPalace_00000356.jpg],5[potalaPalace_00000186.jpg],5[potalaPalace_00000250.jpg],5[potalaPalace_00000626.jpg],5[potalaPalace_00000251.jpg],5[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3RRCEFRB7N2HTCP4WJ0LFCQMJ0YB4P,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:50:51 PDT 2016","Mon Sep 12 09:52:57 PDT 2016",5[potalaPalace_00000458.jpg],5[potalaPalace_00000361.jpg],5[potalaPalace_00000580.jpg],5[potalaPalace_00000357.jpg],5[potalaPalace_00000454.jpg],5[potalaPalace_00000362.jpg],5[potalaPalace_00000459.jpg],5[potalaPalace_00000537.jpg],5[potalaPalace_00000203.jpg],5[potalaPalace_00000599.jpg],5[potalaPalace_00000504.jpg],5[potalaPalace_00000489.jpg],5[potalaPalace_00000480.jpg],5[potalaPalace_00000139.jpg],5[potalaPalace_00000539.jpg],5[potalaPalace_00000479.jpg],5[potalaPalace_00000618.jpg],5[potalaPalace_00000360.jpg],5[potalaPalace_00000314.jpg],5[potalaPalace_00000490.jpg],5[potalaPalace_00000643.jpg],5[potalaPalace_00000324.jpg],5[potalaPalace_00000364.jpg],5[potalaPalace_00000369.jpg],5[potalaPalace_00000356.jpg],5[potalaPalace_00000186.jpg],5[potalaPalace_00000250.jpg],5[potalaPalace_00000626.jpg],5[potalaPalace_00000251.jpg],5[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3Z4XG4ZF49HPPGF7DIIGLLXJ4PM8X6,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:03:27 PDT 2016","Mon Sep 12 10:05:11 PDT 2016",2[potalaPalace_00000458.jpg],2[potalaPalace_00000361.jpg],2[potalaPalace_00000580.jpg],3[potalaPalace_00000357.jpg],3[potalaPalace_00000454.jpg],3[potalaPalace_00000362.jpg],2[potalaPalace_00000459.jpg],2[potalaPalace_00000537.jpg],2[potalaPalace_00000203.jpg],2[potalaPalace_00000599.jpg],3[potalaPalace_00000504.jpg],2[potalaPalace_00000489.jpg],2[potalaPalace_00000480.jpg],4[potalaPalace_00000139.jpg],2[potalaPalace_00000539.jpg],2[potalaPalace_00000479.jpg],2[potalaPalace_00000618.jpg],2[potalaPalace_00000360.jpg],1[potalaPalace_00000314.jpg],2[potalaPalace_00000490.jpg],2[potalaPalace_00000643.jpg],2[potalaPalace_00000324.jpg],2[potalaPalace_00000364.jpg],1[potalaPalace_00000369.jpg],3[potalaPalace_00000356.jpg],2[potalaPalace_00000186.jpg],4[potalaPalace_00000250.jpg],3[potalaPalace_00000626.jpg],2[potalaPalace_00000251.jpg],4[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3Z7ISHFUH1LEUBFME061I6DUCPK8Z3,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:03:34 PDT 2016","Mon Sep 12 10:06:24 PDT 2016",4[potalaPalace_00000458.jpg],3[potalaPalace_00000361.jpg],4[potalaPalace_00000580.jpg],3[potalaPalace_00000357.jpg],3[potalaPalace_00000454.jpg],4[potalaPalace_00000362.jpg],4[potalaPalace_00000459.jpg],4[potalaPalace_00000537.jpg],4[potalaPalace_00000203.jpg],3[potalaPalace_00000599.jpg],3[potalaPalace_00000504.jpg],4[potalaPalace_00000489.jpg],4[potalaPalace_00000480.jpg],4[potalaPalace_00000139.jpg],2[potalaPalace_00000539.jpg],3[potalaPalace_00000479.jpg],4[potalaPalace_00000618.jpg],4[potalaPalace_00000360.jpg],1[potalaPalace_00000314.jpg],4[potalaPalace_00000490.jpg],4[potalaPalace_00000643.jpg],2[potalaPalace_00000324.jpg],4[potalaPalace_00000364.jpg],4[potalaPalace_00000369.jpg],4[potalaPalace_00000356.jpg],4[potalaPalace_00000186.jpg],3[potalaPalace_00000250.jpg],3[potalaPalace_00000626.jpg],4[potalaPalace_00000251.jpg],4[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",3WJ1OXY92B6DT37E28Q21DML35VA8O,A3IFU0UN0CE37B,Approved,"Mon Sep 12 11:31:39 PDT 2016","Mon Sep 12 11:33:19 PDT 2016",3[potalaPalace_00000458.jpg],4[potalaPalace_00000361.jpg],4[potalaPalace_00000580.jpg],5[potalaPalace_00000357.jpg],5[potalaPalace_00000454.jpg],5[potalaPalace_00000362.jpg],5[potalaPalace_00000459.jpg],3[potalaPalace_00000537.jpg],2[potalaPalace_00000203.jpg],2[potalaPalace_00000599.jpg],1[potalaPalace_00000504.jpg],2[potalaPalace_00000489.jpg],2[potalaPalace_00000480.jpg],2[potalaPalace_00000139.jpg],2[potalaPalace_00000539.jpg],3[potalaPalace_00000479.jpg],3[potalaPalace_00000618.jpg],4[potalaPalace_00000360.jpg],4[potalaPalace_00000314.jpg],4[potalaPalace_00000490.jpg],4[potalaPalace_00000643.jpg],1[potalaPalace_00000324.jpg],4[potalaPalace_00000364.jpg],3[potalaPalace_00000369.jpg],5[potalaPalace_00000356.jpg],2[potalaPalace_00000186.jpg],2[potalaPalace_00000250.jpg],4[potalaPalace_00000626.jpg],2[potalaPalace_00000251.jpg],4[potalaPalace_00000275.jpg],
336OE47KI2A6P881L3S3MW8053QVW6,"potalaPalace_180-209","sample#command",326O153BMJOS0BKHZL34JOQDZB4DE6,A3HWRYYLLJYE4Z,Approved,"Mon Sep 12 13:33:36 PDT 2016","Mon Sep 12 13:35:23 PDT 2016",4[potalaPalace_00000458.jpg],4[potalaPalace_00000361.jpg],4[potalaPalace_00000580.jpg],4[potalaPalace_00000357.jpg],4[potalaPalace_00000454.jpg],4[potalaPalace_00000362.jpg],4[potalaPalace_00000459.jpg],4[potalaPalace_00000537.jpg],3[potalaPalace_00000203.jpg],5[potalaPalace_00000599.jpg],3[potalaPalace_00000504.jpg],4[potalaPalace_00000489.jpg],3[potalaPalace_00000480.jpg],3[potalaPalace_00000139.jpg],1[potalaPalace_00000539.jpg],3[potalaPalace_00000479.jpg],5[potalaPalace_00000618.jpg],4[potalaPalace_00000360.jpg],4[potalaPalace_00000314.jpg],4[potalaPalace_00000490.jpg],4[potalaPalace_00000643.jpg],3[potalaPalace_00000324.jpg],3[potalaPalace_00000364.jpg],4[potalaPalace_00000369.jpg],4[potalaPalace_00000356.jpg],4[potalaPalace_00000186.jpg],4[potalaPalace_00000250.jpg],5[potalaPalace_00000626.jpg],4[potalaPalace_00000251.jpg],5[potalaPalace_00000275.jpg],
