HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",30BXRYBRP5N3TRBA6HG0WFCBY5JWHR,A39BR7NYRDWC01,Approved,"Mon Sep 12 08:02:47 PDT 2016","Mon Sep 12 08:06:24 PDT 2016",5[potalaPalace_00000096.jpg],5[potalaPalace_00000118.jpg],4[potalaPalace_00000246.jpg],5[potalaPalace_00000055.jpg],4[potalaPalace_00000051.jpg],5[potalaPalace_00000059.jpg],4[potalaPalace_00000697.jpg],4[potalaPalace_00000046.jpg],4[potalaPalace_00000030.jpg],5[potalaPalace_00000028.jpg],5[potalaPalace_00000069.jpg],4[potalaPalace_00000029.jpg],5[potalaPalace_00000071.jpg],5[potalaPalace_00000640.jpg],4[potalaPalace_00000044.jpg],5[potalaPalace_00000070.jpg],4[potalaPalace_00000000.jpg],5[potalaPalace_00000045.jpg],5[potalaPalace_00000172.jpg],3[potalaPalace_00000669.jpg],5[potalaPalace_00000127.jpg],5[potalaPalace_00000348.jpg],4[potalaPalace_00000080.jpg],4[potalaPalace_00000584.jpg],5[potalaPalace_00000131.jpg],4[potalaPalace_00000049.jpg],5[potalaPalace_00000095.jpg],3[potalaPalace_00000047.jpg],5[potalaPalace_00000309.jpg],5[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",3570Y55XZQ9TI0BZ1CG6WCLQUD9YGW,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:40:48 PDT 2016","Mon Sep 12 08:42:35 PDT 2016",3[potalaPalace_00000096.jpg],2[potalaPalace_00000118.jpg],3[potalaPalace_00000246.jpg],2[potalaPalace_00000055.jpg],3[potalaPalace_00000051.jpg],1[potalaPalace_00000059.jpg],1[potalaPalace_00000697.jpg],2[potalaPalace_00000046.jpg],3[potalaPalace_00000030.jpg],2[potalaPalace_00000028.jpg],2[potalaPalace_00000069.jpg],2[potalaPalace_00000029.jpg],3[potalaPalace_00000071.jpg],1[potalaPalace_00000640.jpg],3[potalaPalace_00000044.jpg],2[potalaPalace_00000070.jpg],3[potalaPalace_00000000.jpg],3[potalaPalace_00000045.jpg],3[potalaPalace_00000172.jpg],1[potalaPalace_00000669.jpg],1[potalaPalace_00000127.jpg],2[potalaPalace_00000348.jpg],3[potalaPalace_00000080.jpg],1[potalaPalace_00000584.jpg],1[potalaPalace_00000131.jpg],2[potalaPalace_00000049.jpg],1[potalaPalace_00000095.jpg],3[potalaPalace_00000047.jpg],1[potalaPalace_00000309.jpg],1[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",379J5II41P6BYN89C21S21YI8JSLEE,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:54:02 PDT 2016","Mon Sep 12 08:56:57 PDT 2016",4[potalaPalace_00000096.jpg],3[potalaPalace_00000118.jpg],3[potalaPalace_00000246.jpg],2[potalaPalace_00000055.jpg],3[potalaPalace_00000051.jpg],2[potalaPalace_00000059.jpg],2[potalaPalace_00000697.jpg],3[potalaPalace_00000046.jpg],3[potalaPalace_00000030.jpg],3[potalaPalace_00000028.jpg],4[potalaPalace_00000069.jpg],3[potalaPalace_00000029.jpg],3[potalaPalace_00000071.jpg],1[potalaPalace_00000640.jpg],1[potalaPalace_00000044.jpg],3[potalaPalace_00000070.jpg],3[potalaPalace_00000000.jpg],2[potalaPalace_00000045.jpg],3[potalaPalace_00000172.jpg],2[potalaPalace_00000669.jpg],2[potalaPalace_00000127.jpg],2[potalaPalace_00000348.jpg],2[potalaPalace_00000080.jpg],1[potalaPalace_00000584.jpg],3[potalaPalace_00000131.jpg],2[potalaPalace_00000049.jpg],2[potalaPalace_00000095.jpg],3[potalaPalace_00000047.jpg],3[potalaPalace_00000309.jpg],3[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",3DI28L7YXB4Y8G45JSJ9IMP4ADPE13,AENDSV6FLIUQR,Approved,"Mon Sep 12 09:01:56 PDT 2016","Mon Sep 12 09:03:32 PDT 2016",4[potalaPalace_00000096.jpg],4[potalaPalace_00000118.jpg],4[potalaPalace_00000246.jpg],3[potalaPalace_00000055.jpg],3[potalaPalace_00000051.jpg],2[potalaPalace_00000059.jpg],2[potalaPalace_00000697.jpg],2[potalaPalace_00000046.jpg],2[potalaPalace_00000030.jpg],4[potalaPalace_00000028.jpg],3[potalaPalace_00000069.jpg],2[potalaPalace_00000029.jpg],2[potalaPalace_00000071.jpg],2[potalaPalace_00000640.jpg],2[potalaPalace_00000044.jpg],2[potalaPalace_00000070.jpg],4[potalaPalace_00000000.jpg],3[potalaPalace_00000045.jpg],3[potalaPalace_00000172.jpg],2[potalaPalace_00000669.jpg],3[potalaPalace_00000127.jpg],3[potalaPalace_00000348.jpg],1[potalaPalace_00000080.jpg],2[potalaPalace_00000584.jpg],2[potalaPalace_00000131.jpg],2[potalaPalace_00000049.jpg],3[potalaPalace_00000095.jpg],4[potalaPalace_00000047.jpg],4[potalaPalace_00000309.jpg],4[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",3C44YUNSI2FWX2978ZJFD0PHDHYDPH,A2WLTDIILI4K16,Approved,"Mon Sep 12 09:29:10 PDT 2016","Mon Sep 12 09:37:11 PDT 2016",3[potalaPalace_00000096.jpg],3[potalaPalace_00000118.jpg],3[potalaPalace_00000246.jpg],2[potalaPalace_00000055.jpg],2[potalaPalace_00000051.jpg],4[potalaPalace_00000059.jpg],2[potalaPalace_00000697.jpg],4[potalaPalace_00000046.jpg],4[potalaPalace_00000030.jpg],3[potalaPalace_00000028.jpg],4[potalaPalace_00000069.jpg],3[potalaPalace_00000029.jpg],4[potalaPalace_00000071.jpg],1[potalaPalace_00000640.jpg],3[potalaPalace_00000044.jpg],4[potalaPalace_00000070.jpg],4[potalaPalace_00000000.jpg],4[potalaPalace_00000045.jpg],4[potalaPalace_00000172.jpg],2[potalaPalace_00000669.jpg],1[potalaPalace_00000127.jpg],1[potalaPalace_00000348.jpg],3[potalaPalace_00000080.jpg],3[potalaPalace_00000584.jpg],3[potalaPalace_00000131.jpg],3[potalaPalace_00000049.jpg],3[potalaPalace_00000095.jpg],3[potalaPalace_00000047.jpg],2[potalaPalace_00000309.jpg],4[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",35DR22AR5EA3OJ9111NKU4P8O3O3X3,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:43:20 PDT 2016","Mon Sep 12 09:44:11 PDT 2016",5[potalaPalace_00000096.jpg],5[potalaPalace_00000118.jpg],5[potalaPalace_00000246.jpg],5[potalaPalace_00000055.jpg],5[potalaPalace_00000051.jpg],5[potalaPalace_00000059.jpg],5[potalaPalace_00000697.jpg],5[potalaPalace_00000046.jpg],5[potalaPalace_00000030.jpg],5[potalaPalace_00000028.jpg],5[potalaPalace_00000069.jpg],5[potalaPalace_00000029.jpg],5[potalaPalace_00000071.jpg],5[potalaPalace_00000640.jpg],5[potalaPalace_00000044.jpg],5[potalaPalace_00000070.jpg],5[potalaPalace_00000000.jpg],5[potalaPalace_00000045.jpg],5[potalaPalace_00000172.jpg],4[potalaPalace_00000669.jpg],5[potalaPalace_00000127.jpg],5[potalaPalace_00000348.jpg],5[potalaPalace_00000080.jpg],5[potalaPalace_00000584.jpg],5[potalaPalace_00000131.jpg],5[potalaPalace_00000049.jpg],5[potalaPalace_00000095.jpg],5[potalaPalace_00000047.jpg],5[potalaPalace_00000309.jpg],5[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",3ERET4BTVNZJJLZAJR95VNKSSMK9K2,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:46:43 PDT 2016","Mon Sep 12 09:48:00 PDT 2016",5[potalaPalace_00000096.jpg],5[potalaPalace_00000118.jpg],5[potalaPalace_00000246.jpg],5[potalaPalace_00000055.jpg],5[potalaPalace_00000051.jpg],5[potalaPalace_00000059.jpg],5[potalaPalace_00000697.jpg],5[potalaPalace_00000046.jpg],5[potalaPalace_00000030.jpg],5[potalaPalace_00000028.jpg],5[potalaPalace_00000069.jpg],5[potalaPalace_00000029.jpg],5[potalaPalace_00000071.jpg],5[potalaPalace_00000640.jpg],5[potalaPalace_00000044.jpg],5[potalaPalace_00000070.jpg],5[potalaPalace_00000000.jpg],5[potalaPalace_00000045.jpg],5[potalaPalace_00000172.jpg],5[potalaPalace_00000669.jpg],5[potalaPalace_00000127.jpg],5[potalaPalace_00000348.jpg],5[potalaPalace_00000080.jpg],5[potalaPalace_00000584.jpg],5[potalaPalace_00000131.jpg],5[potalaPalace_00000049.jpg],5[potalaPalace_00000095.jpg],5[potalaPalace_00000047.jpg],5[potalaPalace_00000309.jpg],5[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",3G2UL9A02E486NQS2QHK78O4W1D76K,A1HZWAX6XQXIM7,Approved,"Mon Sep 12 09:49:21 PDT 2016","Mon Sep 12 09:51:22 PDT 2016",4[potalaPalace_00000096.jpg],3[potalaPalace_00000118.jpg],5[potalaPalace_00000246.jpg],1[potalaPalace_00000055.jpg],3[potalaPalace_00000051.jpg],5[potalaPalace_00000059.jpg],1[potalaPalace_00000697.jpg],4[potalaPalace_00000046.jpg],4[potalaPalace_00000030.jpg],5[potalaPalace_00000028.jpg],5[potalaPalace_00000069.jpg],4[potalaPalace_00000029.jpg],5[potalaPalace_00000071.jpg],2[potalaPalace_00000640.jpg],5[potalaPalace_00000044.jpg],5[potalaPalace_00000070.jpg],5[potalaPalace_00000000.jpg],3[potalaPalace_00000045.jpg],4[potalaPalace_00000172.jpg],2[potalaPalace_00000669.jpg],3[potalaPalace_00000127.jpg],3[potalaPalace_00000348.jpg],5[potalaPalace_00000080.jpg],3[potalaPalace_00000584.jpg],4[potalaPalace_00000131.jpg],4[potalaPalace_00000049.jpg],4[potalaPalace_00000095.jpg],5[potalaPalace_00000047.jpg],5[potalaPalace_00000309.jpg],5[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",36WLNQG7800ZLEMXLPCYOY2DWP0BE3,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:25:29 PDT 2016","Mon Sep 12 10:27:16 PDT 2016",4[potalaPalace_00000096.jpg],4[potalaPalace_00000118.jpg],3[potalaPalace_00000246.jpg],4[potalaPalace_00000055.jpg],4[potalaPalace_00000051.jpg],4[potalaPalace_00000059.jpg],2[potalaPalace_00000697.jpg],4[potalaPalace_00000046.jpg],3[potalaPalace_00000030.jpg],3[potalaPalace_00000028.jpg],4[potalaPalace_00000069.jpg],4[potalaPalace_00000029.jpg],4[potalaPalace_00000071.jpg],4[potalaPalace_00000640.jpg],4[potalaPalace_00000044.jpg],4[potalaPalace_00000070.jpg],4[potalaPalace_00000000.jpg],4[potalaPalace_00000045.jpg],4[potalaPalace_00000172.jpg],3[potalaPalace_00000669.jpg],2[potalaPalace_00000127.jpg],3[potalaPalace_00000348.jpg],3[potalaPalace_00000080.jpg],3[potalaPalace_00000584.jpg],3[potalaPalace_00000131.jpg],4[potalaPalace_00000049.jpg],4[potalaPalace_00000095.jpg],4[potalaPalace_00000047.jpg],4[potalaPalace_00000309.jpg],4[potalaPalace_00000310.jpg],
341H3G5YF04UQ2CQTTOL07CSS9I0ZA,"potalaPalace_540-569","sample#command",34Q075JO1Y3ZHQPBBLKUXXN0GDO01E,A26W67Y40D5CY9,Approved,"Mon Sep 12 12:49:51 PDT 2016","Mon Sep 12 12:53:33 PDT 2016",2[potalaPalace_00000096.jpg],3[potalaPalace_00000118.jpg],3[potalaPalace_00000246.jpg],3[potalaPalace_00000055.jpg],4[potalaPalace_00000051.jpg],4[potalaPalace_00000059.jpg],2[potalaPalace_00000697.jpg],4[potalaPalace_00000046.jpg],4[potalaPalace_00000030.jpg],3[potalaPalace_00000028.jpg],4[potalaPalace_00000069.jpg],3[potalaPalace_00000029.jpg],4[potalaPalace_00000071.jpg],3[potalaPalace_00000640.jpg],3[potalaPalace_00000044.jpg],1[potalaPalace_00000070.jpg],1[potalaPalace_00000000.jpg],2[potalaPalace_00000045.jpg],2[potalaPalace_00000172.jpg],2[potalaPalace_00000669.jpg],3[potalaPalace_00000127.jpg],3[potalaPalace_00000348.jpg],1[potalaPalace_00000080.jpg],3[potalaPalace_00000584.jpg],4[potalaPalace_00000131.jpg],2[potalaPalace_00000049.jpg],2[potalaPalace_00000095.jpg],5[potalaPalace_00000047.jpg],2[potalaPalace_00000309.jpg],2[potalaPalace_00000310.jpg],
