HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3GD6L00D3TNWK4WI0Q7SVUUDJFDM1X,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:46:34 PDT 2016","Mon Sep 12 08:48:34 PDT 2016",4[potalaPalace_00000308.jpg],4[potalaPalace_00000263.jpg],4[potalaPalace_00000633.jpg],3[potalaPalace_00000205.jpg],5[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],4[potalaPalace_00000523.jpg],3[potalaPalace_00000193.jpg],4[potalaPalace_00000288.jpg],3[potalaPalace_00000353.jpg],5[potalaPalace_00000157.jpg],3[potalaPalace_00000272.jpg],3[potalaPalace_00000168.jpg],5[potalaPalace_00000545.jpg],2[potalaPalace_00000196.jpg],2[potalaPalace_00000147.jpg],3[potalaPalace_00000271.jpg],4[potalaPalace_00000303.jpg],5[potalaPalace_00000542.jpg],2[potalaPalace_00000285.jpg],4[potalaPalace_00000663.jpg],2[potalaPalace_00000287.jpg],3[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],2[potalaPalace_00000270.jpg],4[potalaPalace_00000525.jpg],2[potalaPalace_00000292.jpg],4[potalaPalace_00000298.jpg],3[potalaPalace_00000524.jpg],4[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3XCC1ODXDM1BYOTRQDTOIUWVXE4RQL,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:47:00 PDT 2016","Mon Sep 12 08:55:43 PDT 2016",1[potalaPalace_00000308.jpg],2[potalaPalace_00000263.jpg],1[potalaPalace_00000633.jpg],2[potalaPalace_00000205.jpg],3[potalaPalace_00000699.jpg],4[potalaPalace_00000631.jpg],3[potalaPalace_00000523.jpg],4[potalaPalace_00000193.jpg],4[potalaPalace_00000288.jpg],3[potalaPalace_00000353.jpg],2[potalaPalace_00000157.jpg],2[potalaPalace_00000272.jpg],2[potalaPalace_00000168.jpg],3[potalaPalace_00000545.jpg],2[potalaPalace_00000196.jpg],1[potalaPalace_00000147.jpg],3[potalaPalace_00000271.jpg],3[potalaPalace_00000303.jpg],3[potalaPalace_00000542.jpg],3[potalaPalace_00000285.jpg],2[potalaPalace_00000663.jpg],1[potalaPalace_00000287.jpg],4[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],1[potalaPalace_00000270.jpg],1[potalaPalace_00000525.jpg],1[potalaPalace_00000292.jpg],2[potalaPalace_00000298.jpg],2[potalaPalace_00000524.jpg],2[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3M1CVSFP61VJZ77AO272N47LXAHQAD,A1EVH6F37FXY4D,Approved,"Mon Sep 12 08:53:33 PDT 2016","Mon Sep 12 08:57:07 PDT 2016",5[potalaPalace_00000308.jpg],4[potalaPalace_00000263.jpg],5[potalaPalace_00000633.jpg],5[potalaPalace_00000205.jpg],3[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],5[potalaPalace_00000523.jpg],5[potalaPalace_00000193.jpg],4[potalaPalace_00000288.jpg],4[potalaPalace_00000353.jpg],4[potalaPalace_00000157.jpg],2[potalaPalace_00000272.jpg],3[potalaPalace_00000168.jpg],4[potalaPalace_00000545.jpg],3[potalaPalace_00000196.jpg],4[potalaPalace_00000147.jpg],4[potalaPalace_00000271.jpg],4[potalaPalace_00000303.jpg],5[potalaPalace_00000542.jpg],5[potalaPalace_00000285.jpg],4[potalaPalace_00000663.jpg],3[potalaPalace_00000287.jpg],3[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],1[potalaPalace_00000270.jpg],2[potalaPalace_00000525.jpg],3[potalaPalace_00000292.jpg],4[potalaPalace_00000298.jpg],4[potalaPalace_00000524.jpg],4[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3J4Q2Z4UTZTG6KADP73U5T4CPTNWQX,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:15:47 PDT 2016","Mon Sep 12 09:18:02 PDT 2016",3[potalaPalace_00000308.jpg],3[potalaPalace_00000263.jpg],2[potalaPalace_00000633.jpg],2[potalaPalace_00000205.jpg],3[potalaPalace_00000699.jpg],3[potalaPalace_00000631.jpg],2[potalaPalace_00000523.jpg],2[potalaPalace_00000193.jpg],2[potalaPalace_00000288.jpg],3[potalaPalace_00000353.jpg],4[potalaPalace_00000157.jpg],3[potalaPalace_00000272.jpg],3[potalaPalace_00000168.jpg],4[potalaPalace_00000545.jpg],3[potalaPalace_00000196.jpg],2[potalaPalace_00000147.jpg],3[potalaPalace_00000271.jpg],3[potalaPalace_00000303.jpg],3[potalaPalace_00000542.jpg],4[potalaPalace_00000285.jpg],3[potalaPalace_00000663.jpg],3[potalaPalace_00000287.jpg],3[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],2[potalaPalace_00000270.jpg],3[potalaPalace_00000525.jpg],4[potalaPalace_00000292.jpg],3[potalaPalace_00000298.jpg],4[potalaPalace_00000524.jpg],3[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3WAKVUDHUX6T8YGTY8FNNE2KZNNU71,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:31:56 PDT 2016","Mon Sep 12 09:32:47 PDT 2016",5[potalaPalace_00000308.jpg],5[potalaPalace_00000263.jpg],5[potalaPalace_00000633.jpg],5[potalaPalace_00000205.jpg],5[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],5[potalaPalace_00000523.jpg],5[potalaPalace_00000193.jpg],5[potalaPalace_00000288.jpg],5[potalaPalace_00000353.jpg],5[potalaPalace_00000157.jpg],5[potalaPalace_00000272.jpg],5[potalaPalace_00000168.jpg],5[potalaPalace_00000545.jpg],5[potalaPalace_00000196.jpg],5[potalaPalace_00000147.jpg],5[potalaPalace_00000271.jpg],5[potalaPalace_00000303.jpg],5[potalaPalace_00000542.jpg],5[potalaPalace_00000285.jpg],5[potalaPalace_00000663.jpg],5[potalaPalace_00000287.jpg],5[potalaPalace_00000300.jpg],5[potalaPalace_00000297.jpg],5[potalaPalace_00000270.jpg],5[potalaPalace_00000525.jpg],5[potalaPalace_00000292.jpg],5[potalaPalace_00000298.jpg],5[potalaPalace_00000524.jpg],5[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3XUHV3NRVLO9G8WQAGTR6FZYE9X5H3,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 09:47:26 PDT 2016","Mon Sep 12 09:49:12 PDT 2016",2[potalaPalace_00000308.jpg],3[potalaPalace_00000263.jpg],1[potalaPalace_00000633.jpg],2[potalaPalace_00000205.jpg],2[potalaPalace_00000699.jpg],3[potalaPalace_00000631.jpg],4[potalaPalace_00000523.jpg],4[potalaPalace_00000193.jpg],3[potalaPalace_00000288.jpg],4[potalaPalace_00000353.jpg],4[potalaPalace_00000157.jpg],4[potalaPalace_00000272.jpg],5[potalaPalace_00000168.jpg],4[potalaPalace_00000545.jpg],5[potalaPalace_00000196.jpg],5[potalaPalace_00000147.jpg],3[potalaPalace_00000271.jpg],3[potalaPalace_00000303.jpg],4[potalaPalace_00000542.jpg],3[potalaPalace_00000285.jpg],1[potalaPalace_00000663.jpg],4[potalaPalace_00000287.jpg],4[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],5[potalaPalace_00000270.jpg],4[potalaPalace_00000525.jpg],3[potalaPalace_00000292.jpg],2[potalaPalace_00000298.jpg],2[potalaPalace_00000524.jpg],2[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3Y9N9SS8LZ1PQD4KA1M80XMG8LF3D4,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:53:37 PDT 2016","Mon Sep 12 09:54:52 PDT 2016",5[potalaPalace_00000308.jpg],5[potalaPalace_00000263.jpg],5[potalaPalace_00000633.jpg],5[potalaPalace_00000205.jpg],5[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],5[potalaPalace_00000523.jpg],5[potalaPalace_00000193.jpg],5[potalaPalace_00000288.jpg],5[potalaPalace_00000353.jpg],5[potalaPalace_00000157.jpg],5[potalaPalace_00000272.jpg],5[potalaPalace_00000168.jpg],5[potalaPalace_00000545.jpg],5[potalaPalace_00000196.jpg],5[potalaPalace_00000147.jpg],5[potalaPalace_00000271.jpg],5[potalaPalace_00000303.jpg],5[potalaPalace_00000542.jpg],5[potalaPalace_00000285.jpg],5[potalaPalace_00000663.jpg],5[potalaPalace_00000287.jpg],5[potalaPalace_00000300.jpg],5[potalaPalace_00000297.jpg],5[potalaPalace_00000270.jpg],5[potalaPalace_00000525.jpg],5[potalaPalace_00000292.jpg],5[potalaPalace_00000298.jpg],5[potalaPalace_00000524.jpg],5[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3NGI5ARFTUV257TVS6ZKCYO8OKEP1M,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:42:05 PDT 2016","Mon Sep 12 10:43:42 PDT 2016",4[potalaPalace_00000308.jpg],4[potalaPalace_00000263.jpg],4[potalaPalace_00000633.jpg],4[potalaPalace_00000205.jpg],5[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],5[potalaPalace_00000523.jpg],4[potalaPalace_00000193.jpg],4[potalaPalace_00000288.jpg],3[potalaPalace_00000353.jpg],4[potalaPalace_00000157.jpg],4[potalaPalace_00000272.jpg],4[potalaPalace_00000168.jpg],4[potalaPalace_00000545.jpg],4[potalaPalace_00000196.jpg],4[potalaPalace_00000147.jpg],4[potalaPalace_00000271.jpg],4[potalaPalace_00000303.jpg],4[potalaPalace_00000542.jpg],4[potalaPalace_00000285.jpg],4[potalaPalace_00000663.jpg],4[potalaPalace_00000287.jpg],4[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],4[potalaPalace_00000270.jpg],4[potalaPalace_00000525.jpg],4[potalaPalace_00000292.jpg],4[potalaPalace_00000298.jpg],4[potalaPalace_00000524.jpg],4[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3WETL7AQWUYUM0PRVV4P2LYOV5753Q,A3ASXNSM7T3UMF,Approved,"Mon Sep 12 11:57:44 PDT 2016","Mon Sep 12 12:02:23 PDT 2016",5[potalaPalace_00000308.jpg],5[potalaPalace_00000263.jpg],5[potalaPalace_00000633.jpg],5[potalaPalace_00000205.jpg],5[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],5[potalaPalace_00000523.jpg],5[potalaPalace_00000193.jpg],5[potalaPalace_00000288.jpg],5[potalaPalace_00000353.jpg],5[potalaPalace_00000157.jpg],5[potalaPalace_00000272.jpg],4[potalaPalace_00000168.jpg],5[potalaPalace_00000545.jpg],5[potalaPalace_00000196.jpg],4[potalaPalace_00000147.jpg],4[potalaPalace_00000271.jpg],4[potalaPalace_00000303.jpg],5[potalaPalace_00000542.jpg],5[potalaPalace_00000285.jpg],3[potalaPalace_00000663.jpg],5[potalaPalace_00000287.jpg],5[potalaPalace_00000300.jpg],5[potalaPalace_00000297.jpg],5[potalaPalace_00000270.jpg],5[potalaPalace_00000525.jpg],5[potalaPalace_00000292.jpg],5[potalaPalace_00000298.jpg],5[potalaPalace_00000524.jpg],5[potalaPalace_00000282.jpg],
34F34TZU7WPBMXA0QUPDV1HH69OJ2R,"potalaPalace_240-269","sample#command",3Y54SXRO1MBG6WD0BBIOSAU2OLKTUK,A3HWRYYLLJYE4Z,Approved,"Mon Sep 12 13:18:29 PDT 2016","Mon Sep 12 13:20:32 PDT 2016",4[potalaPalace_00000308.jpg],4[potalaPalace_00000263.jpg],4[potalaPalace_00000633.jpg],4[potalaPalace_00000205.jpg],5[potalaPalace_00000699.jpg],5[potalaPalace_00000631.jpg],5[potalaPalace_00000523.jpg],4[potalaPalace_00000193.jpg],4[potalaPalace_00000288.jpg],3[potalaPalace_00000353.jpg],5[potalaPalace_00000157.jpg],3[potalaPalace_00000272.jpg],4[potalaPalace_00000168.jpg],5[potalaPalace_00000545.jpg],3[potalaPalace_00000196.jpg],4[potalaPalace_00000147.jpg],4[potalaPalace_00000271.jpg],5[potalaPalace_00000303.jpg],5[potalaPalace_00000542.jpg],5[potalaPalace_00000285.jpg],4[potalaPalace_00000663.jpg],5[potalaPalace_00000287.jpg],4[potalaPalace_00000300.jpg],4[potalaPalace_00000297.jpg],1[potalaPalace_00000270.jpg],4[potalaPalace_00000525.jpg],4[potalaPalace_00000292.jpg],4[potalaPalace_00000298.jpg],4[potalaPalace_00000524.jpg],4[potalaPalace_00000282.jpg],
