HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3KB8R4ZV1FXX5SIORK2MO1NP94NGBV,A21QO39XLG47J6,Approved,"Mon Sep 12 07:51:47 PDT 2016","Mon Sep 12 07:53:57 PDT 2016",2[potalaPalace_00000053.jpg],2[potalaPalace_00000057.jpg],2[potalaPalace_00000350.jpg],3[potalaPalace_00000345.jpg],3[potalaPalace_00000116.jpg],3[potalaPalace_00000239.jpg],3[potalaPalace_00000170.jpg],3[potalaPalace_00000694.jpg],3[potalaPalace_00000555.jpg],3[potalaPalace_00000601.jpg],3[potalaPalace_00000328.jpg],3[potalaPalace_00000329.jpg],3[potalaPalace_00000654.jpg],3[potalaPalace_00000682.jpg],3[potalaPalace_00000648.jpg],3[potalaPalace_00000668.jpg],3[potalaPalace_00000326.jpg],3[potalaPalace_00000327.jpg],3[potalaPalace_00000267.jpg],3[potalaPalace_00000671.jpg],3[potalaPalace_00000529.jpg],3[potalaPalace_00000657.jpg],3[potalaPalace_00000644.jpg],3[potalaPalace_00000347.jpg],3[potalaPalace_00000266.jpg],3[potalaPalace_00000688.jpg],3[potalaPalace_00000252.jpg],3[potalaPalace_00000681.jpg],3[potalaPalace_00000556.jpg],3[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3TOK3KHVJU8YVTWW2M3EO8AVH0OO75,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:02:21 PDT 2016","Mon Sep 12 08:04:50 PDT 2016",4[potalaPalace_00000053.jpg],4[potalaPalace_00000057.jpg],3[potalaPalace_00000350.jpg],1[potalaPalace_00000345.jpg],3[potalaPalace_00000116.jpg],2[potalaPalace_00000239.jpg],4[potalaPalace_00000170.jpg],5[potalaPalace_00000694.jpg],3[potalaPalace_00000555.jpg],5[potalaPalace_00000601.jpg],3[potalaPalace_00000328.jpg],3[potalaPalace_00000329.jpg],5[potalaPalace_00000654.jpg],3[potalaPalace_00000682.jpg],5[potalaPalace_00000648.jpg],3[potalaPalace_00000668.jpg],5[potalaPalace_00000326.jpg],3[potalaPalace_00000327.jpg],4[potalaPalace_00000267.jpg],4[potalaPalace_00000671.jpg],4[potalaPalace_00000529.jpg],5[potalaPalace_00000657.jpg],4[potalaPalace_00000644.jpg],5[potalaPalace_00000347.jpg],4[potalaPalace_00000266.jpg],5[potalaPalace_00000688.jpg],5[potalaPalace_00000252.jpg],5[potalaPalace_00000681.jpg],5[potalaPalace_00000556.jpg],4[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3Q8GYXHFEQSIZ0LAOOFQVO2I1GA5CA,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:58:30 PDT 2016","Mon Sep 12 08:04:54 PDT 2016",5[potalaPalace_00000053.jpg],4[potalaPalace_00000057.jpg],3[potalaPalace_00000350.jpg],3[potalaPalace_00000345.jpg],4[potalaPalace_00000116.jpg],3[potalaPalace_00000239.jpg],3[potalaPalace_00000170.jpg],3[potalaPalace_00000694.jpg],3[potalaPalace_00000555.jpg],3[potalaPalace_00000601.jpg],2[potalaPalace_00000328.jpg],2[potalaPalace_00000329.jpg],2[potalaPalace_00000654.jpg],2[potalaPalace_00000682.jpg],2[potalaPalace_00000648.jpg],2[potalaPalace_00000668.jpg],2[potalaPalace_00000326.jpg],2[potalaPalace_00000327.jpg],2[potalaPalace_00000267.jpg],1[potalaPalace_00000671.jpg],2[potalaPalace_00000529.jpg],2[potalaPalace_00000657.jpg],2[potalaPalace_00000644.jpg],3[potalaPalace_00000347.jpg],4[potalaPalace_00000266.jpg],3[potalaPalace_00000688.jpg],3[potalaPalace_00000252.jpg],2[potalaPalace_00000681.jpg],2[potalaPalace_00000556.jpg],3[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3OWEPKL08A2GD8WK17319JAQRQKN7Q,A39BR7NYRDWC01,Approved,"Mon Sep 12 08:15:26 PDT 2016","Mon Sep 12 08:18:23 PDT 2016",5[potalaPalace_00000053.jpg],4[potalaPalace_00000057.jpg],5[potalaPalace_00000350.jpg],5[potalaPalace_00000345.jpg],5[potalaPalace_00000116.jpg],4[potalaPalace_00000239.jpg],5[potalaPalace_00000170.jpg],4[potalaPalace_00000694.jpg],5[potalaPalace_00000555.jpg],4[potalaPalace_00000601.jpg],4[potalaPalace_00000328.jpg],5[potalaPalace_00000329.jpg],4[potalaPalace_00000654.jpg],5[potalaPalace_00000682.jpg],5[potalaPalace_00000648.jpg],4[potalaPalace_00000668.jpg],4[potalaPalace_00000326.jpg],5[potalaPalace_00000327.jpg],5[potalaPalace_00000267.jpg],5[potalaPalace_00000671.jpg],4[potalaPalace_00000529.jpg],5[potalaPalace_00000657.jpg],4[potalaPalace_00000644.jpg],5[potalaPalace_00000347.jpg],5[potalaPalace_00000266.jpg],4[potalaPalace_00000688.jpg],4[potalaPalace_00000252.jpg],5[potalaPalace_00000681.jpg],4[potalaPalace_00000556.jpg],4[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3FTOP5WARGE6C75F1AQ01XJMASA0J0,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:19:52 PDT 2016","Mon Sep 12 08:26:11 PDT 2016",2[potalaPalace_00000053.jpg],3[potalaPalace_00000057.jpg],1[potalaPalace_00000350.jpg],1[potalaPalace_00000345.jpg],4[potalaPalace_00000116.jpg],3[potalaPalace_00000239.jpg],2[potalaPalace_00000170.jpg],1[potalaPalace_00000694.jpg],1[potalaPalace_00000555.jpg],1[potalaPalace_00000601.jpg],1[potalaPalace_00000328.jpg],1[potalaPalace_00000329.jpg],1[potalaPalace_00000654.jpg],1[potalaPalace_00000682.jpg],1[potalaPalace_00000648.jpg],1[potalaPalace_00000668.jpg],1[potalaPalace_00000326.jpg],1[potalaPalace_00000327.jpg],2[potalaPalace_00000267.jpg],1[potalaPalace_00000671.jpg],1[potalaPalace_00000529.jpg],1[potalaPalace_00000657.jpg],1[potalaPalace_00000644.jpg],3[potalaPalace_00000347.jpg],2[potalaPalace_00000266.jpg],2[potalaPalace_00000688.jpg],2[potalaPalace_00000252.jpg],1[potalaPalace_00000681.jpg],1[potalaPalace_00000556.jpg],2[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",36U2A8VAG2PYKM7IR31LU4DJ1UPKYK,A1A2F7EY4XCM4Q,Approved,"Mon Sep 12 08:30:04 PDT 2016","Mon Sep 12 08:32:21 PDT 2016",4[potalaPalace_00000053.jpg],2[potalaPalace_00000057.jpg],1[potalaPalace_00000350.jpg],1[potalaPalace_00000345.jpg],2[potalaPalace_00000116.jpg],1[potalaPalace_00000239.jpg],3[potalaPalace_00000170.jpg],4[potalaPalace_00000694.jpg],2[potalaPalace_00000555.jpg],1[potalaPalace_00000601.jpg],2[potalaPalace_00000328.jpg],3[potalaPalace_00000329.jpg],1[potalaPalace_00000654.jpg],2[potalaPalace_00000682.jpg],1[potalaPalace_00000648.jpg],1[potalaPalace_00000668.jpg],1[potalaPalace_00000326.jpg],2[potalaPalace_00000327.jpg],2[potalaPalace_00000267.jpg],1[potalaPalace_00000671.jpg],1[potalaPalace_00000529.jpg],2[potalaPalace_00000657.jpg],2[potalaPalace_00000644.jpg],1[potalaPalace_00000347.jpg],1[potalaPalace_00000266.jpg],3[potalaPalace_00000688.jpg],3[potalaPalace_00000252.jpg],2[potalaPalace_00000681.jpg],1[potalaPalace_00000556.jpg],2[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3HFNH7HEMI4K9YKDA2ZCJQIOV4SQGL,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:37:38 PDT 2016","Mon Sep 12 08:39:29 PDT 2016",4[potalaPalace_00000053.jpg],3[potalaPalace_00000057.jpg],1[potalaPalace_00000350.jpg],2[potalaPalace_00000345.jpg],3[potalaPalace_00000116.jpg],1[potalaPalace_00000239.jpg],3[potalaPalace_00000170.jpg],4[potalaPalace_00000694.jpg],3[potalaPalace_00000555.jpg],1[potalaPalace_00000601.jpg],2[potalaPalace_00000328.jpg],2[potalaPalace_00000329.jpg],2[potalaPalace_00000654.jpg],1[potalaPalace_00000682.jpg],4[potalaPalace_00000648.jpg],3[potalaPalace_00000668.jpg],3[potalaPalace_00000326.jpg],2[potalaPalace_00000327.jpg],2[potalaPalace_00000267.jpg],1[potalaPalace_00000671.jpg],1[potalaPalace_00000529.jpg],3[potalaPalace_00000657.jpg],3[potalaPalace_00000644.jpg],3[potalaPalace_00000347.jpg],1[potalaPalace_00000266.jpg],3[potalaPalace_00000688.jpg],3[potalaPalace_00000252.jpg],2[potalaPalace_00000681.jpg],2[potalaPalace_00000556.jpg],3[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",32VNZTT0A8U49J6TSGMBFRVQ1MQR47,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:14:51 PDT 2016","Mon Sep 12 09:16:13 PDT 2016",5[potalaPalace_00000053.jpg],5[potalaPalace_00000057.jpg],5[potalaPalace_00000350.jpg],5[potalaPalace_00000345.jpg],5[potalaPalace_00000116.jpg],5[potalaPalace_00000239.jpg],5[potalaPalace_00000170.jpg],5[potalaPalace_00000694.jpg],5[potalaPalace_00000555.jpg],4[potalaPalace_00000601.jpg],4[potalaPalace_00000328.jpg],5[potalaPalace_00000329.jpg],4[potalaPalace_00000654.jpg],3[potalaPalace_00000682.jpg],3[potalaPalace_00000648.jpg],3[potalaPalace_00000668.jpg],4[potalaPalace_00000326.jpg],4[potalaPalace_00000327.jpg],5[potalaPalace_00000267.jpg],4[potalaPalace_00000671.jpg],5[potalaPalace_00000529.jpg],5[potalaPalace_00000657.jpg],5[potalaPalace_00000644.jpg],5[potalaPalace_00000347.jpg],5[potalaPalace_00000266.jpg],5[potalaPalace_00000688.jpg],5[potalaPalace_00000252.jpg],5[potalaPalace_00000681.jpg],5[potalaPalace_00000556.jpg],5[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3V26SBZTBE4TE7G9NQ6EVQAYBYQZZY,ASY5AZCZEM04L,Approved,"Mon Sep 12 10:02:00 PDT 2016","Mon Sep 12 10:02:20 PDT 2016",5[potalaPalace_00000053.jpg],5[potalaPalace_00000057.jpg],5[potalaPalace_00000350.jpg],5[potalaPalace_00000345.jpg],5[potalaPalace_00000116.jpg],5[potalaPalace_00000239.jpg],5[potalaPalace_00000170.jpg],5[potalaPalace_00000694.jpg],5[potalaPalace_00000555.jpg],5[potalaPalace_00000601.jpg],5[potalaPalace_00000328.jpg],5[potalaPalace_00000329.jpg],5[potalaPalace_00000654.jpg],5[potalaPalace_00000682.jpg],5[potalaPalace_00000648.jpg],5[potalaPalace_00000668.jpg],5[potalaPalace_00000326.jpg],5[potalaPalace_00000327.jpg],5[potalaPalace_00000267.jpg],5[potalaPalace_00000671.jpg],5[potalaPalace_00000529.jpg],5[potalaPalace_00000657.jpg],5[potalaPalace_00000644.jpg],5[potalaPalace_00000347.jpg],5[potalaPalace_00000266.jpg],5[potalaPalace_00000688.jpg],5[potalaPalace_00000252.jpg],5[potalaPalace_00000681.jpg],5[potalaPalace_00000556.jpg],5[potalaPalace_00000330.jpg],
36D1BWBEHNR1N5GLTR25BT9YA3JM2Y,"potalaPalace_570-599","sample#command",3U4J9857OF1ECZ7NYHYSIOAWA2TB7E,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:09:22 PDT 2016","Mon Sep 12 10:11:16 PDT 2016",4[potalaPalace_00000053.jpg],4[potalaPalace_00000057.jpg],3[potalaPalace_00000350.jpg],3[potalaPalace_00000345.jpg],3[potalaPalace_00000116.jpg],4[potalaPalace_00000239.jpg],4[potalaPalace_00000170.jpg],4[potalaPalace_00000694.jpg],3[potalaPalace_00000555.jpg],3[potalaPalace_00000601.jpg],3[potalaPalace_00000328.jpg],3[potalaPalace_00000329.jpg],3[potalaPalace_00000654.jpg],3[potalaPalace_00000682.jpg],4[potalaPalace_00000648.jpg],3[potalaPalace_00000668.jpg],3[potalaPalace_00000326.jpg],3[potalaPalace_00000327.jpg],3[potalaPalace_00000267.jpg],2[potalaPalace_00000671.jpg],3[potalaPalace_00000529.jpg],3[potalaPalace_00000657.jpg],3[potalaPalace_00000644.jpg],4[potalaPalace_00000347.jpg],4[potalaPalace_00000266.jpg],3[potalaPalace_00000688.jpg],4[potalaPalace_00000252.jpg],2[potalaPalace_00000681.jpg],4[potalaPalace_00000556.jpg],3[potalaPalace_00000330.jpg],
