HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",35LDD5557BUYQ5I480DA09QCSK8KMR,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:58:33 PDT 2016","Mon Sep 12 08:11:18 PDT 2016",5[potalaPalace_00000469.jpg],4[potalaPalace_00000385.jpg],3[potalaPalace_00000660.jpg],4[potalaPalace_00000494.jpg],3[potalaPalace_00000396.jpg],4[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],3[potalaPalace_00000380.jpg],3[potalaPalace_00000493.jpg],3[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],3[potalaPalace_00000511.jpg],3[potalaPalace_00000403.jpg],1[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],4[potalaPalace_00000446.jpg],3[potalaPalace_00000588.jpg],1[potalaPalace_00000472.jpg],2[potalaPalace_00000451.jpg],2[potalaPalace_00000411.jpg],2[potalaPalace_00000466.jpg],3[potalaPalace_00000448.jpg],3[potalaPalace_00000407.jpg],4[potalaPalace_00000495.jpg],3[potalaPalace_00000476.jpg],4[potalaPalace_00000398.jpg],2[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],2[potalaPalace_00000630.jpg],2[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3JWH6J9I9T33FKZAEOFHELWMAGDBN2,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:34:25 PDT 2016","Mon Sep 12 08:36:33 PDT 2016",2[potalaPalace_00000469.jpg],2[potalaPalace_00000385.jpg],2[potalaPalace_00000660.jpg],3[potalaPalace_00000494.jpg],3[potalaPalace_00000396.jpg],4[potalaPalace_00000439.jpg],3[potalaPalace_00000430.jpg],2[potalaPalace_00000380.jpg],5[potalaPalace_00000493.jpg],3[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],3[potalaPalace_00000511.jpg],3[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],3[potalaPalace_00000647.jpg],4[potalaPalace_00000446.jpg],3[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],3[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],4[potalaPalace_00000448.jpg],3[potalaPalace_00000407.jpg],3[potalaPalace_00000495.jpg],3[potalaPalace_00000476.jpg],1[potalaPalace_00000398.jpg],1[potalaPalace_00000608.jpg],3[potalaPalace_00000583.jpg],3[potalaPalace_00000630.jpg],3[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3WJ1OXY92B6DT37E28Q21DML33TA8I,A1A2F7EY4XCM4Q,Approved,"Mon Sep 12 08:36:29 PDT 2016","Mon Sep 12 08:38:25 PDT 2016",3[potalaPalace_00000469.jpg],2[potalaPalace_00000385.jpg],1[potalaPalace_00000660.jpg],2[potalaPalace_00000494.jpg],2[potalaPalace_00000396.jpg],3[potalaPalace_00000439.jpg],2[potalaPalace_00000430.jpg],2[potalaPalace_00000380.jpg],4[potalaPalace_00000493.jpg],2[potalaPalace_00000397.jpg],3[potalaPalace_00000484.jpg],1[potalaPalace_00000511.jpg],2[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],5[potalaPalace_00000588.jpg],3[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],2[potalaPalace_00000411.jpg],5[potalaPalace_00000466.jpg],2[potalaPalace_00000448.jpg],2[potalaPalace_00000407.jpg],2[potalaPalace_00000495.jpg],2[potalaPalace_00000476.jpg],1[potalaPalace_00000398.jpg],1[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],2[potalaPalace_00000630.jpg],2[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3NGMS9VZTM8H49Y9L2I0P6EYNNJFFH,A1CBJPICZAM1QD,Approved,"Mon Sep 12 08:36:23 PDT 2016","Mon Sep 12 08:39:30 PDT 2016",4[potalaPalace_00000469.jpg],5[potalaPalace_00000385.jpg],5[potalaPalace_00000660.jpg],5[potalaPalace_00000494.jpg],5[potalaPalace_00000396.jpg],3[potalaPalace_00000439.jpg],5[potalaPalace_00000430.jpg],5[potalaPalace_00000380.jpg],3[potalaPalace_00000493.jpg],3[potalaPalace_00000397.jpg],4[potalaPalace_00000484.jpg],4[potalaPalace_00000511.jpg],4[potalaPalace_00000403.jpg],3[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],5[potalaPalace_00000446.jpg],3[potalaPalace_00000588.jpg],2[potalaPalace_00000472.jpg],2[potalaPalace_00000451.jpg],2[potalaPalace_00000411.jpg],3[potalaPalace_00000466.jpg],4[potalaPalace_00000448.jpg],5[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],4[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],5[potalaPalace_00000608.jpg],4[potalaPalace_00000583.jpg],5[potalaPalace_00000630.jpg],3[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3Z7VU45IPZ7WJBV1FFXM3WQMYIUZ1O,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:44:08 PDT 2016","Mon Sep 12 08:46:26 PDT 2016",4[potalaPalace_00000469.jpg],4[potalaPalace_00000385.jpg],3[potalaPalace_00000660.jpg],3[potalaPalace_00000494.jpg],3[potalaPalace_00000396.jpg],3[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],3[potalaPalace_00000380.jpg],3[potalaPalace_00000493.jpg],3[potalaPalace_00000397.jpg],4[potalaPalace_00000484.jpg],3[potalaPalace_00000511.jpg],3[potalaPalace_00000403.jpg],4[potalaPalace_00000470.jpg],4[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],3[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],3[potalaPalace_00000451.jpg],3[potalaPalace_00000411.jpg],3[potalaPalace_00000466.jpg],4[potalaPalace_00000448.jpg],3[potalaPalace_00000407.jpg],3[potalaPalace_00000495.jpg],2[potalaPalace_00000476.jpg],2[potalaPalace_00000398.jpg],3[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],3[potalaPalace_00000630.jpg],3[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3G2UL9A02E486NQS2QHK78O4W1Z675,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:50:19 PDT 2016","Mon Sep 12 08:52:45 PDT 2016",4[potalaPalace_00000469.jpg],3[potalaPalace_00000385.jpg],1[potalaPalace_00000660.jpg],1[potalaPalace_00000494.jpg],2[potalaPalace_00000396.jpg],1[potalaPalace_00000439.jpg],1[potalaPalace_00000430.jpg],2[potalaPalace_00000380.jpg],1[potalaPalace_00000493.jpg],3[potalaPalace_00000397.jpg],4[potalaPalace_00000484.jpg],1[potalaPalace_00000511.jpg],2[potalaPalace_00000403.jpg],4[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],1[potalaPalace_00000446.jpg],2[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],3[potalaPalace_00000411.jpg],5[potalaPalace_00000466.jpg],3[potalaPalace_00000448.jpg],2[potalaPalace_00000407.jpg],1[potalaPalace_00000495.jpg],2[potalaPalace_00000476.jpg],3[potalaPalace_00000398.jpg],1[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],1[potalaPalace_00000630.jpg],1[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3ZSANO2JCGXQ8E3VRMIZW5XDCEJSFL,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:18:03 PDT 2016","Mon Sep 12 09:20:58 PDT 2016",5[potalaPalace_00000469.jpg],4[potalaPalace_00000385.jpg],4[potalaPalace_00000660.jpg],5[potalaPalace_00000494.jpg],5[potalaPalace_00000396.jpg],5[potalaPalace_00000439.jpg],5[potalaPalace_00000430.jpg],5[potalaPalace_00000380.jpg],3[potalaPalace_00000493.jpg],4[potalaPalace_00000397.jpg],4[potalaPalace_00000484.jpg],5[potalaPalace_00000511.jpg],5[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],5[potalaPalace_00000647.jpg],4[potalaPalace_00000446.jpg],4[potalaPalace_00000588.jpg],5[potalaPalace_00000472.jpg],5[potalaPalace_00000451.jpg],5[potalaPalace_00000411.jpg],5[potalaPalace_00000466.jpg],5[potalaPalace_00000448.jpg],3[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],5[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],5[potalaPalace_00000608.jpg],2[potalaPalace_00000583.jpg],4[potalaPalace_00000630.jpg],5[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3ZR9AIQJUCZG9PMUY33WVVU3SW440Z,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:59:37 PDT 2016","Mon Sep 12 10:00:16 PDT 2016",5[potalaPalace_00000469.jpg],5[potalaPalace_00000385.jpg],5[potalaPalace_00000660.jpg],5[potalaPalace_00000494.jpg],5[potalaPalace_00000396.jpg],5[potalaPalace_00000439.jpg],5[potalaPalace_00000430.jpg],5[potalaPalace_00000380.jpg],5[potalaPalace_00000493.jpg],5[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],5[potalaPalace_00000511.jpg],5[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],5[potalaPalace_00000647.jpg],5[potalaPalace_00000446.jpg],5[potalaPalace_00000588.jpg],5[potalaPalace_00000472.jpg],5[potalaPalace_00000451.jpg],5[potalaPalace_00000411.jpg],5[potalaPalace_00000466.jpg],5[potalaPalace_00000448.jpg],5[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],5[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],5[potalaPalace_00000608.jpg],5[potalaPalace_00000583.jpg],5[potalaPalace_00000630.jpg],5[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3GNCZX450JDYZV6VOPSDNZHBSEEPA4,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:10:54 PDT 2016","Mon Sep 12 10:12:20 PDT 2016",3[potalaPalace_00000469.jpg],2[potalaPalace_00000385.jpg],3[potalaPalace_00000660.jpg],4[potalaPalace_00000494.jpg],3[potalaPalace_00000396.jpg],1[potalaPalace_00000439.jpg],2[potalaPalace_00000430.jpg],2[potalaPalace_00000380.jpg],1[potalaPalace_00000493.jpg],2[potalaPalace_00000397.jpg],2[potalaPalace_00000484.jpg],1[potalaPalace_00000511.jpg],3[potalaPalace_00000403.jpg],3[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],4[potalaPalace_00000446.jpg],1[potalaPalace_00000588.jpg],2[potalaPalace_00000472.jpg],2[potalaPalace_00000451.jpg],1[potalaPalace_00000411.jpg],1[potalaPalace_00000466.jpg],3[potalaPalace_00000448.jpg],2[potalaPalace_00000407.jpg],2[potalaPalace_00000495.jpg],3[potalaPalace_00000476.jpg],2[potalaPalace_00000398.jpg],3[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],2[potalaPalace_00000630.jpg],2[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3FQ5JJ512ME48N34K1SADOFCXB8KNJ,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:18:21 PDT 2016","Mon Sep 12 10:20:23 PDT 2016",3[potalaPalace_00000469.jpg],4[potalaPalace_00000385.jpg],3[potalaPalace_00000660.jpg],4[potalaPalace_00000494.jpg],3[potalaPalace_00000396.jpg],5[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],4[potalaPalace_00000380.jpg],4[potalaPalace_00000493.jpg],4[potalaPalace_00000397.jpg],4[potalaPalace_00000484.jpg],4[potalaPalace_00000511.jpg],4[potalaPalace_00000403.jpg],4[potalaPalace_00000470.jpg],4[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],3[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],4[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],4[potalaPalace_00000448.jpg],4[potalaPalace_00000407.jpg],4[potalaPalace_00000495.jpg],4[potalaPalace_00000476.jpg],4[potalaPalace_00000398.jpg],3[potalaPalace_00000608.jpg],3[potalaPalace_00000583.jpg],4[potalaPalace_00000630.jpg],4[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3VELCLL3GL9QEU41E33F04A4ME01F4,A3IFU0UN0CE37B,Approved,"Mon Sep 12 11:17:42 PDT 2016","Mon Sep 12 11:19:32 PDT 2016",4[potalaPalace_00000469.jpg],3[potalaPalace_00000385.jpg],2[potalaPalace_00000660.jpg],3[potalaPalace_00000494.jpg],4[potalaPalace_00000396.jpg],3[potalaPalace_00000439.jpg],2[potalaPalace_00000430.jpg],3[potalaPalace_00000380.jpg],4[potalaPalace_00000493.jpg],4[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],3[potalaPalace_00000511.jpg],4[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],5[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],2[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],4[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],5[potalaPalace_00000448.jpg],5[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],5[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],5[potalaPalace_00000608.jpg],5[potalaPalace_00000583.jpg],4[potalaPalace_00000630.jpg],3[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",39ASUFLU6YX6YHPYQL4GDVT5FTNEXG,A3HWRYYLLJYE4Z,Approved,"Mon Sep 12 14:23:11 PDT 2016","Mon Sep 12 14:24:30 PDT 2016",5[potalaPalace_00000469.jpg],5[potalaPalace_00000385.jpg],5[potalaPalace_00000660.jpg],5[potalaPalace_00000494.jpg],5[potalaPalace_00000396.jpg],5[potalaPalace_00000439.jpg],5[potalaPalace_00000430.jpg],5[potalaPalace_00000380.jpg],5[potalaPalace_00000493.jpg],5[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],4[potalaPalace_00000511.jpg],4[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],5[potalaPalace_00000647.jpg],5[potalaPalace_00000446.jpg],5[potalaPalace_00000588.jpg],5[potalaPalace_00000472.jpg],5[potalaPalace_00000451.jpg],5[potalaPalace_00000411.jpg],5[potalaPalace_00000466.jpg],5[potalaPalace_00000448.jpg],5[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],5[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],5[potalaPalace_00000608.jpg],3[potalaPalace_00000583.jpg],4[potalaPalace_00000630.jpg],5[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3HSYG7LRBKO30HI1NO0ULWY94IIKK0,A39BR7NYRDWC01,Approved,"Mon Sep 12 16:59:04 PDT 2016","Mon Sep 12 17:10:16 PDT 2016",4[potalaPalace_00000469.jpg],4[potalaPalace_00000385.jpg],5[potalaPalace_00000660.jpg],4[potalaPalace_00000494.jpg],5[potalaPalace_00000396.jpg],5[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],5[potalaPalace_00000380.jpg],4[potalaPalace_00000493.jpg],4[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],4[potalaPalace_00000511.jpg],5[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],5[potalaPalace_00000647.jpg],4[potalaPalace_00000446.jpg],5[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],5[potalaPalace_00000451.jpg],5[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],5[potalaPalace_00000448.jpg],4[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],4[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],4[potalaPalace_00000608.jpg],4[potalaPalace_00000583.jpg],5[potalaPalace_00000630.jpg],3[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",33FOTY3KENBJBIKRN1DESYP2Q3KC1N,ADDANUD713B9R,Approved,"Mon Sep 12 18:46:19 PDT 2016","Mon Sep 12 18:49:26 PDT 2016",3[potalaPalace_00000469.jpg],1[potalaPalace_00000385.jpg],2[potalaPalace_00000660.jpg],1[potalaPalace_00000494.jpg],1[potalaPalace_00000396.jpg],2[potalaPalace_00000439.jpg],1[potalaPalace_00000430.jpg],1[potalaPalace_00000380.jpg],1[potalaPalace_00000493.jpg],2[potalaPalace_00000397.jpg],3[potalaPalace_00000484.jpg],2[potalaPalace_00000511.jpg],2[potalaPalace_00000403.jpg],2[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],2[potalaPalace_00000588.jpg],2[potalaPalace_00000472.jpg],1[potalaPalace_00000451.jpg],1[potalaPalace_00000411.jpg],1[potalaPalace_00000466.jpg],1[potalaPalace_00000448.jpg],1[potalaPalace_00000407.jpg],1[potalaPalace_00000495.jpg],2[potalaPalace_00000476.jpg],2[potalaPalace_00000398.jpg],1[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],3[potalaPalace_00000630.jpg],1[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",32EYX73OY1Z3QH087MDTSVTL112URS,A30NFO6I6FSBC0,Approved,"Mon Sep 12 20:49:04 PDT 2016","Mon Sep 12 20:51:15 PDT 2016",2[potalaPalace_00000469.jpg],2[potalaPalace_00000385.jpg],5[potalaPalace_00000660.jpg],4[potalaPalace_00000494.jpg],2[potalaPalace_00000396.jpg],5[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],5[potalaPalace_00000380.jpg],5[potalaPalace_00000493.jpg],4[potalaPalace_00000397.jpg],1[potalaPalace_00000484.jpg],4[potalaPalace_00000511.jpg],3[potalaPalace_00000403.jpg],3[potalaPalace_00000470.jpg],1[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],4[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],2[potalaPalace_00000451.jpg],4[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],4[potalaPalace_00000448.jpg],4[potalaPalace_00000407.jpg],3[potalaPalace_00000495.jpg],4[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],3[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],3[potalaPalace_00000630.jpg],4[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",3M0BCWMB8WMT2E8O6P64A49E4WGBW3,A2H8UCYS4VV138,Approved,"Tue Sep 13 03:05:58 PDT 2016","Tue Sep 13 03:07:23 PDT 2016",4[potalaPalace_00000469.jpg],2[potalaPalace_00000385.jpg],2[potalaPalace_00000660.jpg],3[potalaPalace_00000494.jpg],3[potalaPalace_00000396.jpg],2[potalaPalace_00000439.jpg],2[potalaPalace_00000430.jpg],2[potalaPalace_00000380.jpg],1[potalaPalace_00000493.jpg],2[potalaPalace_00000397.jpg],3[potalaPalace_00000484.jpg],2[potalaPalace_00000511.jpg],2[potalaPalace_00000403.jpg],4[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],3[potalaPalace_00000446.jpg],3[potalaPalace_00000588.jpg],3[potalaPalace_00000472.jpg],3[potalaPalace_00000451.jpg],3[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],2[potalaPalace_00000448.jpg],3[potalaPalace_00000407.jpg],3[potalaPalace_00000495.jpg],3[potalaPalace_00000476.jpg],2[potalaPalace_00000398.jpg],1[potalaPalace_00000608.jpg],2[potalaPalace_00000583.jpg],2[potalaPalace_00000630.jpg],2[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",32EYX73OY1Z3QH087MDTSVTL129RUY,A91I7Y4GNUPDZ,Approved,"Tue Sep 13 03:27:27 PDT 2016","Tue Sep 13 03:52:39 PDT 2016",4[potalaPalace_00000469.jpg],2[potalaPalace_00000385.jpg],1[potalaPalace_00000660.jpg],1[potalaPalace_00000494.jpg],4[potalaPalace_00000396.jpg],4[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],1[potalaPalace_00000380.jpg],2[potalaPalace_00000493.jpg],3[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],2[potalaPalace_00000511.jpg],3[potalaPalace_00000403.jpg],4[potalaPalace_00000470.jpg],2[potalaPalace_00000647.jpg],2[potalaPalace_00000446.jpg],2[potalaPalace_00000588.jpg],5[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],3[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],2[potalaPalace_00000448.jpg],4[potalaPalace_00000407.jpg],3[potalaPalace_00000495.jpg],3[potalaPalace_00000476.jpg],1[potalaPalace_00000398.jpg],1[potalaPalace_00000608.jpg],1[potalaPalace_00000583.jpg],2[potalaPalace_00000630.jpg],2[potalaPalace_00000416.jpg],
379OL9DBSS4CH6QYX35VFB4JPJ7Y9S,"potalaPalace_450-479","sample#command",33UKMF931AA16JYBB6SENE816BFTT6,A311BTV53IKX3D,Approved,"Tue Sep 13 07:56:24 PDT 2016","Tue Sep 13 07:59:42 PDT 2016",5[potalaPalace_00000469.jpg],5[potalaPalace_00000385.jpg],5[potalaPalace_00000660.jpg],5[potalaPalace_00000494.jpg],5[potalaPalace_00000396.jpg],4[potalaPalace_00000439.jpg],4[potalaPalace_00000430.jpg],4[potalaPalace_00000380.jpg],4[potalaPalace_00000493.jpg],5[potalaPalace_00000397.jpg],5[potalaPalace_00000484.jpg],5[potalaPalace_00000511.jpg],5[potalaPalace_00000403.jpg],5[potalaPalace_00000470.jpg],5[potalaPalace_00000647.jpg],5[potalaPalace_00000446.jpg],5[potalaPalace_00000588.jpg],4[potalaPalace_00000472.jpg],4[potalaPalace_00000451.jpg],5[potalaPalace_00000411.jpg],4[potalaPalace_00000466.jpg],5[potalaPalace_00000448.jpg],4[potalaPalace_00000407.jpg],5[potalaPalace_00000495.jpg],4[potalaPalace_00000476.jpg],5[potalaPalace_00000398.jpg],4[potalaPalace_00000608.jpg],4[potalaPalace_00000583.jpg],4[potalaPalace_00000630.jpg],4[potalaPalace_00000416.jpg],
