HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3HQUKB7LNG4LW1GLBIU0VC2OJH9HHF,A3T6Q7YJQXYZ2Z,Approved,"Mon Sep 12 08:35:18 PDT 2016","Mon Sep 12 08:38:47 PDT 2016",3[potalaPalace_00000558.jpg],4[potalaPalace_00000567.jpg],3[potalaPalace_00000565.jpg],1[potalaPalace_00000568.jpg],1[potalaPalace_00000576.jpg],2[potalaPalace_00000598.jpg],2[potalaPalace_00000592.jpg],4[potalaPalace_00000569.jpg],2[potalaPalace_00000574.jpg],2[potalaPalace_00000359.jpg],3[potalaPalace_00000368.jpg],2[potalaPalace_00000372.jpg],3[potalaPalace_00000265.jpg],4[potalaPalace_00000373.jpg],2[potalaPalace_00000527.jpg],1[potalaPalace_00000363.jpg],2[potalaPalace_00000371.jpg],3[potalaPalace_00000485.jpg],1[potalaPalace_00000579.jpg],1[potalaPalace_00000496.jpg],2[potalaPalace_00000367.jpg],3[potalaPalace_00000507.jpg],2[potalaPalace_00000366.jpg],1[potalaPalace_00000603.jpg],1[potalaPalace_00000376.jpg],2[potalaPalace_00000622.jpg],3[potalaPalace_00000639.jpg],4[potalaPalace_00000358.jpg],2[potalaPalace_00000641.jpg],4[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",39JEC7537VRZXU0PUFX3ZMWHE5GVCD,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:48:55 PDT 2016","Mon Sep 12 08:50:22 PDT 2016",3[potalaPalace_00000558.jpg],2[potalaPalace_00000567.jpg],4[potalaPalace_00000565.jpg],4[potalaPalace_00000568.jpg],3[potalaPalace_00000576.jpg],3[potalaPalace_00000598.jpg],4[potalaPalace_00000592.jpg],3[potalaPalace_00000569.jpg],2[potalaPalace_00000574.jpg],3[potalaPalace_00000359.jpg],5[potalaPalace_00000368.jpg],2[potalaPalace_00000372.jpg],2[potalaPalace_00000265.jpg],2[potalaPalace_00000373.jpg],3[potalaPalace_00000527.jpg],3[potalaPalace_00000363.jpg],3[potalaPalace_00000371.jpg],4[potalaPalace_00000485.jpg],5[potalaPalace_00000579.jpg],3[potalaPalace_00000496.jpg],2[potalaPalace_00000367.jpg],4[potalaPalace_00000507.jpg],3[potalaPalace_00000366.jpg],2[potalaPalace_00000603.jpg],2[potalaPalace_00000376.jpg],2[potalaPalace_00000622.jpg],2[potalaPalace_00000639.jpg],3[potalaPalace_00000358.jpg],4[potalaPalace_00000641.jpg],5[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",39ASUFLU6YX6YHPYQL4GDVT5FS1EXS,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:44:15 PDT 2016","Mon Sep 12 09:00:25 PDT 2016",1[potalaPalace_00000558.jpg],3[potalaPalace_00000567.jpg],3[potalaPalace_00000565.jpg],2[potalaPalace_00000568.jpg],1[potalaPalace_00000576.jpg],1[potalaPalace_00000598.jpg],1[potalaPalace_00000592.jpg],3[potalaPalace_00000569.jpg],1[potalaPalace_00000574.jpg],4[potalaPalace_00000359.jpg],4[potalaPalace_00000368.jpg],2[potalaPalace_00000372.jpg],3[potalaPalace_00000265.jpg],3[potalaPalace_00000373.jpg],1[potalaPalace_00000527.jpg],2[potalaPalace_00000363.jpg],2[potalaPalace_00000371.jpg],4[potalaPalace_00000485.jpg],3[potalaPalace_00000579.jpg],4[potalaPalace_00000496.jpg],3[potalaPalace_00000367.jpg],2[potalaPalace_00000507.jpg],4[potalaPalace_00000366.jpg],1[potalaPalace_00000603.jpg],2[potalaPalace_00000376.jpg],1[potalaPalace_00000622.jpg],1[potalaPalace_00000639.jpg],2[potalaPalace_00000358.jpg],1[potalaPalace_00000641.jpg],2[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3WJ1OXY92B6DT37E28Q21DML34Y8AN,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:11:22 PDT 2016","Mon Sep 12 09:13:17 PDT 2016",3[potalaPalace_00000558.jpg],4[potalaPalace_00000567.jpg],4[potalaPalace_00000565.jpg],3[potalaPalace_00000568.jpg],1[potalaPalace_00000576.jpg],2[potalaPalace_00000598.jpg],2[potalaPalace_00000592.jpg],4[potalaPalace_00000569.jpg],3[potalaPalace_00000574.jpg],3[potalaPalace_00000359.jpg],3[potalaPalace_00000368.jpg],2[potalaPalace_00000372.jpg],3[potalaPalace_00000265.jpg],3[potalaPalace_00000373.jpg],3[potalaPalace_00000527.jpg],3[potalaPalace_00000363.jpg],3[potalaPalace_00000371.jpg],4[potalaPalace_00000485.jpg],4[potalaPalace_00000579.jpg],4[potalaPalace_00000496.jpg],2[potalaPalace_00000367.jpg],3[potalaPalace_00000507.jpg],3[potalaPalace_00000366.jpg],2[potalaPalace_00000603.jpg],2[potalaPalace_00000376.jpg],2[potalaPalace_00000622.jpg],3[potalaPalace_00000639.jpg],3[potalaPalace_00000358.jpg],3[potalaPalace_00000641.jpg],3[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3YWRV122CTPX8CLC8D7T1EYFA7UU8P,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:34:14 PDT 2016","Mon Sep 12 09:35:07 PDT 2016",5[potalaPalace_00000558.jpg],5[potalaPalace_00000567.jpg],5[potalaPalace_00000565.jpg],5[potalaPalace_00000568.jpg],5[potalaPalace_00000576.jpg],5[potalaPalace_00000598.jpg],5[potalaPalace_00000592.jpg],5[potalaPalace_00000569.jpg],5[potalaPalace_00000574.jpg],5[potalaPalace_00000359.jpg],5[potalaPalace_00000368.jpg],5[potalaPalace_00000372.jpg],5[potalaPalace_00000265.jpg],5[potalaPalace_00000373.jpg],5[potalaPalace_00000527.jpg],5[potalaPalace_00000363.jpg],5[potalaPalace_00000371.jpg],5[potalaPalace_00000485.jpg],5[potalaPalace_00000579.jpg],5[potalaPalace_00000496.jpg],5[potalaPalace_00000367.jpg],5[potalaPalace_00000507.jpg],5[potalaPalace_00000366.jpg],5[potalaPalace_00000603.jpg],5[potalaPalace_00000376.jpg],5[potalaPalace_00000622.jpg],5[potalaPalace_00000639.jpg],5[potalaPalace_00000358.jpg],5[potalaPalace_00000641.jpg],5[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3WAKVUDHUX6T8YGTY8FNNE2KZNUU78,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:49:15 PDT 2016","Mon Sep 12 09:50:06 PDT 2016",5[potalaPalace_00000558.jpg],5[potalaPalace_00000567.jpg],5[potalaPalace_00000565.jpg],5[potalaPalace_00000568.jpg],5[potalaPalace_00000576.jpg],5[potalaPalace_00000598.jpg],5[potalaPalace_00000592.jpg],5[potalaPalace_00000569.jpg],5[potalaPalace_00000574.jpg],5[potalaPalace_00000359.jpg],5[potalaPalace_00000368.jpg],5[potalaPalace_00000372.jpg],5[potalaPalace_00000265.jpg],5[potalaPalace_00000373.jpg],5[potalaPalace_00000527.jpg],5[potalaPalace_00000363.jpg],5[potalaPalace_00000371.jpg],5[potalaPalace_00000485.jpg],5[potalaPalace_00000579.jpg],5[potalaPalace_00000496.jpg],5[potalaPalace_00000367.jpg],5[potalaPalace_00000507.jpg],5[potalaPalace_00000366.jpg],5[potalaPalace_00000603.jpg],5[potalaPalace_00000376.jpg],5[potalaPalace_00000622.jpg],5[potalaPalace_00000639.jpg],5[potalaPalace_00000358.jpg],5[potalaPalace_00000641.jpg],5[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3U4J9857OF1ECZ7NYHYSIOAWA2Q7B7,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 09:54:55 PDT 2016","Mon Sep 12 09:56:36 PDT 2016",2[potalaPalace_00000558.jpg],3[potalaPalace_00000567.jpg],2[potalaPalace_00000565.jpg],4[potalaPalace_00000568.jpg],1[potalaPalace_00000576.jpg],1[potalaPalace_00000598.jpg],2[potalaPalace_00000592.jpg],4[potalaPalace_00000569.jpg],1[potalaPalace_00000574.jpg],4[potalaPalace_00000359.jpg],5[potalaPalace_00000368.jpg],5[potalaPalace_00000372.jpg],4[potalaPalace_00000265.jpg],5[potalaPalace_00000373.jpg],4[potalaPalace_00000527.jpg],2[potalaPalace_00000363.jpg],5[potalaPalace_00000371.jpg],3[potalaPalace_00000485.jpg],5[potalaPalace_00000579.jpg],2[potalaPalace_00000496.jpg],1[potalaPalace_00000367.jpg],2[potalaPalace_00000507.jpg],4[potalaPalace_00000366.jpg],1[potalaPalace_00000603.jpg],2[potalaPalace_00000376.jpg],2[potalaPalace_00000622.jpg],2[potalaPalace_00000639.jpg],3[potalaPalace_00000358.jpg],2[potalaPalace_00000641.jpg],5[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3V5Q80FXIYH2N364DC2R4EVCBU0325,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:40:01 PDT 2016","Mon Sep 12 10:41:43 PDT 2016",4[potalaPalace_00000558.jpg],4[potalaPalace_00000567.jpg],4[potalaPalace_00000565.jpg],3[potalaPalace_00000568.jpg],2[potalaPalace_00000576.jpg],4[potalaPalace_00000598.jpg],4[potalaPalace_00000592.jpg],4[potalaPalace_00000569.jpg],3[potalaPalace_00000574.jpg],4[potalaPalace_00000359.jpg],4[potalaPalace_00000368.jpg],4[potalaPalace_00000372.jpg],4[potalaPalace_00000265.jpg],4[potalaPalace_00000373.jpg],4[potalaPalace_00000527.jpg],4[potalaPalace_00000363.jpg],4[potalaPalace_00000371.jpg],4[potalaPalace_00000485.jpg],3[potalaPalace_00000579.jpg],4[potalaPalace_00000496.jpg],3[potalaPalace_00000367.jpg],4[potalaPalace_00000507.jpg],4[potalaPalace_00000366.jpg],4[potalaPalace_00000603.jpg],4[potalaPalace_00000376.jpg],4[potalaPalace_00000622.jpg],4[potalaPalace_00000639.jpg],4[potalaPalace_00000358.jpg],4[potalaPalace_00000641.jpg],4[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3JNQLM5FT5CJ37WTJI6R00PTBG0L2A,A206M3F2P382N0,Approved,"Mon Sep 12 11:20:41 PDT 2016","Mon Sep 12 11:24:08 PDT 2016",2[potalaPalace_00000558.jpg],5[potalaPalace_00000567.jpg],5[potalaPalace_00000565.jpg],5[potalaPalace_00000568.jpg],2[potalaPalace_00000576.jpg],3[potalaPalace_00000598.jpg],4[potalaPalace_00000592.jpg],4[potalaPalace_00000569.jpg],4[potalaPalace_00000574.jpg],4[potalaPalace_00000359.jpg],4[potalaPalace_00000368.jpg],3[potalaPalace_00000372.jpg],5[potalaPalace_00000265.jpg],5[potalaPalace_00000373.jpg],5[potalaPalace_00000527.jpg],3[potalaPalace_00000363.jpg],5[potalaPalace_00000371.jpg],1[potalaPalace_00000485.jpg],2[potalaPalace_00000579.jpg],1[potalaPalace_00000496.jpg],5[potalaPalace_00000367.jpg],4[potalaPalace_00000507.jpg],5[potalaPalace_00000366.jpg],2[potalaPalace_00000603.jpg],4[potalaPalace_00000376.jpg],5[potalaPalace_00000622.jpg],5[potalaPalace_00000639.jpg],5[potalaPalace_00000358.jpg],2[potalaPalace_00000641.jpg],5[potalaPalace_00000370.jpg],
386659BNTL7XV6RILIFT8DSGFU510M,"potalaPalace_150-179","sample#command",3VFJCI1K40PKLZZDNHOCOGSTRSXRGU,A31Y7PAMZO5GVZ,Approved,"Mon Sep 12 11:39:16 PDT 2016","Mon Sep 12 11:43:13 PDT 2016",1[potalaPalace_00000558.jpg],4[potalaPalace_00000567.jpg],1[potalaPalace_00000565.jpg],1[potalaPalace_00000568.jpg],2[potalaPalace_00000576.jpg],5[potalaPalace_00000598.jpg],4[potalaPalace_00000592.jpg],3[potalaPalace_00000569.jpg],1[potalaPalace_00000574.jpg],5[potalaPalace_00000359.jpg],5[potalaPalace_00000368.jpg],1[potalaPalace_00000372.jpg],2[potalaPalace_00000265.jpg],4[potalaPalace_00000373.jpg],1[potalaPalace_00000527.jpg],5[potalaPalace_00000363.jpg],3[potalaPalace_00000371.jpg],5[potalaPalace_00000485.jpg],3[potalaPalace_00000579.jpg],3[potalaPalace_00000496.jpg],2[potalaPalace_00000367.jpg],4[potalaPalace_00000507.jpg],4[potalaPalace_00000366.jpg],4[potalaPalace_00000603.jpg],2[potalaPalace_00000376.jpg],2[potalaPalace_00000622.jpg],2[potalaPalace_00000639.jpg],4[potalaPalace_00000358.jpg],4[potalaPalace_00000641.jpg],5[potalaPalace_00000370.jpg],
