HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",34Z02EIMIT30QA1KD444336V8V30T9,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:41:03 PDT 2016","Mon Sep 12 08:48:12 PDT 2016",1[potalaPalace_00000228.jpg],1[potalaPalace_00000210.jpg],1[potalaPalace_00000222.jpg],1[potalaPalace_00000229.jpg],1[potalaPalace_00000218.jpg],1[potalaPalace_00000244.jpg],2[potalaPalace_00000683.jpg],3[potalaPalace_00000667.jpg],1[potalaPalace_00000664.jpg],2[potalaPalace_00000665.jpg],2[potalaPalace_00000666.jpg],1[potalaPalace_00000570.jpg],2[potalaPalace_00000550.jpg],1[potalaPalace_00000575.jpg],1[potalaPalace_00000572.jpg],2[potalaPalace_00000591.jpg],2[potalaPalace_00000571.jpg],2[potalaPalace_00000577.jpg],2[potalaPalace_00000473.jpg],2[potalaPalace_00000566.jpg],2[potalaPalace_00000365.jpg],3[potalaPalace_00000487.jpg],2[potalaPalace_00000690.jpg],2[potalaPalace_00000578.jpg],2[potalaPalace_00000590.jpg],2[potalaPalace_00000595.jpg],2[potalaPalace_00000589.jpg],2[potalaPalace_00000596.jpg],2[potalaPalace_00000573.jpg],3[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3WYGZ5XF3X51O0V9SX9WCIPIKAVSKI,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:49:13 PDT 2016","Mon Sep 12 08:51:15 PDT 2016",2[potalaPalace_00000228.jpg],2[potalaPalace_00000210.jpg],3[potalaPalace_00000222.jpg],2[potalaPalace_00000229.jpg],3[potalaPalace_00000218.jpg],2[potalaPalace_00000244.jpg],2[potalaPalace_00000683.jpg],2[potalaPalace_00000667.jpg],2[potalaPalace_00000664.jpg],3[potalaPalace_00000665.jpg],2[potalaPalace_00000666.jpg],2[potalaPalace_00000570.jpg],3[potalaPalace_00000550.jpg],3[potalaPalace_00000575.jpg],2[potalaPalace_00000572.jpg],3[potalaPalace_00000591.jpg],2[potalaPalace_00000571.jpg],3[potalaPalace_00000577.jpg],3[potalaPalace_00000473.jpg],3[potalaPalace_00000566.jpg],3[potalaPalace_00000365.jpg],4[potalaPalace_00000487.jpg],2[potalaPalace_00000690.jpg],2[potalaPalace_00000578.jpg],3[potalaPalace_00000590.jpg],3[potalaPalace_00000595.jpg],3[potalaPalace_00000589.jpg],3[potalaPalace_00000596.jpg],2[potalaPalace_00000573.jpg],3[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3G2UL9A02E486NQS2QHK78O4W10676,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:56:05 PDT 2016","Mon Sep 12 08:57:36 PDT 2016",2[potalaPalace_00000228.jpg],2[potalaPalace_00000210.jpg],2[potalaPalace_00000222.jpg],2[potalaPalace_00000229.jpg],2[potalaPalace_00000218.jpg],1[potalaPalace_00000244.jpg],3[potalaPalace_00000683.jpg],3[potalaPalace_00000667.jpg],2[potalaPalace_00000664.jpg],4[potalaPalace_00000665.jpg],3[potalaPalace_00000666.jpg],1[potalaPalace_00000570.jpg],3[potalaPalace_00000550.jpg],2[potalaPalace_00000575.jpg],2[potalaPalace_00000572.jpg],2[potalaPalace_00000591.jpg],2[potalaPalace_00000571.jpg],1[potalaPalace_00000577.jpg],1[potalaPalace_00000473.jpg],1[potalaPalace_00000566.jpg],4[potalaPalace_00000365.jpg],4[potalaPalace_00000487.jpg],3[potalaPalace_00000690.jpg],2[potalaPalace_00000578.jpg],4[potalaPalace_00000590.jpg],4[potalaPalace_00000595.jpg],4[potalaPalace_00000589.jpg],4[potalaPalace_00000596.jpg],3[potalaPalace_00000573.jpg],2[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3OB0CAO74IF7IW6ALIYOHCXR9EUHYO,A2WLTDIILI4K16,Approved,"Mon Sep 12 09:29:04 PDT 2016","Mon Sep 12 09:30:57 PDT 2016",2[potalaPalace_00000228.jpg],3[potalaPalace_00000210.jpg],3[potalaPalace_00000222.jpg],3[potalaPalace_00000229.jpg],4[potalaPalace_00000218.jpg],3[potalaPalace_00000244.jpg],5[potalaPalace_00000683.jpg],3[potalaPalace_00000667.jpg],3[potalaPalace_00000664.jpg],5[potalaPalace_00000665.jpg],3[potalaPalace_00000666.jpg],4[potalaPalace_00000570.jpg],5[potalaPalace_00000550.jpg],5[potalaPalace_00000575.jpg],4[potalaPalace_00000572.jpg],4[potalaPalace_00000591.jpg],3[potalaPalace_00000571.jpg],4[potalaPalace_00000577.jpg],5[potalaPalace_00000473.jpg],4[potalaPalace_00000566.jpg],4[potalaPalace_00000365.jpg],3[potalaPalace_00000487.jpg],2[potalaPalace_00000690.jpg],3[potalaPalace_00000578.jpg],4[potalaPalace_00000590.jpg],4[potalaPalace_00000595.jpg],4[potalaPalace_00000589.jpg],3[potalaPalace_00000596.jpg],4[potalaPalace_00000573.jpg],4[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3LYA37P8IRD27EE7HBN1MTFIGMKBKB,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:40:21 PDT 2016","Mon Sep 12 09:40:57 PDT 2016",5[potalaPalace_00000228.jpg],5[potalaPalace_00000210.jpg],5[potalaPalace_00000222.jpg],5[potalaPalace_00000229.jpg],5[potalaPalace_00000218.jpg],5[potalaPalace_00000244.jpg],5[potalaPalace_00000683.jpg],5[potalaPalace_00000667.jpg],5[potalaPalace_00000664.jpg],5[potalaPalace_00000665.jpg],5[potalaPalace_00000666.jpg],5[potalaPalace_00000570.jpg],5[potalaPalace_00000550.jpg],5[potalaPalace_00000575.jpg],5[potalaPalace_00000572.jpg],5[potalaPalace_00000591.jpg],5[potalaPalace_00000571.jpg],5[potalaPalace_00000577.jpg],5[potalaPalace_00000473.jpg],5[potalaPalace_00000566.jpg],5[potalaPalace_00000365.jpg],5[potalaPalace_00000487.jpg],5[potalaPalace_00000690.jpg],5[potalaPalace_00000578.jpg],5[potalaPalace_00000590.jpg],5[potalaPalace_00000595.jpg],5[potalaPalace_00000589.jpg],5[potalaPalace_00000596.jpg],5[potalaPalace_00000573.jpg],5[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3A4NIXBJ77P9AB0MT0PBF93RHLXLMH,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:50:48 PDT 2016","Mon Sep 12 09:52:26 PDT 2016",5[potalaPalace_00000228.jpg],5[potalaPalace_00000210.jpg],5[potalaPalace_00000222.jpg],5[potalaPalace_00000229.jpg],5[potalaPalace_00000218.jpg],5[potalaPalace_00000244.jpg],5[potalaPalace_00000683.jpg],5[potalaPalace_00000667.jpg],5[potalaPalace_00000664.jpg],5[potalaPalace_00000665.jpg],5[potalaPalace_00000666.jpg],5[potalaPalace_00000570.jpg],5[potalaPalace_00000550.jpg],5[potalaPalace_00000575.jpg],5[potalaPalace_00000572.jpg],5[potalaPalace_00000591.jpg],5[potalaPalace_00000571.jpg],5[potalaPalace_00000577.jpg],5[potalaPalace_00000473.jpg],5[potalaPalace_00000566.jpg],5[potalaPalace_00000365.jpg],5[potalaPalace_00000487.jpg],5[potalaPalace_00000690.jpg],5[potalaPalace_00000578.jpg],5[potalaPalace_00000590.jpg],5[potalaPalace_00000595.jpg],5[potalaPalace_00000589.jpg],5[potalaPalace_00000596.jpg],5[potalaPalace_00000573.jpg],5[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3P4MQ7TPPY21EBADBYA8NQWSTSMBB2,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:20:45 PDT 2016","Mon Sep 12 10:24:49 PDT 2016",2[potalaPalace_00000228.jpg],4[potalaPalace_00000210.jpg],4[potalaPalace_00000222.jpg],4[potalaPalace_00000229.jpg],4[potalaPalace_00000218.jpg],3[potalaPalace_00000244.jpg],3[potalaPalace_00000683.jpg],4[potalaPalace_00000667.jpg],4[potalaPalace_00000664.jpg],3[potalaPalace_00000665.jpg],4[potalaPalace_00000666.jpg],4[potalaPalace_00000570.jpg],3[potalaPalace_00000550.jpg],3[potalaPalace_00000575.jpg],3[potalaPalace_00000572.jpg],4[potalaPalace_00000591.jpg],4[potalaPalace_00000571.jpg],3[potalaPalace_00000577.jpg],4[potalaPalace_00000473.jpg],4[potalaPalace_00000566.jpg],4[potalaPalace_00000365.jpg],4[potalaPalace_00000487.jpg],3[potalaPalace_00000690.jpg],3[potalaPalace_00000578.jpg],4[potalaPalace_00000590.jpg],4[potalaPalace_00000595.jpg],4[potalaPalace_00000589.jpg],4[potalaPalace_00000596.jpg],4[potalaPalace_00000573.jpg],4[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3Y5140Z9DY6D5DPT0DKQ4X5U5MTIPB,AQHEHXSUXXYYH,Approved,"Mon Sep 12 10:59:54 PDT 2016","Mon Sep 12 11:01:46 PDT 2016",4[potalaPalace_00000228.jpg],4[potalaPalace_00000210.jpg],3[potalaPalace_00000222.jpg],4[potalaPalace_00000229.jpg],4[potalaPalace_00000218.jpg],3[potalaPalace_00000244.jpg],4[potalaPalace_00000683.jpg],4[potalaPalace_00000667.jpg],4[potalaPalace_00000664.jpg],4[potalaPalace_00000665.jpg],4[potalaPalace_00000666.jpg],4[potalaPalace_00000570.jpg],5[potalaPalace_00000550.jpg],5[potalaPalace_00000575.jpg],5[potalaPalace_00000572.jpg],5[potalaPalace_00000591.jpg],4[potalaPalace_00000571.jpg],5[potalaPalace_00000577.jpg],4[potalaPalace_00000473.jpg],4[potalaPalace_00000566.jpg],4[potalaPalace_00000365.jpg],5[potalaPalace_00000487.jpg],5[potalaPalace_00000690.jpg],4[potalaPalace_00000578.jpg],5[potalaPalace_00000590.jpg],5[potalaPalace_00000595.jpg],4[potalaPalace_00000589.jpg],5[potalaPalace_00000596.jpg],4[potalaPalace_00000573.jpg],4[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3IRIK4HM3BAEI4LOT7PVNUGIXD4C6K,A3HWRYYLLJYE4Z,Approved,"Mon Sep 12 13:31:28 PDT 2016","Mon Sep 12 13:33:24 PDT 2016",3[potalaPalace_00000228.jpg],4[potalaPalace_00000210.jpg],4[potalaPalace_00000222.jpg],5[potalaPalace_00000229.jpg],4[potalaPalace_00000218.jpg],4[potalaPalace_00000244.jpg],5[potalaPalace_00000683.jpg],5[potalaPalace_00000667.jpg],5[potalaPalace_00000664.jpg],4[potalaPalace_00000665.jpg],4[potalaPalace_00000666.jpg],4[potalaPalace_00000570.jpg],4[potalaPalace_00000550.jpg],5[potalaPalace_00000575.jpg],5[potalaPalace_00000572.jpg],5[potalaPalace_00000591.jpg],5[potalaPalace_00000571.jpg],5[potalaPalace_00000577.jpg],5[potalaPalace_00000473.jpg],5[potalaPalace_00000566.jpg],4[potalaPalace_00000365.jpg],5[potalaPalace_00000487.jpg],5[potalaPalace_00000690.jpg],5[potalaPalace_00000578.jpg],5[potalaPalace_00000590.jpg],5[potalaPalace_00000595.jpg],5[potalaPalace_00000589.jpg],5[potalaPalace_00000596.jpg],4[potalaPalace_00000573.jpg],4[potalaPalace_00000564.jpg],
39O6Z4JLX2NLE8DRV8OPOFM7E5WVXZ,"potalaPalace_120-149","sample#command",3QJOXOW4XKHV45QUCE272ED89QHEMF,A39BR7NYRDWC01,Approved,"Mon Sep 12 16:55:12 PDT 2016","Mon Sep 12 16:58:03 PDT 2016",4[potalaPalace_00000228.jpg],5[potalaPalace_00000210.jpg],4[potalaPalace_00000222.jpg],3[potalaPalace_00000229.jpg],5[potalaPalace_00000218.jpg],3[potalaPalace_00000244.jpg],4[potalaPalace_00000683.jpg],3[potalaPalace_00000667.jpg],5[potalaPalace_00000664.jpg],3[potalaPalace_00000665.jpg],5[potalaPalace_00000666.jpg],4[potalaPalace_00000570.jpg],5[potalaPalace_00000550.jpg],3[potalaPalace_00000575.jpg],5[potalaPalace_00000572.jpg],5[potalaPalace_00000591.jpg],5[potalaPalace_00000571.jpg],5[potalaPalace_00000577.jpg],3[potalaPalace_00000473.jpg],5[potalaPalace_00000566.jpg],3[potalaPalace_00000365.jpg],4[potalaPalace_00000487.jpg],3[potalaPalace_00000690.jpg],5[potalaPalace_00000578.jpg],4[potalaPalace_00000590.jpg],5[potalaPalace_00000595.jpg],4[potalaPalace_00000589.jpg],5[potalaPalace_00000596.jpg],4[potalaPalace_00000573.jpg],5[potalaPalace_00000564.jpg],
