HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3ZAZR5XV028G6E5ZVCM6KS9D2FICZO,AKXY2ATEM5DC2,Approved,"Mon Sep 12 08:03:22 PDT 2016","Mon Sep 12 08:17:25 PDT 2016",1[potalaPalace_00000254.jpg],1[potalaPalace_00000560.jpg],2[potalaPalace_00000247.jpg],2[potalaPalace_00000698.jpg],2[potalaPalace_00000219.jpg],2[potalaPalace_00000261.jpg],2[potalaPalace_00000696.jpg],2[potalaPalace_00000289.jpg],2[potalaPalace_00000680.jpg],2[potalaPalace_00000538.jpg],2[potalaPalace_00000216.jpg],2[potalaPalace_00000226.jpg],2[potalaPalace_00000269.jpg],3[potalaPalace_00000600.jpg],4[potalaPalace_00000223.jpg],4[potalaPalace_00000687.jpg],1[potalaPalace_00000213.jpg],2[potalaPalace_00000209.jpg],2[potalaPalace_00000661.jpg],4[potalaPalace_00000224.jpg],4[potalaPalace_00000221.jpg],3[potalaPalace_00000255.jpg],3[potalaPalace_00000677.jpg],3[potalaPalace_00000233.jpg],3[potalaPalace_00000230.jpg],3[potalaPalace_00000212.jpg],3[potalaPalace_00000674.jpg],4[potalaPalace_00000257.jpg],5[potalaPalace_00000211.jpg],2[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3YMU66OBIOY7W5LARCCIACQN4HUGHD,A2WLTDIILI4K16,Approved,"Mon Sep 12 08:11:56 PDT 2016","Mon Sep 12 08:19:53 PDT 2016",3[potalaPalace_00000254.jpg],3[potalaPalace_00000560.jpg],2[potalaPalace_00000247.jpg],2[potalaPalace_00000698.jpg],3[potalaPalace_00000219.jpg],3[potalaPalace_00000261.jpg],3[potalaPalace_00000696.jpg],4[potalaPalace_00000289.jpg],4[potalaPalace_00000680.jpg],4[potalaPalace_00000538.jpg],4[potalaPalace_00000216.jpg],4[potalaPalace_00000226.jpg],2[potalaPalace_00000269.jpg],2[potalaPalace_00000600.jpg],3[potalaPalace_00000223.jpg],4[potalaPalace_00000687.jpg],3[potalaPalace_00000213.jpg],3[potalaPalace_00000209.jpg],3[potalaPalace_00000661.jpg],3[potalaPalace_00000224.jpg],4[potalaPalace_00000221.jpg],3[potalaPalace_00000255.jpg],4[potalaPalace_00000677.jpg],5[potalaPalace_00000233.jpg],5[potalaPalace_00000230.jpg],4[potalaPalace_00000212.jpg],3[potalaPalace_00000674.jpg],4[potalaPalace_00000257.jpg],4[potalaPalace_00000211.jpg],4[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3VNXK88KKD8XZWTMIVNCXWV98KD9VA,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:44:17 PDT 2016","Mon Sep 12 08:46:13 PDT 2016",3[potalaPalace_00000254.jpg],2[potalaPalace_00000560.jpg],2[potalaPalace_00000247.jpg],1[potalaPalace_00000698.jpg],1[potalaPalace_00000219.jpg],2[potalaPalace_00000261.jpg],1[potalaPalace_00000696.jpg],2[potalaPalace_00000289.jpg],3[potalaPalace_00000680.jpg],4[potalaPalace_00000538.jpg],1[potalaPalace_00000216.jpg],2[potalaPalace_00000226.jpg],2[potalaPalace_00000269.jpg],2[potalaPalace_00000600.jpg],2[potalaPalace_00000223.jpg],2[potalaPalace_00000687.jpg],2[potalaPalace_00000213.jpg],4[potalaPalace_00000209.jpg],4[potalaPalace_00000661.jpg],2[potalaPalace_00000224.jpg],2[potalaPalace_00000221.jpg],2[potalaPalace_00000255.jpg],2[potalaPalace_00000677.jpg],3[potalaPalace_00000233.jpg],2[potalaPalace_00000230.jpg],3[potalaPalace_00000212.jpg],3[potalaPalace_00000674.jpg],3[potalaPalace_00000257.jpg],3[potalaPalace_00000211.jpg],3[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3R2UR8A0IB6SA82NKZ7CI7NJJU7XOF,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:48:23 PDT 2016","Mon Sep 12 08:53:54 PDT 2016",1[potalaPalace_00000254.jpg],1[potalaPalace_00000560.jpg],1[potalaPalace_00000247.jpg],1[potalaPalace_00000698.jpg],1[potalaPalace_00000219.jpg],1[potalaPalace_00000261.jpg],1[potalaPalace_00000696.jpg],1[potalaPalace_00000289.jpg],1[potalaPalace_00000680.jpg],1[potalaPalace_00000538.jpg],1[potalaPalace_00000216.jpg],2[potalaPalace_00000226.jpg],1[potalaPalace_00000269.jpg],1[potalaPalace_00000600.jpg],1[potalaPalace_00000223.jpg],1[potalaPalace_00000687.jpg],2[potalaPalace_00000213.jpg],2[potalaPalace_00000209.jpg],1[potalaPalace_00000661.jpg],1[potalaPalace_00000224.jpg],2[potalaPalace_00000221.jpg],1[potalaPalace_00000255.jpg],1[potalaPalace_00000677.jpg],1[potalaPalace_00000233.jpg],1[potalaPalace_00000230.jpg],2[potalaPalace_00000212.jpg],1[potalaPalace_00000674.jpg],2[potalaPalace_00000257.jpg],1[potalaPalace_00000211.jpg],1[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",317HQ483I8ID2SDGKY7Y080Z573NIV,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:18:07 PDT 2016","Mon Sep 12 09:20:02 PDT 2016",2[potalaPalace_00000254.jpg],2[potalaPalace_00000560.jpg],2[potalaPalace_00000247.jpg],2[potalaPalace_00000698.jpg],3[potalaPalace_00000219.jpg],2[potalaPalace_00000261.jpg],2[potalaPalace_00000696.jpg],3[potalaPalace_00000289.jpg],3[potalaPalace_00000680.jpg],3[potalaPalace_00000538.jpg],3[potalaPalace_00000216.jpg],2[potalaPalace_00000226.jpg],2[potalaPalace_00000269.jpg],3[potalaPalace_00000600.jpg],3[potalaPalace_00000223.jpg],3[potalaPalace_00000687.jpg],3[potalaPalace_00000213.jpg],3[potalaPalace_00000209.jpg],2[potalaPalace_00000661.jpg],2[potalaPalace_00000224.jpg],2[potalaPalace_00000221.jpg],2[potalaPalace_00000255.jpg],2[potalaPalace_00000677.jpg],3[potalaPalace_00000233.jpg],2[potalaPalace_00000230.jpg],3[potalaPalace_00000212.jpg],2[potalaPalace_00000674.jpg],3[potalaPalace_00000257.jpg],3[potalaPalace_00000211.jpg],2[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3V0Z7YWSIZQMZC8NXM8XN9NV2EAV2B,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:30:05 PDT 2016","Mon Sep 12 09:30:54 PDT 2016",5[potalaPalace_00000254.jpg],4[potalaPalace_00000560.jpg],5[potalaPalace_00000247.jpg],5[potalaPalace_00000698.jpg],5[potalaPalace_00000219.jpg],5[potalaPalace_00000261.jpg],5[potalaPalace_00000696.jpg],5[potalaPalace_00000289.jpg],5[potalaPalace_00000680.jpg],5[potalaPalace_00000538.jpg],5[potalaPalace_00000216.jpg],5[potalaPalace_00000226.jpg],5[potalaPalace_00000269.jpg],5[potalaPalace_00000600.jpg],5[potalaPalace_00000223.jpg],5[potalaPalace_00000687.jpg],5[potalaPalace_00000213.jpg],5[potalaPalace_00000209.jpg],5[potalaPalace_00000661.jpg],5[potalaPalace_00000224.jpg],5[potalaPalace_00000221.jpg],4[potalaPalace_00000255.jpg],5[potalaPalace_00000677.jpg],5[potalaPalace_00000233.jpg],5[potalaPalace_00000230.jpg],5[potalaPalace_00000212.jpg],5[potalaPalace_00000674.jpg],5[potalaPalace_00000257.jpg],5[potalaPalace_00000211.jpg],3[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3MRNMEIQW6W66HU9G7Q8WJGX876DLS,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:53:35 PDT 2016","Mon Sep 12 09:54:34 PDT 2016",5[potalaPalace_00000254.jpg],5[potalaPalace_00000560.jpg],5[potalaPalace_00000247.jpg],5[potalaPalace_00000698.jpg],5[potalaPalace_00000219.jpg],5[potalaPalace_00000261.jpg],5[potalaPalace_00000696.jpg],5[potalaPalace_00000289.jpg],5[potalaPalace_00000680.jpg],5[potalaPalace_00000538.jpg],5[potalaPalace_00000216.jpg],5[potalaPalace_00000226.jpg],5[potalaPalace_00000269.jpg],5[potalaPalace_00000600.jpg],5[potalaPalace_00000223.jpg],5[potalaPalace_00000687.jpg],5[potalaPalace_00000213.jpg],5[potalaPalace_00000209.jpg],5[potalaPalace_00000661.jpg],5[potalaPalace_00000224.jpg],5[potalaPalace_00000221.jpg],5[potalaPalace_00000255.jpg],5[potalaPalace_00000677.jpg],5[potalaPalace_00000233.jpg],5[potalaPalace_00000230.jpg],5[potalaPalace_00000212.jpg],5[potalaPalace_00000674.jpg],5[potalaPalace_00000257.jpg],5[potalaPalace_00000211.jpg],5[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3WYGZ5XF3X51O0V9SX9WCIPIKAESK1,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:07:44 PDT 2016","Mon Sep 12 10:10:27 PDT 2016",2[potalaPalace_00000254.jpg],4[potalaPalace_00000560.jpg],4[potalaPalace_00000247.jpg],3[potalaPalace_00000698.jpg],3[potalaPalace_00000219.jpg],4[potalaPalace_00000261.jpg],2[potalaPalace_00000696.jpg],3[potalaPalace_00000289.jpg],4[potalaPalace_00000680.jpg],4[potalaPalace_00000538.jpg],3[potalaPalace_00000216.jpg],5[potalaPalace_00000226.jpg],3[potalaPalace_00000269.jpg],1[potalaPalace_00000600.jpg],2[potalaPalace_00000223.jpg],5[potalaPalace_00000687.jpg],2[potalaPalace_00000213.jpg],1[potalaPalace_00000209.jpg],2[potalaPalace_00000661.jpg],4[potalaPalace_00000224.jpg],4[potalaPalace_00000221.jpg],5[potalaPalace_00000255.jpg],4[potalaPalace_00000677.jpg],4[potalaPalace_00000233.jpg],4[potalaPalace_00000230.jpg],3[potalaPalace_00000212.jpg],4[potalaPalace_00000674.jpg],4[potalaPalace_00000257.jpg],4[potalaPalace_00000211.jpg],5[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3S0TNUHWKU8BRAAQMIH4REURO7GD8F,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:37:50 PDT 2016","Mon Sep 12 10:39:40 PDT 2016",2[potalaPalace_00000254.jpg],4[potalaPalace_00000560.jpg],3[potalaPalace_00000247.jpg],3[potalaPalace_00000698.jpg],4[potalaPalace_00000219.jpg],3[potalaPalace_00000261.jpg],3[potalaPalace_00000696.jpg],3[potalaPalace_00000289.jpg],3[potalaPalace_00000680.jpg],4[potalaPalace_00000538.jpg],4[potalaPalace_00000216.jpg],2[potalaPalace_00000226.jpg],4[potalaPalace_00000269.jpg],4[potalaPalace_00000600.jpg],4[potalaPalace_00000223.jpg],3[potalaPalace_00000687.jpg],4[potalaPalace_00000213.jpg],4[potalaPalace_00000209.jpg],4[potalaPalace_00000661.jpg],3[potalaPalace_00000224.jpg],4[potalaPalace_00000221.jpg],4[potalaPalace_00000255.jpg],4[potalaPalace_00000677.jpg],4[potalaPalace_00000233.jpg],4[potalaPalace_00000230.jpg],4[potalaPalace_00000212.jpg],3[potalaPalace_00000674.jpg],4[potalaPalace_00000257.jpg],4[potalaPalace_00000211.jpg],3[potalaPalace_00000652.jpg],
39RRBHZ0AURAJ3D6WQCAL02IM5UVZW,"potalaPalace_90-119","sample#command",3GM6G9ZBKONXTO8R29R210D8BZ8MTC,A3ASXNSM7T3UMF,Approved,"Mon Sep 12 11:51:40 PDT 2016","Mon Sep 12 11:55:53 PDT 2016",5[potalaPalace_00000254.jpg],5[potalaPalace_00000560.jpg],5[potalaPalace_00000247.jpg],5[potalaPalace_00000698.jpg],5[potalaPalace_00000219.jpg],5[potalaPalace_00000261.jpg],5[potalaPalace_00000696.jpg],5[potalaPalace_00000289.jpg],5[potalaPalace_00000680.jpg],5[potalaPalace_00000538.jpg],5[potalaPalace_00000216.jpg],5[potalaPalace_00000226.jpg],5[potalaPalace_00000269.jpg],5[potalaPalace_00000600.jpg],5[potalaPalace_00000223.jpg],1[potalaPalace_00000687.jpg],5[potalaPalace_00000213.jpg],5[potalaPalace_00000209.jpg],5[potalaPalace_00000661.jpg],5[potalaPalace_00000224.jpg],5[potalaPalace_00000221.jpg],5[potalaPalace_00000255.jpg],5[potalaPalace_00000677.jpg],5[potalaPalace_00000233.jpg],5[potalaPalace_00000230.jpg],3[potalaPalace_00000212.jpg],3[potalaPalace_00000674.jpg],5[potalaPalace_00000257.jpg],5[potalaPalace_00000211.jpg],5[potalaPalace_00000652.jpg],
