HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3ZSY5X72NY18DCGBB01KTP1VICGOR2,A1V9MN88VQ1LEB,Approved,"Mon Sep 12 07:43:06 PDT 2016","Mon Sep 12 07:44:59 PDT 2016",4[potalaPalace_00000455.jpg],1[potalaPalace_00000624.jpg],2[potalaPalace_00000450.jpg],3[potalaPalace_00000421.jpg],4[potalaPalace_00000405.jpg],5[potalaPalace_00000394.jpg],5[potalaPalace_00000457.jpg],4[potalaPalace_00000508.jpg],2[potalaPalace_00000585.jpg],4[potalaPalace_00000520.jpg],4[potalaPalace_00000605.jpg],4[potalaPalace_00000456.jpg],3[potalaPalace_00000636.jpg],2[potalaPalace_00000444.jpg],4[potalaPalace_00000453.jpg],4[potalaPalace_00000399.jpg],3[potalaPalace_00000422.jpg],2[potalaPalace_00000481.jpg],5[potalaPalace_00000427.jpg],3[potalaPalace_00000471.jpg],5[potalaPalace_00000475.jpg],5[potalaPalace_00000387.jpg],3[potalaPalace_00000505.jpg],5[potalaPalace_00000497.jpg],4[potalaPalace_00000499.jpg],3[potalaPalace_00000606.jpg],3[potalaPalace_00000440.jpg],4[potalaPalace_00000400.jpg],4[potalaPalace_00000412.jpg],3[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3PDJHANYK665ZCW4FZ3WYLDYA4U6H6,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:41:06 PDT 2016","Mon Sep 12 08:45:36 PDT 2016",2[potalaPalace_00000455.jpg],1[potalaPalace_00000624.jpg],1[potalaPalace_00000450.jpg],1[potalaPalace_00000421.jpg],2[potalaPalace_00000405.jpg],1[potalaPalace_00000394.jpg],2[potalaPalace_00000457.jpg],3[potalaPalace_00000508.jpg],1[potalaPalace_00000585.jpg],3[potalaPalace_00000520.jpg],3[potalaPalace_00000605.jpg],2[potalaPalace_00000456.jpg],1[potalaPalace_00000636.jpg],3[potalaPalace_00000444.jpg],1[potalaPalace_00000453.jpg],2[potalaPalace_00000399.jpg],2[potalaPalace_00000422.jpg],1[potalaPalace_00000481.jpg],2[potalaPalace_00000427.jpg],3[potalaPalace_00000471.jpg],2[potalaPalace_00000475.jpg],3[potalaPalace_00000387.jpg],1[potalaPalace_00000505.jpg],2[potalaPalace_00000497.jpg],1[potalaPalace_00000499.jpg],1[potalaPalace_00000606.jpg],3[potalaPalace_00000440.jpg],3[potalaPalace_00000400.jpg],1[potalaPalace_00000412.jpg],2[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3ZPBJO59KQR4KLBJPMBA4RNQRQIHDA,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:52:26 PDT 2016","Mon Sep 12 08:54:02 PDT 2016",4[potalaPalace_00000455.jpg],3[potalaPalace_00000624.jpg],2[potalaPalace_00000450.jpg],2[potalaPalace_00000421.jpg],3[potalaPalace_00000405.jpg],2[potalaPalace_00000394.jpg],3[potalaPalace_00000457.jpg],1[potalaPalace_00000508.jpg],1[potalaPalace_00000585.jpg],1[potalaPalace_00000520.jpg],2[potalaPalace_00000605.jpg],3[potalaPalace_00000456.jpg],2[potalaPalace_00000636.jpg],2[potalaPalace_00000444.jpg],2[potalaPalace_00000453.jpg],1[potalaPalace_00000399.jpg],1[potalaPalace_00000422.jpg],1[potalaPalace_00000481.jpg],1[potalaPalace_00000427.jpg],2[potalaPalace_00000471.jpg],2[potalaPalace_00000475.jpg],2[potalaPalace_00000387.jpg],2[potalaPalace_00000505.jpg],3[potalaPalace_00000497.jpg],1[potalaPalace_00000499.jpg],1[potalaPalace_00000606.jpg],3[potalaPalace_00000440.jpg],4[potalaPalace_00000400.jpg],4[potalaPalace_00000412.jpg],1[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",33UKMF931AA16JYBB6SENE80563TTH,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:06:39 PDT 2016","Mon Sep 12 09:08:53 PDT 2016",4[potalaPalace_00000455.jpg],3[potalaPalace_00000624.jpg],3[potalaPalace_00000450.jpg],3[potalaPalace_00000421.jpg],3[potalaPalace_00000405.jpg],3[potalaPalace_00000394.jpg],4[potalaPalace_00000457.jpg],4[potalaPalace_00000508.jpg],3[potalaPalace_00000585.jpg],3[potalaPalace_00000520.jpg],2[potalaPalace_00000605.jpg],3[potalaPalace_00000456.jpg],2[potalaPalace_00000636.jpg],4[potalaPalace_00000444.jpg],4[potalaPalace_00000453.jpg],2[potalaPalace_00000399.jpg],2[potalaPalace_00000422.jpg],2[potalaPalace_00000481.jpg],4[potalaPalace_00000427.jpg],3[potalaPalace_00000471.jpg],3[potalaPalace_00000475.jpg],4[potalaPalace_00000387.jpg],4[potalaPalace_00000505.jpg],3[potalaPalace_00000497.jpg],3[potalaPalace_00000499.jpg],2[potalaPalace_00000606.jpg],5[potalaPalace_00000440.jpg],4[potalaPalace_00000400.jpg],4[potalaPalace_00000412.jpg],1[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3PQMUDRV7SWLOR2PNIU6V04IJ88II9,A1IP8I645Y1534,Approved,"Mon Sep 12 09:11:13 PDT 2016","Mon Sep 12 09:13:12 PDT 2016",5[potalaPalace_00000455.jpg],4[potalaPalace_00000624.jpg],3[potalaPalace_00000450.jpg],4[potalaPalace_00000421.jpg],4[potalaPalace_00000405.jpg],2[potalaPalace_00000394.jpg],3[potalaPalace_00000457.jpg],5[potalaPalace_00000508.jpg],3[potalaPalace_00000585.jpg],2[potalaPalace_00000520.jpg],2[potalaPalace_00000605.jpg],4[potalaPalace_00000456.jpg],3[potalaPalace_00000636.jpg],3[potalaPalace_00000444.jpg],3[potalaPalace_00000453.jpg],3[potalaPalace_00000399.jpg],3[potalaPalace_00000422.jpg],2[potalaPalace_00000481.jpg],2[potalaPalace_00000427.jpg],2[potalaPalace_00000471.jpg],3[potalaPalace_00000475.jpg],2[potalaPalace_00000387.jpg],3[potalaPalace_00000505.jpg],4[potalaPalace_00000497.jpg],4[potalaPalace_00000499.jpg],3[potalaPalace_00000606.jpg],3[potalaPalace_00000440.jpg],2[potalaPalace_00000400.jpg],2[potalaPalace_00000412.jpg],2[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3NC5L260MPCBAMB2K51QC0NCFPCOFG,A2WLTDIILI4K16,Approved,"Mon Sep 12 08:55:17 PDT 2016","Mon Sep 12 09:27:05 PDT 2016",4[potalaPalace_00000455.jpg],3[potalaPalace_00000624.jpg],3[potalaPalace_00000450.jpg],3[potalaPalace_00000421.jpg],4[potalaPalace_00000405.jpg],4[potalaPalace_00000394.jpg],3[potalaPalace_00000457.jpg],3[potalaPalace_00000508.jpg],3[potalaPalace_00000585.jpg],3[potalaPalace_00000520.jpg],3[potalaPalace_00000605.jpg],3[potalaPalace_00000456.jpg],2[potalaPalace_00000636.jpg],3[potalaPalace_00000444.jpg],3[potalaPalace_00000453.jpg],3[potalaPalace_00000399.jpg],3[potalaPalace_00000422.jpg],3[potalaPalace_00000481.jpg],4[potalaPalace_00000427.jpg],4[potalaPalace_00000471.jpg],2[potalaPalace_00000475.jpg],3[potalaPalace_00000387.jpg],3[potalaPalace_00000505.jpg],4[potalaPalace_00000497.jpg],2[potalaPalace_00000499.jpg],3[potalaPalace_00000606.jpg],3[potalaPalace_00000440.jpg],4[potalaPalace_00000400.jpg],4[potalaPalace_00000412.jpg],3[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3R6BYFZZP82Y4VPULWOMVDE5RTQFXL,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:37:31 PDT 2016","Mon Sep 12 09:39:19 PDT 2016",5[potalaPalace_00000455.jpg],3[potalaPalace_00000624.jpg],5[potalaPalace_00000450.jpg],5[potalaPalace_00000421.jpg],5[potalaPalace_00000405.jpg],5[potalaPalace_00000394.jpg],5[potalaPalace_00000457.jpg],5[potalaPalace_00000508.jpg],5[potalaPalace_00000585.jpg],5[potalaPalace_00000520.jpg],5[potalaPalace_00000605.jpg],5[potalaPalace_00000456.jpg],5[potalaPalace_00000636.jpg],5[potalaPalace_00000444.jpg],5[potalaPalace_00000453.jpg],5[potalaPalace_00000399.jpg],5[potalaPalace_00000422.jpg],5[potalaPalace_00000481.jpg],5[potalaPalace_00000427.jpg],5[potalaPalace_00000471.jpg],5[potalaPalace_00000475.jpg],5[potalaPalace_00000387.jpg],5[potalaPalace_00000505.jpg],5[potalaPalace_00000497.jpg],5[potalaPalace_00000499.jpg],5[potalaPalace_00000606.jpg],5[potalaPalace_00000440.jpg],5[potalaPalace_00000400.jpg],5[potalaPalace_00000412.jpg],3[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3N8OEVH1FSG5GZOVJ8KGZUWQ7QGOOF,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:49:27 PDT 2016","Mon Sep 12 09:50:46 PDT 2016",5[potalaPalace_00000455.jpg],5[potalaPalace_00000624.jpg],5[potalaPalace_00000450.jpg],5[potalaPalace_00000421.jpg],5[potalaPalace_00000405.jpg],5[potalaPalace_00000394.jpg],5[potalaPalace_00000457.jpg],5[potalaPalace_00000508.jpg],5[potalaPalace_00000585.jpg],5[potalaPalace_00000520.jpg],5[potalaPalace_00000605.jpg],5[potalaPalace_00000456.jpg],5[potalaPalace_00000636.jpg],5[potalaPalace_00000444.jpg],5[potalaPalace_00000453.jpg],5[potalaPalace_00000399.jpg],5[potalaPalace_00000422.jpg],5[potalaPalace_00000481.jpg],5[potalaPalace_00000427.jpg],5[potalaPalace_00000471.jpg],5[potalaPalace_00000475.jpg],5[potalaPalace_00000387.jpg],5[potalaPalace_00000505.jpg],5[potalaPalace_00000497.jpg],5[potalaPalace_00000499.jpg],5[potalaPalace_00000606.jpg],5[potalaPalace_00000440.jpg],5[potalaPalace_00000400.jpg],5[potalaPalace_00000412.jpg],5[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",32Z9ZLUT1MAVOI28FVPQFLZPV46HOO,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:00:00 PDT 2016","Mon Sep 12 10:01:26 PDT 2016",1[potalaPalace_00000455.jpg],1[potalaPalace_00000624.jpg],1[potalaPalace_00000450.jpg],1[potalaPalace_00000421.jpg],2[potalaPalace_00000405.jpg],2[potalaPalace_00000394.jpg],2[potalaPalace_00000457.jpg],2[potalaPalace_00000508.jpg],2[potalaPalace_00000585.jpg],2[potalaPalace_00000520.jpg],3[potalaPalace_00000605.jpg],2[potalaPalace_00000456.jpg],2[potalaPalace_00000636.jpg],1[potalaPalace_00000444.jpg],3[potalaPalace_00000453.jpg],2[potalaPalace_00000399.jpg],3[potalaPalace_00000422.jpg],2[potalaPalace_00000481.jpg],3[potalaPalace_00000427.jpg],3[potalaPalace_00000471.jpg],1[potalaPalace_00000475.jpg],3[potalaPalace_00000387.jpg],1[potalaPalace_00000505.jpg],2[potalaPalace_00000497.jpg],3[potalaPalace_00000499.jpg],2[potalaPalace_00000606.jpg],3[potalaPalace_00000440.jpg],4[potalaPalace_00000400.jpg],4[potalaPalace_00000412.jpg],2[potalaPalace_00000522.jpg],
3BAKUKE49H2LV0BHFVY8S9T3OK4R1A,"potalaPalace_390-419","sample#command",3CPLWGV3MPPKRRKDG41LNF1WMHZN9V,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:33:04 PDT 2016","Mon Sep 12 10:34:58 PDT 2016",4[potalaPalace_00000455.jpg],4[potalaPalace_00000624.jpg],4[potalaPalace_00000450.jpg],4[potalaPalace_00000421.jpg],4[potalaPalace_00000405.jpg],4[potalaPalace_00000394.jpg],4[potalaPalace_00000457.jpg],4[potalaPalace_00000508.jpg],4[potalaPalace_00000585.jpg],4[potalaPalace_00000520.jpg],4[potalaPalace_00000605.jpg],4[potalaPalace_00000456.jpg],4[potalaPalace_00000636.jpg],4[potalaPalace_00000444.jpg],4[potalaPalace_00000453.jpg],4[potalaPalace_00000399.jpg],4[potalaPalace_00000422.jpg],4[potalaPalace_00000481.jpg],4[potalaPalace_00000427.jpg],4[potalaPalace_00000471.jpg],3[potalaPalace_00000475.jpg],4[potalaPalace_00000387.jpg],3[potalaPalace_00000505.jpg],4[potalaPalace_00000497.jpg],4[potalaPalace_00000499.jpg],3[potalaPalace_00000606.jpg],4[potalaPalace_00000440.jpg],4[potalaPalace_00000400.jpg],4[potalaPalace_00000412.jpg],2[potalaPalace_00000522.jpg],
