HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",39ZSFO5CA9MMSTHVZH4KQ47TQHBUJU,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:58:32 PDT 2016","Mon Sep 12 08:09:12 PDT 2016",3[potalaPalace_00000670.jpg],2[potalaPalace_00000629.jpg],2[potalaPalace_00000695.jpg],5[potalaPalace_00000208.jpg],4[potalaPalace_00000331.jpg],4[potalaPalace_00000175.jpg],4[potalaPalace_00000313.jpg],4[potalaPalace_00000241.jpg],4[potalaPalace_00000242.jpg],3[potalaPalace_00000243.jpg],3[potalaPalace_00000346.jpg],3[potalaPalace_00000656.jpg],3[potalaPalace_00000253.jpg],3[potalaPalace_00000553.jpg],2[potalaPalace_00000169.jpg],3[potalaPalace_00000161.jpg],2[potalaPalace_00000200.jpg],3[potalaPalace_00000312.jpg],3[potalaPalace_00000268.jpg],2[potalaPalace_00000290.jpg],4[potalaPalace_00000146.jpg],5[potalaPalace_00000145.jpg],3[potalaPalace_00000342.jpg],4[potalaPalace_00000201.jpg],3[potalaPalace_00000153.jpg],4[potalaPalace_00000180.jpg],3[potalaPalace_00000178.jpg],4[potalaPalace_00000160.jpg],4[potalaPalace_00000195.jpg],4[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",32SVAV9L3GZRS618QRV6AWEANH13AJ,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:29:44 PDT 2016","Mon Sep 12 08:31:44 PDT 2016",5[potalaPalace_00000670.jpg],3[potalaPalace_00000629.jpg],2[potalaPalace_00000695.jpg],5[potalaPalace_00000208.jpg],2[potalaPalace_00000331.jpg],3[potalaPalace_00000175.jpg],4[potalaPalace_00000313.jpg],4[potalaPalace_00000241.jpg],3[potalaPalace_00000242.jpg],1[potalaPalace_00000243.jpg],2[potalaPalace_00000346.jpg],4[potalaPalace_00000656.jpg],1[potalaPalace_00000253.jpg],2[potalaPalace_00000553.jpg],1[potalaPalace_00000169.jpg],2[potalaPalace_00000161.jpg],1[potalaPalace_00000200.jpg],3[potalaPalace_00000312.jpg],2[potalaPalace_00000268.jpg],1[potalaPalace_00000290.jpg],2[potalaPalace_00000146.jpg],2[potalaPalace_00000145.jpg],3[potalaPalace_00000342.jpg],3[potalaPalace_00000201.jpg],4[potalaPalace_00000153.jpg],4[potalaPalace_00000180.jpg],4[potalaPalace_00000178.jpg],2[potalaPalace_00000160.jpg],5[potalaPalace_00000195.jpg],4[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",39LOEL67OTVD9I8TTTBSE58FXT038E,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:20:04 PDT 2016","Mon Sep 12 08:32:31 PDT 2016",1[potalaPalace_00000670.jpg],1[potalaPalace_00000629.jpg],1[potalaPalace_00000695.jpg],2[potalaPalace_00000208.jpg],2[potalaPalace_00000331.jpg],2[potalaPalace_00000175.jpg],3[potalaPalace_00000313.jpg],4[potalaPalace_00000241.jpg],4[potalaPalace_00000242.jpg],4[potalaPalace_00000243.jpg],5[potalaPalace_00000346.jpg],3[potalaPalace_00000656.jpg],3[potalaPalace_00000253.jpg],2[potalaPalace_00000553.jpg],2[potalaPalace_00000169.jpg],2[potalaPalace_00000161.jpg],2[potalaPalace_00000200.jpg],1[potalaPalace_00000312.jpg],4[potalaPalace_00000268.jpg],2[potalaPalace_00000290.jpg],2[potalaPalace_00000146.jpg],2[potalaPalace_00000145.jpg],2[potalaPalace_00000342.jpg],3[potalaPalace_00000201.jpg],3[potalaPalace_00000153.jpg],2[potalaPalace_00000180.jpg],3[potalaPalace_00000178.jpg],2[potalaPalace_00000160.jpg],2[potalaPalace_00000195.jpg],2[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",3OLQQLKKNTF53XK99HPFMMLQ4TLEJ1,A1A2F7EY4XCM4Q,Approved,"Mon Sep 12 08:34:37 PDT 2016","Mon Sep 12 08:36:21 PDT 2016",3[potalaPalace_00000670.jpg],1[potalaPalace_00000629.jpg],2[potalaPalace_00000695.jpg],3[potalaPalace_00000208.jpg],2[potalaPalace_00000331.jpg],4[potalaPalace_00000175.jpg],5[potalaPalace_00000313.jpg],5[potalaPalace_00000241.jpg],4[potalaPalace_00000242.jpg],3[potalaPalace_00000243.jpg],4[potalaPalace_00000346.jpg],4[potalaPalace_00000656.jpg],2[potalaPalace_00000253.jpg],1[potalaPalace_00000553.jpg],2[potalaPalace_00000169.jpg],1[potalaPalace_00000161.jpg],1[potalaPalace_00000200.jpg],1[potalaPalace_00000312.jpg],2[potalaPalace_00000268.jpg],1[potalaPalace_00000290.jpg],2[potalaPalace_00000146.jpg],3[potalaPalace_00000145.jpg],2[potalaPalace_00000342.jpg],3[potalaPalace_00000201.jpg],2[potalaPalace_00000153.jpg],1[potalaPalace_00000180.jpg],2[potalaPalace_00000178.jpg],2[potalaPalace_00000160.jpg],2[potalaPalace_00000195.jpg],1[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",340UGXU9DZRVJOHPG6I3TSINL4MVUK,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:41:59 PDT 2016","Mon Sep 12 08:43:59 PDT 2016",3[potalaPalace_00000670.jpg],3[potalaPalace_00000629.jpg],3[potalaPalace_00000695.jpg],3[potalaPalace_00000208.jpg],2[potalaPalace_00000331.jpg],3[potalaPalace_00000175.jpg],4[potalaPalace_00000313.jpg],5[potalaPalace_00000241.jpg],4[potalaPalace_00000242.jpg],3[potalaPalace_00000243.jpg],4[potalaPalace_00000346.jpg],2[potalaPalace_00000656.jpg],2[potalaPalace_00000253.jpg],3[potalaPalace_00000553.jpg],3[potalaPalace_00000169.jpg],3[potalaPalace_00000161.jpg],3[potalaPalace_00000200.jpg],2[potalaPalace_00000312.jpg],3[potalaPalace_00000268.jpg],2[potalaPalace_00000290.jpg],3[potalaPalace_00000146.jpg],3[potalaPalace_00000145.jpg],2[potalaPalace_00000342.jpg],4[potalaPalace_00000201.jpg],3[potalaPalace_00000153.jpg],3[potalaPalace_00000180.jpg],3[potalaPalace_00000178.jpg],3[potalaPalace_00000160.jpg],4[potalaPalace_00000195.jpg],3[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",3K3R2QNK8CTXMH4MD5D71ATQUDA9UR,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:22:37 PDT 2016","Mon Sep 12 09:24:06 PDT 2016",3[potalaPalace_00000670.jpg],4[potalaPalace_00000629.jpg],4[potalaPalace_00000695.jpg],5[potalaPalace_00000208.jpg],5[potalaPalace_00000331.jpg],5[potalaPalace_00000175.jpg],5[potalaPalace_00000313.jpg],5[potalaPalace_00000241.jpg],5[potalaPalace_00000242.jpg],5[potalaPalace_00000243.jpg],5[potalaPalace_00000346.jpg],5[potalaPalace_00000656.jpg],5[potalaPalace_00000253.jpg],5[potalaPalace_00000553.jpg],4[potalaPalace_00000169.jpg],5[potalaPalace_00000161.jpg],5[potalaPalace_00000200.jpg],4[potalaPalace_00000312.jpg],5[potalaPalace_00000268.jpg],5[potalaPalace_00000290.jpg],5[potalaPalace_00000146.jpg],5[potalaPalace_00000145.jpg],5[potalaPalace_00000342.jpg],5[potalaPalace_00000201.jpg],5[potalaPalace_00000153.jpg],5[potalaPalace_00000180.jpg],5[potalaPalace_00000178.jpg],5[potalaPalace_00000160.jpg],5[potalaPalace_00000195.jpg],5[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",3O7L7BFSHFF98M03RZ4FAL6QRF6IE5,A1JZPN783049RW,Approved,"Mon Sep 12 09:35:24 PDT 2016","Mon Sep 12 09:37:41 PDT 2016",3[potalaPalace_00000670.jpg],4[potalaPalace_00000629.jpg],4[potalaPalace_00000695.jpg],5[potalaPalace_00000208.jpg],4[potalaPalace_00000331.jpg],4[potalaPalace_00000175.jpg],4[potalaPalace_00000313.jpg],4[potalaPalace_00000241.jpg],4[potalaPalace_00000242.jpg],4[potalaPalace_00000243.jpg],5[potalaPalace_00000346.jpg],3[potalaPalace_00000656.jpg],4[potalaPalace_00000253.jpg],4[potalaPalace_00000553.jpg],4[potalaPalace_00000169.jpg],4[potalaPalace_00000161.jpg],3[potalaPalace_00000200.jpg],4[potalaPalace_00000312.jpg],5[potalaPalace_00000268.jpg],3[potalaPalace_00000290.jpg],4[potalaPalace_00000146.jpg],4[potalaPalace_00000145.jpg],4[potalaPalace_00000342.jpg],4[potalaPalace_00000201.jpg],4[potalaPalace_00000153.jpg],4[potalaPalace_00000180.jpg],4[potalaPalace_00000178.jpg],3[potalaPalace_00000160.jpg],3[potalaPalace_00000195.jpg],4[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",323Q6SJS8J61I5PFGS60SRQB33EHF1,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:57:58 PDT 2016","Mon Sep 12 09:59:06 PDT 2016",5[potalaPalace_00000670.jpg],5[potalaPalace_00000629.jpg],5[potalaPalace_00000695.jpg],5[potalaPalace_00000208.jpg],5[potalaPalace_00000331.jpg],5[potalaPalace_00000175.jpg],5[potalaPalace_00000313.jpg],5[potalaPalace_00000241.jpg],5[potalaPalace_00000242.jpg],5[potalaPalace_00000243.jpg],5[potalaPalace_00000346.jpg],5[potalaPalace_00000656.jpg],5[potalaPalace_00000253.jpg],5[potalaPalace_00000553.jpg],5[potalaPalace_00000169.jpg],5[potalaPalace_00000161.jpg],5[potalaPalace_00000200.jpg],5[potalaPalace_00000312.jpg],5[potalaPalace_00000268.jpg],5[potalaPalace_00000290.jpg],5[potalaPalace_00000146.jpg],5[potalaPalace_00000145.jpg],5[potalaPalace_00000342.jpg],5[potalaPalace_00000201.jpg],5[potalaPalace_00000153.jpg],5[potalaPalace_00000180.jpg],5[potalaPalace_00000178.jpg],5[potalaPalace_00000160.jpg],5[potalaPalace_00000195.jpg],5[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",3HHRAGRYX9V29CKPHJ1Y2411CR19OT,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:15:52 PDT 2016","Mon Sep 12 10:18:09 PDT 2016",4[potalaPalace_00000670.jpg],3[potalaPalace_00000629.jpg],3[potalaPalace_00000695.jpg],4[potalaPalace_00000208.jpg],3[potalaPalace_00000331.jpg],4[potalaPalace_00000175.jpg],5[potalaPalace_00000313.jpg],4[potalaPalace_00000241.jpg],4[potalaPalace_00000242.jpg],4[potalaPalace_00000243.jpg],5[potalaPalace_00000346.jpg],4[potalaPalace_00000656.jpg],4[potalaPalace_00000253.jpg],4[potalaPalace_00000553.jpg],3[potalaPalace_00000169.jpg],4[potalaPalace_00000161.jpg],3[potalaPalace_00000200.jpg],4[potalaPalace_00000312.jpg],4[potalaPalace_00000268.jpg],4[potalaPalace_00000290.jpg],4[potalaPalace_00000146.jpg],4[potalaPalace_00000145.jpg],3[potalaPalace_00000342.jpg],4[potalaPalace_00000201.jpg],3[potalaPalace_00000153.jpg],3[potalaPalace_00000180.jpg],4[potalaPalace_00000178.jpg],4[potalaPalace_00000160.jpg],5[potalaPalace_00000195.jpg],2[potalaPalace_00000179.jpg],
3E9VAUV7BW4QMP03P9JVB6F3V1PYA7,"potalaPalace_600-629","sample#command",3L70J4KAZHCPAY35JG1IN50MEWDADF,A3HWRYYLLJYE4Z,Approved,"Mon Sep 12 14:24:38 PDT 2016","Mon Sep 12 14:26:40 PDT 2016",3[potalaPalace_00000670.jpg],1[potalaPalace_00000629.jpg],3[potalaPalace_00000695.jpg],3[potalaPalace_00000208.jpg],4[potalaPalace_00000331.jpg],5[potalaPalace_00000175.jpg],5[potalaPalace_00000313.jpg],5[potalaPalace_00000241.jpg],5[potalaPalace_00000242.jpg],5[potalaPalace_00000243.jpg],5[potalaPalace_00000346.jpg],5[potalaPalace_00000656.jpg],5[potalaPalace_00000253.jpg],5[potalaPalace_00000553.jpg],2[potalaPalace_00000169.jpg],3[potalaPalace_00000161.jpg],3[potalaPalace_00000200.jpg],4[potalaPalace_00000312.jpg],4[potalaPalace_00000268.jpg],4[potalaPalace_00000290.jpg],4[potalaPalace_00000146.jpg],5[potalaPalace_00000145.jpg],5[potalaPalace_00000342.jpg],5[potalaPalace_00000201.jpg],5[potalaPalace_00000153.jpg],5[potalaPalace_00000180.jpg],4[potalaPalace_00000178.jpg],4[potalaPalace_00000160.jpg],4[potalaPalace_00000195.jpg],4[potalaPalace_00000179.jpg],
