HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3H7XDTSHKDHPTVGZMBYIBF0AJ54WGQ,A285E5FTA8GGID,Approved,"Mon Sep 12 07:43:32 PDT 2016","Mon Sep 12 07:48:48 PDT 2016",4[potalaPalace_00000106.jpg],4[potalaPalace_00000098.jpg],2[potalaPalace_00000018.jpg],4[potalaPalace_00000104.jpg],5[potalaPalace_00000129.jpg],5[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],5[potalaPalace_00000114.jpg],3[potalaPalace_00000532.jpg],3[potalaPalace_00000052.jpg],2[potalaPalace_00000199.jpg],4[potalaPalace_00000632.jpg],2[potalaPalace_00000035.jpg],2[potalaPalace_00000061.jpg],3[potalaPalace_00000074.jpg],4[potalaPalace_00000119.jpg],3[potalaPalace_00000020.jpg],2[potalaPalace_00000132.jpg],4[potalaPalace_00000197.jpg],4[potalaPalace_00000122.jpg],5[potalaPalace_00000099.jpg],3[potalaPalace_00000142.jpg],3[potalaPalace_00000101.jpg],4[potalaPalace_00000355.jpg],4[potalaPalace_00000563.jpg],3[potalaPalace_00000124.jpg],3[potalaPalace_00000530.jpg],2[potalaPalace_00000587.jpg],4[potalaPalace_00000276.jpg],3[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",34BBWHLWHB13PMMUCZYLWRDQYIXIW5,A1CO7S8BZUQROB,Approved,"Mon Sep 12 07:52:10 PDT 2016","Mon Sep 12 07:57:15 PDT 2016",2[potalaPalace_00000106.jpg],1[potalaPalace_00000098.jpg],4[potalaPalace_00000018.jpg],1[potalaPalace_00000104.jpg],2[potalaPalace_00000129.jpg],2[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],3[potalaPalace_00000114.jpg],4[potalaPalace_00000532.jpg],5[potalaPalace_00000052.jpg],2[potalaPalace_00000199.jpg],3[potalaPalace_00000632.jpg],1[potalaPalace_00000035.jpg],2[potalaPalace_00000061.jpg],3[potalaPalace_00000074.jpg],1[potalaPalace_00000119.jpg],3[potalaPalace_00000020.jpg],1[potalaPalace_00000132.jpg],3[potalaPalace_00000197.jpg],3[potalaPalace_00000122.jpg],2[potalaPalace_00000099.jpg],4[potalaPalace_00000142.jpg],2[potalaPalace_00000101.jpg],4[potalaPalace_00000355.jpg],2[potalaPalace_00000563.jpg],3[potalaPalace_00000124.jpg],2[potalaPalace_00000530.jpg],2[potalaPalace_00000587.jpg],3[potalaPalace_00000276.jpg],3[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",36ZN444YTSOVKDDSLD7BFX04VG2IOX,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:37:21 PDT 2016","Mon Sep 12 08:39:06 PDT 2016",5[potalaPalace_00000106.jpg],3[potalaPalace_00000098.jpg],3[potalaPalace_00000018.jpg],3[potalaPalace_00000104.jpg],4[potalaPalace_00000129.jpg],5[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],5[potalaPalace_00000114.jpg],5[potalaPalace_00000532.jpg],4[potalaPalace_00000052.jpg],3[potalaPalace_00000199.jpg],2[potalaPalace_00000632.jpg],1[potalaPalace_00000035.jpg],3[potalaPalace_00000061.jpg],3[potalaPalace_00000074.jpg],2[potalaPalace_00000119.jpg],2[potalaPalace_00000020.jpg],2[potalaPalace_00000132.jpg],2[potalaPalace_00000197.jpg],3[potalaPalace_00000122.jpg],4[potalaPalace_00000099.jpg],1[potalaPalace_00000142.jpg],2[potalaPalace_00000101.jpg],5[potalaPalace_00000355.jpg],2[potalaPalace_00000563.jpg],3[potalaPalace_00000124.jpg],4[potalaPalace_00000530.jpg],3[potalaPalace_00000587.jpg],5[potalaPalace_00000276.jpg],3[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3E13VNJ1NOLAOL6RFB9031NW26TI1D,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:45:45 PDT 2016","Mon Sep 12 09:03:25 PDT 2016",3[potalaPalace_00000106.jpg],4[potalaPalace_00000098.jpg],4[potalaPalace_00000018.jpg],2[potalaPalace_00000104.jpg],5[potalaPalace_00000129.jpg],5[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],4[potalaPalace_00000114.jpg],4[potalaPalace_00000532.jpg],4[potalaPalace_00000052.jpg],3[potalaPalace_00000199.jpg],1[potalaPalace_00000632.jpg],2[potalaPalace_00000035.jpg],2[potalaPalace_00000061.jpg],3[potalaPalace_00000074.jpg],4[potalaPalace_00000119.jpg],1[potalaPalace_00000020.jpg],2[potalaPalace_00000132.jpg],3[potalaPalace_00000197.jpg],3[potalaPalace_00000122.jpg],4[potalaPalace_00000099.jpg],5[potalaPalace_00000142.jpg],4[potalaPalace_00000101.jpg],4[potalaPalace_00000355.jpg],4[potalaPalace_00000563.jpg],3[potalaPalace_00000124.jpg],3[potalaPalace_00000530.jpg],2[potalaPalace_00000587.jpg],3[potalaPalace_00000276.jpg],3[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3YT88D1N09OX4JAU2I8V4AH6SU13K6,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:13:22 PDT 2016","Mon Sep 12 09:15:42 PDT 2016",5[potalaPalace_00000106.jpg],2[potalaPalace_00000098.jpg],3[potalaPalace_00000018.jpg],2[potalaPalace_00000104.jpg],3[potalaPalace_00000129.jpg],4[potalaPalace_00000126.jpg],3[potalaPalace_00000100.jpg],4[potalaPalace_00000114.jpg],3[potalaPalace_00000532.jpg],3[potalaPalace_00000052.jpg],2[potalaPalace_00000199.jpg],3[potalaPalace_00000632.jpg],2[potalaPalace_00000035.jpg],3[potalaPalace_00000061.jpg],3[potalaPalace_00000074.jpg],3[potalaPalace_00000119.jpg],3[potalaPalace_00000020.jpg],2[potalaPalace_00000132.jpg],2[potalaPalace_00000197.jpg],3[potalaPalace_00000122.jpg],5[potalaPalace_00000099.jpg],2[potalaPalace_00000142.jpg],4[potalaPalace_00000101.jpg],4[potalaPalace_00000355.jpg],2[potalaPalace_00000563.jpg],3[potalaPalace_00000124.jpg],3[potalaPalace_00000530.jpg],3[potalaPalace_00000587.jpg],4[potalaPalace_00000276.jpg],3[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3B1NLC6UG0MZ9MJYAPKNJLSEQ9DGPT,A4CXZ28FD2HIY,Approved,"Mon Sep 12 09:24:36 PDT 2016","Mon Sep 12 09:25:40 PDT 2016",4[potalaPalace_00000106.jpg],4[potalaPalace_00000098.jpg],5[potalaPalace_00000018.jpg],3[potalaPalace_00000104.jpg],4[potalaPalace_00000129.jpg],4[potalaPalace_00000126.jpg],4[potalaPalace_00000100.jpg],4[potalaPalace_00000114.jpg],4[potalaPalace_00000532.jpg],5[potalaPalace_00000052.jpg],4[potalaPalace_00000199.jpg],2[potalaPalace_00000632.jpg],4[potalaPalace_00000035.jpg],4[potalaPalace_00000061.jpg],5[potalaPalace_00000074.jpg],4[potalaPalace_00000119.jpg],4[potalaPalace_00000020.jpg],3[potalaPalace_00000132.jpg],5[potalaPalace_00000197.jpg],5[potalaPalace_00000122.jpg],5[potalaPalace_00000099.jpg],4[potalaPalace_00000142.jpg],5[potalaPalace_00000101.jpg],4[potalaPalace_00000355.jpg],4[potalaPalace_00000563.jpg],4[potalaPalace_00000124.jpg],5[potalaPalace_00000530.jpg],4[potalaPalace_00000587.jpg],5[potalaPalace_00000276.jpg],4[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3634BBTX0PK1E00ZMAOLS3RQ3GKIFM,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:32:54 PDT 2016","Mon Sep 12 09:34:08 PDT 2016",1[potalaPalace_00000106.jpg],5[potalaPalace_00000098.jpg],5[potalaPalace_00000018.jpg],5[potalaPalace_00000104.jpg],5[potalaPalace_00000129.jpg],5[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],5[potalaPalace_00000114.jpg],5[potalaPalace_00000532.jpg],5[potalaPalace_00000052.jpg],5[potalaPalace_00000199.jpg],5[potalaPalace_00000632.jpg],5[potalaPalace_00000035.jpg],5[potalaPalace_00000061.jpg],5[potalaPalace_00000074.jpg],5[potalaPalace_00000119.jpg],5[potalaPalace_00000020.jpg],5[potalaPalace_00000132.jpg],5[potalaPalace_00000197.jpg],5[potalaPalace_00000122.jpg],5[potalaPalace_00000099.jpg],5[potalaPalace_00000142.jpg],5[potalaPalace_00000101.jpg],3[potalaPalace_00000355.jpg],4[potalaPalace_00000563.jpg],5[potalaPalace_00000124.jpg],5[potalaPalace_00000530.jpg],5[potalaPalace_00000587.jpg],5[potalaPalace_00000276.jpg],5[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3DH6GAKTYZFT9H64R44VHJ1W54IYZ2,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:49:13 PDT 2016","Mon Sep 12 09:49:46 PDT 2016",5[potalaPalace_00000106.jpg],5[potalaPalace_00000098.jpg],5[potalaPalace_00000018.jpg],5[potalaPalace_00000104.jpg],5[potalaPalace_00000129.jpg],5[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],5[potalaPalace_00000114.jpg],5[potalaPalace_00000532.jpg],5[potalaPalace_00000052.jpg],5[potalaPalace_00000199.jpg],5[potalaPalace_00000632.jpg],5[potalaPalace_00000035.jpg],5[potalaPalace_00000061.jpg],5[potalaPalace_00000074.jpg],5[potalaPalace_00000119.jpg],5[potalaPalace_00000020.jpg],5[potalaPalace_00000132.jpg],5[potalaPalace_00000197.jpg],5[potalaPalace_00000122.jpg],5[potalaPalace_00000099.jpg],5[potalaPalace_00000142.jpg],5[potalaPalace_00000101.jpg],5[potalaPalace_00000355.jpg],5[potalaPalace_00000563.jpg],5[potalaPalace_00000124.jpg],5[potalaPalace_00000530.jpg],5[potalaPalace_00000587.jpg],5[potalaPalace_00000276.jpg],5[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",32SVAV9L3GZRS618QRV6AWEANIIA39,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 09:52:15 PDT 2016","Mon Sep 12 09:54:52 PDT 2016",2[potalaPalace_00000106.jpg],4[potalaPalace_00000098.jpg],5[potalaPalace_00000018.jpg],1[potalaPalace_00000104.jpg],2[potalaPalace_00000129.jpg],3[potalaPalace_00000126.jpg],4[potalaPalace_00000100.jpg],5[potalaPalace_00000114.jpg],3[potalaPalace_00000532.jpg],5[potalaPalace_00000052.jpg],4[potalaPalace_00000199.jpg],1[potalaPalace_00000632.jpg],2[potalaPalace_00000035.jpg],3[potalaPalace_00000061.jpg],5[potalaPalace_00000074.jpg],5[potalaPalace_00000119.jpg],4[potalaPalace_00000020.jpg],5[potalaPalace_00000132.jpg],3[potalaPalace_00000197.jpg],1[potalaPalace_00000122.jpg],4[potalaPalace_00000099.jpg],5[potalaPalace_00000142.jpg],4[potalaPalace_00000101.jpg],5[potalaPalace_00000355.jpg],4[potalaPalace_00000563.jpg],2[potalaPalace_00000124.jpg],3[potalaPalace_00000530.jpg],1[potalaPalace_00000587.jpg],5[potalaPalace_00000276.jpg],4[potalaPalace_00000204.jpg],
3IVEC1GSLPP4XCS47QPZQI7CE3AJ1A,"potalaPalace_30-59","sample#command",3XCC1ODXDM1BYOTRQDTOIUWVXEUQRA,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:44:09 PDT 2016","Mon Sep 12 10:45:50 PDT 2016",5[potalaPalace_00000106.jpg],4[potalaPalace_00000098.jpg],4[potalaPalace_00000018.jpg],4[potalaPalace_00000104.jpg],5[potalaPalace_00000129.jpg],5[potalaPalace_00000126.jpg],5[potalaPalace_00000100.jpg],5[potalaPalace_00000114.jpg],5[potalaPalace_00000532.jpg],4[potalaPalace_00000052.jpg],4[potalaPalace_00000199.jpg],4[potalaPalace_00000632.jpg],3[potalaPalace_00000035.jpg],4[potalaPalace_00000061.jpg],4[potalaPalace_00000074.jpg],4[potalaPalace_00000119.jpg],4[potalaPalace_00000020.jpg],3[potalaPalace_00000132.jpg],4[potalaPalace_00000197.jpg],5[potalaPalace_00000122.jpg],5[potalaPalace_00000099.jpg],4[potalaPalace_00000142.jpg],4[potalaPalace_00000101.jpg],4[potalaPalace_00000355.jpg],3[potalaPalace_00000563.jpg],5[potalaPalace_00000124.jpg],4[potalaPalace_00000530.jpg],4[potalaPalace_00000587.jpg],5[potalaPalace_00000276.jpg],3[potalaPalace_00000204.jpg],
