HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",3BV8HQ2ZZXRQPPOQ9TT4HZQUX8Z6AO,A39BR7NYRDWC01,Approved,"Mon Sep 12 07:52:29 PDT 2016","Mon Sep 12 07:55:54 PDT 2016",4[potalaPalace_00000013.jpg],5[potalaPalace_00000103.jpg],5[potalaPalace_00000107.jpg],4[potalaPalace_00000017.jpg],5[potalaPalace_00000535.jpg],2[potalaPalace_00000133.jpg],4[potalaPalace_00000016.jpg],3[potalaPalace_00000039.jpg],5[potalaPalace_00000019.jpg],4[potalaPalace_00000011.jpg],3[potalaPalace_00000089.jpg],5[potalaPalace_00000067.jpg],5[potalaPalace_00000121.jpg],4[potalaPalace_00000033.jpg],3[potalaPalace_00000036.jpg],5[potalaPalace_00000097.jpg],5[potalaPalace_00000130.jpg],5[potalaPalace_00000094.jpg],5[potalaPalace_00000612.jpg],5[potalaPalace_00000344.jpg],4[potalaPalace_00000062.jpg],4[potalaPalace_00000323.jpg],5[potalaPalace_00000050.jpg],4[potalaPalace_00000352.jpg],5[potalaPalace_00000063.jpg],5[potalaPalace_00000056.jpg],5[potalaPalace_00000171.jpg],4[potalaPalace_00000115.jpg],5[potalaPalace_00000072.jpg],4[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",33FOTY3KENBJBIKRN1DESYP1P051CO,A1C36IQ6BS0WCH,Approved,"Mon Sep 12 08:00:01 PDT 2016","Mon Sep 12 08:02:27 PDT 2016",3[potalaPalace_00000013.jpg],4[potalaPalace_00000103.jpg],3[potalaPalace_00000107.jpg],3[potalaPalace_00000017.jpg],4[potalaPalace_00000535.jpg],4[potalaPalace_00000133.jpg],2[potalaPalace_00000016.jpg],3[potalaPalace_00000039.jpg],4[potalaPalace_00000019.jpg],3[potalaPalace_00000011.jpg],1[potalaPalace_00000089.jpg],2[potalaPalace_00000067.jpg],3[potalaPalace_00000121.jpg],2[potalaPalace_00000033.jpg],3[potalaPalace_00000036.jpg],4[potalaPalace_00000097.jpg],4[potalaPalace_00000130.jpg],5[potalaPalace_00000094.jpg],4[potalaPalace_00000612.jpg],4[potalaPalace_00000344.jpg],4[potalaPalace_00000062.jpg],1[potalaPalace_00000323.jpg],5[potalaPalace_00000050.jpg],3[potalaPalace_00000352.jpg],4[potalaPalace_00000063.jpg],4[potalaPalace_00000056.jpg],3[potalaPalace_00000171.jpg],5[potalaPalace_00000115.jpg],4[potalaPalace_00000072.jpg],4[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",3QFUFYSY9Z576T1K1LMHY2H7YXAF4T,A36ZLJKXCC5REN,Approved,"Mon Sep 12 08:36:22 PDT 2016","Mon Sep 12 08:38:21 PDT 2016",5[potalaPalace_00000013.jpg],5[potalaPalace_00000103.jpg],5[potalaPalace_00000107.jpg],5[potalaPalace_00000017.jpg],5[potalaPalace_00000535.jpg],5[potalaPalace_00000133.jpg],5[potalaPalace_00000016.jpg],5[potalaPalace_00000039.jpg],5[potalaPalace_00000019.jpg],5[potalaPalace_00000011.jpg],5[potalaPalace_00000089.jpg],5[potalaPalace_00000067.jpg],5[potalaPalace_00000121.jpg],5[potalaPalace_00000033.jpg],5[potalaPalace_00000036.jpg],5[potalaPalace_00000097.jpg],5[potalaPalace_00000130.jpg],5[potalaPalace_00000094.jpg],5[potalaPalace_00000612.jpg],5[potalaPalace_00000344.jpg],5[potalaPalace_00000062.jpg],4[potalaPalace_00000323.jpg],4[potalaPalace_00000050.jpg],5[potalaPalace_00000352.jpg],5[potalaPalace_00000063.jpg],5[potalaPalace_00000056.jpg],4[potalaPalace_00000171.jpg],5[potalaPalace_00000115.jpg],5[potalaPalace_00000072.jpg],5[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",3M68NM076IXIO6A7B4FQCPF4XCRR6L,A1TFJG7Z5OJC8I,Approved,"Mon Sep 12 08:39:41 PDT 2016","Mon Sep 12 08:42:31 PDT 2016",3[potalaPalace_00000013.jpg],4[potalaPalace_00000103.jpg],4[potalaPalace_00000107.jpg],4[potalaPalace_00000017.jpg],5[potalaPalace_00000535.jpg],5[potalaPalace_00000133.jpg],5[potalaPalace_00000016.jpg],3[potalaPalace_00000039.jpg],2[potalaPalace_00000019.jpg],4[potalaPalace_00000011.jpg],1[potalaPalace_00000089.jpg],1[potalaPalace_00000067.jpg],1[potalaPalace_00000121.jpg],3[potalaPalace_00000033.jpg],3[potalaPalace_00000036.jpg],3[potalaPalace_00000097.jpg],2[potalaPalace_00000130.jpg],2[potalaPalace_00000094.jpg],1[potalaPalace_00000612.jpg],1[potalaPalace_00000344.jpg],3[potalaPalace_00000062.jpg],1[potalaPalace_00000323.jpg],3[potalaPalace_00000050.jpg],2[potalaPalace_00000352.jpg],3[potalaPalace_00000063.jpg],2[potalaPalace_00000056.jpg],3[potalaPalace_00000171.jpg],3[potalaPalace_00000115.jpg],2[potalaPalace_00000072.jpg],3[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",388U7OUMF8RNAVOS9FZ93O5DKA60RW,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:40:50 PDT 2016","Mon Sep 12 08:44:00 PDT 2016",3[potalaPalace_00000013.jpg],2[potalaPalace_00000103.jpg],1[potalaPalace_00000107.jpg],2[potalaPalace_00000017.jpg],1[potalaPalace_00000535.jpg],3[potalaPalace_00000133.jpg],3[potalaPalace_00000016.jpg],3[potalaPalace_00000039.jpg],2[potalaPalace_00000019.jpg],3[potalaPalace_00000011.jpg],2[potalaPalace_00000089.jpg],3[potalaPalace_00000067.jpg],2[potalaPalace_00000121.jpg],3[potalaPalace_00000033.jpg],2[potalaPalace_00000036.jpg],3[potalaPalace_00000097.jpg],4[potalaPalace_00000130.jpg],4[potalaPalace_00000094.jpg],1[potalaPalace_00000612.jpg],1[potalaPalace_00000344.jpg],2[potalaPalace_00000062.jpg],1[potalaPalace_00000323.jpg],3[potalaPalace_00000050.jpg],2[potalaPalace_00000352.jpg],4[potalaPalace_00000063.jpg],3[potalaPalace_00000056.jpg],3[potalaPalace_00000171.jpg],1[potalaPalace_00000115.jpg],3[potalaPalace_00000072.jpg],3[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",3H0W84IWBLSM1L3MHMYOOD7HEBIERY,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:57:13 PDT 2016","Mon Sep 12 08:59:06 PDT 2016",3[potalaPalace_00000013.jpg],4[potalaPalace_00000103.jpg],2[potalaPalace_00000107.jpg],3[potalaPalace_00000017.jpg],1[potalaPalace_00000535.jpg],3[potalaPalace_00000133.jpg],3[potalaPalace_00000016.jpg],2[potalaPalace_00000039.jpg],3[potalaPalace_00000019.jpg],3[potalaPalace_00000011.jpg],2[potalaPalace_00000089.jpg],3[potalaPalace_00000067.jpg],2[potalaPalace_00000121.jpg],2[potalaPalace_00000033.jpg],2[potalaPalace_00000036.jpg],4[potalaPalace_00000097.jpg],3[potalaPalace_00000130.jpg],3[potalaPalace_00000094.jpg],2[potalaPalace_00000612.jpg],2[potalaPalace_00000344.jpg],3[potalaPalace_00000062.jpg],2[potalaPalace_00000323.jpg],3[potalaPalace_00000050.jpg],2[potalaPalace_00000352.jpg],4[potalaPalace_00000063.jpg],3[potalaPalace_00000056.jpg],3[potalaPalace_00000171.jpg],3[potalaPalace_00000115.jpg],2[potalaPalace_00000072.jpg],3[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",388U7OUMF8RNAVOS9FZ93O5DKA90RZ,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:59:42 PDT 2016","Mon Sep 12 09:01:25 PDT 2016",4[potalaPalace_00000013.jpg],3[potalaPalace_00000103.jpg],3[potalaPalace_00000107.jpg],2[potalaPalace_00000017.jpg],2[potalaPalace_00000535.jpg],1[potalaPalace_00000133.jpg],1[potalaPalace_00000016.jpg],2[potalaPalace_00000039.jpg],1[potalaPalace_00000019.jpg],2[potalaPalace_00000011.jpg],1[potalaPalace_00000089.jpg],4[potalaPalace_00000067.jpg],2[potalaPalace_00000121.jpg],5[potalaPalace_00000033.jpg],3[potalaPalace_00000036.jpg],3[potalaPalace_00000097.jpg],4[potalaPalace_00000130.jpg],3[potalaPalace_00000094.jpg],3[potalaPalace_00000612.jpg],2[potalaPalace_00000344.jpg],3[potalaPalace_00000062.jpg],2[potalaPalace_00000323.jpg],4[potalaPalace_00000050.jpg],3[potalaPalace_00000352.jpg],2[potalaPalace_00000063.jpg],3[potalaPalace_00000056.jpg],3[potalaPalace_00000171.jpg],4[potalaPalace_00000115.jpg],4[potalaPalace_00000072.jpg],2[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",3UOUJI6MTE4NNDMKGLJLHDF81G2UXW,A2WLTDIILI4K16,Approved,"Mon Sep 12 09:29:13 PDT 2016","Mon Sep 12 09:39:55 PDT 2016",4[potalaPalace_00000013.jpg],3[potalaPalace_00000103.jpg],2[potalaPalace_00000107.jpg],4[potalaPalace_00000017.jpg],2[potalaPalace_00000535.jpg],3[potalaPalace_00000133.jpg],4[potalaPalace_00000016.jpg],3[potalaPalace_00000039.jpg],4[potalaPalace_00000019.jpg],4[potalaPalace_00000011.jpg],3[potalaPalace_00000089.jpg],4[potalaPalace_00000067.jpg],2[potalaPalace_00000121.jpg],4[potalaPalace_00000033.jpg],4[potalaPalace_00000036.jpg],3[potalaPalace_00000097.jpg],3[potalaPalace_00000130.jpg],3[potalaPalace_00000094.jpg],2[potalaPalace_00000612.jpg],2[potalaPalace_00000344.jpg],4[potalaPalace_00000062.jpg],3[potalaPalace_00000323.jpg],3[potalaPalace_00000050.jpg],3[potalaPalace_00000352.jpg],4[potalaPalace_00000063.jpg],4[potalaPalace_00000056.jpg],4[potalaPalace_00000171.jpg],3[potalaPalace_00000115.jpg],3[potalaPalace_00000072.jpg],4[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",30BXRYBRP5N3TRBA6HG0WFCBY60HWV,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:44:35 PDT 2016","Mon Sep 12 09:47:20 PDT 2016",5[potalaPalace_00000013.jpg],5[potalaPalace_00000103.jpg],5[potalaPalace_00000107.jpg],5[potalaPalace_00000017.jpg],5[potalaPalace_00000535.jpg],5[potalaPalace_00000133.jpg],5[potalaPalace_00000016.jpg],5[potalaPalace_00000039.jpg],5[potalaPalace_00000019.jpg],5[potalaPalace_00000011.jpg],5[potalaPalace_00000089.jpg],5[potalaPalace_00000067.jpg],5[potalaPalace_00000121.jpg],5[potalaPalace_00000033.jpg],5[potalaPalace_00000036.jpg],5[potalaPalace_00000097.jpg],5[potalaPalace_00000130.jpg],5[potalaPalace_00000094.jpg],5[potalaPalace_00000612.jpg],5[potalaPalace_00000344.jpg],5[potalaPalace_00000062.jpg],5[potalaPalace_00000323.jpg],5[potalaPalace_00000050.jpg],5[potalaPalace_00000352.jpg],5[potalaPalace_00000063.jpg],5[potalaPalace_00000056.jpg],5[potalaPalace_00000171.jpg],5[potalaPalace_00000115.jpg],5[potalaPalace_00000072.jpg],5[potalaPalace_00000198.jpg],
3J06WJ78HNATAJ8WVTN70UPMYUOVVW,"potalaPalace_510-539","sample#command",3ZAZR5XV028G6E5ZVCM6KS9D2GZZCU,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:46:46 PDT 2016","Mon Sep 12 09:47:52 PDT 2016",5[potalaPalace_00000013.jpg],5[potalaPalace_00000103.jpg],5[potalaPalace_00000107.jpg],5[potalaPalace_00000017.jpg],5[potalaPalace_00000535.jpg],5[potalaPalace_00000133.jpg],5[potalaPalace_00000016.jpg],5[potalaPalace_00000039.jpg],5[potalaPalace_00000019.jpg],5[potalaPalace_00000011.jpg],5[potalaPalace_00000089.jpg],5[potalaPalace_00000067.jpg],5[potalaPalace_00000121.jpg],5[potalaPalace_00000033.jpg],5[potalaPalace_00000036.jpg],5[potalaPalace_00000097.jpg],5[potalaPalace_00000130.jpg],5[potalaPalace_00000094.jpg],5[potalaPalace_00000612.jpg],5[potalaPalace_00000344.jpg],5[potalaPalace_00000062.jpg],5[potalaPalace_00000323.jpg],5[potalaPalace_00000050.jpg],5[potalaPalace_00000352.jpg],5[potalaPalace_00000063.jpg],5[potalaPalace_00000056.jpg],5[potalaPalace_00000171.jpg],5[potalaPalace_00000115.jpg],5[potalaPalace_00000072.jpg],5[potalaPalace_00000198.jpg],
