HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3XIQGXAUMDYLP2AO3DQA7L1OT4VX7L,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:26:53 PDT 2016","Mon Sep 12 08:29:12 PDT 2016",4[potalaPalace_00000604.jpg],3[potalaPalace_00000311.jpg],4[potalaPalace_00000248.jpg],4[potalaPalace_00000207.jpg],4[potalaPalace_00000185.jpg],3[potalaPalace_00000154.jpg],3[potalaPalace_00000658.jpg],4[potalaPalace_00000264.jpg],3[potalaPalace_00000649.jpg],3[potalaPalace_00000320.jpg],3[potalaPalace_00000164.jpg],4[potalaPalace_00000294.jpg],5[potalaPalace_00000274.jpg],4[potalaPalace_00000299.jpg],2[potalaPalace_00000155.jpg],4[potalaPalace_00000249.jpg],3[potalaPalace_00000306.jpg],3[potalaPalace_00000183.jpg],3[potalaPalace_00000191.jpg],3[potalaPalace_00000533.jpg],2[potalaPalace_00000615.jpg],3[potalaPalace_00000281.jpg],4[potalaPalace_00000295.jpg],4[potalaPalace_00000280.jpg],4[potalaPalace_00000635.jpg],4[potalaPalace_00000296.jpg],3[potalaPalace_00000638.jpg],3[potalaPalace_00000163.jpg],4[potalaPalace_00000548.jpg],4[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3HFNH7HEMI4K9YKDA2ZCJQIOV4RQGK,A20PV3RB3I0W8S,Approved,"Mon Sep 12 08:29:02 PDT 2016","Mon Sep 12 08:31:28 PDT 2016",4[potalaPalace_00000604.jpg],3[potalaPalace_00000311.jpg],5[potalaPalace_00000248.jpg],2[potalaPalace_00000207.jpg],3[potalaPalace_00000185.jpg],4[potalaPalace_00000154.jpg],3[potalaPalace_00000658.jpg],3[potalaPalace_00000264.jpg],1[potalaPalace_00000649.jpg],2[potalaPalace_00000320.jpg],1[potalaPalace_00000164.jpg],3[potalaPalace_00000294.jpg],3[potalaPalace_00000274.jpg],3[potalaPalace_00000299.jpg],2[potalaPalace_00000155.jpg],1[potalaPalace_00000249.jpg],2[potalaPalace_00000306.jpg],2[potalaPalace_00000183.jpg],2[potalaPalace_00000191.jpg],2[potalaPalace_00000533.jpg],2[potalaPalace_00000615.jpg],3[potalaPalace_00000281.jpg],3[potalaPalace_00000295.jpg],3[potalaPalace_00000280.jpg],2[potalaPalace_00000635.jpg],3[potalaPalace_00000296.jpg],2[potalaPalace_00000638.jpg],4[potalaPalace_00000163.jpg],4[potalaPalace_00000548.jpg],4[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3Z9WI9EOZ0ECYRHTH3XX84IGBYDKHM,A1TFJG7Z5OJC8I,Approved,"Mon Sep 12 08:36:39 PDT 2016","Mon Sep 12 08:39:06 PDT 2016",1[potalaPalace_00000604.jpg],4[potalaPalace_00000311.jpg],5[potalaPalace_00000248.jpg],3[potalaPalace_00000207.jpg],4[potalaPalace_00000185.jpg],3[potalaPalace_00000154.jpg],4[potalaPalace_00000658.jpg],4[potalaPalace_00000264.jpg],3[potalaPalace_00000649.jpg],2[potalaPalace_00000320.jpg],2[potalaPalace_00000164.jpg],4[potalaPalace_00000294.jpg],4[potalaPalace_00000274.jpg],3[potalaPalace_00000299.jpg],3[potalaPalace_00000155.jpg],2[potalaPalace_00000249.jpg],1[potalaPalace_00000306.jpg],2[potalaPalace_00000183.jpg],2[potalaPalace_00000191.jpg],3[potalaPalace_00000533.jpg],2[potalaPalace_00000615.jpg],5[potalaPalace_00000281.jpg],5[potalaPalace_00000295.jpg],1[potalaPalace_00000280.jpg],2[potalaPalace_00000635.jpg],3[potalaPalace_00000296.jpg],2[potalaPalace_00000638.jpg],4[potalaPalace_00000163.jpg],4[potalaPalace_00000548.jpg],3[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3OSWBBLG1FN16BBYUQTW7DBKFG0DXY,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:41:04 PDT 2016","Mon Sep 12 08:46:54 PDT 2016",1[potalaPalace_00000604.jpg],2[potalaPalace_00000311.jpg],2[potalaPalace_00000248.jpg],1[potalaPalace_00000207.jpg],3[potalaPalace_00000185.jpg],3[potalaPalace_00000154.jpg],3[potalaPalace_00000658.jpg],3[potalaPalace_00000264.jpg],2[potalaPalace_00000649.jpg],2[potalaPalace_00000320.jpg],2[potalaPalace_00000164.jpg],3[potalaPalace_00000294.jpg],3[potalaPalace_00000274.jpg],3[potalaPalace_00000299.jpg],2[potalaPalace_00000155.jpg],3[potalaPalace_00000249.jpg],3[potalaPalace_00000306.jpg],2[potalaPalace_00000183.jpg],3[potalaPalace_00000191.jpg],3[potalaPalace_00000533.jpg],1[potalaPalace_00000615.jpg],2[potalaPalace_00000281.jpg],2[potalaPalace_00000295.jpg],2[potalaPalace_00000280.jpg],2[potalaPalace_00000635.jpg],3[potalaPalace_00000296.jpg],2[potalaPalace_00000638.jpg],2[potalaPalace_00000163.jpg],2[potalaPalace_00000548.jpg],3[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3AWETUDC93I7JHRZNMISVV78FL7IZ3,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:54:19 PDT 2016","Mon Sep 12 08:55:52 PDT 2016",1[potalaPalace_00000604.jpg],2[potalaPalace_00000311.jpg],4[potalaPalace_00000248.jpg],4[potalaPalace_00000207.jpg],3[potalaPalace_00000185.jpg],3[potalaPalace_00000154.jpg],2[potalaPalace_00000658.jpg],4[potalaPalace_00000264.jpg],4[potalaPalace_00000649.jpg],3[potalaPalace_00000320.jpg],2[potalaPalace_00000164.jpg],4[potalaPalace_00000294.jpg],4[potalaPalace_00000274.jpg],2[potalaPalace_00000299.jpg],2[potalaPalace_00000155.jpg],2[potalaPalace_00000249.jpg],1[potalaPalace_00000306.jpg],1[potalaPalace_00000183.jpg],2[potalaPalace_00000191.jpg],2[potalaPalace_00000533.jpg],1[potalaPalace_00000615.jpg],3[potalaPalace_00000281.jpg],3[potalaPalace_00000295.jpg],2[potalaPalace_00000280.jpg],3[potalaPalace_00000635.jpg],2[potalaPalace_00000296.jpg],3[potalaPalace_00000638.jpg],3[potalaPalace_00000163.jpg],2[potalaPalace_00000548.jpg],2[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3LPW2N6LKUSELU2AAF0QPUOO8HN5US,A2WLTDIILI4K16,Approved,"Mon Sep 12 08:55:21 PDT 2016","Mon Sep 12 09:28:51 PDT 2016",2[potalaPalace_00000604.jpg],3[potalaPalace_00000311.jpg],4[potalaPalace_00000248.jpg],4[potalaPalace_00000207.jpg],4[potalaPalace_00000185.jpg],3[potalaPalace_00000154.jpg],4[potalaPalace_00000658.jpg],5[potalaPalace_00000264.jpg],3[potalaPalace_00000649.jpg],2[potalaPalace_00000320.jpg],3[potalaPalace_00000164.jpg],4[potalaPalace_00000294.jpg],5[potalaPalace_00000274.jpg],4[potalaPalace_00000299.jpg],4[potalaPalace_00000155.jpg],4[potalaPalace_00000249.jpg],5[potalaPalace_00000306.jpg],5[potalaPalace_00000183.jpg],5[potalaPalace_00000191.jpg],5[potalaPalace_00000533.jpg],3[potalaPalace_00000615.jpg],5[potalaPalace_00000281.jpg],5[potalaPalace_00000295.jpg],5[potalaPalace_00000280.jpg],5[potalaPalace_00000635.jpg],4[potalaPalace_00000296.jpg],4[potalaPalace_00000638.jpg],5[potalaPalace_00000163.jpg],4[potalaPalace_00000548.jpg],4[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3QHK8ZVMIN8DRKWP2BZ21TSX5MOBLD,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:37:41 PDT 2016","Mon Sep 12 09:39:05 PDT 2016",3[potalaPalace_00000604.jpg],5[potalaPalace_00000311.jpg],5[potalaPalace_00000248.jpg],4[potalaPalace_00000207.jpg],5[potalaPalace_00000185.jpg],5[potalaPalace_00000154.jpg],5[potalaPalace_00000658.jpg],5[potalaPalace_00000264.jpg],5[potalaPalace_00000649.jpg],5[potalaPalace_00000320.jpg],5[potalaPalace_00000164.jpg],5[potalaPalace_00000294.jpg],5[potalaPalace_00000274.jpg],5[potalaPalace_00000299.jpg],5[potalaPalace_00000155.jpg],5[potalaPalace_00000249.jpg],5[potalaPalace_00000306.jpg],5[potalaPalace_00000183.jpg],5[potalaPalace_00000191.jpg],5[potalaPalace_00000533.jpg],5[potalaPalace_00000615.jpg],5[potalaPalace_00000281.jpg],5[potalaPalace_00000295.jpg],5[potalaPalace_00000280.jpg],5[potalaPalace_00000635.jpg],5[potalaPalace_00000296.jpg],5[potalaPalace_00000638.jpg],5[potalaPalace_00000163.jpg],5[potalaPalace_00000548.jpg],5[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3SEPORI8WOPSDZ81BYQFEXJP2DGAZ5,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:50:47 PDT 2016","Mon Sep 12 09:51:32 PDT 2016",5[potalaPalace_00000604.jpg],5[potalaPalace_00000311.jpg],5[potalaPalace_00000248.jpg],5[potalaPalace_00000207.jpg],5[potalaPalace_00000185.jpg],5[potalaPalace_00000154.jpg],5[potalaPalace_00000658.jpg],5[potalaPalace_00000264.jpg],5[potalaPalace_00000649.jpg],5[potalaPalace_00000320.jpg],5[potalaPalace_00000164.jpg],5[potalaPalace_00000294.jpg],5[potalaPalace_00000274.jpg],5[potalaPalace_00000299.jpg],5[potalaPalace_00000155.jpg],5[potalaPalace_00000249.jpg],5[potalaPalace_00000306.jpg],5[potalaPalace_00000183.jpg],5[potalaPalace_00000191.jpg],5[potalaPalace_00000533.jpg],5[potalaPalace_00000615.jpg],5[potalaPalace_00000281.jpg],5[potalaPalace_00000295.jpg],5[potalaPalace_00000280.jpg],5[potalaPalace_00000635.jpg],5[potalaPalace_00000296.jpg],5[potalaPalace_00000638.jpg],5[potalaPalace_00000163.jpg],5[potalaPalace_00000548.jpg],4[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",3QAPZX2QN5366B77UPK82GX58I9020,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:01:50 PDT 2016","Mon Sep 12 10:03:21 PDT 2016",1[potalaPalace_00000604.jpg],2[potalaPalace_00000311.jpg],2[potalaPalace_00000248.jpg],4[potalaPalace_00000207.jpg],3[potalaPalace_00000185.jpg],2[potalaPalace_00000154.jpg],4[potalaPalace_00000658.jpg],2[potalaPalace_00000264.jpg],2[potalaPalace_00000649.jpg],2[potalaPalace_00000320.jpg],3[potalaPalace_00000164.jpg],2[potalaPalace_00000294.jpg],4[potalaPalace_00000274.jpg],2[potalaPalace_00000299.jpg],3[potalaPalace_00000155.jpg],4[potalaPalace_00000249.jpg],2[potalaPalace_00000306.jpg],3[potalaPalace_00000183.jpg],3[potalaPalace_00000191.jpg],2[potalaPalace_00000533.jpg],3[potalaPalace_00000615.jpg],2[potalaPalace_00000281.jpg],3[potalaPalace_00000295.jpg],3[potalaPalace_00000280.jpg],2[potalaPalace_00000635.jpg],4[potalaPalace_00000296.jpg],2[potalaPalace_00000638.jpg],2[potalaPalace_00000163.jpg],2[potalaPalace_00000548.jpg],3[potalaPalace_00000232.jpg],
3J9UN9O9J3I4QN7MB7LZCDO29B4J07,"potalaPalace_210-239","sample#command",37FMASSAYDHB1JOJH82P9D05OI7IBJ,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:28:06 PDT 2016","Mon Sep 12 10:30:04 PDT 2016",2[potalaPalace_00000604.jpg],4[potalaPalace_00000311.jpg],5[potalaPalace_00000248.jpg],4[potalaPalace_00000207.jpg],4[potalaPalace_00000185.jpg],4[potalaPalace_00000154.jpg],4[potalaPalace_00000658.jpg],4[potalaPalace_00000264.jpg],4[potalaPalace_00000649.jpg],3[potalaPalace_00000320.jpg],3[potalaPalace_00000164.jpg],4[potalaPalace_00000294.jpg],4[potalaPalace_00000274.jpg],4[potalaPalace_00000299.jpg],3[potalaPalace_00000155.jpg],4[potalaPalace_00000249.jpg],3[potalaPalace_00000306.jpg],4[potalaPalace_00000183.jpg],4[potalaPalace_00000191.jpg],4[potalaPalace_00000533.jpg],3[potalaPalace_00000615.jpg],4[potalaPalace_00000281.jpg],4[potalaPalace_00000295.jpg],4[potalaPalace_00000280.jpg],4[potalaPalace_00000635.jpg],4[potalaPalace_00000296.jpg],4[potalaPalace_00000638.jpg],4[potalaPalace_00000163.jpg],4[potalaPalace_00000548.jpg],4[potalaPalace_00000232.jpg],
