HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3V0Z7YWSIZQMZC8NXM8XN9NV2DYV2X,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:58:26 PDT 2016","Mon Sep 12 08:00:44 PDT 2016",4[potalaPalace_00000307.jpg],4[potalaPalace_00000109.jpg],4[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],5[potalaPalace_00000432.jpg],4[potalaPalace_00000379.jpg],4[potalaPalace_00000465.jpg],3[potalaPalace_00000436.jpg],1[potalaPalace_00000621.jpg],4[potalaPalace_00000384.jpg],4[potalaPalace_00000415.jpg],3[potalaPalace_00000410.jpg],2[potalaPalace_00000449.jpg],3[potalaPalace_00000392.jpg],2[potalaPalace_00000463.jpg],3[potalaPalace_00000460.jpg],4[potalaPalace_00000447.jpg],1[potalaPalace_00000628.jpg],4[potalaPalace_00000408.jpg],3[potalaPalace_00000386.jpg],3[potalaPalace_00000468.jpg],3[potalaPalace_00000401.jpg],4[potalaPalace_00000414.jpg],3[potalaPalace_00000519.jpg],5[potalaPalace_00000501.jpg],3[potalaPalace_00000513.jpg],3[potalaPalace_00000404.jpg],5[potalaPalace_00000528.jpg],4[potalaPalace_00000474.jpg],3[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3U5JL4WY5LZO6FS51FS349HE222X4Y,AENDSV6FLIUQR,Approved,"Mon Sep 12 07:58:27 PDT 2016","Mon Sep 12 08:00:56 PDT 2016",2[potalaPalace_00000307.jpg],3[potalaPalace_00000109.jpg],4[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],5[potalaPalace_00000432.jpg],5[potalaPalace_00000379.jpg],4[potalaPalace_00000465.jpg],4[potalaPalace_00000436.jpg],3[potalaPalace_00000621.jpg],3[potalaPalace_00000384.jpg],3[potalaPalace_00000415.jpg],3[potalaPalace_00000410.jpg],3[potalaPalace_00000449.jpg],4[potalaPalace_00000392.jpg],3[potalaPalace_00000463.jpg],4[potalaPalace_00000460.jpg],4[potalaPalace_00000447.jpg],3[potalaPalace_00000628.jpg],4[potalaPalace_00000408.jpg],2[potalaPalace_00000386.jpg],2[potalaPalace_00000468.jpg],3[potalaPalace_00000401.jpg],3[potalaPalace_00000414.jpg],4[potalaPalace_00000519.jpg],3[potalaPalace_00000501.jpg],3[potalaPalace_00000513.jpg],4[potalaPalace_00000404.jpg],3[potalaPalace_00000528.jpg],2[potalaPalace_00000474.jpg],3[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3G0WWMR1UWAQJQ1ZX6C79ARLWGBNQN,A39BR7NYRDWC01,Approved,"Mon Sep 12 08:08:35 PDT 2016","Mon Sep 12 08:10:49 PDT 2016",4[potalaPalace_00000307.jpg],3[potalaPalace_00000109.jpg],4[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],5[potalaPalace_00000432.jpg],4[potalaPalace_00000379.jpg],5[potalaPalace_00000465.jpg],5[potalaPalace_00000436.jpg],5[potalaPalace_00000621.jpg],5[potalaPalace_00000384.jpg],4[potalaPalace_00000415.jpg],5[potalaPalace_00000410.jpg],5[potalaPalace_00000449.jpg],5[potalaPalace_00000392.jpg],4[potalaPalace_00000463.jpg],5[potalaPalace_00000460.jpg],4[potalaPalace_00000447.jpg],5[potalaPalace_00000628.jpg],5[potalaPalace_00000408.jpg],3[potalaPalace_00000386.jpg],4[potalaPalace_00000468.jpg],4[potalaPalace_00000401.jpg],4[potalaPalace_00000414.jpg],5[potalaPalace_00000519.jpg],5[potalaPalace_00000501.jpg],4[potalaPalace_00000513.jpg],4[potalaPalace_00000404.jpg],5[potalaPalace_00000528.jpg],4[potalaPalace_00000474.jpg],5[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3DUZQ9U6SNEF4BPLR1N3ER0Z07ZSVZ,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:19:40 PDT 2016","Mon Sep 12 08:23:05 PDT 2016",2[potalaPalace_00000307.jpg],4[potalaPalace_00000109.jpg],3[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],4[potalaPalace_00000432.jpg],4[potalaPalace_00000379.jpg],4[potalaPalace_00000465.jpg],4[potalaPalace_00000436.jpg],1[potalaPalace_00000621.jpg],3[potalaPalace_00000384.jpg],3[potalaPalace_00000415.jpg],3[potalaPalace_00000410.jpg],1[potalaPalace_00000449.jpg],4[potalaPalace_00000392.jpg],2[potalaPalace_00000463.jpg],2[potalaPalace_00000460.jpg],3[potalaPalace_00000447.jpg],1[potalaPalace_00000628.jpg],2[potalaPalace_00000408.jpg],2[potalaPalace_00000386.jpg],3[potalaPalace_00000468.jpg],3[potalaPalace_00000401.jpg],3[potalaPalace_00000414.jpg],1[potalaPalace_00000519.jpg],2[potalaPalace_00000501.jpg],2[potalaPalace_00000513.jpg],2[potalaPalace_00000404.jpg],3[potalaPalace_00000528.jpg],2[potalaPalace_00000474.jpg],2[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",34PGFRQONP1ZKX60UHJL8SSQBXPWJY,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:32:58 PDT 2016","Mon Sep 12 08:35:04 PDT 2016",3[potalaPalace_00000307.jpg],4[potalaPalace_00000109.jpg],3[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],5[potalaPalace_00000432.jpg],4[potalaPalace_00000379.jpg],3[potalaPalace_00000465.jpg],4[potalaPalace_00000436.jpg],3[potalaPalace_00000621.jpg],4[potalaPalace_00000384.jpg],3[potalaPalace_00000415.jpg],3[potalaPalace_00000410.jpg],3[potalaPalace_00000449.jpg],5[potalaPalace_00000392.jpg],3[potalaPalace_00000463.jpg],4[potalaPalace_00000460.jpg],2[potalaPalace_00000447.jpg],2[potalaPalace_00000628.jpg],4[potalaPalace_00000408.jpg],3[potalaPalace_00000386.jpg],2[potalaPalace_00000468.jpg],4[potalaPalace_00000401.jpg],3[potalaPalace_00000414.jpg],2[potalaPalace_00000519.jpg],5[potalaPalace_00000501.jpg],4[potalaPalace_00000513.jpg],4[potalaPalace_00000404.jpg],3[potalaPalace_00000528.jpg],3[potalaPalace_00000474.jpg],3[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",31LVTDXBL8007RDEY8LS18X1N8ILRR,AWQDOOSNH42QM,Approved,"Mon Sep 12 08:54:32 PDT 2016","Mon Sep 12 08:56:05 PDT 2016",4[potalaPalace_00000307.jpg],4[potalaPalace_00000109.jpg],4[potalaPalace_00000025.jpg],5[potalaPalace_00000424.jpg],4[potalaPalace_00000432.jpg],5[potalaPalace_00000379.jpg],5[potalaPalace_00000465.jpg],5[potalaPalace_00000436.jpg],4[potalaPalace_00000621.jpg],5[potalaPalace_00000384.jpg],5[potalaPalace_00000415.jpg],5[potalaPalace_00000410.jpg],5[potalaPalace_00000449.jpg],5[potalaPalace_00000392.jpg],5[potalaPalace_00000463.jpg],4[potalaPalace_00000460.jpg],4[potalaPalace_00000447.jpg],3[potalaPalace_00000628.jpg],5[potalaPalace_00000408.jpg],5[potalaPalace_00000386.jpg],5[potalaPalace_00000468.jpg],5[potalaPalace_00000401.jpg],5[potalaPalace_00000414.jpg],5[potalaPalace_00000519.jpg],5[potalaPalace_00000501.jpg],5[potalaPalace_00000513.jpg],5[potalaPalace_00000404.jpg],5[potalaPalace_00000528.jpg],5[potalaPalace_00000474.jpg],5[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",31Z0PCVWUL5E8L14Y3PDIIGIG9H7TO,A12U9NV5I1T7A5,Approved,"Mon Sep 12 09:32:15 PDT 2016","Mon Sep 12 09:34:20 PDT 2016",5[potalaPalace_00000307.jpg],4[potalaPalace_00000109.jpg],4[potalaPalace_00000025.jpg],5[potalaPalace_00000424.jpg],5[potalaPalace_00000432.jpg],4[potalaPalace_00000379.jpg],4[potalaPalace_00000465.jpg],5[potalaPalace_00000436.jpg],1[potalaPalace_00000621.jpg],4[potalaPalace_00000384.jpg],4[potalaPalace_00000415.jpg],4[potalaPalace_00000410.jpg],3[potalaPalace_00000449.jpg],4[potalaPalace_00000392.jpg],3[potalaPalace_00000463.jpg],3[potalaPalace_00000460.jpg],3[potalaPalace_00000447.jpg],4[potalaPalace_00000628.jpg],3[potalaPalace_00000408.jpg],4[potalaPalace_00000386.jpg],4[potalaPalace_00000468.jpg],4[potalaPalace_00000401.jpg],3[potalaPalace_00000414.jpg],3[potalaPalace_00000519.jpg],4[potalaPalace_00000501.jpg],4[potalaPalace_00000513.jpg],4[potalaPalace_00000404.jpg],5[potalaPalace_00000528.jpg],4[potalaPalace_00000474.jpg],4[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3L70J4KAZHCPAY35JG1IN50MEV8DAB,A1RDWHWYC68DZ,Approved,"Mon Sep 12 09:56:18 PDT 2016","Mon Sep 12 09:58:04 PDT 2016",5[potalaPalace_00000307.jpg],4[potalaPalace_00000109.jpg],4[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],4[potalaPalace_00000432.jpg],4[potalaPalace_00000379.jpg],4[potalaPalace_00000465.jpg],4[potalaPalace_00000436.jpg],3[potalaPalace_00000621.jpg],4[potalaPalace_00000384.jpg],4[potalaPalace_00000415.jpg],4[potalaPalace_00000410.jpg],2[potalaPalace_00000449.jpg],4[potalaPalace_00000392.jpg],4[potalaPalace_00000463.jpg],4[potalaPalace_00000460.jpg],3[potalaPalace_00000447.jpg],4[potalaPalace_00000628.jpg],4[potalaPalace_00000408.jpg],4[potalaPalace_00000386.jpg],4[potalaPalace_00000468.jpg],4[potalaPalace_00000401.jpg],3[potalaPalace_00000414.jpg],4[potalaPalace_00000519.jpg],4[potalaPalace_00000501.jpg],4[potalaPalace_00000513.jpg],3[potalaPalace_00000404.jpg],4[potalaPalace_00000528.jpg],4[potalaPalace_00000474.jpg],4[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3I7DHKZYGOQP2C5KFQ5R3UNLYUNF5I,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:57:53 PDT 2016","Mon Sep 12 09:59:16 PDT 2016",5[potalaPalace_00000307.jpg],5[potalaPalace_00000109.jpg],5[potalaPalace_00000025.jpg],5[potalaPalace_00000424.jpg],5[potalaPalace_00000432.jpg],5[potalaPalace_00000379.jpg],5[potalaPalace_00000465.jpg],5[potalaPalace_00000436.jpg],5[potalaPalace_00000621.jpg],5[potalaPalace_00000384.jpg],5[potalaPalace_00000415.jpg],5[potalaPalace_00000410.jpg],5[potalaPalace_00000449.jpg],5[potalaPalace_00000392.jpg],5[potalaPalace_00000463.jpg],5[potalaPalace_00000460.jpg],5[potalaPalace_00000447.jpg],5[potalaPalace_00000628.jpg],5[potalaPalace_00000408.jpg],5[potalaPalace_00000386.jpg],5[potalaPalace_00000468.jpg],5[potalaPalace_00000401.jpg],5[potalaPalace_00000414.jpg],5[potalaPalace_00000519.jpg],5[potalaPalace_00000501.jpg],5[potalaPalace_00000513.jpg],5[potalaPalace_00000404.jpg],5[potalaPalace_00000528.jpg],5[potalaPalace_00000474.jpg],5[potalaPalace_00000516.jpg],
3JMNNNO3B1UXSHAZXT8SKRBP85XW2Z,"potalaPalace_330-359","sample#command",3FE2ERCCZYYN1Z0WY8XVOU1HIXYOPP,A1AI95378WJXTS,Approved,"Mon Sep 12 16:54:05 PDT 2016","Mon Sep 12 16:56:02 PDT 2016",2[potalaPalace_00000307.jpg],5[potalaPalace_00000109.jpg],2[potalaPalace_00000025.jpg],4[potalaPalace_00000424.jpg],4[potalaPalace_00000432.jpg],3[potalaPalace_00000379.jpg],1[potalaPalace_00000465.jpg],1[potalaPalace_00000436.jpg],1[potalaPalace_00000621.jpg],2[potalaPalace_00000384.jpg],1[potalaPalace_00000415.jpg],1[potalaPalace_00000410.jpg],1[potalaPalace_00000449.jpg],1[potalaPalace_00000392.jpg],1[potalaPalace_00000463.jpg],4[potalaPalace_00000460.jpg],2[potalaPalace_00000447.jpg],1[potalaPalace_00000628.jpg],1[potalaPalace_00000408.jpg],2[potalaPalace_00000386.jpg],2[potalaPalace_00000468.jpg],2[potalaPalace_00000401.jpg],2[potalaPalace_00000414.jpg],5[potalaPalace_00000519.jpg],5[potalaPalace_00000501.jpg],4[potalaPalace_00000513.jpg],3[potalaPalace_00000404.jpg],3[potalaPalace_00000528.jpg],2[potalaPalace_00000474.jpg],3[potalaPalace_00000516.jpg],
