HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",32KTQ2V7RE5E99ZD43MLA0CWHQWM9Z,AFG3FXABPGSZS,Approved,"Mon Sep 12 07:54:57 PDT 2016","Mon Sep 12 07:56:14 PDT 2016",3[potalaPalace_00000646.jpg],4[potalaPalace_00000492.jpg],1[potalaPalace_00000503.jpg],1[potalaPalace_00000390.jpg],1[potalaPalace_00000441.jpg],1[potalaPalace_00000417.jpg],1[potalaPalace_00000420.jpg],1[potalaPalace_00000491.jpg],1[potalaPalace_00000645.jpg],3[potalaPalace_00000467.jpg],4[potalaPalace_00000602.jpg],2[potalaPalace_00000423.jpg],1[potalaPalace_00000383.jpg],1[potalaPalace_00000515.jpg],1[potalaPalace_00000388.jpg],1[potalaPalace_00000637.jpg],1[potalaPalace_00000413.jpg],1[potalaPalace_00000478.jpg],1[potalaPalace_00000616.jpg],1[potalaPalace_00000445.jpg],1[potalaPalace_00000443.jpg],1[potalaPalace_00000477.jpg],1[potalaPalace_00000391.jpg],1[potalaPalace_00000546.jpg],1[potalaPalace_00000693.jpg],1[potalaPalace_00000483.jpg],1[potalaPalace_00000464.jpg],1[potalaPalace_00000406.jpg],1[potalaPalace_00000488.jpg],1[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",379J5II41P6BYN89C21S21YI8IOEL1,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:13:24 PDT 2016","Mon Sep 12 08:14:51 PDT 2016",5[potalaPalace_00000646.jpg],5[potalaPalace_00000492.jpg],5[potalaPalace_00000503.jpg],5[potalaPalace_00000390.jpg],4[potalaPalace_00000441.jpg],4[potalaPalace_00000417.jpg],5[potalaPalace_00000420.jpg],3[potalaPalace_00000491.jpg],4[potalaPalace_00000645.jpg],3[potalaPalace_00000467.jpg],2[potalaPalace_00000602.jpg],3[potalaPalace_00000423.jpg],3[potalaPalace_00000383.jpg],3[potalaPalace_00000515.jpg],3[potalaPalace_00000388.jpg],4[potalaPalace_00000637.jpg],4[potalaPalace_00000413.jpg],3[potalaPalace_00000478.jpg],3[potalaPalace_00000616.jpg],4[potalaPalace_00000445.jpg],2[potalaPalace_00000443.jpg],2[potalaPalace_00000477.jpg],3[potalaPalace_00000391.jpg],1[potalaPalace_00000546.jpg],1[potalaPalace_00000693.jpg],2[potalaPalace_00000483.jpg],3[potalaPalace_00000464.jpg],3[potalaPalace_00000406.jpg],2[potalaPalace_00000488.jpg],2[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",3PIWWX1FJKWDED61NI06J2YI91FJJP,A2WLTDIILI4K16,Approved,"Mon Sep 12 08:11:55 PDT 2016","Mon Sep 12 08:15:10 PDT 2016",3[potalaPalace_00000646.jpg],2[potalaPalace_00000492.jpg],3[potalaPalace_00000503.jpg],3[potalaPalace_00000390.jpg],3[potalaPalace_00000441.jpg],4[potalaPalace_00000417.jpg],4[potalaPalace_00000420.jpg],4[potalaPalace_00000491.jpg],5[potalaPalace_00000645.jpg],4[potalaPalace_00000467.jpg],4[potalaPalace_00000602.jpg],3[potalaPalace_00000423.jpg],3[potalaPalace_00000383.jpg],3[potalaPalace_00000515.jpg],3[potalaPalace_00000388.jpg],2[potalaPalace_00000637.jpg],3[potalaPalace_00000413.jpg],4[potalaPalace_00000478.jpg],4[potalaPalace_00000616.jpg],4[potalaPalace_00000445.jpg],3[potalaPalace_00000443.jpg],2[potalaPalace_00000477.jpg],2[potalaPalace_00000391.jpg],3[potalaPalace_00000546.jpg],2[potalaPalace_00000693.jpg],3[potalaPalace_00000483.jpg],3[potalaPalace_00000464.jpg],2[potalaPalace_00000406.jpg],4[potalaPalace_00000488.jpg],2[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",3DPNQGW4LM5BN0890SJD4W4U5Y746F,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:32:07 PDT 2016","Mon Sep 12 08:33:54 PDT 2016",4[potalaPalace_00000646.jpg],4[potalaPalace_00000492.jpg],4[potalaPalace_00000503.jpg],4[potalaPalace_00000390.jpg],4[potalaPalace_00000441.jpg],4[potalaPalace_00000417.jpg],3[potalaPalace_00000420.jpg],3[potalaPalace_00000491.jpg],4[potalaPalace_00000645.jpg],2[potalaPalace_00000467.jpg],3[potalaPalace_00000602.jpg],1[potalaPalace_00000423.jpg],2[potalaPalace_00000383.jpg],2[potalaPalace_00000515.jpg],2[potalaPalace_00000388.jpg],5[potalaPalace_00000637.jpg],4[potalaPalace_00000413.jpg],4[potalaPalace_00000478.jpg],3[potalaPalace_00000616.jpg],2[potalaPalace_00000445.jpg],3[potalaPalace_00000443.jpg],2[potalaPalace_00000477.jpg],1[potalaPalace_00000391.jpg],2[potalaPalace_00000546.jpg],3[potalaPalace_00000693.jpg],1[potalaPalace_00000483.jpg],2[potalaPalace_00000464.jpg],4[potalaPalace_00000406.jpg],3[potalaPalace_00000488.jpg],3[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",388U7OUMF8RNAVOS9FZ93O5DK95R0K,A1A2F7EY4XCM4Q,Approved,"Mon Sep 12 08:38:50 PDT 2016","Mon Sep 12 08:40:51 PDT 2016",1[potalaPalace_00000646.jpg],3[potalaPalace_00000492.jpg],1[potalaPalace_00000503.jpg],2[potalaPalace_00000390.jpg],1[potalaPalace_00000441.jpg],1[potalaPalace_00000417.jpg],2[potalaPalace_00000420.jpg],1[potalaPalace_00000491.jpg],3[potalaPalace_00000645.jpg],1[potalaPalace_00000467.jpg],1[potalaPalace_00000602.jpg],2[potalaPalace_00000423.jpg],2[potalaPalace_00000383.jpg],1[potalaPalace_00000515.jpg],3[potalaPalace_00000388.jpg],3[potalaPalace_00000637.jpg],3[potalaPalace_00000413.jpg],1[potalaPalace_00000478.jpg],2[potalaPalace_00000616.jpg],3[potalaPalace_00000445.jpg],2[potalaPalace_00000443.jpg],2[potalaPalace_00000477.jpg],2[potalaPalace_00000391.jpg],1[potalaPalace_00000546.jpg],2[potalaPalace_00000693.jpg],1[potalaPalace_00000483.jpg],2[potalaPalace_00000464.jpg],2[potalaPalace_00000406.jpg],3[potalaPalace_00000488.jpg],1[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",3FTYUGLFSVBS4SROOKA1FUK0MHQD5O,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:46:36 PDT 2016","Mon Sep 12 08:48:54 PDT 2016",3[potalaPalace_00000646.jpg],3[potalaPalace_00000492.jpg],3[potalaPalace_00000503.jpg],3[potalaPalace_00000390.jpg],3[potalaPalace_00000441.jpg],4[potalaPalace_00000417.jpg],3[potalaPalace_00000420.jpg],3[potalaPalace_00000491.jpg],4[potalaPalace_00000645.jpg],2[potalaPalace_00000467.jpg],2[potalaPalace_00000602.jpg],3[potalaPalace_00000423.jpg],2[potalaPalace_00000383.jpg],2[potalaPalace_00000515.jpg],3[potalaPalace_00000388.jpg],3[potalaPalace_00000637.jpg],4[potalaPalace_00000413.jpg],3[potalaPalace_00000478.jpg],2[potalaPalace_00000616.jpg],2[potalaPalace_00000445.jpg],3[potalaPalace_00000443.jpg],3[potalaPalace_00000477.jpg],2[potalaPalace_00000391.jpg],3[potalaPalace_00000546.jpg],2[potalaPalace_00000693.jpg],2[potalaPalace_00000483.jpg],2[potalaPalace_00000464.jpg],3[potalaPalace_00000406.jpg],3[potalaPalace_00000488.jpg],3[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",3BDCF01OGYK94SP0C3DM94QYQV2YLB,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:25:50 PDT 2016","Mon Sep 12 09:27:40 PDT 2016",2[potalaPalace_00000646.jpg],3[potalaPalace_00000492.jpg],2[potalaPalace_00000503.jpg],4[potalaPalace_00000390.jpg],5[potalaPalace_00000441.jpg],5[potalaPalace_00000417.jpg],5[potalaPalace_00000420.jpg],5[potalaPalace_00000491.jpg],5[potalaPalace_00000645.jpg],5[potalaPalace_00000467.jpg],5[potalaPalace_00000602.jpg],5[potalaPalace_00000423.jpg],5[potalaPalace_00000383.jpg],5[potalaPalace_00000515.jpg],5[potalaPalace_00000388.jpg],3[potalaPalace_00000637.jpg],5[potalaPalace_00000413.jpg],5[potalaPalace_00000478.jpg],4[potalaPalace_00000616.jpg],5[potalaPalace_00000445.jpg],5[potalaPalace_00000443.jpg],5[potalaPalace_00000477.jpg],5[potalaPalace_00000391.jpg],5[potalaPalace_00000546.jpg],4[potalaPalace_00000693.jpg],5[potalaPalace_00000483.jpg],5[potalaPalace_00000464.jpg],5[potalaPalace_00000406.jpg],5[potalaPalace_00000488.jpg],5[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",35GCEFQ6I6ESTE9G2JB5RP5JW3R3Z5,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:59:36 PDT 2016","Mon Sep 12 09:59:57 PDT 2016",5[potalaPalace_00000646.jpg],5[potalaPalace_00000492.jpg],5[potalaPalace_00000503.jpg],5[potalaPalace_00000390.jpg],5[potalaPalace_00000441.jpg],5[potalaPalace_00000417.jpg],5[potalaPalace_00000420.jpg],5[potalaPalace_00000491.jpg],5[potalaPalace_00000645.jpg],5[potalaPalace_00000467.jpg],5[potalaPalace_00000602.jpg],5[potalaPalace_00000423.jpg],5[potalaPalace_00000383.jpg],5[potalaPalace_00000515.jpg],5[potalaPalace_00000388.jpg],5[potalaPalace_00000637.jpg],5[potalaPalace_00000413.jpg],5[potalaPalace_00000478.jpg],5[potalaPalace_00000616.jpg],5[potalaPalace_00000445.jpg],5[potalaPalace_00000443.jpg],5[potalaPalace_00000477.jpg],5[potalaPalace_00000391.jpg],5[potalaPalace_00000546.jpg],5[potalaPalace_00000693.jpg],5[potalaPalace_00000483.jpg],5[potalaPalace_00000464.jpg],5[potalaPalace_00000406.jpg],5[potalaPalace_00000488.jpg],5[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",382M9COHEI5EHDV3LGTTTOU1LA3EUJ,A1L5LL9EJ8DC5,Approved,"Mon Sep 12 10:06:01 PDT 2016","Mon Sep 12 10:08:31 PDT 2016",2[potalaPalace_00000646.jpg],5[potalaPalace_00000492.jpg],4[potalaPalace_00000503.jpg],5[potalaPalace_00000390.jpg],4[potalaPalace_00000441.jpg],4[potalaPalace_00000417.jpg],5[potalaPalace_00000420.jpg],3[potalaPalace_00000491.jpg],3[potalaPalace_00000645.jpg],4[potalaPalace_00000467.jpg],2[potalaPalace_00000602.jpg],4[potalaPalace_00000423.jpg],5[potalaPalace_00000383.jpg],4[potalaPalace_00000515.jpg],5[potalaPalace_00000388.jpg],3[potalaPalace_00000637.jpg],5[potalaPalace_00000413.jpg],4[potalaPalace_00000478.jpg],5[potalaPalace_00000616.jpg],5[potalaPalace_00000445.jpg],4[potalaPalace_00000443.jpg],3[potalaPalace_00000477.jpg],4[potalaPalace_00000391.jpg],3[potalaPalace_00000546.jpg],3[potalaPalace_00000693.jpg],2[potalaPalace_00000483.jpg],4[potalaPalace_00000464.jpg],3[potalaPalace_00000406.jpg],3[potalaPalace_00000488.jpg],2[potalaPalace_00000502.jpg],
3O4VWC1GEWW07F6JUU3IEBM9CNOJ32,"potalaPalace_420-449","sample#command",3DYGAII7PMYQMBDCDLPZDZWGWW0QPC,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:12:26 PDT 2016","Mon Sep 12 10:14:07 PDT 2016",2[potalaPalace_00000646.jpg],1[potalaPalace_00000492.jpg],3[potalaPalace_00000503.jpg],2[potalaPalace_00000390.jpg],2[potalaPalace_00000441.jpg],1[potalaPalace_00000417.jpg],2[potalaPalace_00000420.jpg],2[potalaPalace_00000491.jpg],2[potalaPalace_00000645.jpg],2[potalaPalace_00000467.jpg],1[potalaPalace_00000602.jpg],2[potalaPalace_00000423.jpg],1[potalaPalace_00000383.jpg],1[potalaPalace_00000515.jpg],2[potalaPalace_00000388.jpg],1[potalaPalace_00000637.jpg],2[potalaPalace_00000413.jpg],1[potalaPalace_00000478.jpg],2[potalaPalace_00000616.jpg],3[potalaPalace_00000445.jpg],3[potalaPalace_00000443.jpg],3[potalaPalace_00000477.jpg],3[potalaPalace_00000391.jpg],3[potalaPalace_00000546.jpg],3[potalaPalace_00000693.jpg],1[potalaPalace_00000483.jpg],2[potalaPalace_00000464.jpg],1[potalaPalace_00000406.jpg],3[potalaPalace_00000488.jpg],2[potalaPalace_00000502.jpg],
