HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",3TVSS0C0E2QTY0256BXPAYFZ9ZCWTZ,A21QO39XLG47J6,Approved,"Mon Sep 12 07:44:17 PDT 2016","Mon Sep 12 07:46:05 PDT 2016",1[potalaPalace_00000291.jpg],1[potalaPalace_00000120.jpg],1[potalaPalace_00000084.jpg],1[potalaPalace_00000088.jpg],1[potalaPalace_00000083.jpg],1[potalaPalace_00000086.jpg],3[potalaPalace_00000041.jpg],3[potalaPalace_00000188.jpg],3[potalaPalace_00000625.jpg],2[potalaPalace_00000040.jpg],2[potalaPalace_00000014.jpg],3[potalaPalace_00000112.jpg],3[potalaPalace_00000082.jpg],3[potalaPalace_00000540.jpg],3[potalaPalace_00000005.jpg],3[potalaPalace_00000134.jpg],3[potalaPalace_00000617.jpg],1[potalaPalace_00000136.jpg],3[potalaPalace_00000015.jpg],3[potalaPalace_00000001.jpg],3[potalaPalace_00000278.jpg],3[potalaPalace_00000260.jpg],3[potalaPalace_00000619.jpg],3[potalaPalace_00000581.jpg],3[potalaPalace_00000189.jpg],3[potalaPalace_00000318.jpg],3[potalaPalace_00000043.jpg],3[potalaPalace_00000166.jpg],3[potalaPalace_00000607.jpg],3[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",3N4BPTXIO9IH3DNDH24WRJ7656AKUI,A37ADSGZMTUHBI,Approved,"Mon Sep 12 07:46:23 PDT 2016","Mon Sep 12 07:48:38 PDT 2016",1[potalaPalace_00000291.jpg],5[potalaPalace_00000120.jpg],5[potalaPalace_00000084.jpg],4[potalaPalace_00000088.jpg],5[potalaPalace_00000083.jpg],5[potalaPalace_00000086.jpg],5[potalaPalace_00000041.jpg],3[potalaPalace_00000188.jpg],5[potalaPalace_00000625.jpg],5[potalaPalace_00000040.jpg],4[potalaPalace_00000014.jpg],5[potalaPalace_00000112.jpg],5[potalaPalace_00000082.jpg],1[potalaPalace_00000540.jpg],5[potalaPalace_00000005.jpg],4[potalaPalace_00000134.jpg],5[potalaPalace_00000617.jpg],4[potalaPalace_00000136.jpg],4[potalaPalace_00000015.jpg],5[potalaPalace_00000001.jpg],5[potalaPalace_00000278.jpg],4[potalaPalace_00000260.jpg],5[potalaPalace_00000619.jpg],4[potalaPalace_00000581.jpg],5[potalaPalace_00000189.jpg],5[potalaPalace_00000318.jpg],3[potalaPalace_00000043.jpg],3[potalaPalace_00000166.jpg],2[potalaPalace_00000607.jpg],4[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",3M68NM076IXIO6A7B4FQCPF4XCNR6H,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:54:36 PDT 2016","Mon Sep 12 07:57:06 PDT 2016",2[potalaPalace_00000291.jpg],2[potalaPalace_00000120.jpg],3[potalaPalace_00000084.jpg],3[potalaPalace_00000088.jpg],2[potalaPalace_00000083.jpg],2[potalaPalace_00000086.jpg],3[potalaPalace_00000041.jpg],3[potalaPalace_00000188.jpg],2[potalaPalace_00000625.jpg],3[potalaPalace_00000040.jpg],2[potalaPalace_00000014.jpg],4[potalaPalace_00000112.jpg],5[potalaPalace_00000082.jpg],1[potalaPalace_00000540.jpg],3[potalaPalace_00000005.jpg],3[potalaPalace_00000134.jpg],4[potalaPalace_00000617.jpg],3[potalaPalace_00000136.jpg],3[potalaPalace_00000015.jpg],3[potalaPalace_00000001.jpg],2[potalaPalace_00000278.jpg],1[potalaPalace_00000260.jpg],4[potalaPalace_00000619.jpg],3[potalaPalace_00000581.jpg],3[potalaPalace_00000189.jpg],4[potalaPalace_00000318.jpg],4[potalaPalace_00000043.jpg],3[potalaPalace_00000166.jpg],2[potalaPalace_00000607.jpg],3[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",39ASUFLU6YX6YHPYQL4GDVT5FRWEXL,AENDSV6FLIUQR,Approved,"Mon Sep 12 07:55:50 PDT 2016","Mon Sep 12 07:58:08 PDT 2016",2[potalaPalace_00000291.jpg],3[potalaPalace_00000120.jpg],5[potalaPalace_00000084.jpg],4[potalaPalace_00000088.jpg],3[potalaPalace_00000083.jpg],5[potalaPalace_00000086.jpg],5[potalaPalace_00000041.jpg],4[potalaPalace_00000188.jpg],1[potalaPalace_00000625.jpg],5[potalaPalace_00000040.jpg],2[potalaPalace_00000014.jpg],4[potalaPalace_00000112.jpg],5[potalaPalace_00000082.jpg],2[potalaPalace_00000540.jpg],2[potalaPalace_00000005.jpg],1[potalaPalace_00000134.jpg],3[potalaPalace_00000617.jpg],1[potalaPalace_00000136.jpg],3[potalaPalace_00000015.jpg],3[potalaPalace_00000001.jpg],1[potalaPalace_00000278.jpg],3[potalaPalace_00000260.jpg],4[potalaPalace_00000619.jpg],3[potalaPalace_00000581.jpg],3[potalaPalace_00000189.jpg],4[potalaPalace_00000318.jpg],2[potalaPalace_00000043.jpg],4[potalaPalace_00000166.jpg],2[potalaPalace_00000607.jpg],3[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",3B1NLC6UG0MZ9MJYAPKNJLSEQ82PGP,A39BR7NYRDWC01,Approved,"Mon Sep 12 07:56:38 PDT 2016","Mon Sep 12 07:59:49 PDT 2016",4[potalaPalace_00000291.jpg],5[potalaPalace_00000120.jpg],4[potalaPalace_00000084.jpg],5[potalaPalace_00000088.jpg],5[potalaPalace_00000083.jpg],4[potalaPalace_00000086.jpg],4[potalaPalace_00000041.jpg],3[potalaPalace_00000188.jpg],4[potalaPalace_00000625.jpg],5[potalaPalace_00000040.jpg],5[potalaPalace_00000014.jpg],5[potalaPalace_00000112.jpg],5[potalaPalace_00000082.jpg],5[potalaPalace_00000540.jpg],4[potalaPalace_00000005.jpg],4[potalaPalace_00000134.jpg],5[potalaPalace_00000617.jpg],4[potalaPalace_00000136.jpg],4[potalaPalace_00000015.jpg],5[potalaPalace_00000001.jpg],5[potalaPalace_00000278.jpg],5[potalaPalace_00000260.jpg],5[potalaPalace_00000619.jpg],3[potalaPalace_00000581.jpg],5[potalaPalace_00000189.jpg],5[potalaPalace_00000318.jpg],5[potalaPalace_00000043.jpg],4[potalaPalace_00000166.jpg],4[potalaPalace_00000607.jpg],4[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",3MH9DQ757X2C1RRURBJHTRFDYPUUGQ,A1CO7S8BZUQROB,Approved,"Mon Sep 12 07:57:43 PDT 2016","Mon Sep 12 08:00:50 PDT 2016",3[potalaPalace_00000291.jpg],4[potalaPalace_00000120.jpg],2[potalaPalace_00000084.jpg],2[potalaPalace_00000088.jpg],1[potalaPalace_00000083.jpg],3[potalaPalace_00000086.jpg],4[potalaPalace_00000041.jpg],1[potalaPalace_00000188.jpg],2[potalaPalace_00000625.jpg],1[potalaPalace_00000040.jpg],2[potalaPalace_00000014.jpg],3[potalaPalace_00000112.jpg],3[potalaPalace_00000082.jpg],2[potalaPalace_00000540.jpg],1[potalaPalace_00000005.jpg],2[potalaPalace_00000134.jpg],3[potalaPalace_00000617.jpg],1[potalaPalace_00000136.jpg],2[potalaPalace_00000015.jpg],1[potalaPalace_00000001.jpg],2[potalaPalace_00000278.jpg],1[potalaPalace_00000260.jpg],4[potalaPalace_00000619.jpg],1[potalaPalace_00000581.jpg],5[potalaPalace_00000189.jpg],3[potalaPalace_00000318.jpg],2[potalaPalace_00000043.jpg],2[potalaPalace_00000166.jpg],1[potalaPalace_00000607.jpg],2[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",3137ONMDKHVVCVU81B4CP9TAC10EGT,AUJPYSYU7YL5,Approved,"Mon Sep 12 07:53:39 PDT 2016","Mon Sep 12 08:01:52 PDT 2016",4[potalaPalace_00000291.jpg],1[potalaPalace_00000120.jpg],3[potalaPalace_00000084.jpg],4[potalaPalace_00000088.jpg],1[potalaPalace_00000083.jpg],3[potalaPalace_00000086.jpg],4[potalaPalace_00000041.jpg],3[potalaPalace_00000188.jpg],2[potalaPalace_00000625.jpg],4[potalaPalace_00000040.jpg],3[potalaPalace_00000014.jpg],4[potalaPalace_00000112.jpg],4[potalaPalace_00000082.jpg],4[potalaPalace_00000540.jpg],4[potalaPalace_00000005.jpg],4[potalaPalace_00000134.jpg],4[potalaPalace_00000617.jpg],3[potalaPalace_00000136.jpg],2[potalaPalace_00000015.jpg],4[potalaPalace_00000001.jpg],4[potalaPalace_00000278.jpg],2[potalaPalace_00000260.jpg],5[potalaPalace_00000619.jpg],4[potalaPalace_00000581.jpg],4[potalaPalace_00000189.jpg],4[potalaPalace_00000318.jpg],4[potalaPalace_00000043.jpg],4[potalaPalace_00000166.jpg],3[potalaPalace_00000607.jpg],4[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",33IZTU6J82R780UGRGOL2CXKGI7XS7,A1J3R6RD5ZKUPX,Approved,"Mon Sep 12 08:21:06 PDT 2016","Mon Sep 12 08:23:33 PDT 2016",5[potalaPalace_00000291.jpg],2[potalaPalace_00000120.jpg],4[potalaPalace_00000084.jpg],4[potalaPalace_00000088.jpg],4[potalaPalace_00000083.jpg],5[potalaPalace_00000086.jpg],5[potalaPalace_00000041.jpg],4[potalaPalace_00000188.jpg],4[potalaPalace_00000625.jpg],5[potalaPalace_00000040.jpg],4[potalaPalace_00000014.jpg],3[potalaPalace_00000112.jpg],5[potalaPalace_00000082.jpg],5[potalaPalace_00000540.jpg],4[potalaPalace_00000005.jpg],4[potalaPalace_00000134.jpg],5[potalaPalace_00000617.jpg],4[potalaPalace_00000136.jpg],4[potalaPalace_00000015.jpg],4[potalaPalace_00000001.jpg],4[potalaPalace_00000278.jpg],3[potalaPalace_00000260.jpg],4[potalaPalace_00000619.jpg],4[potalaPalace_00000581.jpg],4[potalaPalace_00000189.jpg],3[potalaPalace_00000318.jpg],4[potalaPalace_00000043.jpg],5[potalaPalace_00000166.jpg],3[potalaPalace_00000607.jpg],5[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",33CUSNVVNO2ZAFEZ5A6O5MGQDFS88B,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:19:35 PDT 2016","Mon Sep 12 08:24:43 PDT 2016",1[potalaPalace_00000291.jpg],1[potalaPalace_00000120.jpg],3[potalaPalace_00000084.jpg],1[potalaPalace_00000088.jpg],2[potalaPalace_00000083.jpg],2[potalaPalace_00000086.jpg],1[potalaPalace_00000041.jpg],1[potalaPalace_00000188.jpg],1[potalaPalace_00000625.jpg],2[potalaPalace_00000040.jpg],2[potalaPalace_00000014.jpg],3[potalaPalace_00000112.jpg],2[potalaPalace_00000082.jpg],1[potalaPalace_00000540.jpg],1[potalaPalace_00000005.jpg],1[potalaPalace_00000134.jpg],1[potalaPalace_00000617.jpg],2[potalaPalace_00000136.jpg],2[potalaPalace_00000015.jpg],1[potalaPalace_00000001.jpg],1[potalaPalace_00000278.jpg],1[potalaPalace_00000260.jpg],1[potalaPalace_00000619.jpg],1[potalaPalace_00000581.jpg],2[potalaPalace_00000189.jpg],2[potalaPalace_00000318.jpg],2[potalaPalace_00000043.jpg],3[potalaPalace_00000166.jpg],1[potalaPalace_00000607.jpg],2[potalaPalace_00000022.jpg],
3Q2T3FD0ONYQ8NC4XRGAU3EQGHJM39,"potalaPalace_300-329","sample#command",39O5D9O87UIFLLY6A5RXGR4YNKLC3T,A1A2F7EY4XCM4Q,Approved,"Mon Sep 12 08:23:45 PDT 2016","Mon Sep 12 08:26:37 PDT 2016",1[potalaPalace_00000291.jpg],4[potalaPalace_00000120.jpg],4[potalaPalace_00000084.jpg],2[potalaPalace_00000088.jpg],2[potalaPalace_00000083.jpg],3[potalaPalace_00000086.jpg],3[potalaPalace_00000041.jpg],2[potalaPalace_00000188.jpg],2[potalaPalace_00000625.jpg],2[potalaPalace_00000040.jpg],4[potalaPalace_00000014.jpg],3[potalaPalace_00000112.jpg],3[potalaPalace_00000082.jpg],2[potalaPalace_00000540.jpg],2[potalaPalace_00000005.jpg],2[potalaPalace_00000134.jpg],3[potalaPalace_00000617.jpg],3[potalaPalace_00000136.jpg],2[potalaPalace_00000015.jpg],3[potalaPalace_00000001.jpg],1[potalaPalace_00000278.jpg],1[potalaPalace_00000260.jpg],4[potalaPalace_00000619.jpg],2[potalaPalace_00000581.jpg],3[potalaPalace_00000189.jpg],3[potalaPalace_00000318.jpg],4[potalaPalace_00000043.jpg],2[potalaPalace_00000166.jpg],1[potalaPalace_00000607.jpg],3[potalaPalace_00000022.jpg],
