HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3R0T90IZ1T2GFXAU5KYHZLT7RPOGC3,A1CO7S8BZUQROB,Approved,"Mon Sep 12 08:01:45 PDT 2016","Mon Sep 12 08:04:44 PDT 2016",3[potalaPalace_00000428.jpg],5[potalaPalace_00000482.jpg],3[potalaPalace_00000510.jpg],5[potalaPalace_00000435.jpg],3[potalaPalace_00000419.jpg],2[potalaPalace_00000582.jpg],3[potalaPalace_00000462.jpg],2[potalaPalace_00000395.jpg],1[potalaPalace_00000418.jpg],3[potalaPalace_00000381.jpg],2[potalaPalace_00000389.jpg],3[potalaPalace_00000409.jpg],1[potalaPalace_00000486.jpg],5[potalaPalace_00000500.jpg],2[potalaPalace_00000433.jpg],3[potalaPalace_00000562.jpg],1[potalaPalace_00000642.jpg],3[potalaPalace_00000518.jpg],1[potalaPalace_00000378.jpg],3[potalaPalace_00000551.jpg],2[potalaPalace_00000442.jpg],3[potalaPalace_00000393.jpg],1[potalaPalace_00000434.jpg],2[potalaPalace_00000498.jpg],1[potalaPalace_00000374.jpg],1[potalaPalace_00000506.jpg],1[potalaPalace_00000437.jpg],1[potalaPalace_00000514.jpg],1[potalaPalace_00000375.jpg],2[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3RXCAC0YISFE3UKHO8ICXZXO1Y6G80,A1TFJG7Z5OJC8I,Approved,"Mon Sep 12 08:32:21 PDT 2016","Mon Sep 12 08:34:48 PDT 2016",3[potalaPalace_00000428.jpg],3[potalaPalace_00000482.jpg],3[potalaPalace_00000510.jpg],5[potalaPalace_00000435.jpg],2[potalaPalace_00000419.jpg],1[potalaPalace_00000582.jpg],4[potalaPalace_00000462.jpg],4[potalaPalace_00000395.jpg],3[potalaPalace_00000418.jpg],4[potalaPalace_00000381.jpg],3[potalaPalace_00000389.jpg],5[potalaPalace_00000409.jpg],1[potalaPalace_00000486.jpg],4[potalaPalace_00000500.jpg],5[potalaPalace_00000433.jpg],4[potalaPalace_00000562.jpg],1[potalaPalace_00000642.jpg],2[potalaPalace_00000518.jpg],4[potalaPalace_00000378.jpg],3[potalaPalace_00000551.jpg],3[potalaPalace_00000442.jpg],3[potalaPalace_00000393.jpg],2[potalaPalace_00000434.jpg],3[potalaPalace_00000498.jpg],2[potalaPalace_00000374.jpg],1[potalaPalace_00000506.jpg],2[potalaPalace_00000437.jpg],2[potalaPalace_00000514.jpg],2[potalaPalace_00000375.jpg],1[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3IO1LGZLKANC61VBCV9QL8KZ7L586U,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:50:39 PDT 2016","Mon Sep 12 08:52:09 PDT 2016",4[potalaPalace_00000428.jpg],2[potalaPalace_00000482.jpg],4[potalaPalace_00000510.jpg],3[potalaPalace_00000435.jpg],3[potalaPalace_00000419.jpg],1[potalaPalace_00000582.jpg],2[potalaPalace_00000462.jpg],4[potalaPalace_00000395.jpg],3[potalaPalace_00000418.jpg],2[potalaPalace_00000381.jpg],3[potalaPalace_00000389.jpg],3[potalaPalace_00000409.jpg],4[potalaPalace_00000486.jpg],3[potalaPalace_00000500.jpg],3[potalaPalace_00000433.jpg],2[potalaPalace_00000562.jpg],1[potalaPalace_00000642.jpg],1[potalaPalace_00000518.jpg],2[potalaPalace_00000378.jpg],2[potalaPalace_00000551.jpg],3[potalaPalace_00000442.jpg],2[potalaPalace_00000393.jpg],3[potalaPalace_00000434.jpg],2[potalaPalace_00000498.jpg],3[potalaPalace_00000374.jpg],2[potalaPalace_00000506.jpg],1[potalaPalace_00000437.jpg],2[potalaPalace_00000514.jpg],3[potalaPalace_00000375.jpg],3[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3FTF2T8WLS8AELTR85S8JYENFTF9WK,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:44:13 PDT 2016","Mon Sep 12 09:01:58 PDT 2016",2[potalaPalace_00000428.jpg],2[potalaPalace_00000482.jpg],1[potalaPalace_00000510.jpg],2[potalaPalace_00000435.jpg],1[potalaPalace_00000419.jpg],1[potalaPalace_00000582.jpg],1[potalaPalace_00000462.jpg],4[potalaPalace_00000395.jpg],3[potalaPalace_00000418.jpg],1[potalaPalace_00000381.jpg],1[potalaPalace_00000389.jpg],1[potalaPalace_00000409.jpg],3[potalaPalace_00000486.jpg],2[potalaPalace_00000500.jpg],2[potalaPalace_00000433.jpg],2[potalaPalace_00000562.jpg],2[potalaPalace_00000642.jpg],3[potalaPalace_00000518.jpg],3[potalaPalace_00000378.jpg],1[potalaPalace_00000551.jpg],3[potalaPalace_00000442.jpg],1[potalaPalace_00000393.jpg],1[potalaPalace_00000434.jpg],3[potalaPalace_00000498.jpg],2[potalaPalace_00000374.jpg],1[potalaPalace_00000506.jpg],3[potalaPalace_00000437.jpg],3[potalaPalace_00000514.jpg],3[potalaPalace_00000375.jpg],3[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3SKEMFQBZ4VJ5GG0EZ3RVRPH8GSK8E,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:09:08 PDT 2016","Mon Sep 12 09:11:15 PDT 2016",5[potalaPalace_00000428.jpg],3[potalaPalace_00000482.jpg],3[potalaPalace_00000510.jpg],5[potalaPalace_00000435.jpg],4[potalaPalace_00000419.jpg],3[potalaPalace_00000582.jpg],4[potalaPalace_00000462.jpg],4[potalaPalace_00000395.jpg],4[potalaPalace_00000418.jpg],4[potalaPalace_00000381.jpg],3[potalaPalace_00000389.jpg],5[potalaPalace_00000409.jpg],4[potalaPalace_00000486.jpg],3[potalaPalace_00000500.jpg],4[potalaPalace_00000433.jpg],4[potalaPalace_00000562.jpg],3[potalaPalace_00000642.jpg],3[potalaPalace_00000518.jpg],4[potalaPalace_00000378.jpg],3[potalaPalace_00000551.jpg],4[potalaPalace_00000442.jpg],3[potalaPalace_00000393.jpg],4[potalaPalace_00000434.jpg],4[potalaPalace_00000498.jpg],3[potalaPalace_00000374.jpg],3[potalaPalace_00000506.jpg],3[potalaPalace_00000437.jpg],2[potalaPalace_00000514.jpg],3[potalaPalace_00000375.jpg],2[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",39OWYR0EPLHN40F4QSAOERLETZBYF1,A2WLTDIILI4K16,Approved,"Mon Sep 12 08:55:13 PDT 2016","Mon Sep 12 09:25:22 PDT 2016",3[potalaPalace_00000428.jpg],4[potalaPalace_00000482.jpg],2[potalaPalace_00000510.jpg],3[potalaPalace_00000435.jpg],3[potalaPalace_00000419.jpg],2[potalaPalace_00000582.jpg],2[potalaPalace_00000462.jpg],5[potalaPalace_00000395.jpg],5[potalaPalace_00000418.jpg],3[potalaPalace_00000381.jpg],3[potalaPalace_00000389.jpg],3[potalaPalace_00000409.jpg],4[potalaPalace_00000486.jpg],2[potalaPalace_00000500.jpg],3[potalaPalace_00000433.jpg],3[potalaPalace_00000562.jpg],3[potalaPalace_00000642.jpg],4[potalaPalace_00000518.jpg],4[potalaPalace_00000378.jpg],2[potalaPalace_00000551.jpg],4[potalaPalace_00000442.jpg],4[potalaPalace_00000393.jpg],3[potalaPalace_00000434.jpg],4[potalaPalace_00000498.jpg],4[potalaPalace_00000374.jpg],3[potalaPalace_00000506.jpg],4[potalaPalace_00000437.jpg],3[potalaPalace_00000514.jpg],4[potalaPalace_00000375.jpg],3[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3P4RDNWND6WHJ2MV50F671JIWN2IJQ,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:35:13 PDT 2016","Mon Sep 12 09:36:58 PDT 2016",5[potalaPalace_00000428.jpg],5[potalaPalace_00000482.jpg],5[potalaPalace_00000510.jpg],5[potalaPalace_00000435.jpg],5[potalaPalace_00000419.jpg],5[potalaPalace_00000582.jpg],5[potalaPalace_00000462.jpg],5[potalaPalace_00000395.jpg],5[potalaPalace_00000418.jpg],3[potalaPalace_00000381.jpg],5[potalaPalace_00000389.jpg],5[potalaPalace_00000409.jpg],5[potalaPalace_00000486.jpg],5[potalaPalace_00000500.jpg],5[potalaPalace_00000433.jpg],4[potalaPalace_00000562.jpg],5[potalaPalace_00000642.jpg],5[potalaPalace_00000518.jpg],5[potalaPalace_00000378.jpg],5[potalaPalace_00000551.jpg],5[potalaPalace_00000442.jpg],5[potalaPalace_00000393.jpg],5[potalaPalace_00000434.jpg],5[potalaPalace_00000498.jpg],5[potalaPalace_00000374.jpg],5[potalaPalace_00000506.jpg],5[potalaPalace_00000437.jpg],5[potalaPalace_00000514.jpg],5[potalaPalace_00000375.jpg],5[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3WI0P0II62IH9FPMLRN4IVPWEZTRDU,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:49:24 PDT 2016","Mon Sep 12 09:50:29 PDT 2016",5[potalaPalace_00000428.jpg],5[potalaPalace_00000482.jpg],5[potalaPalace_00000510.jpg],5[potalaPalace_00000435.jpg],5[potalaPalace_00000419.jpg],5[potalaPalace_00000582.jpg],5[potalaPalace_00000462.jpg],5[potalaPalace_00000395.jpg],5[potalaPalace_00000418.jpg],5[potalaPalace_00000381.jpg],5[potalaPalace_00000389.jpg],5[potalaPalace_00000409.jpg],5[potalaPalace_00000486.jpg],5[potalaPalace_00000500.jpg],5[potalaPalace_00000433.jpg],5[potalaPalace_00000562.jpg],5[potalaPalace_00000642.jpg],5[potalaPalace_00000518.jpg],5[potalaPalace_00000378.jpg],5[potalaPalace_00000551.jpg],5[potalaPalace_00000442.jpg],5[potalaPalace_00000393.jpg],5[potalaPalace_00000434.jpg],5[potalaPalace_00000498.jpg],5[potalaPalace_00000374.jpg],5[potalaPalace_00000506.jpg],5[potalaPalace_00000437.jpg],5[potalaPalace_00000514.jpg],5[potalaPalace_00000375.jpg],5[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3AMYWKA6YCCFRTIRJCYMIUAZMQP6OB,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 09:56:54 PDT 2016","Mon Sep 12 09:58:22 PDT 2016",2[potalaPalace_00000428.jpg],1[potalaPalace_00000482.jpg],1[potalaPalace_00000510.jpg],3[potalaPalace_00000435.jpg],3[potalaPalace_00000419.jpg],1[potalaPalace_00000582.jpg],1[potalaPalace_00000462.jpg],2[potalaPalace_00000395.jpg],3[potalaPalace_00000418.jpg],2[potalaPalace_00000381.jpg],1[potalaPalace_00000389.jpg],3[potalaPalace_00000409.jpg],4[potalaPalace_00000486.jpg],1[potalaPalace_00000500.jpg],3[potalaPalace_00000433.jpg],1[potalaPalace_00000562.jpg],3[potalaPalace_00000642.jpg],2[potalaPalace_00000518.jpg],4[potalaPalace_00000378.jpg],2[potalaPalace_00000551.jpg],4[potalaPalace_00000442.jpg],2[potalaPalace_00000393.jpg],2[potalaPalace_00000434.jpg],3[potalaPalace_00000498.jpg],4[potalaPalace_00000374.jpg],1[potalaPalace_00000506.jpg],4[potalaPalace_00000437.jpg],2[potalaPalace_00000514.jpg],5[potalaPalace_00000375.jpg],4[potalaPalace_00000672.jpg],
3R6RZGK0XF2AED3104AR7TTGGBQVY5,"potalaPalace_360-389","sample#command",3ATTHHXXWBEIEMRKM4U7YARX7LPXI1,A1RDWHWYC68DZ,Approved,"Mon Sep 12 09:58:38 PDT 2016","Mon Sep 12 10:00:15 PDT 2016",4[potalaPalace_00000428.jpg],4[potalaPalace_00000482.jpg],2[potalaPalace_00000510.jpg],4[potalaPalace_00000435.jpg],4[potalaPalace_00000419.jpg],4[potalaPalace_00000582.jpg],3[potalaPalace_00000462.jpg],4[potalaPalace_00000395.jpg],4[potalaPalace_00000418.jpg],4[potalaPalace_00000381.jpg],4[potalaPalace_00000389.jpg],4[potalaPalace_00000409.jpg],4[potalaPalace_00000486.jpg],3[potalaPalace_00000500.jpg],4[potalaPalace_00000433.jpg],4[potalaPalace_00000562.jpg],4[potalaPalace_00000642.jpg],4[potalaPalace_00000518.jpg],4[potalaPalace_00000378.jpg],4[potalaPalace_00000551.jpg],4[potalaPalace_00000442.jpg],4[potalaPalace_00000393.jpg],4[potalaPalace_00000434.jpg],4[potalaPalace_00000498.jpg],4[potalaPalace_00000374.jpg],3[potalaPalace_00000506.jpg],4[potalaPalace_00000437.jpg],4[potalaPalace_00000514.jpg],4[potalaPalace_00000375.jpg],3[potalaPalace_00000672.jpg],
