HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3JAOYWH7VJUU3RHS4RL6ANX7HL69LK,A21QO39XLG47J6,Approved,"Mon Sep 12 07:54:43 PDT 2016","Mon Sep 12 07:56:30 PDT 2016",2[potalaPalace_00000349.jpg],3[potalaPalace_00000686.jpg],2[potalaPalace_00000557.jpg],2[potalaPalace_00000651.jpg],2[potalaPalace_00000108.jpg],2[potalaPalace_00000105.jpg],3[potalaPalace_00000002.jpg],3[potalaPalace_00000004.jpg],3[potalaPalace_00000032.jpg],3[potalaPalace_00000277.jpg],3[potalaPalace_00000091.jpg],3[potalaPalace_00000034.jpg],3[potalaPalace_00000351.jpg],3[potalaPalace_00000325.jpg],3[potalaPalace_00000135.jpg],3[potalaPalace_00000031.jpg],3[potalaPalace_00000206.jpg],3[potalaPalace_00000237.jpg],3[potalaPalace_00000321.jpg],3[potalaPalace_00000065.jpg],3[potalaPalace_00000110.jpg],3[potalaPalace_00000021.jpg],3[potalaPalace_00000536.jpg],3[potalaPalace_00000547.jpg],3[potalaPalace_00000173.jpg],3[potalaPalace_00000176.jpg],3[potalaPalace_00000092.jpg],3[potalaPalace_00000113.jpg],3[potalaPalace_00000038.jpg],2[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",34X6J5FLPUOU00AEI8KFG3A4NW5QJL,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:58:28 PDT 2016","Mon Sep 12 08:03:03 PDT 2016",3[potalaPalace_00000349.jpg],1[potalaPalace_00000686.jpg],1[potalaPalace_00000557.jpg],2[potalaPalace_00000651.jpg],3[potalaPalace_00000108.jpg],4[potalaPalace_00000105.jpg],4[potalaPalace_00000002.jpg],4[potalaPalace_00000004.jpg],3[potalaPalace_00000032.jpg],2[potalaPalace_00000277.jpg],3[potalaPalace_00000091.jpg],3[potalaPalace_00000034.jpg],2[potalaPalace_00000351.jpg],2[potalaPalace_00000325.jpg],3[potalaPalace_00000135.jpg],3[potalaPalace_00000031.jpg],2[potalaPalace_00000206.jpg],4[potalaPalace_00000237.jpg],3[potalaPalace_00000321.jpg],4[potalaPalace_00000065.jpg],4[potalaPalace_00000110.jpg],5[potalaPalace_00000021.jpg],4[potalaPalace_00000536.jpg],4[potalaPalace_00000547.jpg],4[potalaPalace_00000173.jpg],3[potalaPalace_00000176.jpg],3[potalaPalace_00000092.jpg],4[potalaPalace_00000113.jpg],2[potalaPalace_00000038.jpg],4[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3L6L49WXW1NF4W8VV998CQQU93U54Y,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:08:42 PDT 2016","Mon Sep 12 08:11:02 PDT 2016",5[potalaPalace_00000349.jpg],5[potalaPalace_00000686.jpg],5[potalaPalace_00000557.jpg],4[potalaPalace_00000651.jpg],4[potalaPalace_00000108.jpg],5[potalaPalace_00000105.jpg],3[potalaPalace_00000002.jpg],2[potalaPalace_00000004.jpg],2[potalaPalace_00000032.jpg],2[potalaPalace_00000277.jpg],3[potalaPalace_00000091.jpg],2[potalaPalace_00000034.jpg],1[potalaPalace_00000351.jpg],1[potalaPalace_00000325.jpg],1[potalaPalace_00000135.jpg],3[potalaPalace_00000031.jpg],3[potalaPalace_00000206.jpg],2[potalaPalace_00000237.jpg],4[potalaPalace_00000321.jpg],2[potalaPalace_00000065.jpg],3[potalaPalace_00000110.jpg],3[potalaPalace_00000021.jpg],4[potalaPalace_00000536.jpg],3[potalaPalace_00000547.jpg],3[potalaPalace_00000173.jpg],3[potalaPalace_00000176.jpg],1[potalaPalace_00000092.jpg],4[potalaPalace_00000113.jpg],1[potalaPalace_00000038.jpg],4[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3GD6L00D3TNWK4WI0Q7SVUUDJEAM1S,A39BR7NYRDWC01,Approved,"Mon Sep 12 08:12:00 PDT 2016","Mon Sep 12 08:14:29 PDT 2016",4[potalaPalace_00000349.jpg],5[potalaPalace_00000686.jpg],4[potalaPalace_00000557.jpg],4[potalaPalace_00000651.jpg],5[potalaPalace_00000108.jpg],5[potalaPalace_00000105.jpg],4[potalaPalace_00000002.jpg],5[potalaPalace_00000004.jpg],5[potalaPalace_00000032.jpg],4[potalaPalace_00000277.jpg],5[potalaPalace_00000091.jpg],4[potalaPalace_00000034.jpg],4[potalaPalace_00000351.jpg],5[potalaPalace_00000325.jpg],5[potalaPalace_00000135.jpg],5[potalaPalace_00000031.jpg],5[potalaPalace_00000206.jpg],5[potalaPalace_00000237.jpg],4[potalaPalace_00000321.jpg],5[potalaPalace_00000065.jpg],5[potalaPalace_00000110.jpg],5[potalaPalace_00000021.jpg],4[potalaPalace_00000536.jpg],5[potalaPalace_00000547.jpg],5[potalaPalace_00000173.jpg],4[potalaPalace_00000176.jpg],3[potalaPalace_00000092.jpg],5[potalaPalace_00000113.jpg],3[potalaPalace_00000038.jpg],5[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",37M28K1J0R32DK3XTCNTQ3VZJEMAJ1,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:19:45 PDT 2016","Mon Sep 12 08:21:48 PDT 2016",5[potalaPalace_00000349.jpg],1[potalaPalace_00000686.jpg],3[potalaPalace_00000557.jpg],4[potalaPalace_00000651.jpg],4[potalaPalace_00000108.jpg],3[potalaPalace_00000105.jpg],3[potalaPalace_00000002.jpg],2[potalaPalace_00000004.jpg],4[potalaPalace_00000032.jpg],2[potalaPalace_00000277.jpg],3[potalaPalace_00000091.jpg],3[potalaPalace_00000034.jpg],2[potalaPalace_00000351.jpg],2[potalaPalace_00000325.jpg],2[potalaPalace_00000135.jpg],3[potalaPalace_00000031.jpg],3[potalaPalace_00000206.jpg],3[potalaPalace_00000237.jpg],3[potalaPalace_00000321.jpg],4[potalaPalace_00000065.jpg],3[potalaPalace_00000110.jpg],4[potalaPalace_00000021.jpg],3[potalaPalace_00000536.jpg],2[potalaPalace_00000547.jpg],2[potalaPalace_00000173.jpg],1[potalaPalace_00000176.jpg],2[potalaPalace_00000092.jpg],4[potalaPalace_00000113.jpg],3[potalaPalace_00000038.jpg],3[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3JMSRU9HQJKEUSK3Q63YPAWKZGSEVM,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:35:16 PDT 2016","Mon Sep 12 08:37:27 PDT 2016",4[potalaPalace_00000349.jpg],1[potalaPalace_00000686.jpg],2[potalaPalace_00000557.jpg],2[potalaPalace_00000651.jpg],3[potalaPalace_00000108.jpg],3[potalaPalace_00000105.jpg],3[potalaPalace_00000002.jpg],2[potalaPalace_00000004.jpg],3[potalaPalace_00000032.jpg],2[potalaPalace_00000277.jpg],2[potalaPalace_00000091.jpg],2[potalaPalace_00000034.jpg],1[potalaPalace_00000351.jpg],2[potalaPalace_00000325.jpg],1[potalaPalace_00000135.jpg],2[potalaPalace_00000031.jpg],3[potalaPalace_00000206.jpg],4[potalaPalace_00000237.jpg],2[potalaPalace_00000321.jpg],4[potalaPalace_00000065.jpg],3[potalaPalace_00000110.jpg],3[potalaPalace_00000021.jpg],3[potalaPalace_00000536.jpg],3[potalaPalace_00000547.jpg],2[potalaPalace_00000173.jpg],2[potalaPalace_00000176.jpg],1[potalaPalace_00000092.jpg],3[potalaPalace_00000113.jpg],1[potalaPalace_00000038.jpg],3[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3O7L7BFSHFF98M03RZ4FAL6QRFZIEY,AWQDOOSNH42QM,Approved,"Mon Sep 12 08:58:30 PDT 2016","Mon Sep 12 09:00:10 PDT 2016",5[potalaPalace_00000349.jpg],4[potalaPalace_00000686.jpg],5[potalaPalace_00000557.jpg],5[potalaPalace_00000651.jpg],5[potalaPalace_00000108.jpg],5[potalaPalace_00000105.jpg],5[potalaPalace_00000002.jpg],5[potalaPalace_00000004.jpg],5[potalaPalace_00000032.jpg],5[potalaPalace_00000277.jpg],5[potalaPalace_00000091.jpg],5[potalaPalace_00000034.jpg],5[potalaPalace_00000351.jpg],5[potalaPalace_00000325.jpg],5[potalaPalace_00000135.jpg],5[potalaPalace_00000031.jpg],5[potalaPalace_00000206.jpg],5[potalaPalace_00000237.jpg],5[potalaPalace_00000321.jpg],5[potalaPalace_00000065.jpg],5[potalaPalace_00000110.jpg],5[potalaPalace_00000021.jpg],5[potalaPalace_00000536.jpg],5[potalaPalace_00000547.jpg],5[potalaPalace_00000173.jpg],5[potalaPalace_00000176.jpg],5[potalaPalace_00000092.jpg],5[potalaPalace_00000113.jpg],5[potalaPalace_00000038.jpg],5[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3RANCT1ZVG7GAAJJBPR3SGOGIDMBUC,A1RDWHWYC68DZ,Approved,"Mon Sep 12 09:51:27 PDT 2016","Mon Sep 12 09:53:10 PDT 2016",4[potalaPalace_00000349.jpg],2[potalaPalace_00000686.jpg],4[potalaPalace_00000557.jpg],4[potalaPalace_00000651.jpg],4[potalaPalace_00000108.jpg],4[potalaPalace_00000105.jpg],4[potalaPalace_00000002.jpg],4[potalaPalace_00000004.jpg],4[potalaPalace_00000032.jpg],4[potalaPalace_00000277.jpg],4[potalaPalace_00000091.jpg],3[potalaPalace_00000034.jpg],3[potalaPalace_00000351.jpg],4[potalaPalace_00000325.jpg],4[potalaPalace_00000135.jpg],4[potalaPalace_00000031.jpg],4[potalaPalace_00000206.jpg],4[potalaPalace_00000237.jpg],4[potalaPalace_00000321.jpg],4[potalaPalace_00000065.jpg],4[potalaPalace_00000110.jpg],4[potalaPalace_00000021.jpg],4[potalaPalace_00000536.jpg],4[potalaPalace_00000547.jpg],4[potalaPalace_00000173.jpg],3[potalaPalace_00000176.jpg],4[potalaPalace_00000092.jpg],4[potalaPalace_00000113.jpg],4[potalaPalace_00000038.jpg],4[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3AQF3RZ5598LLG5YK9FWV01LUPYF6Y,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:57:54 PDT 2016","Mon Sep 12 09:58:29 PDT 2016",5[potalaPalace_00000349.jpg],5[potalaPalace_00000686.jpg],5[potalaPalace_00000557.jpg],5[potalaPalace_00000651.jpg],5[potalaPalace_00000108.jpg],5[potalaPalace_00000105.jpg],5[potalaPalace_00000002.jpg],5[potalaPalace_00000004.jpg],5[potalaPalace_00000032.jpg],5[potalaPalace_00000277.jpg],5[potalaPalace_00000091.jpg],5[potalaPalace_00000034.jpg],5[potalaPalace_00000351.jpg],5[potalaPalace_00000325.jpg],5[potalaPalace_00000135.jpg],5[potalaPalace_00000031.jpg],5[potalaPalace_00000206.jpg],5[potalaPalace_00000237.jpg],5[potalaPalace_00000321.jpg],5[potalaPalace_00000065.jpg],5[potalaPalace_00000110.jpg],5[potalaPalace_00000021.jpg],5[potalaPalace_00000536.jpg],5[potalaPalace_00000547.jpg],5[potalaPalace_00000173.jpg],5[potalaPalace_00000176.jpg],5[potalaPalace_00000092.jpg],5[potalaPalace_00000113.jpg],5[potalaPalace_00000038.jpg],5[potalaPalace_00000085.jpg],
3X2YVV51PUUQ3WS3EP8EF81KGZJW1I,"potalaPalace_270-299","sample#command",3300DTYQT37MPKOM479OJNXCIQAEQT,A3SGLQR9DCRN52,Approved,"Mon Sep 12 16:05:34 PDT 2016","Mon Sep 12 16:08:31 PDT 2016",3[potalaPalace_00000349.jpg],2[potalaPalace_00000686.jpg],3[potalaPalace_00000557.jpg],4[potalaPalace_00000651.jpg],2[potalaPalace_00000108.jpg],3[potalaPalace_00000105.jpg],3[potalaPalace_00000002.jpg],4[potalaPalace_00000004.jpg],4[potalaPalace_00000032.jpg],3[potalaPalace_00000277.jpg],4[potalaPalace_00000091.jpg],4[potalaPalace_00000034.jpg],4[potalaPalace_00000351.jpg],2[potalaPalace_00000325.jpg],4[potalaPalace_00000135.jpg],5[potalaPalace_00000031.jpg],4[potalaPalace_00000206.jpg],4[potalaPalace_00000237.jpg],4[potalaPalace_00000321.jpg],4[potalaPalace_00000065.jpg],5[potalaPalace_00000110.jpg],4[potalaPalace_00000021.jpg],4[potalaPalace_00000536.jpg],3[potalaPalace_00000547.jpg],4[potalaPalace_00000173.jpg],3[potalaPalace_00000176.jpg],4[potalaPalace_00000092.jpg],5[potalaPalace_00000113.jpg],5[potalaPalace_00000038.jpg],4[potalaPalace_00000085.jpg],
