HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3RXCAC0YISFE3UKHO8ICXZXO1Y48GQ,A2WLTDIILI4K16,Approved,"Mon Sep 12 08:11:56 PDT 2016","Mon Sep 12 08:17:33 PDT 2016",2[potalaPalace_00000521.jpg],3[potalaPalace_00000377.jpg],2[potalaPalace_00000425.jpg],3[potalaPalace_00000452.jpg],2[potalaPalace_00000613.jpg],2[potalaPalace_00000382.jpg],3[potalaPalace_00000402.jpg],2[potalaPalace_00000517.jpg],2[potalaPalace_00000561.jpg],2[potalaPalace_00000438.jpg],3[potalaPalace_00000509.jpg],3[potalaPalace_00000512.jpg],3[potalaPalace_00000426.jpg],3[potalaPalace_00000177.jpg],2[potalaPalace_00000534.jpg],4[potalaPalace_00000559.jpg],3[potalaPalace_00000078.jpg],2[potalaPalace_00000190.jpg],3[potalaPalace_00000006.jpg],2[potalaPalace_00000093.jpg],2[potalaPalace_00000620.jpg],2[potalaPalace_00000058.jpg],2[potalaPalace_00000087.jpg],4[potalaPalace_00000054.jpg],2[potalaPalace_00000273.jpg],3[potalaPalace_00000003.jpg],3[potalaPalace_00000117.jpg],2[potalaPalace_00000123.jpg],2[potalaPalace_00000012.jpg],2[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3RRCEFRB7N2HTCP4WJ0LFCQMJ0JB4A,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:39:28 PDT 2016","Mon Sep 12 08:41:33 PDT 2016",2[potalaPalace_00000521.jpg],3[potalaPalace_00000377.jpg],4[potalaPalace_00000425.jpg],2[potalaPalace_00000452.jpg],3[potalaPalace_00000613.jpg],2[potalaPalace_00000382.jpg],3[potalaPalace_00000402.jpg],1[potalaPalace_00000517.jpg],1[potalaPalace_00000561.jpg],2[potalaPalace_00000438.jpg],1[potalaPalace_00000509.jpg],3[potalaPalace_00000512.jpg],4[potalaPalace_00000426.jpg],2[potalaPalace_00000177.jpg],3[potalaPalace_00000534.jpg],1[potalaPalace_00000559.jpg],2[potalaPalace_00000078.jpg],1[potalaPalace_00000190.jpg],2[potalaPalace_00000006.jpg],2[potalaPalace_00000093.jpg],3[potalaPalace_00000620.jpg],2[potalaPalace_00000058.jpg],5[potalaPalace_00000087.jpg],4[potalaPalace_00000054.jpg],2[potalaPalace_00000273.jpg],3[potalaPalace_00000003.jpg],2[potalaPalace_00000117.jpg],2[potalaPalace_00000123.jpg],1[potalaPalace_00000012.jpg],1[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3OCHAWUVGPA9KHH8M7FJBQ6AZPYXKW,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:54:09 PDT 2016","Mon Sep 12 08:58:29 PDT 2016",1[potalaPalace_00000521.jpg],3[potalaPalace_00000377.jpg],4[potalaPalace_00000425.jpg],4[potalaPalace_00000452.jpg],3[potalaPalace_00000613.jpg],3[potalaPalace_00000382.jpg],4[potalaPalace_00000402.jpg],1[potalaPalace_00000517.jpg],1[potalaPalace_00000561.jpg],2[potalaPalace_00000438.jpg],2[potalaPalace_00000509.jpg],2[potalaPalace_00000512.jpg],3[potalaPalace_00000426.jpg],3[potalaPalace_00000177.jpg],2[potalaPalace_00000534.jpg],1[potalaPalace_00000559.jpg],2[potalaPalace_00000078.jpg],2[potalaPalace_00000190.jpg],1[potalaPalace_00000006.jpg],2[potalaPalace_00000093.jpg],2[potalaPalace_00000620.jpg],2[potalaPalace_00000058.jpg],3[potalaPalace_00000087.jpg],3[potalaPalace_00000054.jpg],2[potalaPalace_00000273.jpg],3[potalaPalace_00000003.jpg],4[potalaPalace_00000117.jpg],4[potalaPalace_00000123.jpg],2[potalaPalace_00000012.jpg],2[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3TAYZSBPLMY67KRJ3R3SCM3O3ACS2Z,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 09:03:06 PDT 2016","Mon Sep 12 09:05:26 PDT 2016",4[potalaPalace_00000521.jpg],2[potalaPalace_00000377.jpg],4[potalaPalace_00000425.jpg],4[potalaPalace_00000452.jpg],4[potalaPalace_00000613.jpg],3[potalaPalace_00000382.jpg],2[potalaPalace_00000402.jpg],3[potalaPalace_00000517.jpg],3[potalaPalace_00000561.jpg],4[potalaPalace_00000438.jpg],3[potalaPalace_00000509.jpg],4[potalaPalace_00000512.jpg],4[potalaPalace_00000426.jpg],2[potalaPalace_00000177.jpg],2[potalaPalace_00000534.jpg],2[potalaPalace_00000559.jpg],2[potalaPalace_00000078.jpg],1[potalaPalace_00000190.jpg],3[potalaPalace_00000006.jpg],3[potalaPalace_00000093.jpg],3[potalaPalace_00000620.jpg],3[potalaPalace_00000058.jpg],3[potalaPalace_00000087.jpg],2[potalaPalace_00000054.jpg],1[potalaPalace_00000273.jpg],3[potalaPalace_00000003.jpg],3[potalaPalace_00000117.jpg],3[potalaPalace_00000123.jpg],1[potalaPalace_00000012.jpg],3[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3R08VXYT7DL6025YT8UO52NHK3Y7WD,AWQDOOSNH42QM,Approved,"Mon Sep 12 09:27:42 PDT 2016","Mon Sep 12 09:29:08 PDT 2016",5[potalaPalace_00000521.jpg],5[potalaPalace_00000377.jpg],4[potalaPalace_00000425.jpg],5[potalaPalace_00000452.jpg],5[potalaPalace_00000613.jpg],5[potalaPalace_00000382.jpg],5[potalaPalace_00000402.jpg],5[potalaPalace_00000517.jpg],5[potalaPalace_00000561.jpg],5[potalaPalace_00000438.jpg],5[potalaPalace_00000509.jpg],5[potalaPalace_00000512.jpg],5[potalaPalace_00000426.jpg],5[potalaPalace_00000177.jpg],4[potalaPalace_00000534.jpg],2[potalaPalace_00000559.jpg],5[potalaPalace_00000078.jpg],5[potalaPalace_00000190.jpg],5[potalaPalace_00000006.jpg],5[potalaPalace_00000093.jpg],5[potalaPalace_00000620.jpg],5[potalaPalace_00000058.jpg],5[potalaPalace_00000087.jpg],5[potalaPalace_00000054.jpg],5[potalaPalace_00000273.jpg],5[potalaPalace_00000003.jpg],5[potalaPalace_00000117.jpg],5[potalaPalace_00000123.jpg],5[potalaPalace_00000012.jpg],5[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3Z4XG4ZF49HPPGF7DIIGLLXJ4PLX8U,ASY5AZCZEM04L,Approved,"Mon Sep 12 10:01:15 PDT 2016","Mon Sep 12 10:02:34 PDT 2016",5[potalaPalace_00000521.jpg],5[potalaPalace_00000377.jpg],5[potalaPalace_00000425.jpg],5[potalaPalace_00000452.jpg],5[potalaPalace_00000613.jpg],5[potalaPalace_00000382.jpg],5[potalaPalace_00000402.jpg],5[potalaPalace_00000517.jpg],5[potalaPalace_00000561.jpg],5[potalaPalace_00000438.jpg],5[potalaPalace_00000509.jpg],5[potalaPalace_00000512.jpg],5[potalaPalace_00000426.jpg],5[potalaPalace_00000177.jpg],5[potalaPalace_00000534.jpg],5[potalaPalace_00000559.jpg],5[potalaPalace_00000078.jpg],5[potalaPalace_00000190.jpg],5[potalaPalace_00000006.jpg],5[potalaPalace_00000093.jpg],5[potalaPalace_00000620.jpg],5[potalaPalace_00000058.jpg],5[potalaPalace_00000087.jpg],5[potalaPalace_00000054.jpg],5[potalaPalace_00000273.jpg],5[potalaPalace_00000003.jpg],5[potalaPalace_00000117.jpg],5[potalaPalace_00000123.jpg],5[potalaPalace_00000012.jpg],5[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3F0BG9B9MQDAP70Y89CCQZ8XVBBY7G,A3PSIT0A7OU2FL,Approved,"Mon Sep 12 10:14:14 PDT 2016","Mon Sep 12 10:15:37 PDT 2016",2[potalaPalace_00000521.jpg],4[potalaPalace_00000377.jpg],3[potalaPalace_00000425.jpg],3[potalaPalace_00000452.jpg],1[potalaPalace_00000613.jpg],2[potalaPalace_00000382.jpg],1[potalaPalace_00000402.jpg],1[potalaPalace_00000517.jpg],1[potalaPalace_00000561.jpg],2[potalaPalace_00000438.jpg],1[potalaPalace_00000509.jpg],2[potalaPalace_00000512.jpg],2[potalaPalace_00000426.jpg],4[potalaPalace_00000177.jpg],2[potalaPalace_00000534.jpg],5[potalaPalace_00000559.jpg],4[potalaPalace_00000078.jpg],4[potalaPalace_00000190.jpg],5[potalaPalace_00000006.jpg],3[potalaPalace_00000093.jpg],3[potalaPalace_00000620.jpg],4[potalaPalace_00000058.jpg],3[potalaPalace_00000087.jpg],3[potalaPalace_00000054.jpg],3[potalaPalace_00000273.jpg],4[potalaPalace_00000003.jpg],4[potalaPalace_00000117.jpg],4[potalaPalace_00000123.jpg],2[potalaPalace_00000012.jpg],3[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3JWH6J9I9T33FKZAEOFHELWMAH3BNU,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:35:32 PDT 2016","Mon Sep 12 10:37:09 PDT 2016",3[potalaPalace_00000521.jpg],4[potalaPalace_00000377.jpg],4[potalaPalace_00000425.jpg],4[potalaPalace_00000452.jpg],4[potalaPalace_00000613.jpg],4[potalaPalace_00000382.jpg],4[potalaPalace_00000402.jpg],4[potalaPalace_00000517.jpg],4[potalaPalace_00000561.jpg],4[potalaPalace_00000438.jpg],4[potalaPalace_00000509.jpg],3[potalaPalace_00000512.jpg],4[potalaPalace_00000426.jpg],3[potalaPalace_00000177.jpg],3[potalaPalace_00000534.jpg],3[potalaPalace_00000559.jpg],4[potalaPalace_00000078.jpg],4[potalaPalace_00000190.jpg],4[potalaPalace_00000006.jpg],4[potalaPalace_00000093.jpg],3[potalaPalace_00000620.jpg],4[potalaPalace_00000058.jpg],4[potalaPalace_00000087.jpg],4[potalaPalace_00000054.jpg],2[potalaPalace_00000273.jpg],3[potalaPalace_00000003.jpg],4[potalaPalace_00000117.jpg],4[potalaPalace_00000123.jpg],4[potalaPalace_00000012.jpg],4[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3WS1NTTKEZ2Q75JJIKZFMZRUHN30FB,A348BAS2Y3F8MM,Approved,"Mon Sep 12 12:15:11 PDT 2016","Mon Sep 12 12:19:17 PDT 2016",4[potalaPalace_00000521.jpg],5[potalaPalace_00000377.jpg],3[potalaPalace_00000425.jpg],5[potalaPalace_00000452.jpg],4[potalaPalace_00000613.jpg],2[potalaPalace_00000382.jpg],4[potalaPalace_00000402.jpg],1[potalaPalace_00000517.jpg],2[potalaPalace_00000561.jpg],3[potalaPalace_00000438.jpg],1[potalaPalace_00000509.jpg],2[potalaPalace_00000512.jpg],4[potalaPalace_00000426.jpg],1[potalaPalace_00000177.jpg],3[potalaPalace_00000534.jpg],1[potalaPalace_00000559.jpg],1[potalaPalace_00000078.jpg],1[potalaPalace_00000190.jpg],2[potalaPalace_00000006.jpg],1[potalaPalace_00000093.jpg],3[potalaPalace_00000620.jpg],1[potalaPalace_00000058.jpg],1[potalaPalace_00000087.jpg],1[potalaPalace_00000054.jpg],2[potalaPalace_00000273.jpg],2[potalaPalace_00000003.jpg],4[potalaPalace_00000117.jpg],1[potalaPalace_00000123.jpg],3[potalaPalace_00000012.jpg],1[potalaPalace_00000341.jpg],
3YGE63DIN8NQW77LI64E13IAB7DW0F,"potalaPalace_480-509","sample#command",3TY7ZAOG5GA1NRBXJVQC2CJZPJX0KQ,AJV1P6Y3RQCOQ,Approved,"Mon Sep 12 14:11:47 PDT 2016","Mon Sep 12 14:15:21 PDT 2016",4[potalaPalace_00000521.jpg],1[potalaPalace_00000377.jpg],3[potalaPalace_00000425.jpg],3[potalaPalace_00000452.jpg],1[potalaPalace_00000613.jpg],3[potalaPalace_00000382.jpg],4[potalaPalace_00000402.jpg],1[potalaPalace_00000517.jpg],2[potalaPalace_00000561.jpg],1[potalaPalace_00000438.jpg],4[potalaPalace_00000509.jpg],5[potalaPalace_00000512.jpg],2[potalaPalace_00000426.jpg],1[potalaPalace_00000177.jpg],4[potalaPalace_00000534.jpg],1[potalaPalace_00000559.jpg],1[potalaPalace_00000078.jpg],1[potalaPalace_00000190.jpg],2[potalaPalace_00000006.jpg],3[potalaPalace_00000093.jpg],1[potalaPalace_00000620.jpg],3[potalaPalace_00000058.jpg],4[potalaPalace_00000087.jpg],3[potalaPalace_00000054.jpg],1[potalaPalace_00000273.jpg],2[potalaPalace_00000003.jpg],5[potalaPalace_00000117.jpg],4[potalaPalace_00000123.jpg],2[potalaPalace_00000012.jpg],1[potalaPalace_00000341.jpg],
