HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",30LB5CDZND0WCMAJJWTMPR7CTQK0ZI,A3IB7OYPE4A3CJ,Approved,"Mon Sep 12 07:48:22 PDT 2016","Mon Sep 12 07:53:01 PDT 2016",4[potalaPalace_00000143.jpg],1[potalaPalace_00000245.jpg],4[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],3[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],5[potalaPalace_00000586.jpg],2[potalaPalace_00000614.jpg],4[potalaPalace_00000679.jpg],1[potalaPalace_00000689.jpg],3[potalaPalace_00000202.jpg],2[potalaPalace_00000235.jpg],5[potalaPalace_00000678.jpg],1[potalaPalace_00000236.jpg],2[potalaPalace_00000256.jpg],1[potalaPalace_00000293.jpg],3[potalaPalace_00000231.jpg],3[potalaPalace_00000676.jpg],2[potalaPalace_00000655.jpg],1[potalaPalace_00000634.jpg],4[potalaPalace_00000684.jpg],5[potalaPalace_00000215.jpg],1[potalaPalace_00000653.jpg],3[potalaPalace_00000217.jpg],1[potalaPalace_00000225.jpg],4[potalaPalace_00000234.jpg],2[potalaPalace_00000214.jpg],1[potalaPalace_00000279.jpg],3[potalaPalace_00000220.jpg],1[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",3I7DHKZYGOQP2C5KFQ5R3UNLYT25FL,A2WLTDIILI4K16,Approved,"Mon Sep 12 07:58:31 PDT 2016","Mon Sep 12 08:07:02 PDT 2016",5[potalaPalace_00000143.jpg],5[potalaPalace_00000245.jpg],4[potalaPalace_00000141.jpg],4[potalaPalace_00000111.jpg],5[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],3[potalaPalace_00000586.jpg],2[potalaPalace_00000614.jpg],2[potalaPalace_00000679.jpg],2[potalaPalace_00000689.jpg],2[potalaPalace_00000202.jpg],2[potalaPalace_00000235.jpg],2[potalaPalace_00000678.jpg],2[potalaPalace_00000236.jpg],3[potalaPalace_00000256.jpg],2[potalaPalace_00000293.jpg],3[potalaPalace_00000231.jpg],2[potalaPalace_00000676.jpg],3[potalaPalace_00000655.jpg],3[potalaPalace_00000634.jpg],2[potalaPalace_00000684.jpg],2[potalaPalace_00000215.jpg],2[potalaPalace_00000653.jpg],3[potalaPalace_00000217.jpg],3[potalaPalace_00000225.jpg],3[potalaPalace_00000234.jpg],3[potalaPalace_00000214.jpg],3[potalaPalace_00000279.jpg],3[potalaPalace_00000220.jpg],3[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",3SLE99ER0O3XW9DTHCQB983VKUJZB5,AENDSV6FLIUQR,Approved,"Mon Sep 12 08:24:36 PDT 2016","Mon Sep 12 08:27:14 PDT 2016",4[potalaPalace_00000143.jpg],5[potalaPalace_00000245.jpg],4[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],5[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],5[potalaPalace_00000586.jpg],3[potalaPalace_00000614.jpg],3[potalaPalace_00000679.jpg],2[potalaPalace_00000689.jpg],1[potalaPalace_00000202.jpg],1[potalaPalace_00000235.jpg],3[potalaPalace_00000678.jpg],2[potalaPalace_00000236.jpg],1[potalaPalace_00000256.jpg],2[potalaPalace_00000293.jpg],2[potalaPalace_00000231.jpg],1[potalaPalace_00000676.jpg],3[potalaPalace_00000655.jpg],3[potalaPalace_00000634.jpg],3[potalaPalace_00000684.jpg],3[potalaPalace_00000215.jpg],2[potalaPalace_00000653.jpg],2[potalaPalace_00000217.jpg],4[potalaPalace_00000225.jpg],3[potalaPalace_00000234.jpg],3[potalaPalace_00000214.jpg],1[potalaPalace_00000279.jpg],2[potalaPalace_00000220.jpg],2[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",3TY7ZAOG5GA1NRBXJVQC2CJZPHA0KZ,A2YDGWBLQV46EQ,Approved,"Mon Sep 12 08:19:59 PDT 2016","Mon Sep 12 08:28:06 PDT 2016",2[potalaPalace_00000143.jpg],4[potalaPalace_00000245.jpg],3[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],4[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],2[potalaPalace_00000586.jpg],1[potalaPalace_00000614.jpg],1[potalaPalace_00000679.jpg],1[potalaPalace_00000689.jpg],1[potalaPalace_00000202.jpg],1[potalaPalace_00000235.jpg],1[potalaPalace_00000678.jpg],1[potalaPalace_00000236.jpg],1[potalaPalace_00000256.jpg],1[potalaPalace_00000293.jpg],1[potalaPalace_00000231.jpg],1[potalaPalace_00000676.jpg],1[potalaPalace_00000655.jpg],1[potalaPalace_00000634.jpg],1[potalaPalace_00000684.jpg],1[potalaPalace_00000215.jpg],1[potalaPalace_00000653.jpg],1[potalaPalace_00000217.jpg],1[potalaPalace_00000225.jpg],1[potalaPalace_00000234.jpg],2[potalaPalace_00000214.jpg],3[potalaPalace_00000279.jpg],2[potalaPalace_00000220.jpg],1[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",3FE7TXL1LJDUU4C6BNENHMONLLMQ21,A1A2F7EY4XCM4Q,Approved,"Mon Sep 12 08:27:57 PDT 2016","Mon Sep 12 08:29:58 PDT 2016",1[potalaPalace_00000143.jpg],4[potalaPalace_00000245.jpg],2[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],5[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],4[potalaPalace_00000586.jpg],2[potalaPalace_00000614.jpg],2[potalaPalace_00000679.jpg],2[potalaPalace_00000689.jpg],1[potalaPalace_00000202.jpg],2[potalaPalace_00000235.jpg],2[potalaPalace_00000678.jpg],2[potalaPalace_00000236.jpg],1[potalaPalace_00000256.jpg],1[potalaPalace_00000293.jpg],2[potalaPalace_00000231.jpg],2[potalaPalace_00000676.jpg],1[potalaPalace_00000655.jpg],1[potalaPalace_00000634.jpg],4[potalaPalace_00000684.jpg],2[potalaPalace_00000215.jpg],2[potalaPalace_00000653.jpg],1[potalaPalace_00000217.jpg],2[potalaPalace_00000225.jpg],2[potalaPalace_00000234.jpg],2[potalaPalace_00000214.jpg],2[potalaPalace_00000279.jpg],2[potalaPalace_00000220.jpg],2[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",34T446B1C14J4TZ9RI9EET6RK930CQ,A1XQEKD3Y0QHPT,Approved,"Mon Sep 12 08:39:40 PDT 2016","Mon Sep 12 08:41:43 PDT 2016",1[potalaPalace_00000143.jpg],4[potalaPalace_00000245.jpg],3[potalaPalace_00000141.jpg],3[potalaPalace_00000111.jpg],3[potalaPalace_00000048.jpg],3[potalaPalace_00000315.jpg],2[potalaPalace_00000586.jpg],2[potalaPalace_00000614.jpg],3[potalaPalace_00000679.jpg],3[potalaPalace_00000689.jpg],2[potalaPalace_00000202.jpg],2[potalaPalace_00000235.jpg],3[potalaPalace_00000678.jpg],3[potalaPalace_00000236.jpg],2[potalaPalace_00000256.jpg],1[potalaPalace_00000293.jpg],3[potalaPalace_00000231.jpg],2[potalaPalace_00000676.jpg],3[potalaPalace_00000655.jpg],3[potalaPalace_00000634.jpg],3[potalaPalace_00000684.jpg],3[potalaPalace_00000215.jpg],2[potalaPalace_00000653.jpg],3[potalaPalace_00000217.jpg],3[potalaPalace_00000225.jpg],3[potalaPalace_00000234.jpg],3[potalaPalace_00000214.jpg],2[potalaPalace_00000279.jpg],3[potalaPalace_00000220.jpg],2[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",34X6J5FLPUOU00AEI8KFG3A4NXAQJS,AWQDOOSNH42QM,Approved,"Mon Sep 12 08:49:40 PDT 2016","Mon Sep 12 08:51:21 PDT 2016",4[potalaPalace_00000143.jpg],5[potalaPalace_00000245.jpg],5[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],4[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],3[potalaPalace_00000586.jpg],3[potalaPalace_00000614.jpg],5[potalaPalace_00000679.jpg],5[potalaPalace_00000689.jpg],5[potalaPalace_00000202.jpg],5[potalaPalace_00000235.jpg],5[potalaPalace_00000678.jpg],5[potalaPalace_00000236.jpg],5[potalaPalace_00000256.jpg],5[potalaPalace_00000293.jpg],5[potalaPalace_00000231.jpg],5[potalaPalace_00000676.jpg],5[potalaPalace_00000655.jpg],5[potalaPalace_00000634.jpg],5[potalaPalace_00000684.jpg],5[potalaPalace_00000215.jpg],5[potalaPalace_00000653.jpg],5[potalaPalace_00000217.jpg],5[potalaPalace_00000225.jpg],5[potalaPalace_00000234.jpg],5[potalaPalace_00000214.jpg],5[potalaPalace_00000279.jpg],5[potalaPalace_00000220.jpg],5[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",35GCEFQ6I6ESTE9G2JB5RP5JW3H3ZV,A222VPGL7RJ5LO,Approved,"Mon Sep 12 09:31:28 PDT 2016","Mon Sep 12 09:36:41 PDT 2016",3[potalaPalace_00000143.jpg],2[potalaPalace_00000245.jpg],2[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],4[potalaPalace_00000048.jpg],3[potalaPalace_00000315.jpg],2[potalaPalace_00000586.jpg],3[potalaPalace_00000614.jpg],3[potalaPalace_00000679.jpg],2[potalaPalace_00000689.jpg],2[potalaPalace_00000202.jpg],2[potalaPalace_00000235.jpg],3[potalaPalace_00000678.jpg],2[potalaPalace_00000236.jpg],2[potalaPalace_00000256.jpg],2[potalaPalace_00000293.jpg],3[potalaPalace_00000231.jpg],2[potalaPalace_00000676.jpg],2[potalaPalace_00000655.jpg],3[potalaPalace_00000634.jpg],2[potalaPalace_00000684.jpg],2[potalaPalace_00000215.jpg],2[potalaPalace_00000653.jpg],3[potalaPalace_00000217.jpg],3[potalaPalace_00000225.jpg],2[potalaPalace_00000234.jpg],3[potalaPalace_00000214.jpg],2[potalaPalace_00000279.jpg],3[potalaPalace_00000220.jpg],3[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",3LOZAJ85YE3E31DIX19FBUKGIPK2XN,A15CGRCPAKTQGJ,Approved,"Mon Sep 12 09:35:26 PDT 2016","Mon Sep 12 09:38:12 PDT 2016",5[potalaPalace_00000143.jpg],4[potalaPalace_00000245.jpg],4[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],5[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],5[potalaPalace_00000586.jpg],5[potalaPalace_00000614.jpg],4[potalaPalace_00000679.jpg],4[potalaPalace_00000689.jpg],3[potalaPalace_00000202.jpg],4[potalaPalace_00000235.jpg],5[potalaPalace_00000678.jpg],4[potalaPalace_00000236.jpg],4[potalaPalace_00000256.jpg],2[potalaPalace_00000293.jpg],4[potalaPalace_00000231.jpg],4[potalaPalace_00000676.jpg],4[potalaPalace_00000655.jpg],5[potalaPalace_00000634.jpg],4[potalaPalace_00000684.jpg],4[potalaPalace_00000215.jpg],4[potalaPalace_00000653.jpg],4[potalaPalace_00000217.jpg],4[potalaPalace_00000225.jpg],4[potalaPalace_00000234.jpg],4[potalaPalace_00000214.jpg],4[potalaPalace_00000279.jpg],4[potalaPalace_00000220.jpg],4[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",36W0OB37HX47NMGFH407VJ6TF88ZH7,ASY5AZCZEM04L,Approved,"Mon Sep 12 09:57:56 PDT 2016","Mon Sep 12 09:58:43 PDT 2016",5[potalaPalace_00000143.jpg],4[potalaPalace_00000245.jpg],5[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],5[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],5[potalaPalace_00000586.jpg],5[potalaPalace_00000614.jpg],5[potalaPalace_00000679.jpg],5[potalaPalace_00000689.jpg],5[potalaPalace_00000202.jpg],5[potalaPalace_00000235.jpg],5[potalaPalace_00000678.jpg],5[potalaPalace_00000236.jpg],5[potalaPalace_00000256.jpg],5[potalaPalace_00000293.jpg],5[potalaPalace_00000231.jpg],5[potalaPalace_00000676.jpg],5[potalaPalace_00000655.jpg],5[potalaPalace_00000634.jpg],5[potalaPalace_00000684.jpg],5[potalaPalace_00000215.jpg],5[potalaPalace_00000653.jpg],5[potalaPalace_00000217.jpg],5[potalaPalace_00000225.jpg],5[potalaPalace_00000234.jpg],5[potalaPalace_00000214.jpg],5[potalaPalace_00000279.jpg],5[potalaPalace_00000220.jpg],5[potalaPalace_00000673.jpg],
3ZZAYRN1I6HJ77VAPM1E4K7T5GBOT7,"potalaPalace_60-89","sample#command",3TUI152ZZCDN5JUASJE9C3EITGUQ18,A1RDWHWYC68DZ,Approved,"Mon Sep 12 10:11:42 PDT 2016","Mon Sep 12 10:15:24 PDT 2016",3[potalaPalace_00000143.jpg],5[potalaPalace_00000245.jpg],4[potalaPalace_00000141.jpg],5[potalaPalace_00000111.jpg],4[potalaPalace_00000048.jpg],5[potalaPalace_00000315.jpg],3[potalaPalace_00000586.jpg],4[potalaPalace_00000614.jpg],4[potalaPalace_00000679.jpg],4[potalaPalace_00000689.jpg],2[potalaPalace_00000202.jpg],3[potalaPalace_00000235.jpg],3[potalaPalace_00000678.jpg],3[potalaPalace_00000236.jpg],3[potalaPalace_00000256.jpg],2[potalaPalace_00000293.jpg],3[potalaPalace_00000231.jpg],2[potalaPalace_00000676.jpg],3[potalaPalace_00000655.jpg],3[potalaPalace_00000634.jpg],4[potalaPalace_00000684.jpg],3[potalaPalace_00000215.jpg],3[potalaPalace_00000653.jpg],4[potalaPalace_00000217.jpg],3[potalaPalace_00000225.jpg],3[potalaPalace_00000234.jpg],4[potalaPalace_00000214.jpg],3[potalaPalace_00000279.jpg],4[potalaPalace_00000220.jpg],3[potalaPalace_00000673.jpg],
