HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3CN4LGXD5XPGKYGZLLW4R6P5BM04YN,AR50UBGSH10FJ,Approved,"Thu May 05 04:58:12 PDT 2016","Thu May 05 04:59:44 PDT 2016",4[tarj/img0544.jpg],2[tarj/img0703.jpg],2[tarj/img0323.jpg],2[tarj/img0824.jpg],3[tarj/img1000.jpg],3[tarj/img0539.jpg],3[tarj/img0329.jpg],3[tarj/img0389.jpg],2[tarj/img1030.jpg],2[tarj/img0321.jpg],2[tarj/img0082.jpg],2[tarj/img0343.jpg],3[tarj/img0807.jpg],4[tarj/img0444.jpg],4[tarj/img0646.jpg],4[tarj/img0718.jpg],4[tarj/img0898.jpg],3[tarj/img0933.jpg],1[tarj/img0736.jpg],3[tarj/img0511.jpg],1[tarj/img0190.jpg],4[tarj/img0702.jpg],2[tarj/img1157.jpg],1[tarj/img0238.jpg],4[tarj/img0457.jpg],2[tarj/img0590.jpg],2[tarj/img0149.jpg],2[tarj/img0327.jpg],4[tarj/img0621.jpg],3[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3WOKGM4L71HNRWUWWX04DC1QG1N0OW,A1XC5OV00MECKQ,Approved,"Thu May 05 05:32:09 PDT 2016","Thu May 05 05:36:36 PDT 2016",4[tarj/img0544.jpg],3[tarj/img0703.jpg],5[tarj/img0323.jpg],3[tarj/img0824.jpg],4[tarj/img1000.jpg],5[tarj/img0539.jpg],5[tarj/img0329.jpg],4[tarj/img0389.jpg],5[tarj/img1030.jpg],3[tarj/img0321.jpg],4[tarj/img0082.jpg],5[tarj/img0343.jpg],2[tarj/img0807.jpg],1[tarj/img0444.jpg],4[tarj/img0646.jpg],4[tarj/img0718.jpg],3[tarj/img0898.jpg],2[tarj/img0933.jpg],3[tarj/img0736.jpg],1[tarj/img0511.jpg],5[tarj/img0190.jpg],5[tarj/img0702.jpg],3[tarj/img1157.jpg],2[tarj/img0238.jpg],5[tarj/img0457.jpg],4[tarj/img0590.jpg],5[tarj/img0149.jpg],3[tarj/img0327.jpg],4[tarj/img0621.jpg],5[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3VZLGYJEYLB7NQEE1I0S2OV5ACQZX7,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:13 PDT 2016","Thu May 05 08:53:57 PDT 2016",4[tarj/img0544.jpg],3[tarj/img0703.jpg],4[tarj/img0323.jpg],4[tarj/img0824.jpg],4[tarj/img1000.jpg],4[tarj/img0539.jpg],4[tarj/img0329.jpg],4[tarj/img0389.jpg],3[tarj/img1030.jpg],5[tarj/img0321.jpg],4[tarj/img0082.jpg],4[tarj/img0343.jpg],4[tarj/img0807.jpg],4[tarj/img0444.jpg],4[tarj/img0646.jpg],5[tarj/img0718.jpg],4[tarj/img0898.jpg],4[tarj/img0933.jpg],5[tarj/img0736.jpg],4[tarj/img0511.jpg],3[tarj/img0190.jpg],5[tarj/img0702.jpg],3[tarj/img1157.jpg],4[tarj/img0238.jpg],5[tarj/img0457.jpg],3[tarj/img0590.jpg],4[tarj/img0149.jpg],4[tarj/img0327.jpg],4[tarj/img0621.jpg],4[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3K5TEWLKGVCTOBK91ZBOE8VUYOMVI9,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:31 PDT 2016","Thu May 05 10:28:02 PDT 2016",5[tarj/img0544.jpg],5[tarj/img0703.jpg],5[tarj/img0323.jpg],5[tarj/img0824.jpg],5[tarj/img1000.jpg],5[tarj/img0539.jpg],5[tarj/img0329.jpg],5[tarj/img0389.jpg],5[tarj/img1030.jpg],5[tarj/img0321.jpg],5[tarj/img0082.jpg],5[tarj/img0343.jpg],5[tarj/img0807.jpg],5[tarj/img0444.jpg],5[tarj/img0646.jpg],5[tarj/img0718.jpg],5[tarj/img0898.jpg],5[tarj/img0933.jpg],5[tarj/img0736.jpg],5[tarj/img0511.jpg],5[tarj/img0190.jpg],5[tarj/img0702.jpg],5[tarj/img1157.jpg],5[tarj/img0238.jpg],5[tarj/img0457.jpg],5[tarj/img0590.jpg],5[tarj/img0149.jpg],5[tarj/img0327.jpg],5[tarj/img0621.jpg],5[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3YDGXNSEOZV15SPH8HYAST13I8P847,A33K6VSQLIKFG,Approved,"Thu May 05 11:05:30 PDT 2016","Thu May 05 11:07:13 PDT 2016",4[tarj/img0544.jpg],3[tarj/img0703.jpg],4[tarj/img0323.jpg],4[tarj/img0824.jpg],5[tarj/img1000.jpg],3[tarj/img0539.jpg],4[tarj/img0329.jpg],4[tarj/img0389.jpg],2[tarj/img1030.jpg],2[tarj/img0321.jpg],3[tarj/img0082.jpg],4[tarj/img0343.jpg],3[tarj/img0807.jpg],2[tarj/img0444.jpg],3[tarj/img0646.jpg],4[tarj/img0718.jpg],4[tarj/img0898.jpg],3[tarj/img0933.jpg],3[tarj/img0736.jpg],2[tarj/img0511.jpg],2[tarj/img0190.jpg],3[tarj/img0702.jpg],3[tarj/img1157.jpg],2[tarj/img0238.jpg],5[tarj/img0457.jpg],3[tarj/img0590.jpg],3[tarj/img0149.jpg],3[tarj/img0327.jpg],4[tarj/img0621.jpg],4[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3FQ5JJ512LP7M11OZBA9H7GU4PDNKZ,A39BR7NYRDWC01,Approved,"Thu May 05 11:10:46 PDT 2016","Thu May 05 11:12:12 PDT 2016",4[tarj/img0544.jpg],3[tarj/img0703.jpg],3[tarj/img0323.jpg],3[tarj/img0824.jpg],3[tarj/img1000.jpg],4[tarj/img0539.jpg],5[tarj/img0329.jpg],5[tarj/img0389.jpg],4[tarj/img1030.jpg],5[tarj/img0321.jpg],5[tarj/img0082.jpg],5[tarj/img0343.jpg],4[tarj/img0807.jpg],5[tarj/img0444.jpg],5[tarj/img0646.jpg],4[tarj/img0718.jpg],5[tarj/img0898.jpg],4[tarj/img0933.jpg],4[tarj/img0736.jpg],5[tarj/img0511.jpg],5[tarj/img0190.jpg],4[tarj/img0702.jpg],5[tarj/img1157.jpg],2[tarj/img0238.jpg],5[tarj/img0457.jpg],3[tarj/img0590.jpg],3[tarj/img0149.jpg],3[tarj/img0327.jpg],5[tarj/img0621.jpg],3[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3WS1NTTKEYDTLJH3XUHEQISCO2WF0T,A3CUB03HWBTDYA,Approved,"Thu May 05 15:44:48 PDT 2016","Thu May 05 15:48:19 PDT 2016",4[tarj/img0544.jpg],4[tarj/img0703.jpg],4[tarj/img0323.jpg],4[tarj/img0824.jpg],2[tarj/img1000.jpg],4[tarj/img0539.jpg],4[tarj/img0329.jpg],4[tarj/img0389.jpg],1[tarj/img1030.jpg],2[tarj/img0321.jpg],2[tarj/img0082.jpg],3[tarj/img0343.jpg],3[tarj/img0807.jpg],3[tarj/img0444.jpg],3[tarj/img0646.jpg],3[tarj/img0718.jpg],3[tarj/img0898.jpg],3[tarj/img0933.jpg],4[tarj/img0736.jpg],3[tarj/img0511.jpg],3[tarj/img0190.jpg],3[tarj/img0702.jpg],3[tarj/img1157.jpg],3[tarj/img0238.jpg],3[tarj/img0457.jpg],3[tarj/img0590.jpg],3[tarj/img0149.jpg],3[tarj/img0327.jpg],1[tarj/img0621.jpg],3[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3W8CV64QJ20VV9WMSGO7ME5I7LN9HH,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:17:38 PDT 2016","Thu May 05 19:19:48 PDT 2016",5[tarj/img0544.jpg],5[tarj/img0703.jpg],4[tarj/img0323.jpg],5[tarj/img0824.jpg],5[tarj/img1000.jpg],5[tarj/img0539.jpg],5[tarj/img0329.jpg],5[tarj/img0389.jpg],3[tarj/img1030.jpg],3[tarj/img0321.jpg],3[tarj/img0082.jpg],4[tarj/img0343.jpg],5[tarj/img0807.jpg],5[tarj/img0444.jpg],5[tarj/img0646.jpg],5[tarj/img0718.jpg],5[tarj/img0898.jpg],5[tarj/img0933.jpg],5[tarj/img0736.jpg],5[tarj/img0511.jpg],5[tarj/img0190.jpg],5[tarj/img0702.jpg],5[tarj/img1157.jpg],4[tarj/img0238.jpg],5[tarj/img0457.jpg],5[tarj/img0590.jpg],5[tarj/img0149.jpg],5[tarj/img0327.jpg],5[tarj/img0621.jpg],5[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",3E13VNJ1NNWD2Z4BULRZ7KOE9NU1IB,A7DZMMHNC67T0,Approved,"Thu May 05 23:41:52 PDT 2016","Thu May 05 23:43:34 PDT 2016",4[tarj/img0544.jpg],5[tarj/img0703.jpg],5[tarj/img0323.jpg],3[tarj/img0824.jpg],3[tarj/img1000.jpg],4[tarj/img0539.jpg],5[tarj/img0329.jpg],5[tarj/img0389.jpg],2[tarj/img1030.jpg],3[tarj/img0321.jpg],5[tarj/img0082.jpg],5[tarj/img0343.jpg],1[tarj/img0807.jpg],1[tarj/img0444.jpg],5[tarj/img0646.jpg],3[tarj/img0718.jpg],4[tarj/img0898.jpg],2[tarj/img0933.jpg],4[tarj/img0736.jpg],2[tarj/img0511.jpg],5[tarj/img0190.jpg],3[tarj/img0702.jpg],4[tarj/img1157.jpg],2[tarj/img0238.jpg],4[tarj/img0457.jpg],3[tarj/img0590.jpg],3[tarj/img0149.jpg],4[tarj/img0327.jpg],2[tarj/img0621.jpg],4[tarj/img0921.jpg],
30EV7DWJTVWRC1MJE7KI0KD1W48Y67,"tarj_300-329","sample#command",36H9ULYP62V0NPIPJ2RK8N78NC0FJ0,A2IZADJTR7VGLN,Approved,"Fri May 06 08:22:04 PDT 2016","Fri May 06 08:24:06 PDT 2016",4[tarj/img0544.jpg],3[tarj/img0703.jpg],3[tarj/img0323.jpg],2[tarj/img0824.jpg],3[tarj/img1000.jpg],3[tarj/img0539.jpg],4[tarj/img0329.jpg],3[tarj/img0389.jpg],1[tarj/img1030.jpg],3[tarj/img0321.jpg],3[tarj/img0082.jpg],4[tarj/img0343.jpg],2[tarj/img0807.jpg],4[tarj/img0444.jpg],4[tarj/img0646.jpg],3[tarj/img0718.jpg],3[tarj/img0898.jpg],2[tarj/img0933.jpg],3[tarj/img0736.jpg],4[tarj/img0511.jpg],3[tarj/img0190.jpg],3[tarj/img0702.jpg],4[tarj/img1157.jpg],4[tarj/img0238.jpg],5[tarj/img0457.jpg],4[tarj/img0590.jpg],3[tarj/img0149.jpg],2[tarj/img0327.jpg],3[tarj/img0621.jpg],3[tarj/img0921.jpg],
