HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3Z2R0DQ0JHF8BFKLH61MRO0R9X32EG,A1XC5OV00MECKQ,Approved,"Thu May 05 05:59:53 PDT 2016","Thu May 05 06:03:46 PDT 2016",3[tarj/img0179.jpg],1[tarj/img0307.jpg],2[tarj/img0583.jpg],3[tarj/img1054.jpg],3[tarj/img0552.jpg],3[tarj/img0882.jpg],4[tarj/img0437.jpg],4[tarj/img0733.jpg],4[tarj/img0780.jpg],4[tarj/img0591.jpg],4[tarj/img0914.jpg],4[tarj/img0279.jpg],4[tarj/img0919.jpg],4[tarj/img0904.jpg],4[tarj/img0484.jpg],4[tarj/img0609.jpg],5[tarj/img0216.jpg],5[tarj/img1058.jpg],5[tarj/img0515.jpg],4[tarj/img0459.jpg],2[tarj/img0275.jpg],2[tarj/img0266.jpg],2[tarj/img0269.jpg],4[tarj/img0277.jpg],4[tarj/img0747.jpg],4[tarj/img0689.jpg],3[tarj/img0489.jpg],4[tarj/img0963.jpg],4[tarj/img0522.jpg],4[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3GM6G9ZBKNY0726BHJ915JEQICKMTU,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:21 PDT 2016","Thu May 05 08:55:58 PDT 2016",3[tarj/img0179.jpg],5[tarj/img0307.jpg],4[tarj/img0583.jpg],4[tarj/img1054.jpg],4[tarj/img0552.jpg],4[tarj/img0882.jpg],5[tarj/img0437.jpg],4[tarj/img0733.jpg],4[tarj/img0780.jpg],4[tarj/img0591.jpg],2[tarj/img0914.jpg],4[tarj/img0279.jpg],4[tarj/img0919.jpg],3[tarj/img0904.jpg],4[tarj/img0484.jpg],4[tarj/img0609.jpg],4[tarj/img0216.jpg],5[tarj/img1058.jpg],5[tarj/img0515.jpg],4[tarj/img0459.jpg],4[tarj/img0275.jpg],1[tarj/img0266.jpg],4[tarj/img0269.jpg],3[tarj/img0277.jpg],5[tarj/img0747.jpg],4[tarj/img0689.jpg],4[tarj/img0489.jpg],5[tarj/img0963.jpg],4[tarj/img0522.jpg],3[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",33CID57104UB23QW2S2VNTV3O8O3LZ,ASY5AZCZEM04L,Approved,"Thu May 05 10:29:43 PDT 2016","Thu May 05 10:30:06 PDT 2016",5[tarj/img0179.jpg],5[tarj/img0307.jpg],5[tarj/img0583.jpg],5[tarj/img1054.jpg],5[tarj/img0552.jpg],5[tarj/img0882.jpg],5[tarj/img0437.jpg],5[tarj/img0733.jpg],5[tarj/img0780.jpg],5[tarj/img0591.jpg],5[tarj/img0914.jpg],5[tarj/img0279.jpg],5[tarj/img0919.jpg],5[tarj/img0904.jpg],5[tarj/img0484.jpg],5[tarj/img0609.jpg],5[tarj/img0216.jpg],5[tarj/img1058.jpg],5[tarj/img0515.jpg],5[tarj/img0459.jpg],5[tarj/img0275.jpg],5[tarj/img0266.jpg],5[tarj/img0269.jpg],5[tarj/img0277.jpg],5[tarj/img0747.jpg],5[tarj/img0689.jpg],5[tarj/img0489.jpg],5[tarj/img0963.jpg],5[tarj/img0522.jpg],5[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3FTYUGLFSUMVI6P83US0JDLITVI5DG,A33K6VSQLIKFG,Approved,"Thu May 05 11:14:50 PDT 2016","Thu May 05 11:16:02 PDT 2016",2[tarj/img0179.jpg],2[tarj/img0307.jpg],4[tarj/img0583.jpg],2[tarj/img1054.jpg],3[tarj/img0552.jpg],2[tarj/img0882.jpg],4[tarj/img0437.jpg],5[tarj/img0733.jpg],3[tarj/img0780.jpg],2[tarj/img0591.jpg],3[tarj/img0914.jpg],4[tarj/img0279.jpg],4[tarj/img0919.jpg],4[tarj/img0904.jpg],3[tarj/img0484.jpg],2[tarj/img0609.jpg],5[tarj/img0216.jpg],3[tarj/img1058.jpg],2[tarj/img0515.jpg],2[tarj/img0459.jpg],2[tarj/img0275.jpg],4[tarj/img0266.jpg],3[tarj/img0269.jpg],3[tarj/img0277.jpg],5[tarj/img0747.jpg],3[tarj/img0689.jpg],2[tarj/img0489.jpg],2[tarj/img0963.jpg],2[tarj/img0522.jpg],3[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3HWRJOOET531GE1JBLGSI6DV7RRESK,A39BR7NYRDWC01,Approved,"Thu May 05 11:19:45 PDT 2016","Thu May 05 11:20:58 PDT 2016",3[tarj/img0179.jpg],5[tarj/img0307.jpg],5[tarj/img0583.jpg],4[tarj/img1054.jpg],5[tarj/img0552.jpg],5[tarj/img0882.jpg],4[tarj/img0437.jpg],5[tarj/img0733.jpg],5[tarj/img0780.jpg],5[tarj/img0591.jpg],4[tarj/img0914.jpg],4[tarj/img0279.jpg],4[tarj/img0919.jpg],4[tarj/img0904.jpg],4[tarj/img0484.jpg],5[tarj/img0609.jpg],4[tarj/img0216.jpg],5[tarj/img1058.jpg],5[tarj/img0515.jpg],4[tarj/img0459.jpg],5[tarj/img0275.jpg],5[tarj/img0266.jpg],4[tarj/img0269.jpg],5[tarj/img0277.jpg],4[tarj/img0747.jpg],5[tarj/img0689.jpg],4[tarj/img0489.jpg],4[tarj/img0963.jpg],5[tarj/img0522.jpg],4[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3SLE99ER0NE0ANBDWM8ADR4DRAYBZ8,A33OD3ZB5DKBEF,Approved,"Thu May 05 13:03:55 PDT 2016","Thu May 05 13:05:35 PDT 2016",1[tarj/img0179.jpg],5[tarj/img0307.jpg],4[tarj/img0583.jpg],5[tarj/img1054.jpg],5[tarj/img0552.jpg],3[tarj/img0882.jpg],4[tarj/img0437.jpg],5[tarj/img0733.jpg],5[tarj/img0780.jpg],4[tarj/img0591.jpg],4[tarj/img0914.jpg],4[tarj/img0279.jpg],4[tarj/img0919.jpg],3[tarj/img0904.jpg],2[tarj/img0484.jpg],3[tarj/img0609.jpg],5[tarj/img0216.jpg],3[tarj/img1058.jpg],4[tarj/img0515.jpg],1[tarj/img0459.jpg],3[tarj/img0275.jpg],2[tarj/img0266.jpg],2[tarj/img0269.jpg],3[tarj/img0277.jpg],1[tarj/img0747.jpg],1[tarj/img0689.jpg],3[tarj/img0489.jpg],2[tarj/img0963.jpg],1[tarj/img0522.jpg],2[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3LPW2N6LKT3HZ80UPPIPTDP6FX85UP,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:30:41 PDT 2016","Thu May 05 19:31:57 PDT 2016",5[tarj/img0179.jpg],5[tarj/img0307.jpg],5[tarj/img0583.jpg],5[tarj/img1054.jpg],4[tarj/img0552.jpg],5[tarj/img0882.jpg],5[tarj/img0437.jpg],4[tarj/img0733.jpg],4[tarj/img0780.jpg],4[tarj/img0591.jpg],4[tarj/img0914.jpg],5[tarj/img0279.jpg],5[tarj/img0919.jpg],5[tarj/img0904.jpg],5[tarj/img0484.jpg],5[tarj/img0609.jpg],5[tarj/img0216.jpg],5[tarj/img1058.jpg],5[tarj/img0515.jpg],5[tarj/img0459.jpg],4[tarj/img0275.jpg],5[tarj/img0266.jpg],5[tarj/img0269.jpg],4[tarj/img0277.jpg],5[tarj/img0747.jpg],5[tarj/img0689.jpg],4[tarj/img0489.jpg],5[tarj/img0963.jpg],4[tarj/img0522.jpg],5[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3KXIR214I4HQJDNSS0P9I2O0WB724E,A7DZMMHNC67T0,Approved,"Thu May 05 23:54:14 PDT 2016","Thu May 05 23:55:43 PDT 2016",3[tarj/img0179.jpg],2[tarj/img0307.jpg],4[tarj/img0583.jpg],3[tarj/img1054.jpg],3[tarj/img0552.jpg],2[tarj/img0882.jpg],2[tarj/img0437.jpg],3[tarj/img0733.jpg],3[tarj/img0780.jpg],2[tarj/img0591.jpg],4[tarj/img0914.jpg],5[tarj/img0279.jpg],4[tarj/img0919.jpg],4[tarj/img0904.jpg],3[tarj/img0484.jpg],5[tarj/img0609.jpg],4[tarj/img0216.jpg],4[tarj/img1058.jpg],5[tarj/img0515.jpg],2[tarj/img0459.jpg],4[tarj/img0275.jpg],4[tarj/img0266.jpg],4[tarj/img0269.jpg],5[tarj/img0277.jpg],3[tarj/img0747.jpg],2[tarj/img0689.jpg],2[tarj/img0489.jpg],3[tarj/img0963.jpg],2[tarj/img0522.jpg],3[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",33FOTY3KEMMMPWIB2BVDWHQJWIL1CK,A1A0XL4D3RYNRY,Approved,"Fri May 06 04:13:48 PDT 2016","Fri May 06 04:15:40 PDT 2016",1[tarj/img0179.jpg],4[tarj/img0307.jpg],3[tarj/img0583.jpg],5[tarj/img1054.jpg],4[tarj/img0552.jpg],3[tarj/img0882.jpg],4[tarj/img0437.jpg],2[tarj/img0733.jpg],2[tarj/img0780.jpg],2[tarj/img0591.jpg],1[tarj/img0914.jpg],1[tarj/img0279.jpg],3[tarj/img0919.jpg],3[tarj/img0904.jpg],2[tarj/img0484.jpg],2[tarj/img0609.jpg],3[tarj/img0216.jpg],2[tarj/img1058.jpg],3[tarj/img0515.jpg],4[tarj/img0459.jpg],3[tarj/img0275.jpg],2[tarj/img0266.jpg],3[tarj/img0269.jpg],2[tarj/img0277.jpg],2[tarj/img0747.jpg],2[tarj/img0689.jpg],4[tarj/img0489.jpg],2[tarj/img0963.jpg],1[tarj/img0522.jpg],2[tarj/img0895.jpg],
33NOQL7T9O0EL5FC38JZY5IU8T38ZV,"tarj_120-149","sample#command",3NL0RFNU0FOL0TRIH6VDIYAUDEBK46,A2B0QV4J4UQFI2,Approved,"Sat May 07 00:46:17 PDT 2016","Sat May 07 00:47:30 PDT 2016",1[tarj/img0179.jpg],4[tarj/img0307.jpg],2[tarj/img0583.jpg],3[tarj/img1054.jpg],2[tarj/img0552.jpg],3[tarj/img0882.jpg],1[tarj/img0437.jpg],2[tarj/img0733.jpg],2[tarj/img0780.jpg],1[tarj/img0591.jpg],1[tarj/img0914.jpg],3[tarj/img0279.jpg],4[tarj/img0919.jpg],3[tarj/img0904.jpg],2[tarj/img0484.jpg],3[tarj/img0609.jpg],4[tarj/img0216.jpg],4[tarj/img1058.jpg],4[tarj/img0515.jpg],1[tarj/img0459.jpg],1[tarj/img0275.jpg],1[tarj/img0266.jpg],1[tarj/img0269.jpg],2[tarj/img0277.jpg],2[tarj/img0747.jpg],1[tarj/img0689.jpg],4[tarj/img0489.jpg],2[tarj/img0963.jpg],3[tarj/img0522.jpg],1[tarj/img0895.jpg],
