HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3U5NZHP4LR3GNWCT95K4845XCMIHPR,AR50UBGSH10FJ,Approved,"Thu May 05 05:00:37 PDT 2016","Thu May 05 05:02:03 PDT 2016",1[tarj/img0209.jpg],1[tarj/img0231.jpg],2[tarj/img1005.jpg],4[tarj/img1085.jpg],1[tarj/img1079.jpg],2[tarj/img0157.jpg],1[tarj/img0295.jpg],1[tarj/img0498.jpg],1[tarj/img0649.jpg],2[tarj/img0732.jpg],2[tarj/img0839.jpg],2[tarj/img0632.jpg],3[tarj/img0622.jpg],3[tarj/img0303.jpg],1[tarj/img0257.jpg],1[tarj/img1147.jpg],2[tarj/img0150.jpg],1[tarj/img1114.jpg],1[tarj/img0704.jpg],3[tarj/img0064.jpg],1[tarj/img0878.jpg],1[tarj/img0786.jpg],2[tarj/img1068.jpg],2[tarj/img0397.jpg],2[tarj/img1146.jpg],1[tarj/img0439.jpg],2[tarj/img1075.jpg],3[tarj/img0430.jpg],1[tarj/img0032.jpg],1[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3OF2M9AATGP13QF72ZL3CUN3E3WZK3,A1XC5OV00MECKQ,Approved,"Thu May 05 05:38:34 PDT 2016","Thu May 05 05:41:54 PDT 2016",1[tarj/img0209.jpg],3[tarj/img0231.jpg],3[tarj/img1005.jpg],3[tarj/img1085.jpg],4[tarj/img1079.jpg],4[tarj/img0157.jpg],4[tarj/img0295.jpg],4[tarj/img0498.jpg],4[tarj/img0649.jpg],4[tarj/img0732.jpg],4[tarj/img0839.jpg],4[tarj/img0632.jpg],5[tarj/img0622.jpg],4[tarj/img0303.jpg],4[tarj/img0257.jpg],5[tarj/img1147.jpg],4[tarj/img0150.jpg],4[tarj/img1114.jpg],4[tarj/img0704.jpg],4[tarj/img0064.jpg],4[tarj/img0878.jpg],4[tarj/img0786.jpg],4[tarj/img1068.jpg],4[tarj/img0397.jpg],2[tarj/img1146.jpg],4[tarj/img0439.jpg],2[tarj/img1075.jpg],4[tarj/img0430.jpg],4[tarj/img0032.jpg],4[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3OJSZ2ATDSXF1XOYCHPEJLBM7KP75Z,AJOFIVJ3GAYG3,Approved,"Thu May 05 06:00:52 PDT 2016","Thu May 05 06:03:59 PDT 2016",2[tarj/img0209.jpg],4[tarj/img0231.jpg],4[tarj/img1005.jpg],5[tarj/img1085.jpg],5[tarj/img1079.jpg],4[tarj/img0157.jpg],2[tarj/img0295.jpg],4[tarj/img0498.jpg],2[tarj/img0649.jpg],4[tarj/img0732.jpg],1[tarj/img0839.jpg],5[tarj/img0632.jpg],2[tarj/img0622.jpg],4[tarj/img0303.jpg],5[tarj/img0257.jpg],4[tarj/img1147.jpg],2[tarj/img0150.jpg],2[tarj/img1114.jpg],1[tarj/img0704.jpg],2[tarj/img0064.jpg],1[tarj/img0878.jpg],2[tarj/img0786.jpg],1[tarj/img1068.jpg],1[tarj/img0397.jpg],4[tarj/img1146.jpg],2[tarj/img0439.jpg],1[tarj/img1075.jpg],2[tarj/img0430.jpg],1[tarj/img0032.jpg],4[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3Z7EFSHGN9FUFX3494GKRQUK1UZCXG,A39BR7NYRDWC01,Approved,"Thu May 05 07:17:28 PDT 2016","Thu May 05 07:18:56 PDT 2016",4[tarj/img0209.jpg],4[tarj/img0231.jpg],5[tarj/img1005.jpg],5[tarj/img1085.jpg],4[tarj/img1079.jpg],5[tarj/img0157.jpg],5[tarj/img0295.jpg],4[tarj/img0498.jpg],4[tarj/img0649.jpg],5[tarj/img0732.jpg],4[tarj/img0839.jpg],5[tarj/img0632.jpg],5[tarj/img0622.jpg],4[tarj/img0303.jpg],5[tarj/img0257.jpg],5[tarj/img1147.jpg],4[tarj/img0150.jpg],5[tarj/img1114.jpg],5[tarj/img0704.jpg],5[tarj/img0064.jpg],4[tarj/img0878.jpg],4[tarj/img0786.jpg],4[tarj/img1068.jpg],4[tarj/img0397.jpg],4[tarj/img1146.jpg],3[tarj/img0439.jpg],4[tarj/img1075.jpg],4[tarj/img0430.jpg],4[tarj/img0032.jpg],4[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3QBD8R3Z21K4QKCXFYN6PFR3XDIO4F,A1I7ACFIU8U11J,Approved,"Thu May 05 08:40:19 PDT 2016","Thu May 05 08:43:04 PDT 2016",3[tarj/img0209.jpg],3[tarj/img0231.jpg],4[tarj/img1005.jpg],5[tarj/img1085.jpg],3[tarj/img1079.jpg],3[tarj/img0157.jpg],4[tarj/img0295.jpg],5[tarj/img0498.jpg],4[tarj/img0649.jpg],5[tarj/img0732.jpg],3[tarj/img0839.jpg],3[tarj/img0632.jpg],5[tarj/img0622.jpg],5[tarj/img0303.jpg],4[tarj/img0257.jpg],3[tarj/img1147.jpg],5[tarj/img0150.jpg],4[tarj/img1114.jpg],2[tarj/img0704.jpg],5[tarj/img0064.jpg],3[tarj/img0878.jpg],5[tarj/img0786.jpg],4[tarj/img1068.jpg],4[tarj/img0397.jpg],5[tarj/img1146.jpg],4[tarj/img0439.jpg],5[tarj/img1075.jpg],5[tarj/img0430.jpg],3[tarj/img0032.jpg],4[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3LUY3GC63Z1JU76HWWYSHRG3YK4P7H,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:15 PDT 2016","Thu May 05 08:54:21 PDT 2016",3[tarj/img0209.jpg],3[tarj/img0231.jpg],4[tarj/img1005.jpg],4[tarj/img1085.jpg],4[tarj/img1079.jpg],4[tarj/img0157.jpg],4[tarj/img0295.jpg],4[tarj/img0498.jpg],4[tarj/img0649.jpg],4[tarj/img0732.jpg],4[tarj/img0839.jpg],4[tarj/img0632.jpg],4[tarj/img0622.jpg],4[tarj/img0303.jpg],4[tarj/img0257.jpg],1[tarj/img1147.jpg],5[tarj/img0150.jpg],4[tarj/img1114.jpg],4[tarj/img0704.jpg],4[tarj/img0064.jpg],5[tarj/img0878.jpg],4[tarj/img0786.jpg],3[tarj/img1068.jpg],4[tarj/img0397.jpg],3[tarj/img1146.jpg],5[tarj/img0439.jpg],4[tarj/img1075.jpg],3[tarj/img0430.jpg],4[tarj/img0032.jpg],3[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3OXV7EAXLERTJINPFOWTYAD6YDZ36R,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:32 PDT 2016","Thu May 05 10:28:15 PDT 2016",5[tarj/img0209.jpg],5[tarj/img0231.jpg],5[tarj/img1005.jpg],5[tarj/img1085.jpg],5[tarj/img1079.jpg],5[tarj/img0157.jpg],5[tarj/img0295.jpg],5[tarj/img0498.jpg],5[tarj/img0649.jpg],5[tarj/img0732.jpg],5[tarj/img0839.jpg],5[tarj/img0632.jpg],5[tarj/img0622.jpg],5[tarj/img0303.jpg],5[tarj/img0257.jpg],5[tarj/img1147.jpg],5[tarj/img0150.jpg],5[tarj/img1114.jpg],5[tarj/img0704.jpg],5[tarj/img0064.jpg],5[tarj/img0878.jpg],5[tarj/img0786.jpg],5[tarj/img1068.jpg],5[tarj/img0397.jpg],5[tarj/img1146.jpg],5[tarj/img0439.jpg],5[tarj/img1075.jpg],5[tarj/img0430.jpg],5[tarj/img0032.jpg],5[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3UOUJI6MTDFQ1RK4VV1KLWGQ8ULXUQ,A33K6VSQLIKFG,Approved,"Thu May 05 11:07:28 PDT 2016","Thu May 05 11:08:48 PDT 2016",2[tarj/img0209.jpg],2[tarj/img0231.jpg],3[tarj/img1005.jpg],4[tarj/img1085.jpg],3[tarj/img1079.jpg],4[tarj/img0157.jpg],3[tarj/img0295.jpg],4[tarj/img0498.jpg],4[tarj/img0649.jpg],4[tarj/img0732.jpg],3[tarj/img0839.jpg],2[tarj/img0632.jpg],4[tarj/img0622.jpg],3[tarj/img0303.jpg],4[tarj/img0257.jpg],2[tarj/img1147.jpg],4[tarj/img0150.jpg],2[tarj/img1114.jpg],3[tarj/img0704.jpg],5[tarj/img0064.jpg],4[tarj/img0878.jpg],3[tarj/img0786.jpg],5[tarj/img1068.jpg],5[tarj/img0397.jpg],4[tarj/img1146.jpg],2[tarj/img0439.jpg],4[tarj/img1075.jpg],4[tarj/img0430.jpg],3[tarj/img0032.jpg],3[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",3S06PH7KSR5WUOOP27QOGN81HFBD14,A1Z0DAI1O2LQ78,Approved,"Thu May 05 11:08:27 PDT 2016","Thu May 05 11:11:44 PDT 2016",1[tarj/img0209.jpg],2[tarj/img0231.jpg],4[tarj/img1005.jpg],3[tarj/img1085.jpg],2[tarj/img1079.jpg],3[tarj/img0157.jpg],1[tarj/img0295.jpg],1[tarj/img0498.jpg],1[tarj/img0649.jpg],1[tarj/img0732.jpg],1[tarj/img0839.jpg],4[tarj/img0632.jpg],4[tarj/img0622.jpg],4[tarj/img0303.jpg],2[tarj/img0257.jpg],5[tarj/img1147.jpg],3[tarj/img0150.jpg],4[tarj/img1114.jpg],1[tarj/img0704.jpg],3[tarj/img0064.jpg],1[tarj/img0878.jpg],2[tarj/img0786.jpg],1[tarj/img1068.jpg],1[tarj/img0397.jpg],3[tarj/img1146.jpg],2[tarj/img0439.jpg],1[tarj/img1075.jpg],1[tarj/img0430.jpg],1[tarj/img0032.jpg],2[tarj/img0120.jpg],
34YWR3PJ28B7YLAU7MIZ85W1HVT0X3,"tarj_240-269","sample#command",308Q0PEVB8EVR476YY6SMQ6X7XMI91,AYDAINI0TYQ2A,Approved,"Thu May 05 12:34:35 PDT 2016","Thu May 05 12:36:30 PDT 2016",3[tarj/img0209.jpg],5[tarj/img0231.jpg],3[tarj/img1005.jpg],3[tarj/img1085.jpg],5[tarj/img1079.jpg],4[tarj/img0157.jpg],2[tarj/img0295.jpg],2[tarj/img0498.jpg],2[tarj/img0649.jpg],2[tarj/img0732.jpg],3[tarj/img0839.jpg],2[tarj/img0632.jpg],2[tarj/img0622.jpg],5[tarj/img0303.jpg],5[tarj/img0257.jpg],4[tarj/img1147.jpg],4[tarj/img0150.jpg],3[tarj/img1114.jpg],3[tarj/img0704.jpg],3[tarj/img0064.jpg],5[tarj/img0878.jpg],3[tarj/img0786.jpg],3[tarj/img1068.jpg],2[tarj/img0397.jpg],4[tarj/img1146.jpg],4[tarj/img0439.jpg],2[tarj/img1075.jpg],4[tarj/img0430.jpg],5[tarj/img0032.jpg],5[tarj/img0120.jpg],
