HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",37WLF8U1WPRZFGVW0UOSFWU89Z16KL,A1XC5OV00MECKQ,Approved,"Thu May 05 06:08:01 PDT 2016","Thu May 05 06:10:45 PDT 2016",4[tarj/img0531.jpg],3[tarj/img0244.jpg],5[tarj/img0166.jpg],4[tarj/img0040.jpg],5[tarj/img0334.jpg],2[tarj/img0283.jpg],4[tarj/img0846.jpg],4[tarj/img1115.jpg],2[tarj/img1084.jpg],4[tarj/img0734.jpg],4[tarj/img0684.jpg],3[tarj/img1160.jpg],4[tarj/img0992.jpg],4[tarj/img0897.jpg],4[tarj/img0249.jpg],2[tarj/img0435.jpg],5[tarj/img0934.jpg],4[tarj/img0815.jpg],4[tarj/img0018.jpg],4[tarj/img0613.jpg],4[tarj/img0903.jpg],4[tarj/img1142.jpg],2[tarj/img1113.jpg],2[tarj/img1002.jpg],4[tarj/img1013.jpg],4[tarj/img0085.jpg],5[tarj/img0309.jpg],5[tarj/img0517.jpg],5[tarj/img0938.jpg],5[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3N1FSUEFL51DMNL8PP9QELF4TZBD47,A39BR7NYRDWC01,Approved,"Thu May 05 08:34:51 PDT 2016","Thu May 05 08:36:51 PDT 2016",5[tarj/img0531.jpg],5[tarj/img0244.jpg],4[tarj/img0166.jpg],5[tarj/img0040.jpg],4[tarj/img0334.jpg],3[tarj/img0283.jpg],3[tarj/img0846.jpg],5[tarj/img1115.jpg],5[tarj/img1084.jpg],3[tarj/img0734.jpg],4[tarj/img0684.jpg],5[tarj/img1160.jpg],4[tarj/img0992.jpg],4[tarj/img0897.jpg],3[tarj/img0249.jpg],4[tarj/img0435.jpg],4[tarj/img0934.jpg],4[tarj/img0815.jpg],4[tarj/img0018.jpg],4[tarj/img0613.jpg],4[tarj/img0903.jpg],4[tarj/img1142.jpg],5[tarj/img1113.jpg],5[tarj/img1002.jpg],5[tarj/img1013.jpg],4[tarj/img0085.jpg],4[tarj/img0309.jpg],5[tarj/img0517.jpg],4[tarj/img0938.jpg],4[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3P4RDNWND57KXGKFKAX5BKK031AIJ6,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:31 PDT 2016","Thu May 05 08:58:21 PDT 2016",4[tarj/img0531.jpg],4[tarj/img0244.jpg],4[tarj/img0166.jpg],5[tarj/img0040.jpg],5[tarj/img0334.jpg],4[tarj/img0283.jpg],1[tarj/img0846.jpg],1[tarj/img1115.jpg],3[tarj/img1084.jpg],4[tarj/img0734.jpg],4[tarj/img0684.jpg],4[tarj/img1160.jpg],4[tarj/img0992.jpg],4[tarj/img0897.jpg],5[tarj/img0249.jpg],5[tarj/img0435.jpg],4[tarj/img0934.jpg],5[tarj/img0815.jpg],4[tarj/img0018.jpg],4[tarj/img0613.jpg],5[tarj/img0903.jpg],4[tarj/img1142.jpg],5[tarj/img1113.jpg],5[tarj/img1002.jpg],4[tarj/img1013.jpg],4[tarj/img0085.jpg],3[tarj/img0309.jpg],4[tarj/img0517.jpg],4[tarj/img0938.jpg],4[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3XLBSAQ9Z4DD8B8NJ5WU8PIH8JIZ7J,ASY5AZCZEM04L,Approved,"Thu May 05 10:29:49 PDT 2016","Thu May 05 10:30:44 PDT 2016",5[tarj/img0531.jpg],5[tarj/img0244.jpg],5[tarj/img0166.jpg],5[tarj/img0040.jpg],5[tarj/img0334.jpg],5[tarj/img0283.jpg],5[tarj/img0846.jpg],5[tarj/img1115.jpg],5[tarj/img1084.jpg],5[tarj/img0734.jpg],5[tarj/img0684.jpg],5[tarj/img1160.jpg],5[tarj/img0992.jpg],5[tarj/img0897.jpg],5[tarj/img0249.jpg],5[tarj/img0435.jpg],5[tarj/img0934.jpg],5[tarj/img0815.jpg],5[tarj/img0018.jpg],5[tarj/img0613.jpg],5[tarj/img0903.jpg],5[tarj/img1142.jpg],5[tarj/img1113.jpg],5[tarj/img1002.jpg],5[tarj/img1013.jpg],5[tarj/img0085.jpg],5[tarj/img0309.jpg],5[tarj/img0517.jpg],5[tarj/img0938.jpg],5[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3LPW2N6LKT3HZ80UPPIPTDP6FVDU5F,A33K6VSQLIKFG,Approved,"Thu May 05 11:17:22 PDT 2016","Thu May 05 11:18:36 PDT 2016",3[tarj/img0531.jpg],2[tarj/img0244.jpg],3[tarj/img0166.jpg],3[tarj/img0040.jpg],2[tarj/img0334.jpg],4[tarj/img0283.jpg],3[tarj/img0846.jpg],3[tarj/img1115.jpg],2[tarj/img1084.jpg],2[tarj/img0734.jpg],2[tarj/img0684.jpg],2[tarj/img1160.jpg],2[tarj/img0992.jpg],3[tarj/img0897.jpg],4[tarj/img0249.jpg],2[tarj/img0435.jpg],3[tarj/img0934.jpg],2[tarj/img0815.jpg],2[tarj/img0018.jpg],2[tarj/img0613.jpg],2[tarj/img0903.jpg],2[tarj/img1142.jpg],2[tarj/img1113.jpg],2[tarj/img1002.jpg],2[tarj/img1013.jpg],3[tarj/img0085.jpg],4[tarj/img0309.jpg],4[tarj/img0517.jpg],4[tarj/img0938.jpg],5[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3DIP6YHAPCTJXUMAXNAN1FDUVZ68E4,A3CUB03HWBTDYA,Approved,"Thu May 05 18:18:32 PDT 2016","Thu May 05 18:21:44 PDT 2016",5[tarj/img0531.jpg],5[tarj/img0244.jpg],3[tarj/img0166.jpg],3[tarj/img0040.jpg],5[tarj/img0334.jpg],3[tarj/img0283.jpg],4[tarj/img0846.jpg],3[tarj/img1115.jpg],3[tarj/img1084.jpg],2[tarj/img0734.jpg],2[tarj/img0684.jpg],1[tarj/img1160.jpg],1[tarj/img0992.jpg],1[tarj/img0897.jpg],2[tarj/img0249.jpg],1[tarj/img0435.jpg],2[tarj/img0934.jpg],2[tarj/img0815.jpg],2[tarj/img0018.jpg],1[tarj/img0613.jpg],1[tarj/img0903.jpg],1[tarj/img1142.jpg],1[tarj/img1113.jpg],2[tarj/img1002.jpg],1[tarj/img1013.jpg],3[tarj/img0085.jpg],2[tarj/img0309.jpg],4[tarj/img0517.jpg],3[tarj/img0938.jpg],3[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",32M8BPYGATNA6EUEC4C2E7SKBBZIGC,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:33:35 PDT 2016","Thu May 05 19:34:54 PDT 2016",5[tarj/img0531.jpg],5[tarj/img0244.jpg],4[tarj/img0166.jpg],4[tarj/img0040.jpg],5[tarj/img0334.jpg],5[tarj/img0283.jpg],4[tarj/img0846.jpg],4[tarj/img1115.jpg],5[tarj/img1084.jpg],5[tarj/img0734.jpg],5[tarj/img0684.jpg],4[tarj/img1160.jpg],4[tarj/img0992.jpg],5[tarj/img0897.jpg],5[tarj/img0249.jpg],3[tarj/img0435.jpg],4[tarj/img0934.jpg],4[tarj/img0815.jpg],4[tarj/img0018.jpg],4[tarj/img0613.jpg],4[tarj/img0903.jpg],4[tarj/img1142.jpg],4[tarj/img1113.jpg],5[tarj/img1002.jpg],4[tarj/img1013.jpg],4[tarj/img0085.jpg],5[tarj/img0309.jpg],5[tarj/img0517.jpg],5[tarj/img0938.jpg],5[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3MHW492WW0EFKUA0ME9G612BF0LVMA,A7DZMMHNC67T0,Approved,"Thu May 05 23:58:24 PDT 2016","Thu May 05 23:59:42 PDT 2016",4[tarj/img0531.jpg],5[tarj/img0244.jpg],4[tarj/img0166.jpg],3[tarj/img0040.jpg],3[tarj/img0334.jpg],3[tarj/img0283.jpg],3[tarj/img0846.jpg],3[tarj/img1115.jpg],3[tarj/img1084.jpg],2[tarj/img0734.jpg],2[tarj/img0684.jpg],2[tarj/img1160.jpg],2[tarj/img0992.jpg],2[tarj/img0897.jpg],2[tarj/img0249.jpg],2[tarj/img0435.jpg],3[tarj/img0934.jpg],2[tarj/img0815.jpg],2[tarj/img0018.jpg],2[tarj/img0613.jpg],1[tarj/img0903.jpg],2[tarj/img1142.jpg],1[tarj/img1113.jpg],2[tarj/img1002.jpg],1[tarj/img1013.jpg],3[tarj/img0085.jpg],4[tarj/img0309.jpg],3[tarj/img0517.jpg],5[tarj/img0938.jpg],4[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",3NL0RFNU0FOL0TRIH6VDIYAUDC3K4U,A2HR7ZIX42FEPG,Approved,"Fri May 06 11:14:02 PDT 2016","Fri May 06 11:15:33 PDT 2016",5[tarj/img0531.jpg],3[tarj/img0244.jpg],5[tarj/img0166.jpg],2[tarj/img0040.jpg],1[tarj/img0334.jpg],3[tarj/img0283.jpg],3[tarj/img0846.jpg],2[tarj/img1115.jpg],3[tarj/img1084.jpg],1[tarj/img0734.jpg],2[tarj/img0684.jpg],1[tarj/img1160.jpg],2[tarj/img0992.jpg],2[tarj/img0897.jpg],2[tarj/img0249.jpg],1[tarj/img0435.jpg],2[tarj/img0934.jpg],1[tarj/img0815.jpg],2[tarj/img0018.jpg],2[tarj/img0613.jpg],2[tarj/img0903.jpg],2[tarj/img1142.jpg],1[tarj/img1113.jpg],1[tarj/img1002.jpg],1[tarj/img1013.jpg],2[tarj/img0085.jpg],3[tarj/img0309.jpg],5[tarj/img0517.jpg],3[tarj/img0938.jpg],3[tarj/img0694.jpg],
356TQKY9XFYV1V96KDRG7LPVY0P781,"tarj_450-479","sample#command",37UEWGM5HT9QVY7UK8L8LCP5WN5R15,A3PSIT0A7OU2FL,Approved,"Sat May 07 14:33:59 PDT 2016","Sat May 07 14:35:44 PDT 2016",2[tarj/img0531.jpg],1[tarj/img0244.jpg],3[tarj/img0166.jpg],3[tarj/img0040.jpg],2[tarj/img0334.jpg],3[tarj/img0283.jpg],3[tarj/img0846.jpg],3[tarj/img1115.jpg],2[tarj/img1084.jpg],1[tarj/img0734.jpg],1[tarj/img0684.jpg],1[tarj/img1160.jpg],3[tarj/img0992.jpg],2[tarj/img0897.jpg],1[tarj/img0249.jpg],1[tarj/img0435.jpg],3[tarj/img0934.jpg],2[tarj/img0815.jpg],3[tarj/img0018.jpg],3[tarj/img0613.jpg],4[tarj/img0903.jpg],2[tarj/img1142.jpg],3[tarj/img1113.jpg],3[tarj/img1002.jpg],3[tarj/img1013.jpg],3[tarj/img0085.jpg],4[tarj/img0309.jpg],1[tarj/img0517.jpg],2[tarj/img0938.jpg],2[tarj/img0694.jpg],
