HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",37Z929RLG9935XJG1G5NHSDWA0KTST,AR50UBGSH10FJ,Approved,"Thu May 05 04:49:30 PDT 2016","Thu May 05 04:51:05 PDT 2016",5[tarj/img0479.jpg],4[tarj/img0155.jpg],4[tarj/img0829.jpg],5[tarj/img0781.jpg],3[tarj/img0543.jpg],5[tarj/img0394.jpg],4[tarj/img0048.jpg],4[tarj/img0221.jpg],5[tarj/img0046.jpg],3[tarj/img0139.jpg],4[tarj/img1020.jpg],4[tarj/img0287.jpg],5[tarj/img0121.jpg],3[tarj/img1023.jpg],3[tarj/img0883.jpg],4[tarj/img0117.jpg],5[tarj/img1036.jpg],4[tarj/img1057.jpg],3[tarj/img1109.jpg],3[tarj/img1025.jpg],3[tarj/img1098.jpg],4[tarj/img1041.jpg],4[tarj/img0820.jpg],4[tarj/img0560.jpg],3[tarj/img0107.jpg],4[tarj/img0841.jpg],4[tarj/img0167.jpg],4[tarj/img1149.jpg],4[tarj/img0335.jpg],3[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",336YQZE83VFYM0VLGNR3238C29KM5P,A1XC5OV00MECKQ,Approved,"Thu May 05 05:55:27 PDT 2016","Thu May 05 05:57:59 PDT 2016",4[tarj/img0479.jpg],4[tarj/img0155.jpg],4[tarj/img0829.jpg],4[tarj/img0781.jpg],2[tarj/img0543.jpg],2[tarj/img0394.jpg],4[tarj/img0048.jpg],4[tarj/img0221.jpg],4[tarj/img0046.jpg],5[tarj/img0139.jpg],4[tarj/img1020.jpg],3[tarj/img0287.jpg],3[tarj/img0121.jpg],1[tarj/img1023.jpg],4[tarj/img0883.jpg],4[tarj/img0117.jpg],4[tarj/img1036.jpg],4[tarj/img1057.jpg],4[tarj/img1109.jpg],4[tarj/img1025.jpg],3[tarj/img1098.jpg],4[tarj/img1041.jpg],4[tarj/img0820.jpg],2[tarj/img0560.jpg],4[tarj/img0107.jpg],3[tarj/img0841.jpg],4[tarj/img0167.jpg],4[tarj/img1149.jpg],3[tarj/img0335.jpg],4[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",34S6N1K2ZVKQWBXVHDRXRNWD7DZHLD,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:19 PDT 2016","Thu May 05 08:55:31 PDT 2016",3[tarj/img0479.jpg],3[tarj/img0155.jpg],4[tarj/img0829.jpg],4[tarj/img0781.jpg],4[tarj/img0543.jpg],5[tarj/img0394.jpg],5[tarj/img0048.jpg],4[tarj/img0221.jpg],4[tarj/img0046.jpg],4[tarj/img0139.jpg],4[tarj/img1020.jpg],4[tarj/img0287.jpg],4[tarj/img0121.jpg],3[tarj/img1023.jpg],3[tarj/img0883.jpg],4[tarj/img0117.jpg],3[tarj/img1036.jpg],3[tarj/img1057.jpg],4[tarj/img1109.jpg],2[tarj/img1025.jpg],2[tarj/img1098.jpg],4[tarj/img1041.jpg],4[tarj/img0820.jpg],4[tarj/img0560.jpg],3[tarj/img0107.jpg],4[tarj/img0841.jpg],4[tarj/img0167.jpg],4[tarj/img1149.jpg],4[tarj/img0335.jpg],4[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",34YB12FSQYPW2XK5XJAU60Z1SIJGMM,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:38 PDT 2016","Thu May 05 10:29:16 PDT 2016",5[tarj/img0479.jpg],5[tarj/img0155.jpg],5[tarj/img0829.jpg],5[tarj/img0781.jpg],5[tarj/img0543.jpg],5[tarj/img0394.jpg],5[tarj/img0048.jpg],5[tarj/img0221.jpg],5[tarj/img0046.jpg],5[tarj/img0139.jpg],5[tarj/img1020.jpg],5[tarj/img0287.jpg],5[tarj/img0121.jpg],5[tarj/img1023.jpg],5[tarj/img0883.jpg],5[tarj/img0117.jpg],5[tarj/img1036.jpg],5[tarj/img1057.jpg],5[tarj/img1109.jpg],5[tarj/img1025.jpg],5[tarj/img1098.jpg],5[tarj/img1041.jpg],5[tarj/img0820.jpg],5[tarj/img0560.jpg],5[tarj/img0107.jpg],5[tarj/img0841.jpg],5[tarj/img0167.jpg],5[tarj/img1149.jpg],5[tarj/img0335.jpg],5[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",3LJ7UR74RHEM8ZCLEJNTAQRY73O4NR,A33K6VSQLIKFG,Approved,"Thu May 05 11:13:06 PDT 2016","Thu May 05 11:14:26 PDT 2016",3[tarj/img0479.jpg],2[tarj/img0155.jpg],2[tarj/img0829.jpg],2[tarj/img0781.jpg],3[tarj/img0543.jpg],4[tarj/img0394.jpg],3[tarj/img0048.jpg],3[tarj/img0221.jpg],2[tarj/img0046.jpg],4[tarj/img0139.jpg],4[tarj/img1020.jpg],2[tarj/img0287.jpg],3[tarj/img0121.jpg],2[tarj/img1023.jpg],4[tarj/img0883.jpg],2[tarj/img0117.jpg],3[tarj/img1036.jpg],2[tarj/img1057.jpg],2[tarj/img1109.jpg],3[tarj/img1025.jpg],3[tarj/img1098.jpg],3[tarj/img1041.jpg],3[tarj/img0820.jpg],3[tarj/img0560.jpg],3[tarj/img0107.jpg],3[tarj/img0841.jpg],4[tarj/img0167.jpg],5[tarj/img1149.jpg],2[tarj/img0335.jpg],3[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",3P59JYT76LLA0Y2I71QHQA0SC9A2TU,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:27:00 PDT 2016","Thu May 05 19:28:12 PDT 2016",5[tarj/img0479.jpg],4[tarj/img0155.jpg],4[tarj/img0829.jpg],5[tarj/img0781.jpg],5[tarj/img0543.jpg],5[tarj/img0394.jpg],5[tarj/img0048.jpg],4[tarj/img0221.jpg],5[tarj/img0046.jpg],5[tarj/img0139.jpg],5[tarj/img1020.jpg],5[tarj/img0287.jpg],5[tarj/img0121.jpg],3[tarj/img1023.jpg],4[tarj/img0883.jpg],4[tarj/img0117.jpg],4[tarj/img1036.jpg],5[tarj/img1057.jpg],4[tarj/img1109.jpg],4[tarj/img1025.jpg],4[tarj/img1098.jpg],4[tarj/img1041.jpg],4[tarj/img0820.jpg],4[tarj/img0560.jpg],5[tarj/img0107.jpg],4[tarj/img0841.jpg],4[tarj/img0167.jpg],5[tarj/img1149.jpg],5[tarj/img0335.jpg],5[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",3XXU1SWE8MWYPS0VMEVMCHHLRMEA06,A39BR7NYRDWC01,Approved,"Thu May 05 21:50:11 PDT 2016","Thu May 05 21:51:19 PDT 2016",5[tarj/img0479.jpg],4[tarj/img0155.jpg],3[tarj/img0829.jpg],5[tarj/img0781.jpg],3[tarj/img0543.jpg],3[tarj/img0394.jpg],5[tarj/img0048.jpg],5[tarj/img0221.jpg],3[tarj/img0046.jpg],4[tarj/img0139.jpg],4[tarj/img1020.jpg],4[tarj/img0287.jpg],5[tarj/img0121.jpg],3[tarj/img1023.jpg],4[tarj/img0883.jpg],4[tarj/img0117.jpg],3[tarj/img1036.jpg],4[tarj/img1057.jpg],5[tarj/img1109.jpg],5[tarj/img1025.jpg],5[tarj/img1098.jpg],4[tarj/img1041.jpg],4[tarj/img0820.jpg],4[tarj/img0560.jpg],4[tarj/img0107.jpg],4[tarj/img0841.jpg],4[tarj/img0167.jpg],4[tarj/img1149.jpg],4[tarj/img0335.jpg],4[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",339ANSOTR53F80QX2VXHCZKDITUKIX,A7DZMMHNC67T0,Approved,"Thu May 05 23:52:19 PDT 2016","Thu May 05 23:53:59 PDT 2016",2[tarj/img0479.jpg],1[tarj/img0155.jpg],2[tarj/img0829.jpg],3[tarj/img0781.jpg],5[tarj/img0543.jpg],4[tarj/img0394.jpg],3[tarj/img0048.jpg],5[tarj/img0221.jpg],3[tarj/img0046.jpg],5[tarj/img0139.jpg],3[tarj/img1020.jpg],1[tarj/img0287.jpg],2[tarj/img0121.jpg],2[tarj/img1023.jpg],4[tarj/img0883.jpg],4[tarj/img0117.jpg],4[tarj/img1036.jpg],2[tarj/img1057.jpg],4[tarj/img1109.jpg],4[tarj/img1025.jpg],5[tarj/img1098.jpg],3[tarj/img1041.jpg],3[tarj/img0820.jpg],2[tarj/img0560.jpg],2[tarj/img0107.jpg],2[tarj/img0841.jpg],4[tarj/img0167.jpg],2[tarj/img1149.jpg],3[tarj/img0335.jpg],4[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",317HQ483I7TGG6B0Z8PX4R1HCOQNIW,A3CUB03HWBTDYA,Approved,"Fri May 06 07:09:04 PDT 2016","Fri May 06 07:12:56 PDT 2016",3[tarj/img0479.jpg],2[tarj/img0155.jpg],2[tarj/img0829.jpg],2[tarj/img0781.jpg],3[tarj/img0543.jpg],2[tarj/img0394.jpg],2[tarj/img0048.jpg],2[tarj/img0221.jpg],2[tarj/img0046.jpg],3[tarj/img0139.jpg],2[tarj/img1020.jpg],2[tarj/img0287.jpg],2[tarj/img0121.jpg],2[tarj/img1023.jpg],3[tarj/img0883.jpg],2[tarj/img0117.jpg],3[tarj/img1036.jpg],2[tarj/img1057.jpg],3[tarj/img1109.jpg],3[tarj/img1025.jpg],3[tarj/img1098.jpg],4[tarj/img1041.jpg],2[tarj/img0820.jpg],2[tarj/img0560.jpg],2[tarj/img0107.jpg],1[tarj/img0841.jpg],2[tarj/img0167.jpg],2[tarj/img1149.jpg],2[tarj/img0335.jpg],2[tarj/img1126.jpg],
3FI30CQHVKKVZTT84F6YS9F0BVR6B1,"tarj_210-239","sample#command",31N2WW6R9RRP2BG0GHZXSGQJRFB3F9,AJPX2XSRNO5CU,Approved,"Fri May 06 07:48:51 PDT 2016","Fri May 06 07:50:55 PDT 2016",4[tarj/img0479.jpg],3[tarj/img0155.jpg],3[tarj/img0829.jpg],4[tarj/img0781.jpg],3[tarj/img0543.jpg],2[tarj/img0394.jpg],4[tarj/img0048.jpg],4[tarj/img0221.jpg],3[tarj/img0046.jpg],4[tarj/img0139.jpg],1[tarj/img1020.jpg],2[tarj/img0287.jpg],2[tarj/img0121.jpg],2[tarj/img1023.jpg],2[tarj/img0883.jpg],1[tarj/img0117.jpg],3[tarj/img1036.jpg],4[tarj/img1057.jpg],2[tarj/img1109.jpg],1[tarj/img1025.jpg],3[tarj/img1098.jpg],4[tarj/img1041.jpg],1[tarj/img0820.jpg],2[tarj/img0560.jpg],3[tarj/img0107.jpg],3[tarj/img0841.jpg],2[tarj/img0167.jpg],1[tarj/img1149.jpg],4[tarj/img0335.jpg],3[tarj/img1126.jpg],
