HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3SKRO2GZ71S48UUZUOCBK03R1OLK11,A1XC5OV00MECKQ,Approved,"Thu May 05 06:12:57 PDT 2016","Thu May 05 06:15:01 PDT 2016",4[tarj/img0386.jpg],4[tarj/img0809.jpg],4[tarj/img0620.jpg],2[tarj/img1106.jpg],2[tarj/img0891.jpg],2[tarj/img0827.jpg],4[tarj/img1053.jpg],4[tarj/img0036.jpg],4[tarj/img0540.jpg],4[tarj/img0422.jpg],4[tarj/img0481.jpg],4[tarj/img1071.jpg],4[tarj/img0372.jpg],4[tarj/img0317.jpg],4[tarj/img0455.jpg],4[tarj/img0967.jpg],4[tarj/img0870.jpg],4[tarj/img1038.jpg],4[tarj/img0668.jpg],3[tarj/img0219.jpg],4[tarj/img0492.jpg],4[tarj/img0949.jpg],1[tarj/img0607.jpg],1[tarj/img1056.jpg],3[tarj/img0743.jpg],3[tarj/img0080.jpg],4[tarj/img0451.jpg],4[tarj/img0472.jpg],4[tarj/img0779.jpg],4[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3QFUFYSY9YGAK7Z4GV4G2LIP5CR4F9,A39BR7NYRDWC01,Approved,"Thu May 05 08:29:54 PDT 2016","Thu May 05 08:31:07 PDT 2016",4[tarj/img0386.jpg],3[tarj/img0809.jpg],4[tarj/img0620.jpg],5[tarj/img1106.jpg],4[tarj/img0891.jpg],4[tarj/img0827.jpg],5[tarj/img1053.jpg],5[tarj/img0036.jpg],4[tarj/img0540.jpg],4[tarj/img0422.jpg],5[tarj/img0481.jpg],4[tarj/img1071.jpg],4[tarj/img0372.jpg],4[tarj/img0317.jpg],4[tarj/img0455.jpg],5[tarj/img0967.jpg],3[tarj/img0870.jpg],5[tarj/img1038.jpg],5[tarj/img0668.jpg],5[tarj/img0219.jpg],4[tarj/img0492.jpg],4[tarj/img0949.jpg],4[tarj/img0607.jpg],4[tarj/img1056.jpg],4[tarj/img0743.jpg],4[tarj/img0080.jpg],4[tarj/img0451.jpg],4[tarj/img0472.jpg],5[tarj/img0779.jpg],4[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",39N5ACM9HEON8QUABTWCVN79TASP9T,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:27 PDT 2016","Thu May 05 08:57:28 PDT 2016",4[tarj/img0386.jpg],3[tarj/img0809.jpg],5[tarj/img0620.jpg],4[tarj/img1106.jpg],5[tarj/img0891.jpg],4[tarj/img0827.jpg],5[tarj/img1053.jpg],4[tarj/img0036.jpg],4[tarj/img0540.jpg],4[tarj/img0422.jpg],4[tarj/img0481.jpg],4[tarj/img1071.jpg],4[tarj/img0372.jpg],4[tarj/img0317.jpg],4[tarj/img0455.jpg],5[tarj/img0967.jpg],3[tarj/img0870.jpg],4[tarj/img1038.jpg],3[tarj/img0668.jpg],4[tarj/img0219.jpg],4[tarj/img0492.jpg],4[tarj/img0949.jpg],4[tarj/img0607.jpg],4[tarj/img1056.jpg],4[tarj/img0743.jpg],4[tarj/img0080.jpg],4[tarj/img0451.jpg],4[tarj/img0472.jpg],4[tarj/img0779.jpg],3[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",32SCWG5HIH50Q7SCDMT0BDG739R6P6,ASY5AZCZEM04L,Approved,"Thu May 05 10:30:27 PDT 2016","Thu May 05 10:31:38 PDT 2016",5[tarj/img0386.jpg],5[tarj/img0809.jpg],5[tarj/img0620.jpg],5[tarj/img1106.jpg],5[tarj/img0891.jpg],5[tarj/img0827.jpg],5[tarj/img1053.jpg],5[tarj/img0036.jpg],5[tarj/img0540.jpg],5[tarj/img0422.jpg],5[tarj/img0481.jpg],5[tarj/img1071.jpg],5[tarj/img0372.jpg],5[tarj/img0317.jpg],5[tarj/img0455.jpg],5[tarj/img0967.jpg],5[tarj/img0870.jpg],5[tarj/img1038.jpg],5[tarj/img0668.jpg],5[tarj/img0219.jpg],5[tarj/img0492.jpg],5[tarj/img0949.jpg],5[tarj/img0607.jpg],5[tarj/img1056.jpg],5[tarj/img0743.jpg],5[tarj/img0080.jpg],5[tarj/img0451.jpg],5[tarj/img0472.jpg],5[tarj/img0779.jpg],5[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",35BLDD71I6YFJ19J13ZAE3YKU1TVZB,A33K6VSQLIKFG,Approved,"Thu May 05 11:19:50 PDT 2016","Thu May 05 11:21:07 PDT 2016",4[tarj/img0386.jpg],3[tarj/img0809.jpg],3[tarj/img0620.jpg],3[tarj/img1106.jpg],3[tarj/img0891.jpg],3[tarj/img0827.jpg],2[tarj/img1053.jpg],2[tarj/img0036.jpg],3[tarj/img0540.jpg],2[tarj/img0422.jpg],2[tarj/img0481.jpg],4[tarj/img1071.jpg],2[tarj/img0372.jpg],3[tarj/img0317.jpg],4[tarj/img0455.jpg],4[tarj/img0967.jpg],3[tarj/img0870.jpg],3[tarj/img1038.jpg],2[tarj/img0668.jpg],1[tarj/img0219.jpg],5[tarj/img0492.jpg],2[tarj/img0949.jpg],2[tarj/img0607.jpg],2[tarj/img1056.jpg],2[tarj/img0743.jpg],2[tarj/img0080.jpg],4[tarj/img0451.jpg],4[tarj/img0472.jpg],4[tarj/img0779.jpg],4[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3E7TUJ2EGCNEJTRK6K5HVTQKFUAD9U,A7DZMMHNC67T0,Approved,"Fri May 06 00:02:18 PDT 2016","Fri May 06 00:03:58 PDT 2016",5[tarj/img0386.jpg],5[tarj/img0809.jpg],3[tarj/img0620.jpg],3[tarj/img1106.jpg],3[tarj/img0891.jpg],3[tarj/img0827.jpg],2[tarj/img1053.jpg],2[tarj/img0036.jpg],2[tarj/img0540.jpg],2[tarj/img0422.jpg],2[tarj/img0481.jpg],2[tarj/img1071.jpg],2[tarj/img0372.jpg],3[tarj/img0317.jpg],1[tarj/img0455.jpg],3[tarj/img0967.jpg],3[tarj/img0870.jpg],2[tarj/img1038.jpg],2[tarj/img0668.jpg],1[tarj/img0219.jpg],4[tarj/img0492.jpg],3[tarj/img0949.jpg],5[tarj/img0607.jpg],4[tarj/img1056.jpg],4[tarj/img0743.jpg],2[tarj/img0080.jpg],3[tarj/img0451.jpg],2[tarj/img0472.jpg],2[tarj/img0779.jpg],5[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3OONKJ5DKCKOBJX6UDXTXTX978ABOP,A3CUB03HWBTDYA,Approved,"Fri May 06 07:00:36 PDT 2016","Fri May 06 07:04:42 PDT 2016",3[tarj/img0386.jpg],2[tarj/img0809.jpg],2[tarj/img0620.jpg],2[tarj/img1106.jpg],2[tarj/img0891.jpg],2[tarj/img0827.jpg],2[tarj/img1053.jpg],2[tarj/img0036.jpg],2[tarj/img0540.jpg],1[tarj/img0422.jpg],1[tarj/img0481.jpg],1[tarj/img1071.jpg],1[tarj/img0372.jpg],4[tarj/img0317.jpg],1[tarj/img0455.jpg],2[tarj/img0967.jpg],4[tarj/img0870.jpg],2[tarj/img1038.jpg],1[tarj/img0668.jpg],1[tarj/img0219.jpg],2[tarj/img0492.jpg],4[tarj/img0949.jpg],3[tarj/img0607.jpg],2[tarj/img1056.jpg],2[tarj/img0743.jpg],1[tarj/img0080.jpg],1[tarj/img0451.jpg],4[tarj/img0472.jpg],3[tarj/img0779.jpg],3[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3OHYZ19UGC6JS9SEOZXX2ID3PS5AOD,A2WABOGM65OH7E,Approved,"Fri May 06 14:56:25 PDT 2016","Fri May 06 14:58:48 PDT 2016",2[tarj/img0386.jpg],3[tarj/img0809.jpg],4[tarj/img0620.jpg],4[tarj/img1106.jpg],4[tarj/img0891.jpg],4[tarj/img0827.jpg],2[tarj/img1053.jpg],3[tarj/img0036.jpg],4[tarj/img0540.jpg],3[tarj/img0422.jpg],3[tarj/img0481.jpg],5[tarj/img1071.jpg],4[tarj/img0372.jpg],5[tarj/img0317.jpg],2[tarj/img0455.jpg],2[tarj/img0967.jpg],5[tarj/img0870.jpg],2[tarj/img1038.jpg],1[tarj/img0668.jpg],1[tarj/img0219.jpg],3[tarj/img0492.jpg],5[tarj/img0949.jpg],2[tarj/img0607.jpg],2[tarj/img1056.jpg],3[tarj/img0743.jpg],2[tarj/img0080.jpg],4[tarj/img0451.jpg],5[tarj/img0472.jpg],5[tarj/img0779.jpg],5[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3IJXV6UZ1XK1V43SSF6EDB6RDPGRIX,A3PSIT0A7OU2FL,Approved,"Sat May 07 14:37:24 PDT 2016","Sat May 07 14:38:48 PDT 2016",2[tarj/img0386.jpg],2[tarj/img0809.jpg],3[tarj/img0620.jpg],3[tarj/img1106.jpg],3[tarj/img0891.jpg],3[tarj/img0827.jpg],3[tarj/img1053.jpg],3[tarj/img0036.jpg],2[tarj/img0540.jpg],2[tarj/img0422.jpg],2[tarj/img0481.jpg],2[tarj/img1071.jpg],3[tarj/img0372.jpg],3[tarj/img0317.jpg],4[tarj/img0455.jpg],4[tarj/img0967.jpg],3[tarj/img0870.jpg],2[tarj/img1038.jpg],3[tarj/img0668.jpg],1[tarj/img0219.jpg],2[tarj/img0492.jpg],2[tarj/img0949.jpg],1[tarj/img0607.jpg],2[tarj/img1056.jpg],1[tarj/img0743.jpg],2[tarj/img0080.jpg],3[tarj/img0451.jpg],3[tarj/img0472.jpg],3[tarj/img0779.jpg],4[tarj/img0858.jpg],
3J6BHNX0U9T4ZH3U9958TNKCTFOKN8,"tarj_330-359","sample#command",3C2NJ6JBKAIC5LXYA545HBU0NZ62NR,AWQDOOSNH42QM,Approved,"Sun May 08 01:54:09 PDT 2016","Sun May 08 02:11:47 PDT 2016",5[tarj/img0386.jpg],5[tarj/img0809.jpg],5[tarj/img0620.jpg],3[tarj/img1106.jpg],3[tarj/img0891.jpg],4[tarj/img0827.jpg],4[tarj/img1053.jpg],4[tarj/img0036.jpg],4[tarj/img0540.jpg],3[tarj/img0422.jpg],4[tarj/img0481.jpg],5[tarj/img1071.jpg],4[tarj/img0372.jpg],5[tarj/img0317.jpg],5[tarj/img0455.jpg],5[tarj/img0967.jpg],5[tarj/img0870.jpg],5[tarj/img1038.jpg],5[tarj/img0668.jpg],5[tarj/img0219.jpg],5[tarj/img0492.jpg],5[tarj/img0949.jpg],5[tarj/img0607.jpg],5[tarj/img1056.jpg],5[tarj/img0743.jpg],5[tarj/img0080.jpg],5[tarj/img0451.jpg],5[tarj/img0472.jpg],5[tarj/img0779.jpg],5[tarj/img0858.jpg],
