HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",35GCEFQ6I5PV7S70HTT4V8613G73ZR,AR50UBGSH10FJ,Approved,"Thu May 05 04:51:23 PDT 2016","Thu May 05 04:53:44 PDT 2016",4[tarj/img1008.jpg],4[tarj/img0757.jpg],2[tarj/img0674.jpg],3[tarj/img1076.jpg],2[tarj/img0371.jpg],3[tarj/img0885.jpg],4[tarj/img0819.jpg],4[tarj/img0471.jpg],2[tarj/img1159.jpg],4[tarj/img0239.jpg],4[tarj/img0880.jpg],4[tarj/img0940.jpg],3[tarj/img0102.jpg],3[tarj/img0245.jpg],4[tarj/img0128.jpg],4[tarj/img1027.jpg],1[tarj/img0264.jpg],4[tarj/img0601.jpg],4[tarj/img1116.jpg],3[tarj/img0886.jpg],4[tarj/img1133.jpg],1[tarj/img0163.jpg],2[tarj/img0348.jpg],4[tarj/img0923.jpg],4[tarj/img1104.jpg],5[tarj/img1153.jpg],5[tarj/img0532.jpg],3[tarj/img0596.jpg],4[tarj/img0966.jpg],3[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",304SM51WA3539BPZ1UE2HY7A4UMSB6,A1XC5OV00MECKQ,Approved,"Thu May 05 05:28:40 PDT 2016","Thu May 05 05:31:18 PDT 2016",3[tarj/img1008.jpg],5[tarj/img0757.jpg],1[tarj/img0674.jpg],5[tarj/img1076.jpg],1[tarj/img0371.jpg],5[tarj/img0885.jpg],4[tarj/img0819.jpg],5[tarj/img0471.jpg],4[tarj/img1159.jpg],5[tarj/img0239.jpg],3[tarj/img0880.jpg],4[tarj/img0940.jpg],3[tarj/img0102.jpg],3[tarj/img0245.jpg],4[tarj/img0128.jpg],3[tarj/img1027.jpg],3[tarj/img0264.jpg],4[tarj/img0601.jpg],4[tarj/img1116.jpg],5[tarj/img0886.jpg],5[tarj/img1133.jpg],1[tarj/img0163.jpg],5[tarj/img0348.jpg],4[tarj/img0923.jpg],3[tarj/img1104.jpg],5[tarj/img1153.jpg],4[tarj/img0532.jpg],4[tarj/img0596.jpg],4[tarj/img0966.jpg],3[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",3OF2M9AATGP13QF72ZL3CUN3E3CKZ4,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:11 PDT 2016","Thu May 05 08:53:32 PDT 2016",3[tarj/img1008.jpg],5[tarj/img0757.jpg],5[tarj/img0674.jpg],4[tarj/img1076.jpg],4[tarj/img0371.jpg],4[tarj/img0885.jpg],4[tarj/img0819.jpg],4[tarj/img0471.jpg],4[tarj/img1159.jpg],4[tarj/img0239.jpg],4[tarj/img0880.jpg],3[tarj/img0940.jpg],4[tarj/img0102.jpg],4[tarj/img0245.jpg],5[tarj/img0128.jpg],5[tarj/img1027.jpg],4[tarj/img0264.jpg],3[tarj/img0601.jpg],5[tarj/img1116.jpg],4[tarj/img0886.jpg],4[tarj/img1133.jpg],4[tarj/img0163.jpg],3[tarj/img0348.jpg],4[tarj/img0923.jpg],4[tarj/img1104.jpg],4[tarj/img1153.jpg],4[tarj/img0532.jpg],4[tarj/img0596.jpg],4[tarj/img0966.jpg],4[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",3CPLWGV3MO0N55IXVEJKRY2ETVXN91,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:00 PDT 2016","Thu May 05 10:27:29 PDT 2016",5[tarj/img1008.jpg],5[tarj/img0757.jpg],5[tarj/img0674.jpg],5[tarj/img1076.jpg],5[tarj/img0371.jpg],5[tarj/img0885.jpg],5[tarj/img0819.jpg],5[tarj/img0471.jpg],5[tarj/img1159.jpg],5[tarj/img0239.jpg],5[tarj/img0880.jpg],5[tarj/img0940.jpg],5[tarj/img0102.jpg],5[tarj/img0245.jpg],5[tarj/img0128.jpg],5[tarj/img1027.jpg],5[tarj/img0264.jpg],5[tarj/img0601.jpg],5[tarj/img1116.jpg],5[tarj/img0886.jpg],5[tarj/img1133.jpg],5[tarj/img0163.jpg],5[tarj/img0348.jpg],5[tarj/img0923.jpg],5[tarj/img1104.jpg],5[tarj/img1153.jpg],5[tarj/img0532.jpg],5[tarj/img0596.jpg],5[tarj/img0966.jpg],5[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",37UQDCYH6XWWZR3DI87RNJ5LK8G7VV,A33K6VSQLIKFG,Approved,"Thu May 05 11:03:52 PDT 2016","Thu May 05 11:05:24 PDT 2016",2[tarj/img1008.jpg],3[tarj/img0757.jpg],4[tarj/img0674.jpg],4[tarj/img1076.jpg],4[tarj/img0371.jpg],3[tarj/img0885.jpg],4[tarj/img0819.jpg],4[tarj/img0471.jpg],3[tarj/img1159.jpg],4[tarj/img0239.jpg],2[tarj/img0880.jpg],4[tarj/img0940.jpg],4[tarj/img0102.jpg],4[tarj/img0245.jpg],4[tarj/img0128.jpg],4[tarj/img1027.jpg],3[tarj/img0264.jpg],4[tarj/img0601.jpg],2[tarj/img1116.jpg],4[tarj/img0886.jpg],2[tarj/img1133.jpg],2[tarj/img0163.jpg],2[tarj/img0348.jpg],5[tarj/img0923.jpg],2[tarj/img1104.jpg],4[tarj/img1153.jpg],3[tarj/img0532.jpg],2[tarj/img0596.jpg],4[tarj/img0966.jpg],2[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",32Q90QCQ1SM3SVOB6C7QRKMLQXHEK6,A39BR7NYRDWC01,Approved,"Thu May 05 11:45:25 PDT 2016","Thu May 05 11:46:28 PDT 2016",5[tarj/img1008.jpg],4[tarj/img0757.jpg],4[tarj/img0674.jpg],5[tarj/img1076.jpg],5[tarj/img0371.jpg],3[tarj/img0885.jpg],5[tarj/img0819.jpg],5[tarj/img0471.jpg],3[tarj/img1159.jpg],3[tarj/img0239.jpg],4[tarj/img0880.jpg],4[tarj/img0940.jpg],5[tarj/img0102.jpg],4[tarj/img0245.jpg],4[tarj/img0128.jpg],5[tarj/img1027.jpg],3[tarj/img0264.jpg],5[tarj/img0601.jpg],4[tarj/img1116.jpg],4[tarj/img0886.jpg],5[tarj/img1133.jpg],4[tarj/img0163.jpg],4[tarj/img0348.jpg],5[tarj/img0923.jpg],5[tarj/img1104.jpg],5[tarj/img1153.jpg],5[tarj/img0532.jpg],5[tarj/img0596.jpg],5[tarj/img0966.jpg],4[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",3EG49X351UD5ZGU3ZD3H5Q2A5AYX6N,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:16:01 PDT 2016","Thu May 05 19:17:28 PDT 2016",5[tarj/img1008.jpg],5[tarj/img0757.jpg],3[tarj/img0674.jpg],5[tarj/img1076.jpg],5[tarj/img0371.jpg],5[tarj/img0885.jpg],5[tarj/img0819.jpg],5[tarj/img0471.jpg],3[tarj/img1159.jpg],5[tarj/img0239.jpg],5[tarj/img0880.jpg],5[tarj/img0940.jpg],5[tarj/img0102.jpg],5[tarj/img0245.jpg],5[tarj/img0128.jpg],5[tarj/img1027.jpg],4[tarj/img0264.jpg],5[tarj/img0601.jpg],4[tarj/img1116.jpg],4[tarj/img0886.jpg],5[tarj/img1133.jpg],4[tarj/img0163.jpg],4[tarj/img0348.jpg],5[tarj/img0923.jpg],5[tarj/img1104.jpg],5[tarj/img1153.jpg],5[tarj/img0532.jpg],5[tarj/img0596.jpg],5[tarj/img0966.jpg],5[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",3ZR9AIQJUBAJN3KEDDLVZEVLZDN40W,A7DZMMHNC67T0,Approved,"Thu May 05 23:39:55 PDT 2016","Thu May 05 23:41:39 PDT 2016",2[tarj/img1008.jpg],3[tarj/img0757.jpg],2[tarj/img0674.jpg],5[tarj/img1076.jpg],3[tarj/img0371.jpg],4[tarj/img0885.jpg],3[tarj/img0819.jpg],5[tarj/img0471.jpg],3[tarj/img1159.jpg],4[tarj/img0239.jpg],1[tarj/img0880.jpg],5[tarj/img0940.jpg],2[tarj/img0102.jpg],5[tarj/img0245.jpg],4[tarj/img0128.jpg],5[tarj/img1027.jpg],2[tarj/img0264.jpg],3[tarj/img0601.jpg],2[tarj/img1116.jpg],3[tarj/img0886.jpg],3[tarj/img1133.jpg],2[tarj/img0163.jpg],3[tarj/img0348.jpg],2[tarj/img0923.jpg],2[tarj/img1104.jpg],2[tarj/img1153.jpg],4[tarj/img0532.jpg],4[tarj/img0596.jpg],3[tarj/img0966.jpg],1[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",3S4AW7T80BJWKZ90267EXYN92CJ4LS,A3CUB03HWBTDYA,Approved,"Fri May 06 12:10:00 PDT 2016","Fri May 06 12:13:36 PDT 2016",4[tarj/img1008.jpg],3[tarj/img0757.jpg],3[tarj/img0674.jpg],3[tarj/img1076.jpg],3[tarj/img0371.jpg],3[tarj/img0885.jpg],3[tarj/img0819.jpg],3[tarj/img0471.jpg],2[tarj/img1159.jpg],4[tarj/img0239.jpg],2[tarj/img0880.jpg],3[tarj/img0940.jpg],3[tarj/img0102.jpg],4[tarj/img0245.jpg],4[tarj/img0128.jpg],2[tarj/img1027.jpg],2[tarj/img0264.jpg],4[tarj/img0601.jpg],2[tarj/img1116.jpg],2[tarj/img0886.jpg],3[tarj/img1133.jpg],4[tarj/img0163.jpg],2[tarj/img0348.jpg],2[tarj/img0923.jpg],3[tarj/img1104.jpg],4[tarj/img1153.jpg],3[tarj/img0532.jpg],3[tarj/img0596.jpg],3[tarj/img0966.jpg],3[tarj/img0868.jpg],
3JGHED38EDSAG10OXHPA6YDXRFSY76,"tarj_150-179","sample#command",3TVSS0C0E11WCE0PLLFOEHGHGK0TW6,A2B0QV4J4UQFI2,Approved,"Sat May 07 00:33:29 PDT 2016","Sat May 07 00:34:38 PDT 2016",2[tarj/img1008.jpg],2[tarj/img0757.jpg],1[tarj/img0674.jpg],2[tarj/img1076.jpg],1[tarj/img0371.jpg],3[tarj/img0885.jpg],3[tarj/img0819.jpg],2[tarj/img0471.jpg],1[tarj/img1159.jpg],3[tarj/img0239.jpg],2[tarj/img0880.jpg],2[tarj/img0940.jpg],3[tarj/img0102.jpg],3[tarj/img0245.jpg],3[tarj/img0128.jpg],2[tarj/img1027.jpg],3[tarj/img0264.jpg],3[tarj/img0601.jpg],1[tarj/img1116.jpg],2[tarj/img0886.jpg],2[tarj/img1133.jpg],1[tarj/img0163.jpg],1[tarj/img0348.jpg],1[tarj/img0923.jpg],1[tarj/img1104.jpg],2[tarj/img1153.jpg],2[tarj/img0532.jpg],2[tarj/img0596.jpg],2[tarj/img0966.jpg],2[tarj/img0868.jpg],
