HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",3EO896NRAWWA6U0QEMW9PRM9EH7JT3,AR50UBGSH10FJ,Approved,"Thu May 05 04:56:05 PDT 2016","Thu May 05 04:57:31 PDT 2016",3[tarj/img0020.jpg],1[tarj/img0423.jpg],3[tarj/img1007.jpg],2[tarj/img0411.jpg],2[tarj/img0615.jpg],2[tarj/img0653.jpg],4[tarj/img0849.jpg],4[tarj/img0493.jpg],5[tarj/img0643.jpg],2[tarj/img0864.jpg],1[tarj/img0478.jpg],2[tarj/img0365.jpg],2[tarj/img0709.jpg],2[tarj/img0427.jpg],2[tarj/img0762.jpg],4[tarj/img0796.jpg],1[tarj/img0662.jpg],2[tarj/img0025.jpg],3[tarj/img0867.jpg],3[tarj/img1037.jpg],3[tarj/img1083.jpg],1[tarj/img0098.jpg],2[tarj/img0714.jpg],2[tarj/img0725.jpg],2[tarj/img1134.jpg],1[tarj/img0836.jpg],3[tarj/img0989.jpg],2[tarj/img0821.jpg],2[tarj/img0072.jpg],4[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",39ZSFO5CA8XP67FFERMJUN8BXWGUJ9,A1XC5OV00MECKQ,Approved,"Thu May 05 05:24:47 PDT 2016","Thu May 05 05:27:18 PDT 2016",2[tarj/img0020.jpg],1[tarj/img0423.jpg],3[tarj/img1007.jpg],2[tarj/img0411.jpg],2[tarj/img0615.jpg],4[tarj/img0653.jpg],4[tarj/img0849.jpg],4[tarj/img0493.jpg],4[tarj/img0643.jpg],2[tarj/img0864.jpg],3[tarj/img0478.jpg],4[tarj/img0365.jpg],4[tarj/img0709.jpg],5[tarj/img0427.jpg],4[tarj/img0762.jpg],4[tarj/img0796.jpg],4[tarj/img0662.jpg],5[tarj/img0025.jpg],3[tarj/img0867.jpg],3[tarj/img1037.jpg],4[tarj/img1083.jpg],4[tarj/img0098.jpg],3[tarj/img0714.jpg],4[tarj/img0725.jpg],2[tarj/img1134.jpg],3[tarj/img0836.jpg],3[tarj/img0989.jpg],3[tarj/img0821.jpg],4[tarj/img0072.jpg],5[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",3YT88D1N08Z0IX8EHSQU8TIOZ8ZK3T,AW2EUO27G715K,Approved,"Thu May 05 06:13:34 PDT 2016","Thu May 05 06:16:17 PDT 2016",4[tarj/img0020.jpg],5[tarj/img0423.jpg],5[tarj/img1007.jpg],5[tarj/img0411.jpg],4[tarj/img0615.jpg],1[tarj/img0653.jpg],4[tarj/img0849.jpg],3[tarj/img0493.jpg],5[tarj/img0643.jpg],3[tarj/img0864.jpg],5[tarj/img0478.jpg],5[tarj/img0365.jpg],3[tarj/img0709.jpg],5[tarj/img0427.jpg],5[tarj/img0762.jpg],5[tarj/img0796.jpg],4[tarj/img0662.jpg],2[tarj/img0025.jpg],5[tarj/img0867.jpg],3[tarj/img1037.jpg],4[tarj/img1083.jpg],5[tarj/img0098.jpg],3[tarj/img0714.jpg],3[tarj/img0725.jpg],2[tarj/img1134.jpg],2[tarj/img0836.jpg],1[tarj/img0989.jpg],1[tarj/img0821.jpg],3[tarj/img0072.jpg],5[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",36U2A8VAG101Y0526DJKYNE1898KYD,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:10 PDT 2016","Thu May 05 08:53:10 PDT 2016",3[tarj/img0020.jpg],4[tarj/img0423.jpg],4[tarj/img1007.jpg],4[tarj/img0411.jpg],4[tarj/img0615.jpg],4[tarj/img0653.jpg],4[tarj/img0849.jpg],4[tarj/img0493.jpg],4[tarj/img0643.jpg],4[tarj/img0864.jpg],4[tarj/img0478.jpg],4[tarj/img0365.jpg],4[tarj/img0709.jpg],4[tarj/img0427.jpg],4[tarj/img0762.jpg],3[tarj/img0796.jpg],4[tarj/img0662.jpg],4[tarj/img0025.jpg],3[tarj/img0867.jpg],4[tarj/img1037.jpg],3[tarj/img1083.jpg],4[tarj/img0098.jpg],3[tarj/img0714.jpg],4[tarj/img0725.jpg],3[tarj/img1134.jpg],2[tarj/img0836.jpg],4[tarj/img0989.jpg],4[tarj/img0821.jpg],4[tarj/img0072.jpg],4[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",3JMSRU9HQIVH86IN5GLXTTX26VFVE0,ASY5AZCZEM04L,Approved,"Thu May 05 10:25:58 PDT 2016","Thu May 05 10:26:59 PDT 2016",5[tarj/img0020.jpg],5[tarj/img0423.jpg],5[tarj/img1007.jpg],5[tarj/img0411.jpg],5[tarj/img0615.jpg],5[tarj/img0653.jpg],5[tarj/img0849.jpg],5[tarj/img0493.jpg],5[tarj/img0643.jpg],5[tarj/img0864.jpg],5[tarj/img0478.jpg],5[tarj/img0365.jpg],5[tarj/img0709.jpg],5[tarj/img0427.jpg],5[tarj/img0762.jpg],5[tarj/img0796.jpg],5[tarj/img0662.jpg],5[tarj/img0025.jpg],5[tarj/img0867.jpg],5[tarj/img1037.jpg],5[tarj/img1083.jpg],5[tarj/img0098.jpg],5[tarj/img0714.jpg],5[tarj/img0725.jpg],5[tarj/img1134.jpg],5[tarj/img0836.jpg],5[tarj/img0989.jpg],5[tarj/img0821.jpg],5[tarj/img0072.jpg],5[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",33LKR6A5KEL3BDKMOXQ3LRQNK1Z1TB,A33K6VSQLIKFG,Approved,"Thu May 05 11:02:16 PDT 2016","Thu May 05 11:03:40 PDT 2016",3[tarj/img0020.jpg],3[tarj/img0423.jpg],4[tarj/img1007.jpg],4[tarj/img0411.jpg],2[tarj/img0615.jpg],4[tarj/img0653.jpg],3[tarj/img0849.jpg],3[tarj/img0493.jpg],4[tarj/img0643.jpg],3[tarj/img0864.jpg],2[tarj/img0478.jpg],2[tarj/img0365.jpg],3[tarj/img0709.jpg],2[tarj/img0427.jpg],4[tarj/img0762.jpg],4[tarj/img0796.jpg],3[tarj/img0662.jpg],3[tarj/img0025.jpg],4[tarj/img0867.jpg],3[tarj/img1037.jpg],4[tarj/img1083.jpg],3[tarj/img0098.jpg],3[tarj/img0714.jpg],3[tarj/img0725.jpg],3[tarj/img1134.jpg],4[tarj/img0836.jpg],4[tarj/img0989.jpg],3[tarj/img0821.jpg],3[tarj/img0072.jpg],2[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",3A1PQ49WVHID64TRO39E78NZ979H1M,A39BR7NYRDWC01,Approved,"Thu May 05 11:42:23 PDT 2016","Thu May 05 11:43:26 PDT 2016",5[tarj/img0020.jpg],4[tarj/img0423.jpg],4[tarj/img1007.jpg],4[tarj/img0411.jpg],5[tarj/img0615.jpg],4[tarj/img0653.jpg],5[tarj/img0849.jpg],4[tarj/img0493.jpg],5[tarj/img0643.jpg],3[tarj/img0864.jpg],5[tarj/img0478.jpg],5[tarj/img0365.jpg],4[tarj/img0709.jpg],5[tarj/img0427.jpg],4[tarj/img0762.jpg],5[tarj/img0796.jpg],5[tarj/img0662.jpg],5[tarj/img0025.jpg],5[tarj/img0867.jpg],5[tarj/img1037.jpg],5[tarj/img1083.jpg],5[tarj/img0098.jpg],5[tarj/img0714.jpg],5[tarj/img0725.jpg],4[tarj/img1134.jpg],4[tarj/img0836.jpg],5[tarj/img0989.jpg],5[tarj/img0821.jpg],4[tarj/img0072.jpg],5[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",38F71OA9GTXQOXOAMZ4COFZPR5HMFV,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:14:21 PDT 2016","Thu May 05 19:30:16 PDT 2016",4[tarj/img0020.jpg],4[tarj/img0423.jpg],5[tarj/img1007.jpg],5[tarj/img0411.jpg],4[tarj/img0615.jpg],5[tarj/img0653.jpg],5[tarj/img0849.jpg],5[tarj/img0493.jpg],5[tarj/img0643.jpg],4[tarj/img0864.jpg],4[tarj/img0478.jpg],4[tarj/img0365.jpg],5[tarj/img0709.jpg],4[tarj/img0427.jpg],5[tarj/img0762.jpg],5[tarj/img0796.jpg],5[tarj/img0662.jpg],5[tarj/img0025.jpg],5[tarj/img0867.jpg],5[tarj/img1037.jpg],5[tarj/img1083.jpg],5[tarj/img0098.jpg],5[tarj/img0714.jpg],5[tarj/img0725.jpg],5[tarj/img1134.jpg],5[tarj/img0836.jpg],5[tarj/img0989.jpg],4[tarj/img0821.jpg],5[tarj/img0072.jpg],4[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",33L7PJKHCGZLMD47NIZI01DVYAFT83,A7DZMMHNC67T0,Approved,"Thu May 05 23:37:56 PDT 2016","Thu May 05 23:39:44 PDT 2016",5[tarj/img0020.jpg],4[tarj/img0423.jpg],3[tarj/img1007.jpg],4[tarj/img0411.jpg],4[tarj/img0615.jpg],3[tarj/img0653.jpg],5[tarj/img0849.jpg],3[tarj/img0493.jpg],4[tarj/img0643.jpg],2[tarj/img0864.jpg],4[tarj/img0478.jpg],5[tarj/img0365.jpg],4[tarj/img0709.jpg],5[tarj/img0427.jpg],3[tarj/img0762.jpg],3[tarj/img0796.jpg],2[tarj/img0662.jpg],1[tarj/img0025.jpg],3[tarj/img0867.jpg],3[tarj/img1037.jpg],4[tarj/img1083.jpg],3[tarj/img0098.jpg],2[tarj/img0714.jpg],4[tarj/img0725.jpg],2[tarj/img1134.jpg],4[tarj/img0836.jpg],3[tarj/img0989.jpg],2[tarj/img0821.jpg],3[tarj/img0072.jpg],4[tarj/img0983.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZYY8T,"tarj_390-419","sample#command",3W2LOLRXLBGS1ZTGSIRQQRL45P0KRO,A3CUB03HWBTDYA,Approved,"Fri May 06 06:52:03 PDT 2016","Fri May 06 06:55:45 PDT 2016",5[tarj/img0020.jpg],5[tarj/img0423.jpg],3[tarj/img1007.jpg],4[tarj/img0411.jpg],4[tarj/img0615.jpg],3[tarj/img0653.jpg],5[tarj/img0849.jpg],4[tarj/img0493.jpg],3[tarj/img0643.jpg],2[tarj/img0864.jpg],3[tarj/img0478.jpg],3[tarj/img0365.jpg],4[tarj/img0709.jpg],3[tarj/img0427.jpg],4[tarj/img0762.jpg],3[tarj/img0796.jpg],3[tarj/img0662.jpg],2[tarj/img0025.jpg],4[tarj/img0867.jpg],3[tarj/img1037.jpg],3[tarj/img1083.jpg],3[tarj/img0098.jpg],3[tarj/img0714.jpg],3[tarj/img0725.jpg],2[tarj/img1134.jpg],4[tarj/img0836.jpg],3[tarj/img0989.jpg],3[tarj/img0821.jpg],3[tarj/img0072.jpg],4[tarj/img0983.jpg],
