HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",39N5ACM9HEON8QUABTWCVN79TAF9P0,A1XC5OV00MECKQ,Approved,"Thu May 05 06:10:54 PDT 2016","Thu May 05 06:12:50 PDT 2016",4[tarj/img0041.jpg],4[tarj/img0712.jpg],2[tarj/img0089.jpg],4[tarj/img0070.jpg],4[tarj/img0005.jpg],4[tarj/img0330.jpg],4[tarj/img0192.jpg],5[tarj/img1018.jpg],4[tarj/img0125.jpg],2[tarj/img0542.jpg],2[tarj/img0713.jpg],5[tarj/img1029.jpg],5[tarj/img0197.jpg],5[tarj/img0955.jpg],5[tarj/img0664.jpg],4[tarj/img0877.jpg],4[tarj/img1136.jpg],4[tarj/img0656.jpg],4[tarj/img0093.jpg],2[tarj/img0425.jpg],3[tarj/img0450.jpg],4[tarj/img0393.jpg],4[tarj/img0173.jpg],4[tarj/img1077.jpg],4[tarj/img0154.jpg],4[tarj/img0433.jpg],4[tarj/img0050.jpg],4[tarj/img0370.jpg],5[tarj/img0043.jpg],5[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3X4MXAO0BGPJWZNXHWATE2FZST0RWC,A39BR7NYRDWC01,Approved,"Thu May 05 08:33:08 PDT 2016","Thu May 05 08:34:15 PDT 2016",3[tarj/img0041.jpg],5[tarj/img0712.jpg],5[tarj/img0089.jpg],4[tarj/img0070.jpg],4[tarj/img0005.jpg],4[tarj/img0330.jpg],4[tarj/img0192.jpg],5[tarj/img1018.jpg],3[tarj/img0125.jpg],5[tarj/img0542.jpg],4[tarj/img0713.jpg],5[tarj/img1029.jpg],3[tarj/img0197.jpg],5[tarj/img0955.jpg],5[tarj/img0664.jpg],4[tarj/img0877.jpg],5[tarj/img1136.jpg],4[tarj/img0656.jpg],5[tarj/img0093.jpg],4[tarj/img0425.jpg],5[tarj/img0450.jpg],5[tarj/img0393.jpg],5[tarj/img0173.jpg],5[tarj/img1077.jpg],4[tarj/img0154.jpg],4[tarj/img0433.jpg],4[tarj/img0050.jpg],5[tarj/img0370.jpg],5[tarj/img0043.jpg],5[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3907X2AHF06C869BQKHXL0ZVN4J2PF,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:29 PDT 2016","Thu May 05 08:57:52 PDT 2016",4[tarj/img0041.jpg],4[tarj/img0712.jpg],4[tarj/img0089.jpg],4[tarj/img0070.jpg],3[tarj/img0005.jpg],5[tarj/img0330.jpg],4[tarj/img0192.jpg],4[tarj/img1018.jpg],4[tarj/img0125.jpg],4[tarj/img0542.jpg],4[tarj/img0713.jpg],4[tarj/img1029.jpg],4[tarj/img0197.jpg],5[tarj/img0955.jpg],4[tarj/img0664.jpg],3[tarj/img0877.jpg],5[tarj/img1136.jpg],3[tarj/img0656.jpg],3[tarj/img0093.jpg],4[tarj/img0425.jpg],4[tarj/img0450.jpg],4[tarj/img0393.jpg],4[tarj/img0173.jpg],3[tarj/img1077.jpg],3[tarj/img0154.jpg],4[tarj/img0433.jpg],2[tarj/img0050.jpg],4[tarj/img0370.jpg],4[tarj/img0043.jpg],3[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3WQ3B2KGE8H3FRQ5OBZILXK1EUW1BI,ASY5AZCZEM04L,Approved,"Thu May 05 10:30:25 PDT 2016","Thu May 05 10:32:09 PDT 2016",5[tarj/img0041.jpg],5[tarj/img0712.jpg],5[tarj/img0089.jpg],5[tarj/img0070.jpg],5[tarj/img0005.jpg],5[tarj/img0330.jpg],5[tarj/img0192.jpg],5[tarj/img1018.jpg],5[tarj/img0125.jpg],5[tarj/img0542.jpg],5[tarj/img0713.jpg],5[tarj/img1029.jpg],5[tarj/img0197.jpg],5[tarj/img0955.jpg],5[tarj/img0664.jpg],5[tarj/img0877.jpg],5[tarj/img1136.jpg],5[tarj/img0656.jpg],5[tarj/img0093.jpg],5[tarj/img0425.jpg],5[tarj/img0450.jpg],5[tarj/img0393.jpg],5[tarj/img0173.jpg],5[tarj/img1077.jpg],5[tarj/img0154.jpg],5[tarj/img0433.jpg],5[tarj/img0050.jpg],4[tarj/img0370.jpg],4[tarj/img0043.jpg],5[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3T111IHZ5ER8K3APOL010I7OUSS9RH,A33K6VSQLIKFG,Approved,"Thu May 05 11:18:37 PDT 2016","Thu May 05 11:19:48 PDT 2016",3[tarj/img0041.jpg],2[tarj/img0712.jpg],3[tarj/img0089.jpg],4[tarj/img0070.jpg],4[tarj/img0005.jpg],3[tarj/img0330.jpg],3[tarj/img0192.jpg],5[tarj/img1018.jpg],2[tarj/img0125.jpg],3[tarj/img0542.jpg],2[tarj/img0713.jpg],3[tarj/img1029.jpg],3[tarj/img0197.jpg],4[tarj/img0955.jpg],3[tarj/img0664.jpg],3[tarj/img0877.jpg],2[tarj/img1136.jpg],3[tarj/img0656.jpg],4[tarj/img0093.jpg],3[tarj/img0425.jpg],2[tarj/img0450.jpg],2[tarj/img0393.jpg],3[tarj/img0173.jpg],4[tarj/img1077.jpg],2[tarj/img0154.jpg],3[tarj/img0433.jpg],2[tarj/img0050.jpg],2[tarj/img0370.jpg],3[tarj/img0043.jpg],2[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3ND9UOO81K38T1SKCCDXSQ60M2EWLW,A37BYC1JLWU6RA,Approved,"Thu May 05 14:21:28 PDT 2016","Thu May 05 14:23:16 PDT 2016",4[tarj/img0041.jpg],5[tarj/img0712.jpg],5[tarj/img0089.jpg],2[tarj/img0070.jpg],3[tarj/img0005.jpg],4[tarj/img0330.jpg],2[tarj/img0192.jpg],5[tarj/img1018.jpg],1[tarj/img0125.jpg],5[tarj/img0542.jpg],5[tarj/img0713.jpg],3[tarj/img1029.jpg],5[tarj/img0197.jpg],4[tarj/img0955.jpg],3[tarj/img0664.jpg],3[tarj/img0877.jpg],1[tarj/img1136.jpg],4[tarj/img0656.jpg],2[tarj/img0093.jpg],2[tarj/img0425.jpg],4[tarj/img0450.jpg],3[tarj/img0393.jpg],3[tarj/img0173.jpg],4[tarj/img1077.jpg],3[tarj/img0154.jpg],3[tarj/img0433.jpg],3[tarj/img0050.jpg],3[tarj/img0370.jpg],3[tarj/img0043.jpg],3[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",32ZKVD547FOZPU4KBFD19QZYCGAB3O,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:35:04 PDT 2016","Thu May 05 19:36:14 PDT 2016",5[tarj/img0041.jpg],4[tarj/img0712.jpg],4[tarj/img0089.jpg],5[tarj/img0070.jpg],5[tarj/img0005.jpg],4[tarj/img0330.jpg],5[tarj/img0192.jpg],4[tarj/img1018.jpg],4[tarj/img0125.jpg],5[tarj/img0542.jpg],5[tarj/img0713.jpg],5[tarj/img1029.jpg],5[tarj/img0197.jpg],5[tarj/img0955.jpg],5[tarj/img0664.jpg],5[tarj/img0877.jpg],4[tarj/img1136.jpg],5[tarj/img0656.jpg],5[tarj/img0093.jpg],4[tarj/img0425.jpg],4[tarj/img0450.jpg],5[tarj/img0393.jpg],4[tarj/img0173.jpg],4[tarj/img1077.jpg],4[tarj/img0154.jpg],5[tarj/img0433.jpg],4[tarj/img0050.jpg],5[tarj/img0370.jpg],5[tarj/img0043.jpg],4[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3R6P78PK7KC0FSAP6GB6SEUTMSMGTY,A247KL8QX3NRX0,Approved,"Thu May 05 21:14:16 PDT 2016","Thu May 05 21:15:51 PDT 2016",2[tarj/img0041.jpg],5[tarj/img0712.jpg],4[tarj/img0089.jpg],1[tarj/img0070.jpg],2[tarj/img0005.jpg],2[tarj/img0330.jpg],2[tarj/img0192.jpg],2[tarj/img1018.jpg],2[tarj/img0125.jpg],3[tarj/img0542.jpg],3[tarj/img0713.jpg],4[tarj/img1029.jpg],4[tarj/img0197.jpg],5[tarj/img0955.jpg],3[tarj/img0664.jpg],3[tarj/img0877.jpg],1[tarj/img1136.jpg],5[tarj/img0656.jpg],4[tarj/img0093.jpg],4[tarj/img0425.jpg],5[tarj/img0450.jpg],3[tarj/img0393.jpg],4[tarj/img0173.jpg],4[tarj/img1077.jpg],4[tarj/img0154.jpg],3[tarj/img0433.jpg],3[tarj/img0050.jpg],4[tarj/img0370.jpg],4[tarj/img0043.jpg],4[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",384PI804XS22POMP3EHDXHBRDTR0S0,A7DZMMHNC67T0,Approved,"Thu May 05 23:59:59 PDT 2016","Fri May 06 00:01:46 PDT 2016",2[tarj/img0041.jpg],4[tarj/img0712.jpg],2[tarj/img0089.jpg],2[tarj/img0070.jpg],3[tarj/img0005.jpg],3[tarj/img0330.jpg],3[tarj/img0192.jpg],3[tarj/img1018.jpg],2[tarj/img0125.jpg],3[tarj/img0542.jpg],5[tarj/img0713.jpg],4[tarj/img1029.jpg],4[tarj/img0197.jpg],5[tarj/img0955.jpg],3[tarj/img0664.jpg],4[tarj/img0877.jpg],2[tarj/img1136.jpg],4[tarj/img0656.jpg],3[tarj/img0093.jpg],3[tarj/img0425.jpg],4[tarj/img0450.jpg],3[tarj/img0393.jpg],4[tarj/img0173.jpg],5[tarj/img1077.jpg],2[tarj/img0154.jpg],3[tarj/img0433.jpg],3[tarj/img0050.jpg],3[tarj/img0370.jpg],2[tarj/img0043.jpg],4[tarj/img0494.jpg],
3L2OEKSTW9BEGF577MHGKY9S2ZZ8Y4,"tarj_180-209","sample#command",3U088ZLJVKUVW53YNJREU6ECJ6VW0J,AMT0E8J2I4J6B,Approved,"Fri May 06 03:58:37 PDT 2016","Fri May 06 04:00:32 PDT 2016",4[tarj/img0041.jpg],5[tarj/img0712.jpg],4[tarj/img0089.jpg],4[tarj/img0070.jpg],4[tarj/img0005.jpg],5[tarj/img0330.jpg],5[tarj/img0192.jpg],5[tarj/img1018.jpg],4[tarj/img0125.jpg],4[tarj/img0542.jpg],5[tarj/img0713.jpg],5[tarj/img1029.jpg],5[tarj/img0197.jpg],5[tarj/img0955.jpg],5[tarj/img0664.jpg],5[tarj/img0877.jpg],2[tarj/img1136.jpg],5[tarj/img0656.jpg],5[tarj/img0093.jpg],4[tarj/img0425.jpg],5[tarj/img0450.jpg],5[tarj/img0393.jpg],5[tarj/img0173.jpg],5[tarj/img1077.jpg],2[tarj/img0154.jpg],3[tarj/img0433.jpg],4[tarj/img0050.jpg],4[tarj/img0370.jpg],3[tarj/img0043.jpg],4[tarj/img0494.jpg],
