HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3D4CH1LGEAUHVD1B8A6P1ETHSJSG93,A1XC5OV00MECKQ,Approved,"Thu May 05 06:03:54 PDT 2016","Thu May 05 06:07:50 PDT 2016",4[tarj/img0614.jpg],1[tarj/img0984.jpg],4[tarj/img0170.jpg],4[tarj/img0676.jpg],4[tarj/img0054.jpg],1[tarj/img0993.jpg],5[tarj/img1128.jpg],4[tarj/img0893.jpg],4[tarj/img1032.jpg],3[tarj/img0549.jpg],4[tarj/img0917.jpg],4[tarj/img0030.jpg],4[tarj/img0578.jpg],1[tarj/img0928.jpg],4[tarj/img0926.jpg],3[tarj/img0259.jpg],4[tarj/img0298.jpg],4[tarj/img0273.jpg],4[tarj/img0185.jpg],4[tarj/img1130.jpg],3[tarj/img0931.jpg],3[tarj/img0222.jpg],4[tarj/img0943.jpg],4[tarj/img0497.jpg],4[tarj/img0201.jpg],4[tarj/img0118.jpg],4[tarj/img0381.jpg],5[tarj/img0723.jpg],4[tarj/img0766.jpg],4[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3FDJT1UU7493WCVIVBENNQG8D4ZK5S,A39BR7NYRDWC01,Approved,"Thu May 05 07:29:08 PDT 2016","Thu May 05 07:30:17 PDT 2016",4[tarj/img0614.jpg],3[tarj/img0984.jpg],5[tarj/img0170.jpg],5[tarj/img0676.jpg],5[tarj/img0054.jpg],5[tarj/img0993.jpg],4[tarj/img1128.jpg],4[tarj/img0893.jpg],5[tarj/img1032.jpg],3[tarj/img0549.jpg],4[tarj/img0917.jpg],5[tarj/img0030.jpg],4[tarj/img0578.jpg],4[tarj/img0928.jpg],4[tarj/img0926.jpg],5[tarj/img0259.jpg],5[tarj/img0298.jpg],5[tarj/img0273.jpg],3[tarj/img0185.jpg],5[tarj/img1130.jpg],3[tarj/img0931.jpg],5[tarj/img0222.jpg],4[tarj/img0943.jpg],5[tarj/img0497.jpg],4[tarj/img0201.jpg],4[tarj/img0118.jpg],4[tarj/img0381.jpg],4[tarj/img0723.jpg],4[tarj/img0766.jpg],5[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3Q5C1WP23M21QB9WN185IBK94Y451F,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:24 PDT 2016","Thu May 05 08:56:30 PDT 2016",3[tarj/img0614.jpg],4[tarj/img0984.jpg],4[tarj/img0170.jpg],4[tarj/img0676.jpg],4[tarj/img0054.jpg],4[tarj/img0993.jpg],4[tarj/img1128.jpg],4[tarj/img0893.jpg],4[tarj/img1032.jpg],4[tarj/img0549.jpg],4[tarj/img0917.jpg],4[tarj/img0030.jpg],4[tarj/img0578.jpg],5[tarj/img0928.jpg],4[tarj/img0926.jpg],4[tarj/img0259.jpg],5[tarj/img0298.jpg],3[tarj/img0273.jpg],4[tarj/img0185.jpg],3[tarj/img1130.jpg],4[tarj/img0931.jpg],4[tarj/img0222.jpg],3[tarj/img0943.jpg],4[tarj/img0497.jpg],4[tarj/img0201.jpg],4[tarj/img0118.jpg],4[tarj/img0381.jpg],4[tarj/img0723.jpg],4[tarj/img0766.jpg],4[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3137ONMDKG6YQ9SSGLMBTSUSJGSEGV,ASY5AZCZEM04L,Approved,"Thu May 05 10:29:49 PDT 2016","Thu May 05 10:30:21 PDT 2016",5[tarj/img0614.jpg],5[tarj/img0984.jpg],5[tarj/img0170.jpg],5[tarj/img0676.jpg],5[tarj/img0054.jpg],5[tarj/img0993.jpg],5[tarj/img1128.jpg],5[tarj/img0893.jpg],5[tarj/img1032.jpg],5[tarj/img0549.jpg],5[tarj/img0917.jpg],5[tarj/img0030.jpg],5[tarj/img0578.jpg],5[tarj/img0928.jpg],5[tarj/img0926.jpg],5[tarj/img0259.jpg],5[tarj/img0298.jpg],5[tarj/img0273.jpg],5[tarj/img0185.jpg],5[tarj/img1130.jpg],5[tarj/img0931.jpg],5[tarj/img0222.jpg],5[tarj/img0943.jpg],5[tarj/img0497.jpg],5[tarj/img0201.jpg],5[tarj/img0118.jpg],5[tarj/img0381.jpg],5[tarj/img0723.jpg],5[tarj/img0766.jpg],5[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",34T446B1C0FMI7XT6SRDIC79RNV0CQ,A33K6VSQLIKFG,Approved,"Thu May 05 11:16:12 PDT 2016","Thu May 05 11:17:17 PDT 2016",2[tarj/img0614.jpg],2[tarj/img0984.jpg],2[tarj/img0170.jpg],3[tarj/img0676.jpg],3[tarj/img0054.jpg],2[tarj/img0993.jpg],4[tarj/img1128.jpg],4[tarj/img0893.jpg],3[tarj/img1032.jpg],3[tarj/img0549.jpg],4[tarj/img0917.jpg],3[tarj/img0030.jpg],3[tarj/img0578.jpg],2[tarj/img0928.jpg],3[tarj/img0926.jpg],2[tarj/img0259.jpg],2[tarj/img0298.jpg],3[tarj/img0273.jpg],3[tarj/img0185.jpg],4[tarj/img1130.jpg],2[tarj/img0931.jpg],2[tarj/img0222.jpg],2[tarj/img0943.jpg],4[tarj/img0497.jpg],3[tarj/img0201.jpg],3[tarj/img0118.jpg],3[tarj/img0381.jpg],2[tarj/img0723.jpg],3[tarj/img0766.jpg],2[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3VNXK88KKCJ0DAR6X55B1FWRFZS9VZ,A3CUB03HWBTDYA,Approved,"Thu May 05 13:35:18 PDT 2016","Thu May 05 13:39:09 PDT 2016",2[tarj/img0614.jpg],5[tarj/img0984.jpg],5[tarj/img0170.jpg],3[tarj/img0676.jpg],4[tarj/img0054.jpg],2[tarj/img0993.jpg],3[tarj/img1128.jpg],3[tarj/img0893.jpg],4[tarj/img1032.jpg],3[tarj/img0549.jpg],4[tarj/img0917.jpg],4[tarj/img0030.jpg],4[tarj/img0578.jpg],4[tarj/img0928.jpg],4[tarj/img0926.jpg],4[tarj/img0259.jpg],4[tarj/img0298.jpg],4[tarj/img0273.jpg],5[tarj/img0185.jpg],4[tarj/img1130.jpg],3[tarj/img0931.jpg],3[tarj/img0222.jpg],2[tarj/img0943.jpg],2[tarj/img0497.jpg],3[tarj/img0201.jpg],5[tarj/img0118.jpg],4[tarj/img0381.jpg],3[tarj/img0723.jpg],4[tarj/img0766.jpg],3[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",31T4R4OBOSH00IXDRRCMXRHWZ3VC70,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:32:19 PDT 2016","Thu May 05 19:33:27 PDT 2016",4[tarj/img0614.jpg],4[tarj/img0984.jpg],5[tarj/img0170.jpg],5[tarj/img0676.jpg],5[tarj/img0054.jpg],5[tarj/img0993.jpg],5[tarj/img1128.jpg],5[tarj/img0893.jpg],5[tarj/img1032.jpg],5[tarj/img0549.jpg],5[tarj/img0917.jpg],5[tarj/img0030.jpg],5[tarj/img0578.jpg],5[tarj/img0928.jpg],5[tarj/img0926.jpg],5[tarj/img0259.jpg],5[tarj/img0298.jpg],5[tarj/img0273.jpg],5[tarj/img0185.jpg],5[tarj/img1130.jpg],4[tarj/img0931.jpg],4[tarj/img0222.jpg],4[tarj/img0943.jpg],4[tarj/img0497.jpg],4[tarj/img0201.jpg],4[tarj/img0118.jpg],4[tarj/img0381.jpg],4[tarj/img0723.jpg],4[tarj/img0766.jpg],4[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3XLBSAQ9Z4DD8B8NJ5WU8PIH8MW7ZB,A7DZMMHNC67T0,Approved,"Thu May 05 23:55:59 PDT 2016","Thu May 05 23:57:35 PDT 2016",4[tarj/img0614.jpg],5[tarj/img0984.jpg],5[tarj/img0170.jpg],3[tarj/img0676.jpg],3[tarj/img0054.jpg],2[tarj/img0993.jpg],5[tarj/img1128.jpg],5[tarj/img0893.jpg],4[tarj/img1032.jpg],3[tarj/img0549.jpg],5[tarj/img0917.jpg],3[tarj/img0030.jpg],4[tarj/img0578.jpg],2[tarj/img0928.jpg],3[tarj/img0926.jpg],3[tarj/img0259.jpg],3[tarj/img0298.jpg],3[tarj/img0273.jpg],4[tarj/img0185.jpg],2[tarj/img1130.jpg],3[tarj/img0931.jpg],2[tarj/img0222.jpg],3[tarj/img0943.jpg],5[tarj/img0497.jpg],4[tarj/img0201.jpg],4[tarj/img0118.jpg],4[tarj/img0381.jpg],4[tarj/img0723.jpg],4[tarj/img0766.jpg],4[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3L4D84MILZTK1L9VESFKB8JL3UXHJQ,A2B0QV4J4UQFI2,Approved,"Sat May 07 00:47:35 PDT 2016","Sat May 07 00:48:46 PDT 2016",1[tarj/img0614.jpg],3[tarj/img0984.jpg],1[tarj/img0170.jpg],1[tarj/img0676.jpg],1[tarj/img0054.jpg],2[tarj/img0993.jpg],2[tarj/img1128.jpg],2[tarj/img0893.jpg],1[tarj/img1032.jpg],3[tarj/img0549.jpg],3[tarj/img0917.jpg],2[tarj/img0030.jpg],3[tarj/img0578.jpg],1[tarj/img0928.jpg],2[tarj/img0926.jpg],3[tarj/img0259.jpg],2[tarj/img0298.jpg],1[tarj/img0273.jpg],1[tarj/img0185.jpg],1[tarj/img1130.jpg],1[tarj/img0931.jpg],2[tarj/img0222.jpg],1[tarj/img0943.jpg],2[tarj/img0497.jpg],2[tarj/img0201.jpg],4[tarj/img0118.jpg],2[tarj/img0381.jpg],2[tarj/img0723.jpg],2[tarj/img0766.jpg],2[tarj/img0657.jpg],
3LVTFB9DE5JK0SK3ZACAZPNOR9VGQP,"tarj_30-59","sample#command",3TPZPLC3M0D1TO5UUKV24A4NTOS3PC,A8P2CCZS7ZBQP,Approved,"Sat May 07 04:30:11 PDT 2016","Sat May 07 04:34:30 PDT 2016",1[tarj/img0614.jpg],4[tarj/img0984.jpg],4[tarj/img0170.jpg],3[tarj/img0676.jpg],2[tarj/img0054.jpg],2[tarj/img0993.jpg],5[tarj/img1128.jpg],4[tarj/img0893.jpg],2[tarj/img1032.jpg],5[tarj/img0549.jpg],3[tarj/img0917.jpg],3[tarj/img0030.jpg],4[tarj/img0578.jpg],1[tarj/img0928.jpg],2[tarj/img0926.jpg],2[tarj/img0259.jpg],3[tarj/img0298.jpg],4[tarj/img0273.jpg],4[tarj/img0185.jpg],3[tarj/img1130.jpg],4[tarj/img0931.jpg],3[tarj/img0222.jpg],1[tarj/img0943.jpg],1[tarj/img0497.jpg],4[tarj/img0201.jpg],5[tarj/img0118.jpg],4[tarj/img0381.jpg],4[tarj/img0723.jpg],2[tarj/img0766.jpg],2[tarj/img0657.jpg],
