HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3IKZ72A5B4HW6F9AY0JC1UOPWS4NF3,AR50UBGSH10FJ,Approved,"Thu May 05 05:04:49 PDT 2016","Thu May 05 05:06:09 PDT 2016",1[tarj/img0338.jpg],1[tarj/img0420.jpg],2[tarj/img0326.jpg],4[tarj/img0015.jpg],3[tarj/img0548.jpg],2[tarj/img0770.jpg],1[tarj/img0737.jpg],1[tarj/img0255.jpg],2[tarj/img0772.jpg],3[tarj/img0454.jpg],2[tarj/img0658.jpg],2[tarj/img1119.jpg],4[tarj/img0274.jpg],1[tarj/img0585.jpg],3[tarj/img0721.jpg],3[tarj/img0499.jpg],2[tarj/img0407.jpg],2[tarj/img0706.jpg],2[tarj/img0844.jpg],2[tarj/img0223.jpg],2[tarj/img0153.jpg],2[tarj/img1152.jpg],1[tarj/img0501.jpg],1[tarj/img0362.jpg],1[tarj/img0182.jpg],1[tarj/img0828.jpg],2[tarj/img0448.jpg],3[tarj/img0519.jpg],2[tarj/img0108.jpg],1[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3OCHAWUVGOLCYVFS1HXIF97S63YKXR,A1XC5OV00MECKQ,Approved,"Thu May 05 05:48:38 PDT 2016","Thu May 05 05:51:26 PDT 2016",4[tarj/img0338.jpg],4[tarj/img0420.jpg],3[tarj/img0326.jpg],4[tarj/img0015.jpg],4[tarj/img0548.jpg],3[tarj/img0770.jpg],3[tarj/img0737.jpg],3[tarj/img0255.jpg],4[tarj/img0772.jpg],3[tarj/img0454.jpg],3[tarj/img0658.jpg],4[tarj/img1119.jpg],4[tarj/img0274.jpg],4[tarj/img0585.jpg],3[tarj/img0721.jpg],4[tarj/img0499.jpg],5[tarj/img0407.jpg],4[tarj/img0706.jpg],4[tarj/img0844.jpg],5[tarj/img0223.jpg],4[tarj/img0153.jpg],4[tarj/img1152.jpg],4[tarj/img0501.jpg],2[tarj/img0362.jpg],4[tarj/img0182.jpg],3[tarj/img0828.jpg],4[tarj/img0448.jpg],2[tarj/img0519.jpg],2[tarj/img0108.jpg],4[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3ZSY5X72NXCBRQEVQAJJX82DPR2RO1,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:16 PDT 2016","Thu May 05 08:54:45 PDT 2016",3[tarj/img0338.jpg],3[tarj/img0420.jpg],4[tarj/img0326.jpg],4[tarj/img0015.jpg],1[tarj/img0548.jpg],4[tarj/img0770.jpg],4[tarj/img0737.jpg],4[tarj/img0255.jpg],4[tarj/img0772.jpg],4[tarj/img0454.jpg],4[tarj/img0658.jpg],4[tarj/img1119.jpg],5[tarj/img0274.jpg],4[tarj/img0585.jpg],4[tarj/img0721.jpg],4[tarj/img0499.jpg],4[tarj/img0407.jpg],4[tarj/img0706.jpg],4[tarj/img0844.jpg],4[tarj/img0223.jpg],3[tarj/img0153.jpg],4[tarj/img1152.jpg],5[tarj/img0501.jpg],4[tarj/img0362.jpg],4[tarj/img0182.jpg],4[tarj/img0828.jpg],4[tarj/img0448.jpg],4[tarj/img0519.jpg],4[tarj/img0108.jpg],4[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3LWJHTCVCCNH9CM2ESBT5OJU14FQFJ,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:35 PDT 2016","Thu May 05 10:28:40 PDT 2016",5[tarj/img0338.jpg],5[tarj/img0420.jpg],5[tarj/img0326.jpg],5[tarj/img0015.jpg],5[tarj/img0548.jpg],5[tarj/img0770.jpg],5[tarj/img0737.jpg],5[tarj/img0255.jpg],5[tarj/img0772.jpg],5[tarj/img0454.jpg],5[tarj/img0658.jpg],5[tarj/img1119.jpg],5[tarj/img0274.jpg],5[tarj/img0585.jpg],5[tarj/img0721.jpg],5[tarj/img0499.jpg],5[tarj/img0407.jpg],5[tarj/img0706.jpg],5[tarj/img0844.jpg],5[tarj/img0223.jpg],5[tarj/img0153.jpg],5[tarj/img1152.jpg],5[tarj/img0501.jpg],5[tarj/img0362.jpg],5[tarj/img0182.jpg],5[tarj/img0828.jpg],5[tarj/img0448.jpg],5[tarj/img0519.jpg],5[tarj/img0108.jpg],5[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3L0KT67Y8EHZMJIABMSMP95BP3UYSH,A33K6VSQLIKFG,Approved,"Thu May 05 11:10:18 PDT 2016","Thu May 05 11:11:36 PDT 2016",2[tarj/img0338.jpg],3[tarj/img0420.jpg],3[tarj/img0326.jpg],4[tarj/img0015.jpg],3[tarj/img0548.jpg],2[tarj/img0770.jpg],2[tarj/img0737.jpg],2[tarj/img0255.jpg],3[tarj/img0772.jpg],2[tarj/img0454.jpg],2[tarj/img0658.jpg],3[tarj/img1119.jpg],2[tarj/img0274.jpg],4[tarj/img0585.jpg],3[tarj/img0721.jpg],4[tarj/img0499.jpg],4[tarj/img0407.jpg],4[tarj/img0706.jpg],3[tarj/img0844.jpg],4[tarj/img0223.jpg],3[tarj/img0153.jpg],2[tarj/img1152.jpg],2[tarj/img0501.jpg],2[tarj/img0362.jpg],3[tarj/img0182.jpg],3[tarj/img0828.jpg],4[tarj/img0448.jpg],5[tarj/img0519.jpg],4[tarj/img0108.jpg],3[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",36TFCYNS44BLW5EKVWUL2HR0EMKXHQ,A39BR7NYRDWC01,Approved,"Thu May 05 11:16:29 PDT 2016","Thu May 05 11:17:50 PDT 2016",4[tarj/img0338.jpg],4[tarj/img0420.jpg],5[tarj/img0326.jpg],4[tarj/img0015.jpg],5[tarj/img0548.jpg],5[tarj/img0770.jpg],4[tarj/img0737.jpg],4[tarj/img0255.jpg],5[tarj/img0772.jpg],5[tarj/img0454.jpg],4[tarj/img0658.jpg],3[tarj/img1119.jpg],5[tarj/img0274.jpg],5[tarj/img0585.jpg],5[tarj/img0721.jpg],4[tarj/img0499.jpg],5[tarj/img0407.jpg],5[tarj/img0706.jpg],4[tarj/img0844.jpg],5[tarj/img0223.jpg],5[tarj/img0153.jpg],5[tarj/img1152.jpg],4[tarj/img0501.jpg],5[tarj/img0362.jpg],4[tarj/img0182.jpg],5[tarj/img0828.jpg],4[tarj/img0448.jpg],5[tarj/img0519.jpg],4[tarj/img0108.jpg],5[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3A1COHJ8NJWVH4DCNOITMIA7NFZH8U,A3CUB03HWBTDYA,Approved,"Thu May 05 18:30:02 PDT 2016","Thu May 05 18:34:20 PDT 2016",5[tarj/img0338.jpg],3[tarj/img0420.jpg],3[tarj/img0326.jpg],3[tarj/img0015.jpg],3[tarj/img0548.jpg],3[tarj/img0770.jpg],3[tarj/img0737.jpg],2[tarj/img0255.jpg],2[tarj/img0772.jpg],2[tarj/img0454.jpg],3[tarj/img0658.jpg],3[tarj/img1119.jpg],3[tarj/img0274.jpg],4[tarj/img0585.jpg],2[tarj/img0721.jpg],4[tarj/img0499.jpg],4[tarj/img0407.jpg],4[tarj/img0706.jpg],4[tarj/img0844.jpg],3[tarj/img0223.jpg],3[tarj/img0153.jpg],3[tarj/img1152.jpg],4[tarj/img0501.jpg],3[tarj/img0362.jpg],2[tarj/img0182.jpg],3[tarj/img0828.jpg],3[tarj/img0448.jpg],3[tarj/img0519.jpg],3[tarj/img0108.jpg],5[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3ZWFC4W1UU8HLD12R70TAETZXSHRFP,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:23:53 PDT 2016","Thu May 05 19:25:12 PDT 2016",5[tarj/img0338.jpg],5[tarj/img0420.jpg],5[tarj/img0326.jpg],4[tarj/img0015.jpg],5[tarj/img0548.jpg],4[tarj/img0770.jpg],5[tarj/img0737.jpg],5[tarj/img0255.jpg],5[tarj/img0772.jpg],5[tarj/img0454.jpg],5[tarj/img0658.jpg],5[tarj/img1119.jpg],5[tarj/img0274.jpg],5[tarj/img0585.jpg],5[tarj/img0721.jpg],5[tarj/img0499.jpg],5[tarj/img0407.jpg],5[tarj/img0706.jpg],5[tarj/img0844.jpg],5[tarj/img0223.jpg],5[tarj/img0153.jpg],5[tarj/img1152.jpg],5[tarj/img0501.jpg],5[tarj/img0362.jpg],5[tarj/img0182.jpg],5[tarj/img0828.jpg],5[tarj/img0448.jpg],5[tarj/img0519.jpg],5[tarj/img0108.jpg],5[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3Y54SXRO1LMJKABKQL0NWTVKV18UTL,A7DZMMHNC67T0,Approved,"Thu May 05 23:50:16 PDT 2016","Thu May 05 23:51:58 PDT 2016",5[tarj/img0338.jpg],4[tarj/img0420.jpg],4[tarj/img0326.jpg],3[tarj/img0015.jpg],3[tarj/img0548.jpg],3[tarj/img0770.jpg],3[tarj/img0737.jpg],2[tarj/img0255.jpg],3[tarj/img0772.jpg],2[tarj/img0454.jpg],4[tarj/img0658.jpg],3[tarj/img1119.jpg],4[tarj/img0274.jpg],4[tarj/img0585.jpg],2[tarj/img0721.jpg],5[tarj/img0499.jpg],5[tarj/img0407.jpg],3[tarj/img0706.jpg],2[tarj/img0844.jpg],4[tarj/img0223.jpg],5[tarj/img0153.jpg],2[tarj/img1152.jpg],2[tarj/img0501.jpg],5[tarj/img0362.jpg],3[tarj/img0182.jpg],3[tarj/img0828.jpg],2[tarj/img0448.jpg],3[tarj/img0519.jpg],2[tarj/img0108.jpg],2[tarj/img0939.jpg],
3OLZC0DJ8JGQ1RMFBX6NQOZCNE1IVC,"tarj_420-449","sample#command",3GD6L00D3SYZYIU2F0PRZDVVQZW1MF,A2B0QV4J4UQFI2,Approved,"Sat May 07 00:41:48 PDT 2016","Sat May 07 00:43:00 PDT 2016",2[tarj/img0338.jpg],3[tarj/img0420.jpg],2[tarj/img0326.jpg],1[tarj/img0015.jpg],2[tarj/img0548.jpg],1[tarj/img0770.jpg],2[tarj/img0737.jpg],2[tarj/img0255.jpg],2[tarj/img0772.jpg],1[tarj/img0454.jpg],1[tarj/img0658.jpg],2[tarj/img1119.jpg],3[tarj/img0274.jpg],3[tarj/img0585.jpg],2[tarj/img0721.jpg],3[tarj/img0499.jpg],2[tarj/img0407.jpg],2[tarj/img0706.jpg],1[tarj/img0844.jpg],2[tarj/img0223.jpg],4[tarj/img0153.jpg],4[tarj/img1152.jpg],2[tarj/img0501.jpg],3[tarj/img0362.jpg],2[tarj/img0182.jpg],2[tarj/img0828.jpg],1[tarj/img0448.jpg],2[tarj/img0519.jpg],1[tarj/img0108.jpg],4[tarj/img0939.jpg],
