HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",31HQ4X3T3SBFMKBBS73WV13FGO0LSM,A1XC5OV00MECKQ,Approved,"Thu May 05 05:20:25 PDT 2016","Thu May 05 05:24:11 PDT 2016",4[tarj/img0012.jpg],5[tarj/img0213.jpg],5[tarj/img0452.jpg],3[tarj/img0176.jpg],3[tarj/img0051.jpg],3[tarj/img1048.jpg],4[tarj/img0293.jpg],3[tarj/img0598.jpg],4[tarj/img0049.jpg],4[tarj/img0697.jpg],4[tarj/img0340.jpg],5[tarj/img0111.jpg],3[tarj/img0314.jpg],3[tarj/img1074.jpg],2[tarj/img0146.jpg],3[tarj/img1050.jpg],5[tarj/img0972.jpg],4[tarj/img0589.jpg],4[tarj/img1093.jpg],5[tarj/img1001.jpg],3[tarj/img0290.jpg],3[tarj/img0535.jpg],5[tarj/img1055.jpg],1[tarj/img0253.jpg],4[tarj/img0628.jpg],2[tarj/img0716.jpg],2[tarj/img0037.jpg],1[tarj/img0168.jpg],2[tarj/img0755.jpg],2[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3PB5A5BD0V7DHUDITD85NI2BXT67GK,AO23DKI6107TH,Approved,"Thu May 05 06:45:02 PDT 2016","Thu May 05 06:46:29 PDT 2016",5[tarj/img0012.jpg],4[tarj/img0213.jpg],5[tarj/img0452.jpg],4[tarj/img0176.jpg],5[tarj/img0051.jpg],4[tarj/img1048.jpg],4[tarj/img0293.jpg],4[tarj/img0598.jpg],5[tarj/img0049.jpg],3[tarj/img0697.jpg],4[tarj/img0340.jpg],3[tarj/img0111.jpg],4[tarj/img0314.jpg],4[tarj/img1074.jpg],3[tarj/img0146.jpg],2[tarj/img1050.jpg],3[tarj/img0972.jpg],3[tarj/img0589.jpg],4[tarj/img1093.jpg],4[tarj/img1001.jpg],4[tarj/img0290.jpg],2[tarj/img0535.jpg],3[tarj/img1055.jpg],5[tarj/img0253.jpg],4[tarj/img0628.jpg],4[tarj/img0716.jpg],5[tarj/img0037.jpg],3[tarj/img0168.jpg],5[tarj/img0755.jpg],4[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3B837J3LDOXQPI6OXR0SHDCEMG5RSY,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:08 PDT 2016","Thu May 05 08:52:32 PDT 2016",3[tarj/img0012.jpg],4[tarj/img0213.jpg],4[tarj/img0452.jpg],4[tarj/img0176.jpg],5[tarj/img0051.jpg],4[tarj/img1048.jpg],3[tarj/img0293.jpg],5[tarj/img0598.jpg],3[tarj/img0049.jpg],4[tarj/img0697.jpg],4[tarj/img0340.jpg],4[tarj/img0111.jpg],3[tarj/img0314.jpg],4[tarj/img1074.jpg],3[tarj/img0146.jpg],4[tarj/img1050.jpg],4[tarj/img0972.jpg],3[tarj/img0589.jpg],5[tarj/img1093.jpg],4[tarj/img1001.jpg],4[tarj/img0290.jpg],4[tarj/img0535.jpg],3[tarj/img1055.jpg],4[tarj/img0253.jpg],4[tarj/img0628.jpg],3[tarj/img0716.jpg],4[tarj/img0037.jpg],3[tarj/img0168.jpg],4[tarj/img0755.jpg],3[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3W2LOLRXLBGS1ZTGSIRQQRL45MYKRG,ASY5AZCZEM04L,Approved,"Thu May 05 10:25:58 PDT 2016","Thu May 05 10:26:41 PDT 2016",5[tarj/img0012.jpg],5[tarj/img0213.jpg],5[tarj/img0452.jpg],5[tarj/img0176.jpg],5[tarj/img0051.jpg],5[tarj/img1048.jpg],5[tarj/img0293.jpg],5[tarj/img0598.jpg],5[tarj/img0049.jpg],5[tarj/img0697.jpg],5[tarj/img0340.jpg],5[tarj/img0111.jpg],5[tarj/img0314.jpg],5[tarj/img1074.jpg],5[tarj/img0146.jpg],5[tarj/img1050.jpg],5[tarj/img0972.jpg],5[tarj/img0589.jpg],5[tarj/img1093.jpg],5[tarj/img1001.jpg],5[tarj/img0290.jpg],5[tarj/img0535.jpg],5[tarj/img1055.jpg],5[tarj/img0253.jpg],5[tarj/img0628.jpg],5[tarj/img0716.jpg],5[tarj/img0037.jpg],5[tarj/img0168.jpg],5[tarj/img0755.jpg],5[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3G0WWMR1UVLTX4ZJCGU6DTS33V4QNT,A33K6VSQLIKFG,Approved,"Thu May 05 11:00:47 PDT 2016","Thu May 05 11:02:08 PDT 2016",5[tarj/img0012.jpg],3[tarj/img0213.jpg],3[tarj/img0452.jpg],2[tarj/img0176.jpg],2[tarj/img0051.jpg],4[tarj/img1048.jpg],3[tarj/img0293.jpg],3[tarj/img0598.jpg],4[tarj/img0049.jpg],3[tarj/img0697.jpg],4[tarj/img0340.jpg],4[tarj/img0111.jpg],3[tarj/img0314.jpg],4[tarj/img1074.jpg],3[tarj/img0146.jpg],2[tarj/img1050.jpg],3[tarj/img0972.jpg],4[tarj/img0589.jpg],3[tarj/img1093.jpg],3[tarj/img1001.jpg],2[tarj/img0290.jpg],4[tarj/img0535.jpg],2[tarj/img1055.jpg],2[tarj/img0253.jpg],3[tarj/img0628.jpg],4[tarj/img0716.jpg],2[tarj/img0037.jpg],2[tarj/img0168.jpg],4[tarj/img0755.jpg],4[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3XUHV3NRVKZCUMUAPQBQAY0GLNCH52,A39BR7NYRDWC01,Approved,"Thu May 05 11:25:55 PDT 2016","Thu May 05 11:28:10 PDT 2016",5[tarj/img0012.jpg],4[tarj/img0213.jpg],3[tarj/img0452.jpg],3[tarj/img0176.jpg],5[tarj/img0051.jpg],4[tarj/img1048.jpg],3[tarj/img0293.jpg],4[tarj/img0598.jpg],5[tarj/img0049.jpg],4[tarj/img0697.jpg],5[tarj/img0340.jpg],5[tarj/img0111.jpg],4[tarj/img0314.jpg],5[tarj/img1074.jpg],5[tarj/img0146.jpg],4[tarj/img1050.jpg],3[tarj/img0972.jpg],4[tarj/img0589.jpg],4[tarj/img1093.jpg],5[tarj/img1001.jpg],4[tarj/img0290.jpg],4[tarj/img0535.jpg],5[tarj/img1055.jpg],4[tarj/img0253.jpg],3[tarj/img0628.jpg],5[tarj/img0716.jpg],5[tarj/img0037.jpg],4[tarj/img0168.jpg],5[tarj/img0755.jpg],5[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3U0SRXB7CD6T95EJPVJ6IJ28ZJINR7,A3CUB03HWBTDYA,Approved,"Thu May 05 15:40:22 PDT 2016","Thu May 05 15:43:44 PDT 2016",4[tarj/img0012.jpg],3[tarj/img0213.jpg],4[tarj/img0452.jpg],3[tarj/img0176.jpg],3[tarj/img0051.jpg],3[tarj/img1048.jpg],3[tarj/img0293.jpg],3[tarj/img0598.jpg],3[tarj/img0049.jpg],5[tarj/img0697.jpg],5[tarj/img0340.jpg],4[tarj/img0111.jpg],3[tarj/img0314.jpg],4[tarj/img1074.jpg],4[tarj/img0146.jpg],4[tarj/img1050.jpg],3[tarj/img0972.jpg],4[tarj/img0589.jpg],4[tarj/img1093.jpg],4[tarj/img1001.jpg],4[tarj/img0290.jpg],4[tarj/img0535.jpg],3[tarj/img1055.jpg],3[tarj/img0253.jpg],3[tarj/img0628.jpg],2[tarj/img0716.jpg],3[tarj/img0037.jpg],3[tarj/img0168.jpg],4[tarj/img0755.jpg],4[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3LO69W1SU3ECWF2KX79F6NKCSFBLGB,A1Z0DAI1O2LQ78,Approved,"Thu May 05 16:39:32 PDT 2016","Thu May 05 16:44:07 PDT 2016",2[tarj/img0012.jpg],4[tarj/img0213.jpg],4[tarj/img0452.jpg],5[tarj/img0176.jpg],3[tarj/img0051.jpg],2[tarj/img1048.jpg],3[tarj/img0293.jpg],3[tarj/img0598.jpg],1[tarj/img0049.jpg],2[tarj/img0697.jpg],3[tarj/img0340.jpg],1[tarj/img0111.jpg],2[tarj/img0314.jpg],2[tarj/img1074.jpg],3[tarj/img0146.jpg],4[tarj/img1050.jpg],3[tarj/img0972.jpg],3[tarj/img0589.jpg],2[tarj/img1093.jpg],2[tarj/img1001.jpg],3[tarj/img0290.jpg],3[tarj/img0535.jpg],3[tarj/img1055.jpg],5[tarj/img0253.jpg],2[tarj/img0628.jpg],1[tarj/img0716.jpg],2[tarj/img0037.jpg],1[tarj/img0168.jpg],3[tarj/img0755.jpg],2[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",3BEFOD78W6UGQHRL2I8TXB2Y2F8M47,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:12:33 PDT 2016","Thu May 05 19:14:12 PDT 2016",5[tarj/img0012.jpg],5[tarj/img0213.jpg],5[tarj/img0452.jpg],5[tarj/img0176.jpg],5[tarj/img0051.jpg],5[tarj/img1048.jpg],5[tarj/img0293.jpg],5[tarj/img0598.jpg],5[tarj/img0049.jpg],5[tarj/img0697.jpg],5[tarj/img0340.jpg],5[tarj/img0111.jpg],5[tarj/img0314.jpg],5[tarj/img1074.jpg],5[tarj/img0146.jpg],4[tarj/img1050.jpg],5[tarj/img0972.jpg],5[tarj/img0589.jpg],5[tarj/img1093.jpg],5[tarj/img1001.jpg],5[tarj/img0290.jpg],5[tarj/img0535.jpg],5[tarj/img1055.jpg],4[tarj/img0253.jpg],5[tarj/img0628.jpg],5[tarj/img0716.jpg],5[tarj/img0037.jpg],4[tarj/img0168.jpg],5[tarj/img0755.jpg],5[tarj/img0164.jpg],
3OYHVNTV5TZMH236AO5L8CKHJPTKON,"tarj_60-89","sample#command",31JLPPHS2UVJ8OTTFKINFAZXJG6O3K,A7DZMMHNC67T0,Approved,"Thu May 05 23:36:31 PDT 2016","Thu May 05 23:37:45 PDT 2016",4[tarj/img0012.jpg],3[tarj/img0213.jpg],5[tarj/img0452.jpg],4[tarj/img0176.jpg],4[tarj/img0051.jpg],4[tarj/img1048.jpg],5[tarj/img0293.jpg],5[tarj/img0598.jpg],5[tarj/img0049.jpg],5[tarj/img0697.jpg],5[tarj/img0340.jpg],5[tarj/img0111.jpg],4[tarj/img0314.jpg],5[tarj/img1074.jpg],4[tarj/img0146.jpg],5[tarj/img1050.jpg],5[tarj/img0972.jpg],4[tarj/img0589.jpg],4[tarj/img1093.jpg],5[tarj/img1001.jpg],4[tarj/img0290.jpg],3[tarj/img0535.jpg],3[tarj/img1055.jpg],2[tarj/img0253.jpg],3[tarj/img0628.jpg],2[tarj/img0716.jpg],4[tarj/img0037.jpg],3[tarj/img0168.jpg],4[tarj/img0755.jpg],5[tarj/img0164.jpg],
