HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",3WYGZ5XF3WG42ETT77RVG1Q0ROWSKR,A1XC5OV00MECKQ,Approved,"Thu May 05 05:51:36 PDT 2016","Thu May 05 05:55:18 PDT 2016",4[tarj/img0286.jpg],4[tarj/img1017.jpg],4[tarj/img1091.jpg],4[tarj/img0678.jpg],4[tarj/img0383.jpg],3[tarj/img0685.jpg],5[tarj/img0696.jpg],4[tarj/img0361.jpg],3[tarj/img0069.jpg],4[tarj/img0113.jpg],4[tarj/img1009.jpg],4[tarj/img1095.jpg],4[tarj/img0875.jpg],4[tarj/img0445.jpg],4[tarj/img0004.jpg],3[tarj/img0624.jpg],5[tarj/img0477.jpg],5[tarj/img0680.jpg],4[tarj/img0280.jpg],5[tarj/img0023.jpg],3[tarj/img1139.jpg],3[tarj/img1033.jpg],2[tarj/img0899.jpg],2[tarj/img0600.jpg],4[tarj/img0987.jpg],4[tarj/img0084.jpg],4[tarj/img0184.jpg],3[tarj/img0358.jpg],4[tarj/img0520.jpg],5[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",3YHH42UU5BGFLBRZJ5KCLVXWLWYL0G,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:18 PDT 2016","Thu May 05 08:55:09 PDT 2016",3[tarj/img0286.jpg],3[tarj/img1017.jpg],5[tarj/img1091.jpg],4[tarj/img0678.jpg],4[tarj/img0383.jpg],4[tarj/img0685.jpg],4[tarj/img0696.jpg],4[tarj/img0361.jpg],4[tarj/img0069.jpg],4[tarj/img0113.jpg],4[tarj/img1009.jpg],3[tarj/img1095.jpg],4[tarj/img0875.jpg],4[tarj/img0445.jpg],4[tarj/img0004.jpg],5[tarj/img0624.jpg],3[tarj/img0477.jpg],4[tarj/img0680.jpg],3[tarj/img0280.jpg],5[tarj/img0023.jpg],4[tarj/img1139.jpg],3[tarj/img1033.jpg],4[tarj/img0899.jpg],3[tarj/img0600.jpg],5[tarj/img0987.jpg],4[tarj/img0084.jpg],3[tarj/img0184.jpg],4[tarj/img0358.jpg],3[tarj/img0520.jpg],4[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",37ZHEEHM6WNCNI1UYY1L4OD2TOJ37Q,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:36 PDT 2016","Thu May 05 10:28:58 PDT 2016",5[tarj/img0286.jpg],5[tarj/img1017.jpg],5[tarj/img1091.jpg],5[tarj/img0678.jpg],5[tarj/img0383.jpg],5[tarj/img0685.jpg],5[tarj/img0696.jpg],5[tarj/img0361.jpg],5[tarj/img0069.jpg],5[tarj/img0113.jpg],5[tarj/img1009.jpg],5[tarj/img1095.jpg],5[tarj/img0875.jpg],5[tarj/img0445.jpg],5[tarj/img0004.jpg],5[tarj/img0624.jpg],5[tarj/img0477.jpg],5[tarj/img0680.jpg],5[tarj/img0280.jpg],5[tarj/img0023.jpg],5[tarj/img1139.jpg],5[tarj/img1033.jpg],5[tarj/img0899.jpg],5[tarj/img0600.jpg],5[tarj/img0987.jpg],5[tarj/img0084.jpg],5[tarj/img0184.jpg],5[tarj/img0358.jpg],5[tarj/img0520.jpg],5[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",3EJPLAJKEMHU4BUI0VR22BILD81Z6N,A33K6VSQLIKFG,Approved,"Thu May 05 11:11:43 PDT 2016","Thu May 05 11:12:53 PDT 2016",2[tarj/img0286.jpg],4[tarj/img1017.jpg],4[tarj/img1091.jpg],5[tarj/img0678.jpg],5[tarj/img0383.jpg],4[tarj/img0685.jpg],4[tarj/img0696.jpg],3[tarj/img0361.jpg],3[tarj/img0069.jpg],3[tarj/img0113.jpg],3[tarj/img1009.jpg],4[tarj/img1095.jpg],2[tarj/img0875.jpg],4[tarj/img0445.jpg],3[tarj/img0004.jpg],3[tarj/img0624.jpg],4[tarj/img0477.jpg],3[tarj/img0680.jpg],3[tarj/img0280.jpg],4[tarj/img0023.jpg],2[tarj/img1139.jpg],3[tarj/img1033.jpg],3[tarj/img0899.jpg],3[tarj/img0600.jpg],2[tarj/img0987.jpg],4[tarj/img0084.jpg],4[tarj/img0184.jpg],2[tarj/img0358.jpg],2[tarj/img0520.jpg],3[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",30JNVC0OR9L1N8D89IZT89V7HJYQHN,A39BR7NYRDWC01,Approved,"Thu May 05 11:22:02 PDT 2016","Thu May 05 11:23:13 PDT 2016",5[tarj/img0286.jpg],4[tarj/img1017.jpg],4[tarj/img1091.jpg],5[tarj/img0678.jpg],5[tarj/img0383.jpg],4[tarj/img0685.jpg],5[tarj/img0696.jpg],3[tarj/img0361.jpg],5[tarj/img0069.jpg],5[tarj/img0113.jpg],4[tarj/img1009.jpg],5[tarj/img1095.jpg],5[tarj/img0875.jpg],5[tarj/img0445.jpg],5[tarj/img0004.jpg],4[tarj/img0624.jpg],3[tarj/img0477.jpg],5[tarj/img0680.jpg],3[tarj/img0280.jpg],5[tarj/img0023.jpg],4[tarj/img1139.jpg],5[tarj/img1033.jpg],5[tarj/img0899.jpg],5[tarj/img0600.jpg],4[tarj/img0987.jpg],5[tarj/img0084.jpg],4[tarj/img0184.jpg],5[tarj/img0358.jpg],4[tarj/img0520.jpg],5[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",3PIWWX1FJJ7GSR4L2SI5NLZ0GI4JJS,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:25:26 PDT 2016","Thu May 05 19:26:44 PDT 2016",4[tarj/img0286.jpg],4[tarj/img1017.jpg],4[tarj/img1091.jpg],5[tarj/img0678.jpg],5[tarj/img0383.jpg],5[tarj/img0685.jpg],4[tarj/img0696.jpg],5[tarj/img0361.jpg],5[tarj/img0069.jpg],5[tarj/img0113.jpg],5[tarj/img1009.jpg],4[tarj/img1095.jpg],4[tarj/img0875.jpg],5[tarj/img0445.jpg],5[tarj/img0004.jpg],4[tarj/img0624.jpg],5[tarj/img0477.jpg],5[tarj/img0680.jpg],4[tarj/img0280.jpg],5[tarj/img0023.jpg],3[tarj/img1139.jpg],5[tarj/img1033.jpg],5[tarj/img0899.jpg],5[tarj/img0600.jpg],5[tarj/img0987.jpg],5[tarj/img0084.jpg],5[tarj/img0184.jpg],3[tarj/img0358.jpg],4[tarj/img0520.jpg],4[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",3PMBY0YE2744E1L66OA6BN82UUCC97,AOZ0DBT60IMEC,Approved,"Fri May 06 05:10:52 PDT 2016","Fri May 06 05:12:16 PDT 2016",4[tarj/img0286.jpg],3[tarj/img1017.jpg],3[tarj/img1091.jpg],3[tarj/img0678.jpg],3[tarj/img0383.jpg],3[tarj/img0685.jpg],3[tarj/img0696.jpg],4[tarj/img0361.jpg],4[tarj/img0069.jpg],4[tarj/img0113.jpg],4[tarj/img1009.jpg],4[tarj/img1095.jpg],4[tarj/img0875.jpg],4[tarj/img0445.jpg],4[tarj/img0004.jpg],4[tarj/img0624.jpg],3[tarj/img0477.jpg],4[tarj/img0680.jpg],4[tarj/img0280.jpg],4[tarj/img0023.jpg],4[tarj/img1139.jpg],4[tarj/img1033.jpg],5[tarj/img0899.jpg],3[tarj/img0600.jpg],3[tarj/img0987.jpg],4[tarj/img0084.jpg],4[tarj/img0184.jpg],4[tarj/img0358.jpg],4[tarj/img0520.jpg],4[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",33PPO7FECVG7UUKNAEBU8MPNYKSIDD,AJPX2XSRNO5CU,Approved,"Fri May 06 07:45:51 PDT 2016","Fri May 06 07:48:16 PDT 2016",3[tarj/img0286.jpg],3[tarj/img1017.jpg],4[tarj/img1091.jpg],5[tarj/img0678.jpg],2[tarj/img0383.jpg],5[tarj/img0685.jpg],3[tarj/img0696.jpg],4[tarj/img0361.jpg],5[tarj/img0069.jpg],4[tarj/img0113.jpg],2[tarj/img1009.jpg],3[tarj/img1095.jpg],4[tarj/img0875.jpg],3[tarj/img0445.jpg],4[tarj/img0004.jpg],4[tarj/img0624.jpg],5[tarj/img0477.jpg],5[tarj/img0680.jpg],5[tarj/img0280.jpg],4[tarj/img0023.jpg],3[tarj/img1139.jpg],5[tarj/img1033.jpg],4[tarj/img0899.jpg],5[tarj/img0600.jpg],5[tarj/img0987.jpg],5[tarj/img0084.jpg],3[tarj/img0184.jpg],3[tarj/img0358.jpg],4[tarj/img0520.jpg],5[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",30MVJZJNHMERMFRCGGRSYRLXKHOJ91,A2B0QV4J4UQFI2,Approved,"Sat May 07 00:43:05 PDT 2016","Sat May 07 00:44:16 PDT 2016",1[tarj/img0286.jpg],1[tarj/img1017.jpg],1[tarj/img1091.jpg],2[tarj/img0678.jpg],1[tarj/img0383.jpg],2[tarj/img0685.jpg],2[tarj/img0696.jpg],2[tarj/img0361.jpg],3[tarj/img0069.jpg],1[tarj/img0113.jpg],1[tarj/img1009.jpg],1[tarj/img1095.jpg],2[tarj/img0875.jpg],2[tarj/img0445.jpg],1[tarj/img0004.jpg],3[tarj/img0624.jpg],3[tarj/img0477.jpg],2[tarj/img0680.jpg],4[tarj/img0280.jpg],4[tarj/img0023.jpg],3[tarj/img1139.jpg],3[tarj/img1033.jpg],3[tarj/img0899.jpg],4[tarj/img0600.jpg],4[tarj/img0987.jpg],5[tarj/img0084.jpg],4[tarj/img0184.jpg],2[tarj/img0358.jpg],3[tarj/img0520.jpg],3[tarj/img0428.jpg],
3QX22DUVOOICXAC6WC4FIH6T4NLVM5,"tarj_0-29","sample#command",3EJJQNKU9R61Z9S8MXOTDZ5CDCXHRQ,A1H7C5EM2ODXFT,Approved,"Sat May 07 13:04:23 PDT 2016","Sat May 07 13:06:00 PDT 2016",4[tarj/img0286.jpg],3[tarj/img1017.jpg],2[tarj/img1091.jpg],3[tarj/img0678.jpg],1[tarj/img0383.jpg],3[tarj/img0685.jpg],3[tarj/img0696.jpg],2[tarj/img0361.jpg],4[tarj/img0069.jpg],3[tarj/img0113.jpg],3[tarj/img1009.jpg],4[tarj/img1095.jpg],3[tarj/img0875.jpg],4[tarj/img0445.jpg],2[tarj/img0004.jpg],4[tarj/img0624.jpg],3[tarj/img0477.jpg],2[tarj/img0680.jpg],5[tarj/img0280.jpg],4[tarj/img0023.jpg],4[tarj/img1139.jpg],3[tarj/img1033.jpg],2[tarj/img0899.jpg],4[tarj/img0600.jpg],5[tarj/img0987.jpg],3[tarj/img0084.jpg],3[tarj/img0184.jpg],2[tarj/img0358.jpg],1[tarj/img0520.jpg],4[tarj/img0428.jpg],
