HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3Z4GS9HPNVBUO12H0A4BH5PIYQL77F,A1XC5OV00MECKQ,Approved,"Thu May 05 06:15:09 PDT 2016","Thu May 05 06:20:30 PDT 2016",3[tarj/img0862.jpg],4[tarj/img0639.jpg],3[tarj/img0640.jpg],4[tarj/img0565.jpg],4[tarj/img1063.jpg],4[tarj/img0474.jpg],3[tarj/img0306.jpg],4[tarj/img0366.jpg],3[tarj/img0270.jpg],3[tarj/img0060.jpg],3[tarj/img1111.jpg],4[tarj/img0988.jpg],4[tarj/img0467.jpg],5[tarj/img0571.jpg],4[tarj/img0344.jpg],4[tarj/img1129.jpg],2[tarj/img0022.jpg],4[tarj/img0261.jpg],4[tarj/img1144.jpg],4[tarj/img0818.jpg],4[tarj/img0483.jpg],3[tarj/img0838.jpg],3[tarj/img0101.jpg],5[tarj/img0941.jpg],5[tarj/img0311.jpg],4[tarj/img0663.jpg],5[tarj/img0031.jpg],5[tarj/img0666.jpg],4[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3RU7GD8VPOU5D5Q9KZW3CICZLYDPS0,A39BR7NYRDWC01,Approved,"Thu May 05 07:31:50 PDT 2016","Thu May 05 07:33:00 PDT 2016",3[tarj/img0862.jpg],5[tarj/img0639.jpg],4[tarj/img0640.jpg],5[tarj/img0565.jpg],5[tarj/img1063.jpg],5[tarj/img0474.jpg],4[tarj/img0306.jpg],5[tarj/img0366.jpg],5[tarj/img0270.jpg],4[tarj/img0060.jpg],5[tarj/img1111.jpg],4[tarj/img0988.jpg],4[tarj/img0467.jpg],5[tarj/img0571.jpg],4[tarj/img0344.jpg],4[tarj/img1129.jpg],5[tarj/img0022.jpg],5[tarj/img0261.jpg],5[tarj/img1144.jpg],5[tarj/img0818.jpg],5[tarj/img0483.jpg],5[tarj/img0838.jpg],5[tarj/img0101.jpg],4[tarj/img0941.jpg],5[tarj/img0311.jpg],3[tarj/img0663.jpg],4[tarj/img0031.jpg],5[tarj/img0666.jpg],4[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3PQMUDRV7R7O25092SC5ZJ50QMLIIU,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:25 PDT 2016","Thu May 05 08:56:54 PDT 2016",4[tarj/img0862.jpg],4[tarj/img0639.jpg],4[tarj/img0640.jpg],4[tarj/img0565.jpg],4[tarj/img1063.jpg],5[tarj/img0474.jpg],3[tarj/img0306.jpg],4[tarj/img0366.jpg],3[tarj/img0270.jpg],4[tarj/img0060.jpg],3[tarj/img1111.jpg],3[tarj/img0988.jpg],4[tarj/img0467.jpg],3[tarj/img0571.jpg],3[tarj/img0344.jpg],4[tarj/img1129.jpg],4[tarj/img0022.jpg],4[tarj/img0261.jpg],3[tarj/img1144.jpg],4[tarj/img0818.jpg],3[tarj/img0483.jpg],1[tarj/img0838.jpg],4[tarj/img0101.jpg],4[tarj/img0941.jpg],4[tarj/img0311.jpg],4[tarj/img0663.jpg],4[tarj/img0031.jpg],3[tarj/img0666.jpg],5[tarj/img0587.jpg],3[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",32Q90QCQ1SM3SVOB6C7QRKMLQX9EKY,ASY5AZCZEM04L,Approved,"Thu May 05 10:30:29 PDT 2016","Thu May 05 10:31:51 PDT 2016",5[tarj/img0862.jpg],5[tarj/img0639.jpg],5[tarj/img0640.jpg],5[tarj/img0565.jpg],5[tarj/img1063.jpg],5[tarj/img0474.jpg],5[tarj/img0306.jpg],5[tarj/img0366.jpg],5[tarj/img0270.jpg],5[tarj/img0060.jpg],5[tarj/img1111.jpg],5[tarj/img0988.jpg],5[tarj/img0467.jpg],5[tarj/img0571.jpg],5[tarj/img0344.jpg],5[tarj/img1129.jpg],5[tarj/img0022.jpg],5[tarj/img0261.jpg],5[tarj/img1144.jpg],5[tarj/img0818.jpg],5[tarj/img0483.jpg],5[tarj/img0838.jpg],5[tarj/img0101.jpg],5[tarj/img0941.jpg],5[tarj/img0311.jpg],5[tarj/img0663.jpg],5[tarj/img0031.jpg],5[tarj/img0666.jpg],5[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3QRYMNZ7FYI6PKRBTKO1IY3QN26NT7,A33K6VSQLIKFG,Approved,"Thu May 05 11:21:18 PDT 2016","Thu May 05 11:22:26 PDT 2016",3[tarj/img0862.jpg],3[tarj/img0639.jpg],1[tarj/img0640.jpg],2[tarj/img0565.jpg],2[tarj/img1063.jpg],2[tarj/img0474.jpg],2[tarj/img0306.jpg],2[tarj/img0366.jpg],1[tarj/img0270.jpg],3[tarj/img0060.jpg],2[tarj/img1111.jpg],3[tarj/img0988.jpg],3[tarj/img0467.jpg],3[tarj/img0571.jpg],2[tarj/img0344.jpg],3[tarj/img1129.jpg],2[tarj/img0022.jpg],2[tarj/img0261.jpg],2[tarj/img1144.jpg],2[tarj/img0818.jpg],2[tarj/img0483.jpg],2[tarj/img0838.jpg],2[tarj/img0101.jpg],5[tarj/img0941.jpg],4[tarj/img0311.jpg],2[tarj/img0663.jpg],3[tarj/img0031.jpg],2[tarj/img0666.jpg],2[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",37U1UTWH9VN86YRFJTUN0MCDAOZR83,A3CUB03HWBTDYA,Approved,"Thu May 05 18:37:56 PDT 2016","Thu May 05 18:41:17 PDT 2016",2[tarj/img0862.jpg],2[tarj/img0639.jpg],1[tarj/img0640.jpg],1[tarj/img0565.jpg],2[tarj/img1063.jpg],1[tarj/img0474.jpg],1[tarj/img0306.jpg],1[tarj/img0366.jpg],2[tarj/img0270.jpg],1[tarj/img0060.jpg],1[tarj/img1111.jpg],1[tarj/img0988.jpg],2[tarj/img0467.jpg],3[tarj/img0571.jpg],1[tarj/img0344.jpg],2[tarj/img1129.jpg],2[tarj/img0022.jpg],1[tarj/img0261.jpg],1[tarj/img1144.jpg],2[tarj/img0818.jpg],2[tarj/img0483.jpg],2[tarj/img0838.jpg],2[tarj/img0101.jpg],3[tarj/img0941.jpg],3[tarj/img0311.jpg],2[tarj/img0663.jpg],3[tarj/img0031.jpg],4[tarj/img0666.jpg],1[tarj/img0587.jpg],3[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3RRCEFRB7MDK7QNOBTIKJVR4QHKB4P,A7DZMMHNC67T0,Approved,"Fri May 06 00:04:18 PDT 2016","Fri May 06 00:06:54 PDT 2016",4[tarj/img0862.jpg],1[tarj/img0639.jpg],3[tarj/img0640.jpg],4[tarj/img0565.jpg],4[tarj/img1063.jpg],2[tarj/img0474.jpg],3[tarj/img0306.jpg],2[tarj/img0366.jpg],4[tarj/img0270.jpg],4[tarj/img0060.jpg],3[tarj/img1111.jpg],1[tarj/img0988.jpg],3[tarj/img0467.jpg],5[tarj/img0571.jpg],3[tarj/img0344.jpg],3[tarj/img1129.jpg],4[tarj/img0022.jpg],3[tarj/img0261.jpg],1[tarj/img1144.jpg],5[tarj/img0818.jpg],4[tarj/img0483.jpg],2[tarj/img0838.jpg],3[tarj/img0101.jpg],3[tarj/img0941.jpg],3[tarj/img0311.jpg],4[tarj/img0663.jpg],5[tarj/img0031.jpg],4[tarj/img0666.jpg],2[tarj/img0587.jpg],3[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3KWTYT08704EGID0GBQO2QTN2785LQ,A17FFJ5HYRDZIZ,Approved,"Fri May 06 05:12:13 PDT 2016","Fri May 06 05:15:15 PDT 2016",2[tarj/img0862.jpg],2[tarj/img0639.jpg],1[tarj/img0640.jpg],2[tarj/img0565.jpg],2[tarj/img1063.jpg],1[tarj/img0474.jpg],3[tarj/img0306.jpg],1[tarj/img0366.jpg],1[tarj/img0270.jpg],1[tarj/img0060.jpg],2[tarj/img1111.jpg],1[tarj/img0988.jpg],1[tarj/img0467.jpg],3[tarj/img0571.jpg],1[tarj/img0344.jpg],2[tarj/img1129.jpg],2[tarj/img0022.jpg],3[tarj/img0261.jpg],1[tarj/img1144.jpg],2[tarj/img0818.jpg],3[tarj/img0483.jpg],1[tarj/img0838.jpg],3[tarj/img0101.jpg],4[tarj/img0941.jpg],3[tarj/img0311.jpg],3[tarj/img0663.jpg],4[tarj/img0031.jpg],4[tarj/img0666.jpg],1[tarj/img0587.jpg],2[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3C44YUNSI1QZBG7RN91EHJQZKYJDPG,A2HQUDV8G4CNYC,Approved,"Fri May 06 07:11:07 PDT 2016","Fri May 06 07:13:15 PDT 2016",5[tarj/img0862.jpg],5[tarj/img0639.jpg],4[tarj/img0640.jpg],4[tarj/img0565.jpg],5[tarj/img1063.jpg],3[tarj/img0474.jpg],4[tarj/img0306.jpg],2[tarj/img0366.jpg],5[tarj/img0270.jpg],5[tarj/img0060.jpg],5[tarj/img1111.jpg],5[tarj/img0988.jpg],5[tarj/img0467.jpg],5[tarj/img0571.jpg],5[tarj/img0344.jpg],5[tarj/img1129.jpg],5[tarj/img0022.jpg],5[tarj/img0261.jpg],3[tarj/img1144.jpg],5[tarj/img0818.jpg],4[tarj/img0483.jpg],4[tarj/img0838.jpg],4[tarj/img0101.jpg],5[tarj/img0941.jpg],5[tarj/img0311.jpg],5[tarj/img0663.jpg],5[tarj/img0031.jpg],5[tarj/img0666.jpg],4[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3TXWC2NHNZRKLIA23A06QSCKG1DS94,A348CNNMIT1FIN,Approved,"Sat May 07 14:32:59 PDT 2016","Sat May 07 14:34:55 PDT 2016",4[tarj/img0862.jpg],4[tarj/img0639.jpg],1[tarj/img0640.jpg],3[tarj/img0565.jpg],4[tarj/img1063.jpg],1[tarj/img0474.jpg],2[tarj/img0306.jpg],1[tarj/img0366.jpg],5[tarj/img0270.jpg],3[tarj/img0060.jpg],2[tarj/img1111.jpg],3[tarj/img0988.jpg],2[tarj/img0467.jpg],5[tarj/img0571.jpg],2[tarj/img0344.jpg],2[tarj/img1129.jpg],5[tarj/img0022.jpg],2[tarj/img0261.jpg],2[tarj/img1144.jpg],5[tarj/img0818.jpg],2[tarj/img0483.jpg],1[tarj/img0838.jpg],4[tarj/img0101.jpg],5[tarj/img0941.jpg],5[tarj/img0311.jpg],5[tarj/img0663.jpg],4[tarj/img0031.jpg],4[tarj/img0666.jpg],3[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",39JEC7537U22B8Y99PF235XZLQACVA,A3PSIT0A7OU2FL,Approved,"Sat May 07 14:38:54 PDT 2016","Sat May 07 14:40:13 PDT 2016",2[tarj/img0862.jpg],3[tarj/img0639.jpg],2[tarj/img0640.jpg],3[tarj/img0565.jpg],3[tarj/img1063.jpg],3[tarj/img0474.jpg],4[tarj/img0306.jpg],3[tarj/img0366.jpg],1[tarj/img0270.jpg],1[tarj/img0060.jpg],2[tarj/img1111.jpg],2[tarj/img0988.jpg],4[tarj/img0467.jpg],4[tarj/img0571.jpg],2[tarj/img0344.jpg],3[tarj/img1129.jpg],4[tarj/img0022.jpg],4[tarj/img0261.jpg],1[tarj/img1144.jpg],3[tarj/img0818.jpg],2[tarj/img0483.jpg],3[tarj/img0838.jpg],1[tarj/img0101.jpg],4[tarj/img0941.jpg],2[tarj/img0311.jpg],1[tarj/img0663.jpg],3[tarj/img0031.jpg],2[tarj/img0666.jpg],3[tarj/img0587.jpg],3[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3S4AW7T80BJWKZ90267EXYN92I14LM,A30IE4P4UQGEUN,Approved,"Sun May 08 01:06:18 PDT 2016","Sun May 08 01:07:53 PDT 2016",4[tarj/img0862.jpg],1[tarj/img0639.jpg],1[tarj/img0640.jpg],5[tarj/img0565.jpg],2[tarj/img1063.jpg],2[tarj/img0474.jpg],3[tarj/img0306.jpg],1[tarj/img0366.jpg],5[tarj/img0270.jpg],4[tarj/img0060.jpg],5[tarj/img1111.jpg],4[tarj/img0988.jpg],5[tarj/img0467.jpg],5[tarj/img0571.jpg],4[tarj/img0344.jpg],3[tarj/img1129.jpg],4[tarj/img0022.jpg],2[tarj/img0261.jpg],1[tarj/img1144.jpg],5[tarj/img0818.jpg],4[tarj/img0483.jpg],3[tarj/img0838.jpg],3[tarj/img0101.jpg],5[tarj/img0941.jpg],4[tarj/img0311.jpg],5[tarj/img0663.jpg],5[tarj/img0031.jpg],5[tarj/img0666.jpg],3[tarj/img0587.jpg],3[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3IXQG4FA2TZL4WT0SOEB032KCG39B2,AWQDOOSNH42QM,Approved,"Sun May 08 02:39:24 PDT 2016","Sun May 08 02:46:23 PDT 2016",5[tarj/img0862.jpg],5[tarj/img0639.jpg],5[tarj/img0640.jpg],5[tarj/img0565.jpg],5[tarj/img1063.jpg],5[tarj/img0474.jpg],4[tarj/img0306.jpg],5[tarj/img0366.jpg],5[tarj/img0270.jpg],5[tarj/img0060.jpg],5[tarj/img1111.jpg],5[tarj/img0988.jpg],5[tarj/img0467.jpg],5[tarj/img0571.jpg],4[tarj/img0344.jpg],5[tarj/img1129.jpg],5[tarj/img0022.jpg],3[tarj/img0261.jpg],4[tarj/img1144.jpg],5[tarj/img0818.jpg],5[tarj/img0483.jpg],5[tarj/img0838.jpg],5[tarj/img0101.jpg],5[tarj/img0941.jpg],5[tarj/img0311.jpg],5[tarj/img0663.jpg],5[tarj/img0031.jpg],5[tarj/img0666.jpg],5[tarj/img0587.jpg],5[tarj/img0174.jpg],
3VP28W7DUNLN0KPZBMP58XZGVXFFZI,"tarj_270-299","sample#command",3CTOC39K37RN8W3J1JT8KVURPVQJ7N,A1US3GIFSGBF69,Approved,"Sun May 08 03:57:24 PDT 2016","Sun May 08 04:00:44 PDT 2016",3[tarj/img0862.jpg],2[tarj/img0639.jpg],2[tarj/img0640.jpg],2[tarj/img0565.jpg],1[tarj/img1063.jpg],1[tarj/img0474.jpg],2[tarj/img0306.jpg],1[tarj/img0366.jpg],3[tarj/img0270.jpg],1[tarj/img0060.jpg],2[tarj/img1111.jpg],1[tarj/img0988.jpg],2[tarj/img0467.jpg],4[tarj/img0571.jpg],4[tarj/img0344.jpg],3[tarj/img1129.jpg],4[tarj/img0022.jpg],3[tarj/img0261.jpg],1[tarj/img1144.jpg],5[tarj/img0818.jpg],4[tarj/img0483.jpg],1[tarj/img0838.jpg],4[tarj/img0101.jpg],4[tarj/img0941.jpg],4[tarj/img0311.jpg],5[tarj/img0663.jpg],4[tarj/img0031.jpg],5[tarj/img0666.jpg],2[tarj/img0587.jpg],4[tarj/img0174.jpg],
