HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",39LNWE0K4UXTBWV9W91JIMTBKGQIUI,AR50UBGSH10FJ,Approved,"Thu May 05 05:02:53 PDT 2016","Thu May 05 05:04:23 PDT 2016",4[tarj/img0834.jpg],3[tarj/img0555.jpg],2[tarj/img1131.jpg],1[tarj/img0114.jpg],2[tarj/img0148.jpg],3[tarj/img0865.jpg],3[tarj/img0769.jpg],2[tarj/img0518.jpg],2[tarj/img0605.jpg],2[tarj/img0312.jpg],4[tarj/img1073.jpg],2[tarj/img0606.jpg],2[tarj/img0635.jpg],3[tarj/img0942.jpg],1[tarj/img0782.jpg],3[tarj/img0106.jpg],3[tarj/img0010.jpg],3[tarj/img1081.jpg],3[tarj/img1137.jpg],3[tarj/img1052.jpg],2[tarj/img0487.jpg],2[tarj/img0754.jpg],1[tarj/img1060.jpg],2[tarj/img0214.jpg],1[tarj/img0354.jpg],2[tarj/img1132.jpg],2[tarj/img0775.jpg],2[tarj/img0648.jpg],2[tarj/img0602.jpg],2[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",3OWEPKL089DJRMU4GHL0D2B8Y5ON74,A1XC5OV00MECKQ,Approved,"Thu May 05 05:43:10 PDT 2016","Thu May 05 05:47:51 PDT 2016",5[tarj/img0834.jpg],2[tarj/img0555.jpg],4[tarj/img1131.jpg],3[tarj/img0114.jpg],5[tarj/img0148.jpg],5[tarj/img0865.jpg],3[tarj/img0769.jpg],4[tarj/img0518.jpg],4[tarj/img0605.jpg],4[tarj/img0312.jpg],4[tarj/img1073.jpg],4[tarj/img0606.jpg],4[tarj/img0635.jpg],4[tarj/img0942.jpg],4[tarj/img0782.jpg],2[tarj/img0106.jpg],2[tarj/img0010.jpg],5[tarj/img1081.jpg],5[tarj/img1137.jpg],4[tarj/img1052.jpg],2[tarj/img0487.jpg],4[tarj/img0754.jpg],3[tarj/img1060.jpg],4[tarj/img0214.jpg],4[tarj/img0354.jpg],5[tarj/img1132.jpg],4[tarj/img0775.jpg],5[tarj/img0648.jpg],4[tarj/img0602.jpg],4[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",3SNVL38CI4TOVX4XAL1V1WMI5LOKC3,A39BR7NYRDWC01,Approved,"Thu May 05 08:37:34 PDT 2016","Thu May 05 08:39:01 PDT 2016",5[tarj/img0834.jpg],5[tarj/img0555.jpg],3[tarj/img1131.jpg],4[tarj/img0114.jpg],4[tarj/img0148.jpg],5[tarj/img0865.jpg],3[tarj/img0769.jpg],3[tarj/img0518.jpg],3[tarj/img0605.jpg],3[tarj/img0312.jpg],5[tarj/img1073.jpg],4[tarj/img0606.jpg],4[tarj/img0635.jpg],4[tarj/img0942.jpg],5[tarj/img0782.jpg],4[tarj/img0106.jpg],5[tarj/img0010.jpg],5[tarj/img1081.jpg],5[tarj/img1137.jpg],5[tarj/img1052.jpg],4[tarj/img0487.jpg],4[tarj/img0754.jpg],4[tarj/img1060.jpg],5[tarj/img0214.jpg],4[tarj/img0354.jpg],5[tarj/img1132.jpg],4[tarj/img0775.jpg],5[tarj/img0648.jpg],4[tarj/img0602.jpg],5[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",3RWE2M8QWHB59BUKVI0RYN1LQR40N3,ASY5AZCZEM04L,Approved,"Thu May 05 10:27:35 PDT 2016","Thu May 05 10:28:27 PDT 2016",5[tarj/img0834.jpg],5[tarj/img0555.jpg],5[tarj/img1131.jpg],5[tarj/img0114.jpg],5[tarj/img0148.jpg],5[tarj/img0865.jpg],5[tarj/img0769.jpg],5[tarj/img0518.jpg],5[tarj/img0605.jpg],5[tarj/img0312.jpg],5[tarj/img1073.jpg],5[tarj/img0606.jpg],5[tarj/img0635.jpg],5[tarj/img0942.jpg],5[tarj/img0782.jpg],5[tarj/img0106.jpg],5[tarj/img0010.jpg],5[tarj/img1081.jpg],5[tarj/img1137.jpg],5[tarj/img1052.jpg],5[tarj/img0487.jpg],5[tarj/img0754.jpg],5[tarj/img1060.jpg],5[tarj/img0214.jpg],5[tarj/img0354.jpg],5[tarj/img1132.jpg],5[tarj/img0775.jpg],5[tarj/img0648.jpg],5[tarj/img0602.jpg],5[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",3ON104KXQKXCVTLZ6KEG694P0FR4WH,A33K6VSQLIKFG,Approved,"Thu May 05 11:08:57 PDT 2016","Thu May 05 11:10:11 PDT 2016",3[tarj/img0834.jpg],2[tarj/img0555.jpg],4[tarj/img1131.jpg],2[tarj/img0114.jpg],3[tarj/img0148.jpg],3[tarj/img0865.jpg],3[tarj/img0769.jpg],4[tarj/img0518.jpg],2[tarj/img0605.jpg],2[tarj/img0312.jpg],4[tarj/img1073.jpg],3[tarj/img0606.jpg],3[tarj/img0635.jpg],3[tarj/img0942.jpg],2[tarj/img0782.jpg],2[tarj/img0106.jpg],2[tarj/img0010.jpg],3[tarj/img1081.jpg],4[tarj/img1137.jpg],3[tarj/img1052.jpg],4[tarj/img0487.jpg],4[tarj/img0754.jpg],2[tarj/img1060.jpg],2[tarj/img0214.jpg],2[tarj/img0354.jpg],2[tarj/img1132.jpg],3[tarj/img0775.jpg],3[tarj/img0648.jpg],4[tarj/img0602.jpg],4[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",3DHE4R9OCWC6VTGCN1RARRL3MEZG2U,A3HIZH9OA5ISU8,Approved,"Thu May 05 14:40:13 PDT 2016","Thu May 05 14:41:40 PDT 2016",4[tarj/img0834.jpg],3[tarj/img0555.jpg],2[tarj/img1131.jpg],2[tarj/img0114.jpg],4[tarj/img0148.jpg],5[tarj/img0865.jpg],2[tarj/img0769.jpg],2[tarj/img0518.jpg],4[tarj/img0605.jpg],3[tarj/img0312.jpg],2[tarj/img1073.jpg],4[tarj/img0606.jpg],4[tarj/img0635.jpg],1[tarj/img0942.jpg],3[tarj/img0782.jpg],3[tarj/img0106.jpg],4[tarj/img0010.jpg],4[tarj/img1081.jpg],4[tarj/img1137.jpg],1[tarj/img1052.jpg],2[tarj/img0487.jpg],2[tarj/img0754.jpg],4[tarj/img1060.jpg],5[tarj/img0214.jpg],5[tarj/img0354.jpg],5[tarj/img1132.jpg],4[tarj/img0775.jpg],4[tarj/img0648.jpg],4[tarj/img0602.jpg],4[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",3LRLIPTPEQA02I7ZQ754V1WU5KAAK2,A2FA4YYFWJMRV4,Approved,"Thu May 05 19:21:44 PDT 2016","Thu May 05 19:23:09 PDT 2016",5[tarj/img0834.jpg],5[tarj/img0555.jpg],5[tarj/img1131.jpg],5[tarj/img0114.jpg],5[tarj/img0148.jpg],5[tarj/img0865.jpg],5[tarj/img0769.jpg],5[tarj/img0518.jpg],5[tarj/img0605.jpg],5[tarj/img0312.jpg],5[tarj/img1073.jpg],5[tarj/img0606.jpg],5[tarj/img0635.jpg],4[tarj/img0942.jpg],4[tarj/img0782.jpg],5[tarj/img0106.jpg],4[tarj/img0010.jpg],5[tarj/img1081.jpg],5[tarj/img1137.jpg],5[tarj/img1052.jpg],5[tarj/img0487.jpg],5[tarj/img0754.jpg],4[tarj/img1060.jpg],4[tarj/img0214.jpg],5[tarj/img0354.jpg],5[tarj/img1132.jpg],5[tarj/img0775.jpg],4[tarj/img0648.jpg],5[tarj/img0602.jpg],5[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",33TIN5LC04BHH4MB2GSV8E0LXIG9YY,A7DZMMHNC67T0,Approved,"Thu May 05 23:47:49 PDT 2016","Thu May 05 23:50:05 PDT 2016",5[tarj/img0834.jpg],2[tarj/img0555.jpg],3[tarj/img1131.jpg],3[tarj/img0114.jpg],5[tarj/img0148.jpg],3[tarj/img0865.jpg],4[tarj/img0769.jpg],3[tarj/img0518.jpg],2[tarj/img0605.jpg],3[tarj/img0312.jpg],2[tarj/img1073.jpg],4[tarj/img0606.jpg],2[tarj/img0635.jpg],1[tarj/img0942.jpg],4[tarj/img0782.jpg],1[tarj/img0106.jpg],4[tarj/img0010.jpg],2[tarj/img1081.jpg],3[tarj/img1137.jpg],5[tarj/img1052.jpg],4[tarj/img0487.jpg],2[tarj/img0754.jpg],3[tarj/img1060.jpg],2[tarj/img0214.jpg],5[tarj/img0354.jpg],4[tarj/img1132.jpg],3[tarj/img0775.jpg],3[tarj/img0648.jpg],5[tarj/img0602.jpg],5[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",34X6J5FLPTZXEE8YXI2EKMBMUE0JQP,A3CUB03HWBTDYA,Approved,"Fri May 06 06:56:07 PDT 2016","Fri May 06 07:00:20 PDT 2016",5[tarj/img0834.jpg],2[tarj/img0555.jpg],4[tarj/img1131.jpg],3[tarj/img0114.jpg],4[tarj/img0148.jpg],3[tarj/img0865.jpg],2[tarj/img0769.jpg],3[tarj/img0518.jpg],2[tarj/img0605.jpg],2[tarj/img0312.jpg],2[tarj/img1073.jpg],2[tarj/img0606.jpg],2[tarj/img0635.jpg],1[tarj/img0942.jpg],2[tarj/img0782.jpg],2[tarj/img0106.jpg],2[tarj/img0010.jpg],2[tarj/img1081.jpg],3[tarj/img1137.jpg],2[tarj/img1052.jpg],3[tarj/img0487.jpg],2[tarj/img0754.jpg],3[tarj/img1060.jpg],2[tarj/img0214.jpg],4[tarj/img0354.jpg],5[tarj/img1132.jpg],3[tarj/img0775.jpg],2[tarj/img0648.jpg],2[tarj/img0602.jpg],3[tarj/img1158.jpg],
3YKP7CX6G2GE3T7DNPBQYNFW66BB75,"tarj_360-389","sample#command",324G5B4FB39G6Q2XFBJ22QFVQIV707,A2B0QV4J4UQFI2,Approved,"Sat May 07 00:40:35 PDT 2016","Sat May 07 00:41:43 PDT 2016",2[tarj/img0834.jpg],2[tarj/img0555.jpg],2[tarj/img1131.jpg],1[tarj/img0114.jpg],2[tarj/img0148.jpg],2[tarj/img0865.jpg],1[tarj/img0769.jpg],2[tarj/img0518.jpg],3[tarj/img0605.jpg],3[tarj/img0312.jpg],2[tarj/img1073.jpg],2[tarj/img0606.jpg],1[tarj/img0635.jpg],1[tarj/img0942.jpg],2[tarj/img0782.jpg],3[tarj/img0106.jpg],3[tarj/img0010.jpg],1[tarj/img1081.jpg],3[tarj/img1137.jpg],2[tarj/img1052.jpg],2[tarj/img0487.jpg],3[tarj/img0754.jpg],2[tarj/img1060.jpg],1[tarj/img0214.jpg],2[tarj/img0354.jpg],3[tarj/img1132.jpg],1[tarj/img0775.jpg],1[tarj/img0648.jpg],2[tarj/img0602.jpg],2[tarj/img1158.jpg],
