HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3GD6L00D3SYZYIU2F0PRZDVVQSB1MG,AR50UBGSH10FJ,Approved,"Thu May 05 04:54:15 PDT 2016","Thu May 05 04:55:40 PDT 2016",3[tarj/img0720.jpg],3[tarj/img0746.jpg],2[tarj/img0003.jpg],3[tarj/img0790.jpg],3[tarj/img0418.jpg],3[tarj/img0879.jpg],4[tarj/img0998.jpg],4[tarj/img0466.jpg],1[tarj/img1046.jpg],3[tarj/img1051.jpg],3[tarj/img0465.jpg],4[tarj/img0525.jpg],4[tarj/img0908.jpg],1[tarj/img1118.jpg],3[tarj/img0690.jpg],5[tarj/img0558.jpg],1[tarj/img0667.jpg],4[tarj/img1069.jpg],2[tarj/img0461.jpg],4[tarj/img0447.jpg],3[tarj/img0388.jpg],1[tarj/img0778.jpg],1[tarj/img0357.jpg],5[tarj/img0475.jpg],2[tarj/img1156.jpg],2[tarj/img0243.jpg],2[tarj/img0599.jpg],4[tarj/img0912.jpg],2[tarj/img0491.jpg],2[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3XLBSAQ9Z4DD8B8NJ5WU8PIH8JV7Z4,A1XC5OV00MECKQ,Approved,"Thu May 05 05:16:45 PDT 2016","Thu May 05 05:19:58 PDT 2016",3[tarj/img0720.jpg],5[tarj/img0746.jpg],4[tarj/img0003.jpg],5[tarj/img0790.jpg],5[tarj/img0418.jpg],5[tarj/img0879.jpg],5[tarj/img0998.jpg],5[tarj/img0466.jpg],5[tarj/img1046.jpg],4[tarj/img1051.jpg],4[tarj/img0465.jpg],5[tarj/img0525.jpg],5[tarj/img0908.jpg],2[tarj/img1118.jpg],5[tarj/img0690.jpg],2[tarj/img0558.jpg],5[tarj/img0667.jpg],1[tarj/img1069.jpg],5[tarj/img0461.jpg],1[tarj/img0447.jpg],5[tarj/img0388.jpg],5[tarj/img0778.jpg],3[tarj/img0357.jpg],3[tarj/img0475.jpg],2[tarj/img1156.jpg],4[tarj/img0243.jpg],3[tarj/img0599.jpg],4[tarj/img0912.jpg],4[tarj/img0491.jpg],5[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3ZPBJO59KP27YZ934WT98AO8Y4KHDK,A39BR7NYRDWC01,Approved,"Thu May 05 06:11:41 PDT 2016","Thu May 05 06:12:53 PDT 2016",4[tarj/img0720.jpg],5[tarj/img0746.jpg],5[tarj/img0003.jpg],5[tarj/img0790.jpg],4[tarj/img0418.jpg],4[tarj/img0879.jpg],5[tarj/img0998.jpg],5[tarj/img0466.jpg],3[tarj/img1046.jpg],5[tarj/img1051.jpg],5[tarj/img0465.jpg],3[tarj/img0525.jpg],5[tarj/img0908.jpg],2[tarj/img1118.jpg],5[tarj/img0690.jpg],5[tarj/img0558.jpg],4[tarj/img0667.jpg],5[tarj/img1069.jpg],5[tarj/img0461.jpg],5[tarj/img0447.jpg],4[tarj/img0388.jpg],2[tarj/img0778.jpg],4[tarj/img0357.jpg],4[tarj/img0475.jpg],5[tarj/img1156.jpg],5[tarj/img0243.jpg],4[tarj/img0599.jpg],5[tarj/img0912.jpg],4[tarj/img0491.jpg],5[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3TXWC2NHNZRKLIA23A06QSCKGUUS97,A1TK0ZMZ571GG0,Approved,"Thu May 05 07:17:51 PDT 2016","Thu May 05 07:19:37 PDT 2016",2[tarj/img0720.jpg],4[tarj/img0746.jpg],4[tarj/img0003.jpg],5[tarj/img0790.jpg],4[tarj/img0418.jpg],4[tarj/img0879.jpg],2[tarj/img0998.jpg],2[tarj/img0466.jpg],1[tarj/img1046.jpg],3[tarj/img1051.jpg],3[tarj/img0465.jpg],1[tarj/img0525.jpg],5[tarj/img0908.jpg],2[tarj/img1118.jpg],2[tarj/img0690.jpg],3[tarj/img0558.jpg],2[tarj/img0667.jpg],2[tarj/img1069.jpg],3[tarj/img0461.jpg],2[tarj/img0447.jpg],4[tarj/img0388.jpg],2[tarj/img0778.jpg],2[tarj/img0357.jpg],4[tarj/img0475.jpg],2[tarj/img1156.jpg],2[tarj/img0243.jpg],4[tarj/img0599.jpg],5[tarj/img0912.jpg],3[tarj/img0491.jpg],3[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3UXUOQ9OKEYC730F7DGVRWR8ZY57AK,A1V06SPQF8E3DA,Approved,"Thu May 05 08:47:00 PDT 2016","Thu May 05 08:48:51 PDT 2016",5[tarj/img0720.jpg],5[tarj/img0746.jpg],5[tarj/img0003.jpg],4[tarj/img0790.jpg],5[tarj/img0418.jpg],5[tarj/img0879.jpg],5[tarj/img0998.jpg],5[tarj/img0466.jpg],3[tarj/img1046.jpg],4[tarj/img1051.jpg],5[tarj/img0465.jpg],5[tarj/img0525.jpg],5[tarj/img0908.jpg],5[tarj/img1118.jpg],5[tarj/img0690.jpg],3[tarj/img0558.jpg],5[tarj/img0667.jpg],5[tarj/img1069.jpg],5[tarj/img0461.jpg],5[tarj/img0447.jpg],4[tarj/img0388.jpg],5[tarj/img0778.jpg],4[tarj/img0357.jpg],5[tarj/img0475.jpg],5[tarj/img1156.jpg],4[tarj/img0243.jpg],4[tarj/img0599.jpg],5[tarj/img0912.jpg],4[tarj/img0491.jpg],4[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3OCHAWUVGOLCYVFS1HXIF97S63EKX7,AFG3FXABPGSZS,Approved,"Thu May 05 08:51:01 PDT 2016","Thu May 05 08:52:08 PDT 2016",3[tarj/img0720.jpg],4[tarj/img0746.jpg],4[tarj/img0003.jpg],4[tarj/img0790.jpg],4[tarj/img0418.jpg],3[tarj/img0879.jpg],5[tarj/img0998.jpg],4[tarj/img0466.jpg],4[tarj/img1046.jpg],4[tarj/img1051.jpg],4[tarj/img0465.jpg],4[tarj/img0525.jpg],4[tarj/img0908.jpg],4[tarj/img1118.jpg],4[tarj/img0690.jpg],4[tarj/img0558.jpg],4[tarj/img0667.jpg],5[tarj/img1069.jpg],4[tarj/img0461.jpg],4[tarj/img0447.jpg],4[tarj/img0388.jpg],4[tarj/img0778.jpg],3[tarj/img0357.jpg],5[tarj/img0475.jpg],4[tarj/img1156.jpg],4[tarj/img0243.jpg],4[tarj/img0599.jpg],4[tarj/img0912.jpg],4[tarj/img0491.jpg],4[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3RUIQRXJBBPSI7GL8Y6VJFPKOUFLLV,ASY5AZCZEM04L,Approved,"Thu May 05 10:25:57 PDT 2016","Thu May 05 10:26:23 PDT 2016",5[tarj/img0720.jpg],5[tarj/img0746.jpg],5[tarj/img0003.jpg],5[tarj/img0790.jpg],5[tarj/img0418.jpg],5[tarj/img0879.jpg],5[tarj/img0998.jpg],5[tarj/img0466.jpg],5[tarj/img1046.jpg],5[tarj/img1051.jpg],5[tarj/img0465.jpg],5[tarj/img0525.jpg],5[tarj/img0908.jpg],5[tarj/img1118.jpg],5[tarj/img0690.jpg],5[tarj/img0558.jpg],5[tarj/img0667.jpg],5[tarj/img1069.jpg],5[tarj/img0461.jpg],5[tarj/img0447.jpg],5[tarj/img0388.jpg],5[tarj/img0778.jpg],5[tarj/img0357.jpg],5[tarj/img0475.jpg],5[tarj/img1156.jpg],5[tarj/img0243.jpg],5[tarj/img0599.jpg],5[tarj/img0912.jpg],5[tarj/img0491.jpg],5[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3B2X28YI3WGYMDR2UHBZGTBIM5F6BO,A33K6VSQLIKFG,Approved,"Thu May 05 10:59:03 PDT 2016","Thu May 05 11:00:32 PDT 2016",3[tarj/img0720.jpg],4[tarj/img0746.jpg],4[tarj/img0003.jpg],4[tarj/img0790.jpg],4[tarj/img0418.jpg],3[tarj/img0879.jpg],3[tarj/img0998.jpg],2[tarj/img0466.jpg],2[tarj/img1046.jpg],2[tarj/img1051.jpg],2[tarj/img0465.jpg],3[tarj/img0525.jpg],2[tarj/img0908.jpg],2[tarj/img1118.jpg],4[tarj/img0690.jpg],2[tarj/img0558.jpg],3[tarj/img0667.jpg],3[tarj/img1069.jpg],2[tarj/img0461.jpg],2[tarj/img0447.jpg],3[tarj/img0388.jpg],2[tarj/img0778.jpg],2[tarj/img0357.jpg],2[tarj/img0475.jpg],2[tarj/img1156.jpg],3[tarj/img0243.jpg],4[tarj/img0599.jpg],4[tarj/img0912.jpg],3[tarj/img0491.jpg],3[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",3J88R45B2GZD9MC8E92QBQTR0E7PX2,A1RGKU7IN3YLR5,Approved,"Thu May 05 12:28:41 PDT 2016","Thu May 05 12:29:57 PDT 2016",2[tarj/img0720.jpg],4[tarj/img0746.jpg],5[tarj/img0003.jpg],4[tarj/img0790.jpg],3[tarj/img0418.jpg],5[tarj/img0879.jpg],2[tarj/img0998.jpg],1[tarj/img0466.jpg],1[tarj/img1046.jpg],3[tarj/img1051.jpg],4[tarj/img0465.jpg],2[tarj/img0525.jpg],5[tarj/img0908.jpg],1[tarj/img1118.jpg],3[tarj/img0690.jpg],1[tarj/img0558.jpg],3[tarj/img0667.jpg],2[tarj/img1069.jpg],4[tarj/img0461.jpg],3[tarj/img0447.jpg],4[tarj/img0388.jpg],4[tarj/img0778.jpg],4[tarj/img0357.jpg],3[tarj/img0475.jpg],2[tarj/img1156.jpg],2[tarj/img0243.jpg],4[tarj/img0599.jpg],2[tarj/img0912.jpg],3[tarj/img0491.jpg],2[tarj/img0039.jpg],
3ZVPAMTJWN4KCTZ3CP1A4FXTNVXGRQ,"tarj_90-119","sample#command",33M4IA01QG2YLZSNR16FGLT61WNXRU,A3CUB03HWBTDYA,Approved,"Thu May 05 15:20:38 PDT 2016","Thu May 05 15:24:14 PDT 2016",4[tarj/img0720.jpg],3[tarj/img0746.jpg],4[tarj/img0003.jpg],3[tarj/img0790.jpg],3[tarj/img0418.jpg],2[tarj/img0879.jpg],3[tarj/img0998.jpg],3[tarj/img0466.jpg],2[tarj/img1046.jpg],3[tarj/img1051.jpg],3[tarj/img0465.jpg],4[tarj/img0525.jpg],3[tarj/img0908.jpg],3[tarj/img1118.jpg],5[tarj/img0690.jpg],4[tarj/img0558.jpg],4[tarj/img0667.jpg],3[tarj/img1069.jpg],3[tarj/img0461.jpg],3[tarj/img0447.jpg],3[tarj/img0388.jpg],3[tarj/img0778.jpg],2[tarj/img0357.jpg],3[tarj/img0475.jpg],3[tarj/img1156.jpg],3[tarj/img0243.jpg],3[tarj/img0599.jpg],4[tarj/img0912.jpg],4[tarj/img0491.jpg],4[tarj/img0039.jpg],
